timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 04:43:52,0.05,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.20,321.40,215.80,0.00,0.00,0.00,27.20,614.40,0.00,6456.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,54.40,14044156,0,1356796,8.81,32372,520604,1268432,8.24,867564,302892,296284,617248,67824,2640,3672,31276,0,0,0.00,0,0.00,0,317,6.16,7.93,6.41,0,0.60,0.00,54.40,90.67,0.00,0.00,0.00,0.00,2.80,4.00,0.32,0.57,0.00,0.00,0.00,0.00
2018-01-06 04:43:57,0.35,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,99.50,14.20,496.40,397.80,0.00,0.00,0.00,52.80,7714.20,0.00,2491.20,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,105.60,14040936,0,1360016,8.83,32380,520284,1272760,8.26,871716,302616,295848,621764,67516,2632,4204,31276,0,0,0.00,0,0.00,0,320,5.67,7.80,6.38,0,2.00,0.00,105.60,52.80,0.00,0.00,0.00,0.00,8.00,9.40,1.64,1.73,0.00,0.00,0.00,0.00
2018-01-06 04:44:02,0.03,0.00,0.05,0.43,0.00,0.00,0.00,0.00,0.00,99.50,0.00,285.40,288.20,0.00,0.00,0.00,14962.40,8.80,0.00,30.60,0.00,0.00,0.00,0.00,118.60,0.00,118.60,0.00,29924.80,14041064,0,1359888,8.83,32380,520316,1272760,8.26,871660,302616,221080,621616,67568,2672,4172,31276,0,0,0.00,0,0.00,0,320,5.21,7.67,6.34,0,118.60,0.00,29924.80,252.32,6.65,56.04,0.44,5.20,3.00,4.40,0.24,0.85,0.00,0.00,0.00,0.00
2018-01-06 04:44:07,0.88,0.00,0.30,0.38,0.08,0.00,0.13,0.00,0.00,98.24,2.00,2073.40,2556.60,0.00,0.00,0.00,14516.00,330.60,0.00,8254.80,0.00,0.00,0.00,0.00,115.40,0.00,115.40,0.00,29032.00,13953788,0,1447164,9.40,32396,608420,1272760,8.26,873368,390660,236736,623300,67496,2640,4176,31276,0,0,0.00,0,0.00,1,324,4.88,7.56,6.32,1,115.40,0.00,29032.00,251.58,6.41,55.53,0.44,5.12,2040.40,946.60,17889.89,62.37,0.00,0.00,0.00,1.47
2018-01-06 04:44:12,40.70,0.00,2.78,0.93,0.13,0.00,0.03,0.00,0.00,55.43,54.60,3320.80,5029.80,0.00,0.00,0.80,26172.00,38782.40,0.00,36499.00,0.00,0.00,0.00,0.00,207.00,0.20,206.80,1.60,52344.00,12728104,0,2672848,17.36,32400,717348,4063764,26.39,2062200,395888,215032,1725392,75292,4168,8960,31276,0,0,0.00,0,0.00,4,512,4.49,7.44,6.28,0,207.00,1.60,52344.00,252.88,13.01,62.86,0.65,13.52,2537.60,908.20,21967.47,67.02,0.00,0.00,0.00,1.80
2018-01-06 04:44:17,39.03,0.00,1.59,0.00,0.03,0.00,0.03,0.00,0.00,59.34,45.20,2356.60,2974.60,0.00,0.00,0.00,3602.40,25167.20,0.00,17478.40,0.00,0.00,0.00,0.00,29.00,0.00,29.00,0.00,7204.80,11674468,0,3726484,24.20,32412,717580,5915396,38.41,3126336,396008,198364,2772504,77268,5200,12120,31276,0,0,0.00,0,0.00,0,626,4.29,7.35,6.26,0,29.00,0.00,7204.80,248.44,1.05,36.14,1.66,4.80,44.60,49.20,7.06,16.64,0.00,0.00,0.00,0.00
2018-01-06 04:44:22,14.53,0.00,1.25,0.00,0.10,0.00,0.23,0.00,0.00,83.89,6.00,5328.40,5906.60,0.00,0.00,0.00,212.80,14356.80,0.00,28316.60,0.00,0.00,0.00,0.00,14.00,0.00,14.00,0.00,387.20,11360368,0,4040584,26.24,32424,840980,6068512,39.40,3376424,454020,320828,2957812,77436,5128,12992,31276,0,0,0.00,0,0.00,2,624,3.94,7.22,6.22,1,14.20,0.00,425.60,29.97,0.04,2.54,0.11,0.16,2851.80,1877.00,25005.03,135.27,0.00,0.00,0.00,2.05
2018-01-06 04:44:27,1.90,0.00,0.41,0.03,0.13,0.03,0.05,0.00,0.00,97.46,0.00,5043.20,5454.60,0.00,0.00,0.00,15.20,31.00,0.00,13034.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,68.80,11275928,0,4125024,26.78,32440,931740,6068512,39.40,3418132,495956,411684,2950724,78344,5104,12704,31276,0,0,0.00,0,0.00,0,624,3.63,7.10,6.19,0,0.80,0.00,30.40,38.00,0.00,0.00,0.00,0.00,2083.60,1504.60,18310.32,103.87,0.00,0.00,0.00,1.50
2018-01-06 04:44:32,1.90,0.00,0.36,0.00,0.13,0.00,0.10,0.00,0.00,97.50,0.00,5756.80,6060.40,0.00,0.00,0.00,6.40,43.60,0.00,13741.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,12.80,11169932,0,4231020,27.47,32440,1032040,6068512,39.40,3473212,541748,511984,2953172,81008,5104,12704,31276,0,0,0.00,0,0.00,3,624,3.34,6.99,6.16,1,0.60,0.00,12.80,21.33,0.00,0.00,0.00,0.00,2298.80,1623.80,20177.01,113.94,0.00,0.00,0.00,1.65
2018-01-06 04:44:37,3.18,0.00,0.52,0.00,0.18,0.00,0.10,0.00,0.00,96.02,0.00,7924.80,8333.40,0.00,0.00,0.00,14.40,35.80,0.00,18531.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,28.80,11031140,0,4369812,28.37,32448,1167408,6068512,39.40,3546400,604440,647328,2953520,83964,5104,12708,31276,0,0,0.00,0,0.00,2,624,3.07,6.87,6.13,0,0.80,0.00,28.80,36.00,0.00,1.00,1.00,0.08,3100.00,1936.40,27260.16,130.59,0.00,0.00,0.00,2.23
2018-01-06 04:44:42,3.87,0.00,0.90,9.76,0.48,0.00,0.08,0.00,0.00,84.90,0.60,13575.80,15149.20,0.00,0.00,0.00,88175.20,708.20,0.00,35915.40,0.00,0.00,0.00,0.00,659.40,0.00,659.40,0.00,168414.40,10615284,0,4785668,31.07,32456,1511060,6081484,39.49,3762464,770564,550336,3017988,93668,5104,12812,31276,0,0,0.00,0,0.00,1,624,3.47,6.89,6.14,8,659.40,0.00,168414.40,255.41,70.21,102.21,0.74,49.12,5849.00,2850.80,51378.17,189.05,0.00,0.00,0.00,4.21
2018-01-06 04:44:47,63.54,0.00,3.82,10.16,0.08,0.00,0.05,0.00,0.00,22.35,10.20,7804.40,4467.60,0.00,0.00,0.80,92510.40,12360.80,0.00,32910.80,0.00,0.00,0.00,0.00,792.80,0.20,792.60,1.60,192956.80,8523900,0,6877052,44.65,32464,2128944,7053272,45.80,5526100,1098952,705896,4474160,110056,5392,15756,31276,0,0,0.00,0,0.00,19,661,4.63,7.07,6.20,0,792.80,1.60,192956.80,243.39,110.35,142.70,1.00,79.04,34.00,41.80,13.09,12.15,0.00,0.00,0.00,0.00
2018-01-06 04:44:52,97.62,0.00,2.25,0.00,0.00,0.00,0.03,0.00,0.00,0.10,2.00,30452.40,3063.20,0.00,0.00,0.00,108.80,2202.00,0.00,22944.00,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,217.60,6823404,0,8577548,55.69,32472,2128976,7640048,49.61,7217224,1098800,706380,6169044,111244,5472,19068,31276,0,0,0.00,0,0.00,58,670,8.34,7.80,6.44,0,1.20,0.00,217.60,181.33,0.00,3.33,0.67,0.08,9.00,11.60,1.10,5.68,0.00,0.00,0.00,0.00
