timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 02:36:51,0.00,0.00,0.03,2.85,0.00,0.00,0.00,0.00,0.00,97.12,0.00,293.60,264.00,0.00,0.00,0.80,14606.40,9.20,0.00,20.40,0.00,0.00,0.00,0.00,97.80,0.20,97.60,1.60,21526.40,9287948,0,6113004,39.69,25992,5364996,1057544,6.87,870988,4940988,1370908,421048,183816,2560,3340,31276,0,0,0.00,0,0.00,0,306,5.11,2.73,1.11,1,97.80,1.60,21526.40,220.12,32.81,288.78,2.36,23.04,1.40,2.60,0.14,0.44,0.00,0.00,0.00,0.00
2018-01-06 02:36:56,0.00,0.00,0.05,13.20,0.03,0.00,0.00,0.00,0.00,86.72,0.00,318.40,473.60,0.00,0.00,0.80,37297.60,15.20,0.00,23.00,0.00,0.00,0.00,0.00,293.40,0.20,293.20,1.60,74601.60,9287948,0,6113004,39.69,26004,5365020,1057544,6.87,871028,4940996,1184492,421056,183816,2560,3340,31276,0,0,0.00,0,0.00,1,306,4.78,2.71,1.11,1,293.40,1.60,74601.60,254.27,137.03,460.09,3.41,100.00,1.60,3.00,0.16,0.54,0.00,0.00,0.00,0.00
2018-01-06 02:37:01,0.03,0.00,0.00,13.07,0.03,0.00,0.00,0.00,0.00,86.88,0.00,306.60,474.00,0.00,0.00,4.00,38548.80,7.40,0.00,20.40,0.00,0.00,0.00,0.00,306.20,1.00,305.20,8.00,78070.40,9287824,0,6113128,39.69,26056,5365084,1057544,6.87,871116,4941016,992080,421056,183820,2560,3340,31276,0,0,0.00,0,0.00,1,306,4.48,2.68,1.11,1,306.20,8.00,78070.40,254.99,134.90,437.37,3.27,100.08,1.40,2.80,0.15,0.53,0.00,0.00,0.00,0.00
2018-01-06 02:37:06,0.45,0.00,0.18,14.38,0.03,0.00,0.00,0.00,0.00,84.97,15.00,577.80,736.20,0.00,0.00,2.40,30092.80,7763.20,0.00,2602.00,0.00,0.00,0.00,0.00,258.00,0.60,257.40,4.80,65809.60,9283060,0,6117892,39.72,26080,5365588,1069552,6.94,875472,4941404,842164,425412,183760,2576,3844,31276,0,0,0.00,0,0.00,0,309,4.20,2.65,1.11,2,258.00,4.80,65809.60,255.09,135.36,541.93,3.88,100.00,24.80,26.60,73.19,75.83,0.00,0.00,0.00,0.01
2018-01-06 02:37:11,0.00,0.00,0.08,13.50,0.03,0.00,0.00,0.00,0.00,86.40,0.00,317.40,504.20,0.00,0.00,3.20,44445.60,7.60,0.00,33.40,0.00,0.00,0.00,0.00,321.00,0.80,320.20,6.40,81782.40,9283016,0,6117936,39.72,26108,5365556,1069552,6.94,875460,4941468,620044,425344,183740,2584,3844,31276,0,0,0.00,0,0.00,1,309,3.95,2.62,1.10,1,321.00,6.40,81782.40,254.79,135.05,428.08,3.12,100.00,4.60,5.60,0.36,0.98,0.00,0.00,0.00,0.00
2018-01-06 02:37:16,90.54,0.00,3.21,3.96,0.05,0.00,0.03,0.00,0.00,2.21,69.00,5516.40,4302.40,0.00,0.00,4.80,45144.00,45139.60,0.00,18028.20,0.00,0.00,0.00,0.00,354.40,1.20,353.20,9.60,90339.20,8196908,0,7204044,46.78,26204,5366736,3508956,22.78,1949324,4942344,396224,1498944,188212,4352,9460,31276,0,0,0.00,0,0.00,17,535,5.31,2.93,1.21,1,354.40,9.60,90339.20,254.93,134.81,377.73,2.82,100.00,36.80,41.00,28.61,5.30,0.00,0.00,0.00,0.00
2018-01-06 02:37:21,96.47,0.00,2.48,0.23,0.00,0.00,0.15,0.00,0.00,0.68,17.60,10560.20,4053.60,0.00,0.00,10.40,37875.20,4909.80,0.00,3573.20,0.00,0.00,0.00,0.00,321.00,1.80,319.20,20.80,81608.00,7299128,0,8101824,52.61,26220,5363736,3564960,23.15,2845168,4939104,208244,2394392,189692,4808,11360,31276,0,0,0.00,0,0.00,9,587,6.49,3.21,1.31,7,321.00,20.80,81608.00,254.30,139.11,425.99,3.12,100.00,21.60,32.00,10.52,4.34,0.00,0.00,0.00,0.00
2018-01-06 02:37:26,95.19,0.00,1.35,1.45,0.00,0.00,0.08,0.00,0.00,1.93,0.00,4862.00,3302.60,0.00,0.00,7.20,41134.40,968.60,0.00,1309.20,0.00,0.00,0.00,0.00,344.80,1.20,343.60,14.40,84552.00,7295600,0,8105352,52.63,26256,5358520,3572652,23.20,2853768,4934212,3048,2403316,189560,4728,11392,31276,0,0,0.00,0,0.00,10,577,6.77,3.32,1.36,0,344.80,14.40,84552.00,245.26,135.16,403.82,2.83,97.60,6.20,10.60,0.57,3.42,0.00,0.00,0.00,0.00
2018-01-06 02:37:31,98.75,0.00,1.20,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,3855.00,2733.20,0.00,0.00,0.00,10.40,272.80,0.00,762.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,20.80,7298404,0,8102548,52.61,26268,5353800,3571848,23.19,2855796,4929388,2880,2405516,189456,4664,11404,31276,0,0,0.00,0,0.00,10,569,7.99,3.63,1.47,0,0.40,0.00,20.80,52.00,0.00,0.00,0.00,0.00,5.80,10.20,0.49,2.55,0.00,0.00,0.00,0.00
2018-01-06 02:37:36,98.17,0.00,1.73,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,5419.00,2689.80,0.00,0.00,0.00,81.60,49.60,0.00,469.20,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,163.20,7289604,0,8111348,52.67,26276,5348680,3587396,23.29,2869960,4924412,2696,2419628,189508,4664,11408,31276,0,0,0.00,0,0.00,8,569,8.63,3.84,1.55,0,1.60,0.00,163.20,102.00,0.00,0.00,0.00,0.00,5.40,9.60,0.52,3.41,0.00,0.00,0.00,0.00
