timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 07:32:27,9.81,0.00,0.15,0.20,0.00,0.00,0.00,0.00,0.00,89.83,1.40,423.80,431.40,0.00,0.00,333.60,39.20,1319.20,0.00,1603.20,0.00,0.00,0.00,0.00,21.60,20.80,0.80,667.20,78.40,7071536,0,587976,7.68,12468,102096,788300,10.29,454892,29128,444,369532,40060,2024,3000,17940,0,0,0.00,0,0.00,0,239,0.54,2.97,4.08,0,21.60,667.20,78.40,34.52,0.01,0.41,0.41,0.88,3.40,4.60,0.34,0.62,0.00,0.00,0.00,0.00
2018-01-06 07:32:32,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,252.60,160.80,0.00,0.00,0.00,52.80,11.80,0.00,20.20,0.00,0.00,0.00,0.00,9.60,0.00,9.60,0.00,105.60,7071536,0,587976,7.68,12468,102116,788300,10.29,454940,29128,196,369540,40060,2024,3000,17940,0,0,0.00,0,0.00,0,239,0.50,2.92,4.06,0,9.60,0.00,105.60,11.00,0.01,0.75,0.08,0.08,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-06 07:32:37,11.94,0.00,1.44,0.05,0.21,0.00,0.31,0.00,0.00,86.06,5.60,3760.20,5137.40,0.00,0.00,60.80,2.40,2095.60,0.00,12225.40,0.00,0.00,0.00,0.00,10.00,9.60,0.40,121.60,4.80,6915980,0,743532,9.71,12480,207104,950444,12.41,505460,134004,104884,419984,39936,2104,3120,17940,0,0,0.00,0,0.00,0,249,0.62,2.90,4.04,1,10.00,121.60,4.80,12.64,0.00,0.48,0.48,0.48,2413.80,1053.00,21147.96,70.45,0.00,0.00,0.00,1.73
2018-01-06 07:32:42,87.37,0.00,4.23,0.10,0.05,0.00,0.05,0.00,0.00,8.20,33.60,2999.00,2393.20,0.00,0.00,365.60,89.60,23629.00,1.80,9544.20,0.00,0.00,0.00,0.00,34.40,32.40,2.00,731.20,177.60,6026860,0,1632652,21.32,12660,233080,5680688,74.17,1367936,152176,129212,1274396,42032,3168,6508,17940,0,0,0.00,0,0.00,15,381,1.13,2.97,4.06,0,34.60,731.20,179.20,26.31,0.02,0.51,0.39,1.36,550.60,263.80,4769.20,17.94,0.00,0.00,0.00,0.39
2018-01-06 07:32:47,86.47,0.00,4.43,0.10,0.05,0.00,0.05,0.00,0.00,8.90,23.00,3757.00,4747.20,0.00,0.00,29.60,12168.00,7336.80,0.20,18411.80,0.00,0.00,0.00,0.00,113.40,2.20,111.20,59.20,24337.60,4697484,0,2962028,38.67,12660,254128,5850264,76.38,2690264,157916,89496,2581568,43260,3536,9164,17940,0,0,0.00,0,0.00,8,428,1.84,3.09,4.09,0,113.20,59.20,24336.00,215.51,3.14,27.70,0.28,3.20,253.80,155.00,2004.30,17.39,0.00,0.00,0.00,0.16
2018-01-06 07:32:52,96.85,0.00,3.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2669.80,6998.20,0.00,0.00,0.00,15730.40,236.80,0.00,25295.00,0.00,0.00,0.00,0.00,123.20,0.00,123.20,0.00,31460.80,3585020,0,4074492,53.20,12668,254152,5850264,76.38,3788736,157928,11356,3692180,43272,3464,11372,17940,0,0,0.00,0,0.00,5,419,2.01,3.10,4.09,0,123.20,0.00,31460.80,255.36,4.51,36.61,0.30,3.68,2.20,3.80,0.19,0.73,0.00,0.00,0.00,0.00
2018-01-06 07:32:57,97.15,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,2631.40,6259.60,0.00,0.00,0.00,6.40,172.20,0.00,22337.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,12.80,2551336,0,5108176,66.69,12676,254180,5850264,76.38,4830700,157932,11388,4723836,43268,3448,13388,17940,0,0,0.00,0,0.00,5,417,2.17,3.12,4.09,0,0.40,0.00,12.80,32.00,0.00,2.00,2.00,0.08,2.20,4.20,0.29,1.24,0.00,0.00,0.00,0.00
2018-01-06 07:33:02,99.55,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,2566.20,1870.40,0.00,0.00,0.00,4.00,38.60,0.00,962.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,2500356,0,5159156,67.36,12684,254208,5850264,76.38,4881736,157940,11416,4774944,43284,3416,13540,17940,0,0,0.00,0,0.00,5,413,2.72,3.22,4.12,0,0.40,0.00,8.00,20.00,0.00,2.00,2.00,0.08,1.80,3.60,0.27,1.30,0.00,0.00,0.00,0.00
2018-01-06 07:33:07,99.55,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,2432.20,1661.00,0.00,0.00,0.00,3.20,23.40,0.00,130.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,2483504,0,5176008,67.58,12692,254228,5850264,76.38,4883876,157944,11444,4791384,43236,3416,13572,17940,0,0,0.00,0,0.00,4,413,2.82,3.23,4.12,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,2.00,3.80,0.28,1.31,0.00,0.00,0.00,0.00
2018-01-06 07:33:12,99.60,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2168.00,1773.20,0.00,0.00,0.00,4.00,21.20,0.00,537.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,2454536,0,5204976,67.95,12700,254252,5850264,76.38,4920740,157976,11472,4820012,43180,3408,13628,17940,0,0,0.00,0,0.00,8,412,2.92,3.24,4.12,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.60,3.20,0.25,1.20,0.00,0.00,0.00,0.00
