timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 03:06:58,0.25,0.00,0.20,17.95,0.05,0.00,0.00,0.00,0.00,81.55,0.40,327.80,598.20,0.00,0.00,1.60,53316.00,701.20,0.00,1306.20,0.00,0.00,0.00,0.00,393.00,0.40,392.60,3.20,99771.20,1517280,0,6142232,80.19,31196,5252352,1183308,15.45,1095912,4800888,387764,612956,177160,2160,3536,17940,0,0,0.00,0,0.00,1,257,4.48,4.80,4.29,1,393.00,3.20,99771.20,253.88,98.85,244.81,1.80,70.72,3.00,4.40,0.33,0.67,0.00,0.00,0.00,0.00
2018-01-06 03:07:03,0.55,0.00,0.30,24.34,0.10,0.00,0.00,0.00,0.00,74.70,14.00,523.60,947.60,0.00,0.00,3.20,67219.20,5555.40,0.00,1511.60,0.00,0.00,0.00,0.00,527.00,0.80,526.20,6.40,134643.20,1512384,0,6147128,80.25,31216,5252488,1193668,15.58,1100264,4800808,51756,617376,177120,2192,4044,17940,0,0,0.00,0,0.00,0,260,4.20,4.74,4.27,1,527.00,6.40,134643.20,255.50,134.13,250.45,1.90,100.00,13.80,15.20,12.19,2.73,0.00,0.00,0.00,0.00
2018-01-06 03:07:08,0.05,0.00,0.00,6.42,0.05,0.00,0.00,0.00,0.00,93.48,0.20,282.00,296.80,0.00,0.00,0.00,10316.80,11.40,0.00,63.60,0.00,0.00,0.00,0.00,107.20,0.00,107.20,0.00,27289.60,1512408,0,6147104,80.25,31232,5252864,1193668,15.58,1100288,4801164,752,617376,177004,2192,4044,17940,0,0,0.00,0,0.00,0,260,3.87,4.66,4.25,0,107.20,0.00,27289.60,254.57,23.33,262.31,1.95,20.88,10.20,8.20,59.02,1.06,0.00,0.00,0.00,0.00
2018-01-06 03:07:13,62.25,0.00,2.61,0.05,0.00,0.00,0.05,0.00,0.00,35.04,34.00,1957.80,1532.20,0.00,0.00,2.40,12.80,20510.40,0.00,7579.00,0.00,0.00,0.00,0.00,1.00,0.60,0.40,4.80,25.60,1135376,0,6524136,85.18,31240,5253576,2084232,27.21,1474416,4801732,1568,991328,178316,2848,6108,17940,0,0,0.00,0,0.00,5,346,3.56,4.58,4.22,0,1.00,4.80,25.60,30.40,0.00,0.00,0.00,0.00,21.40,21.40,25.30,2.74,0.00,0.00,0.00,0.00
2018-01-06 03:07:18,95.69,0.00,3.81,0.00,0.00,0.00,0.25,0.00,0.00,0.25,11.60,4723.60,2650.60,0.00,0.00,1.60,56.80,7333.00,0.00,5018.40,0.00,0.00,0.00,0.00,1.40,0.40,1.00,3.20,113.60,509904,0,7149608,93.34,31252,5254080,2374952,31.01,2089868,4802200,2256,1612940,179608,3208,7664,17940,0,0,0.00,0,0.00,11,387,3.67,4.59,4.23,0,1.40,3.20,113.60,83.43,0.00,0.57,0.57,0.08,16.20,22.80,6.46,3.15,0.00,0.00,0.00,0.00
2018-01-06 03:07:23,95.90,0.00,3.85,0.00,0.00,0.00,0.20,0.00,0.00,0.05,0.00,4674.20,1707.80,0.00,0.00,0.00,88.80,285.20,0.00,532.20,0.00,0.00,0.00,0.00,12.00,0.00,12.00,0.00,177.60,152172,0,7507340,98.01,31260,5544904,2480804,32.39,2447752,4800980,293816,1672560,186940,3120,7808,17940,0,0,0.00,0,0.00,5,376,3.70,4.58,4.23,0,12.00,0.00,177.60,14.80,0.03,2.13,0.07,0.08,5.20,9.20,0.48,2.33,0.00,0.00,0.00,0.00
2018-01-06 03:07:28,77.53,0.00,9.58,7.87,0.05,0.00,0.00,0.00,0.00,4.96,13.40,2387.00,2186.20,0.00,0.00,64.00,57251.20,1264.20,2.00,105048.40,36708.40,0.00,36622.80,99.77,433.60,4.40,429.20,128.00,106976.00,1428568,0,6230944,81.35,16084,5075904,1515888,19.79,1918844,4061624,519840,888296,180160,3208,5220,17940,0,0,0.00,0,0.00,0,291,3.88,4.60,4.24,1,433.60,128.00,106976.00,247.01,98.28,217.55,1.65,71.52,19.40,25.00,2.14,4.17,0.00,0.00,0.00,0.00
2018-01-06 03:07:33,85.64,0.00,3.06,1.05,0.00,0.00,0.00,0.00,0.00,10.24,23.20,2208.80,1631.40,0.00,0.00,432.80,2206.40,23655.20,10.60,23623.60,0.00,0.00,0.00,0.00,65.40,18.20,47.20,865.60,11939.20,1207192,0,6452320,84.24,16096,5073224,2088272,27.26,2141720,4059204,509292,1111908,179644,2904,6536,17940,0,0,0.00,0,0.00,10,352,4.13,4.64,4.25,0,65.40,865.60,11939.20,195.79,8.79,194.74,1.76,11.52,17.40,18.80,4.05,2.69,0.00,0.00,0.00,0.00
2018-01-06 03:07:38,96.10,0.00,3.30,0.25,0.00,0.00,0.30,0.00,0.00,0.05,9.00,5302.40,2441.60,0.00,0.00,4.00,47181.60,2661.60,0.20,1173.80,0.00,0.00,0.00,0.00,369.80,0.80,369.00,8.00,94363.20,645312,0,7014200,91.58,16124,5068620,2495324,32.58,2706360,4055104,274020,1676920,180136,3160,7844,17940,0,0,0.00,0,0.00,4,381,4.44,4.70,4.27,0,369.80,8.00,94363.20,255.20,88.95,240.54,1.81,66.80,11.00,15.80,5.65,2.20,0.00,0.00,0.00,0.00
2018-01-06 03:07:43,92.13,0.00,5.06,2.51,0.05,0.00,0.20,0.00,0.00,0.05,3.60,2549.20,2065.00,0.00,0.00,30.40,30679.20,208.40,0.00,5247.40,3537.80,0.00,3537.80,100.00,233.80,3.20,230.60,60.80,54753.60,128336,0,7531176,98.32,16132,5571040,2495324,32.58,3276536,3989424,709452,1679180,192188,3176,7844,17940,0,0,0.00,0,0.00,8,391,4.49,4.70,4.27,1,233.80,60.80,54753.60,234.45,50.81,202.60,1.73,40.56,179.00,472.40,11.94,4064.88,0.00,0.00,0.00,0.33
2018-01-06 03:07:48,66.89,0.00,7.06,17.79,0.00,0.00,0.00,0.00,0.00,8.27,23.20,2434.80,2497.00,0.00,0.00,2.40,70612.80,9085.40,0.00,93821.20,21836.40,0.00,21836.40,100.00,553.00,0.60,552.40,4.80,141144.00,1253800,0,6405712,83.63,16144,5085604,2112772,27.58,2590812,3563624,641092,1052980,181472,2784,6404,17940,0,0,0.00,0,0.00,7,342,4.53,4.71,4.28,1,553.00,4.80,141144.00,255.24,140.91,248.35,1.81,100.00,316.20,426.40,23.69,3392.16,0.00,0.00,0.00,0.28
2018-01-06 03:07:53,95.05,0.00,3.95,0.20,0.00,0.00,0.40,0.00,0.00,0.40,18.00,3539.00,2679.60,0.00,0.00,188.00,17236.00,19402.60,7.00,35798.20,0.00,0.00,0.00,0.00,144.60,9.80,134.80,376.00,33580.80,942812,0,6716700,87.69,16160,5093336,2256992,29.47,2873448,3589252,575004,1353852,181700,3120,7140,17940,0,0,0.00,0,0.00,8,380,4.97,4.80,4.31,1,144.60,376.00,33580.80,234.83,26.51,214.27,1.94,28.08,2455.00,1091.40,19810.12,4530.34,0.00,0.00,0.00,1.62
2018-01-06 03:07:58,77.64,0.00,4.55,9.00,0.15,0.00,0.56,0.00,0.00,8.09,5.20,3598.40,4502.40,0.00,0.00,0.80,106492.00,2570.40,0.00,19253.20,0.00,0.00,0.00,0.00,833.40,0.20,833.20,1.60,212726.40,279148,0,7380364,96.36,16180,5411064,2492320,32.54,3515108,3603636,367400,1691792,188488,3272,8164,17940,0,0,0.00,0,0.00,2,394,5.37,4.88,4.34,1,833.40,1.60,212726.40,255.25,141.47,171.77,1.20,100.00,3345.20,981.00,29019.76,1790.12,0.00,0.00,0.00,2.38
2018-01-06 03:08:03,52.25,0.00,4.55,5.36,0.05,0.00,0.15,0.00,0.00,37.65,17.00,2560.80,3114.00,0.00,0.00,0.80,25928.00,8696.00,0.00,57277.40,6941.00,0.00,6941.00,100.00,248.20,0.20,248.00,1.60,59691.20,682760,0,6976752,91.09,16192,5375040,2297300,29.99,3233244,3483312,346560,1325424,188760,3080,7064,17940,0,0,0.00,0,0.00,6,374,5.10,4.84,4.33,0,248.20,1.60,59691.20,240.50,35.95,148.27,1.65,41.04,1746.40,1196.80,12544.85,3471.95,0.00,0.00,0.00,1.03
2018-01-06 03:08:08,79.55,0.00,4.15,5.06,0.10,0.00,0.56,0.00,0.00,10.58,8.60,3001.60,3790.80,0.00,0.00,6.40,30331.20,6430.00,0.00,37452.40,8008.20,0.00,8008.20,100.00,212.80,1.60,211.20,12.80,53788.80,140296,0,7519216,98.17,16204,5522776,2505588,32.71,3909208,3336176,508076,1712776,193676,3320,8076,17940,0,0,0.00,0,0.00,2,400,5.25,4.87,4.34,1,212.80,12.80,53788.80,252.83,61.19,232.97,2.03,43.28,4894.00,1446.80,42553.98,99.38,0.00,0.00,0.00,3.49
2018-01-06 03:08:13,25.89,0.00,2.38,18.19,0.15,0.00,0.10,0.00,0.00,53.29,8.60,2056.00,2873.40,0.00,0.00,13.60,56556.00,3082.60,0.00,37912.40,13776.00,0.00,13776.00,100.00,487.80,3.40,484.40,27.20,119985.60,524484,0,7135028,93.15,16228,5386484,2382060,31.10,3787152,3081600,381584,1466244,194072,3232,7264,17940,0,0,0.00,0,0.00,1,389,4.99,4.82,4.33,0,487.80,27.20,119985.60,246.03,108.84,246.92,1.88,91.60,577.60,966.00,2102.94,6842.17,0.00,0.00,0.00,0.56
2018-01-06 03:08:18,44.08,0.00,1.82,2.73,0.10,0.00,0.25,0.00,0.00,51.01,4.00,2487.60,3115.00,0.00,0.00,4.00,12138.40,4278.00,0.00,9198.00,0.00,0.00,0.00,0.00,69.40,1.00,68.40,8.00,17262.40,234296,0,7425216,96.94,16240,5426816,2510964,32.78,4072572,3084720,373060,1714420,194024,3304,7940,17940,0,0,0.00,0,0.00,1,399,4.83,4.79,4.32,1,69.60,8.00,17313.60,248.87,19.50,229.79,2.44,16.96,1162.60,991.80,9356.27,2467.48,0.00,0.00,0.00,0.77
