timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 07:25:42,3.60,0.00,0.15,0.00,0.03,0.00,0.00,0.00,0.00,96.22,1.00,385.00,358.40,0.00,0.00,0.00,38.40,1167.80,0.00,3000.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,76.80,31410888,0,1537316,4.67,138024,578984,1444432,4.38,1007876,173696,420,466736,141116,2344,3248,57980,0,0,0.00,0,0.00,0,280,0.20,0.23,1.34,0,0.80,0.00,76.80,96.00,0.00,3.00,1.00,0.08,3.80,5.20,0.37,0.69,0.00,0.00,0.00,0.00
2018-01-06 07:25:47,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,287.80,171.00,0.00,0.00,0.00,4.00,13.60,0.00,310.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,31410440,0,1537764,4.67,138032,579008,1444432,4.38,1008384,173696,444,467176,141116,2352,3252,57980,0,0,0.00,0,0.00,1,280,0.18,0.23,1.33,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-06 07:25:52,6.08,0.00,0.69,0.00,0.20,0.00,0.18,0.00,0.00,92.85,5.40,5929.80,7484.80,0.00,0.00,0.00,0.00,1889.00,0.00,11000.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31274956,0,1673248,5.08,138032,692412,1477256,4.48,1035520,286440,113848,492188,141056,2424,3308,57980,0,0,0.00,0,0.00,0,289,0.17,0.22,1.32,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2627.20,1203.80,22895.88,79.10,0.00,0.00,0.00,1.88
2018-01-06 07:25:57,79.39,0.00,3.35,0.03,0.08,0.00,0.08,0.00,0.00,17.08,76.85,4325.15,4817.37,0.00,0.00,0.00,31.94,41453.09,0.00,11274.25,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,63.87,29688772,0,3259432,9.89,138080,708364,28339356,86.01,2591448,295580,129780,2048952,144680,4696,9596,57980,0,0,0.00,0,0.00,21,569,1.36,0.47,1.40,0,1.20,0.00,63.87,53.33,0.00,0.00,0.00,0.00,363.47,205.79,3020.08,15.22,0.00,0.00,0.00,0.25
2018-01-06 07:26:02,47.31,0.00,2.45,0.00,0.10,0.00,0.13,0.00,0.00,50.01,39.00,5308.40,4860.80,0.00,0.00,0.00,1652.00,17644.20,0.00,14370.60,0.00,0.00,0.00,0.00,26.80,0.00,26.80,0.00,3304.00,28224864,0,4723340,14.34,138092,731036,28620028,86.86,4010984,301680,144888,3486392,145436,5448,12424,57980,0,0,0.00,0,0.00,4,672,1.57,0.53,1.41,0,26.80,0.00,3304.00,123.28,0.13,4.90,0.21,0.56,682.80,383.40,5675.57,38.41,0.00,0.00,0.00,0.46
2018-01-06 07:26:07,94.26,0.00,4.43,0.00,0.00,0.00,0.03,0.00,0.00,1.28,5.20,5491.40,3799.20,0.00,0.00,0.00,2524.00,3425.20,0.00,30802.40,0.00,0.00,0.00,0.00,20.60,0.00,20.60,0.00,5048.00,22463424,0,10484780,31.82,138100,750156,28799716,87.41,9672656,311204,151704,9212352,145620,5544,23776,57980,0,0,0.00,0,0.00,17,679,2.08,0.65,1.45,0,20.60,0.00,5048.00,245.05,0.09,4.39,0.39,0.80,119.60,90.80,879.06,9.51,0.00,0.00,0.00,0.07
2018-01-06 07:26:12,97.82,0.00,2.13,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,3725.60,3106.60,0.00,0.00,0.00,104.00,528.40,0.00,43639.40,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,208.00,19239056,0,13709148,41.61,138108,750184,28799716,87.41,12951320,311216,151604,12435776,145644,5472,30496,57980,0,0,0.00,0,0.00,9,670,2.56,0.77,1.48,0,2.00,0.00,208.00,104.00,0.03,16.80,8.40,1.68,2.80,5.60,0.48,2.28,0.00,0.00,0.00,0.00
2018-01-06 07:26:17,98.55,0.00,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3785.00,3051.60,0.00,0.00,0.00,8.80,280.00,0.00,8974.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,17.60,16891824,0,16056380,48.73,138116,750212,28799716,87.41,15245268,311236,151648,14778772,145532,5440,34684,57980,0,0,0.00,0,0.00,10,666,2.99,0.89,1.52,0,0.40,0.00,17.60,44.00,0.00,0.00,0.00,0.00,1.80,3.60,0.21,1.04,0.00,0.00,0.00,0.00
2018-01-06 07:26:22,98.67,0.00,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4590.40,3019.40,0.00,0.00,0.00,3.20,282.40,0.00,9371.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,14767464,0,18180740,55.18,138124,750240,28925232,87.79,17402632,311252,151676,16899292,145500,5440,39076,57980,0,0,0.00,0,0.00,16,666,5.24,1.39,1.68,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,2.80,5.60,0.60,2.91,0.00,0.00,0.00,0.00
2018-01-06 07:26:27,98.33,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,4593.60,3201.80,0.00,0.00,0.00,25724.00,347.20,0.00,17490.60,0.00,0.00,0.00,0.00,201.80,0.00,201.80,0.00,51448.00,12092816,0,20855388,63.30,138132,750264,28925232,87.79,20079980,311272,23164,19564320,145680,5432,44472,57980,0,0,0.00,0,0.00,19,665,6.02,1.62,1.75,0,201.80,0.00,51448.00,254.95,9.76,48.36,0.69,13.84,1.40,2.80,0.19,1.01,0.00,0.00,0.00,0.00
