timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 07:42:40,8.33,0.00,0.10,0.25,0.00,0.00,0.00,0.00,0.00,91.32,1.00,358.80,326.20,0.00,0.00,120.80,40.80,1104.80,0.00,2656.40,0.00,0.00,0.00,0.00,14.20,13.40,0.80,241.60,81.60,15817096,0,616044,3.75,13516,104124,980904,5.97,431484,26948,440,340848,42716,2040,2960,31404,0,0,0.00,0,0.00,1,241,0.50,2.39,3.21,0,14.20,241.60,81.60,22.76,0.01,0.79,0.73,1.04,3.80,5.40,0.38,0.78,0.00,0.00,0.00,0.00
2018-01-06 07:42:45,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,240.20,141.60,0.00,0.00,0.00,0.00,13.60,0.00,21.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15817096,0,616044,3.75,13516,104144,980904,5.97,431476,26952,460,340852,42716,2040,2960,31404,0,0,0.00,0,0.00,0,241,0.46,2.35,3.20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,2.40,0.12,0.42,0.00,0.00,0.00,0.00
2018-01-06 07:42:50,12.84,0.00,1.43,0.10,0.20,0.00,0.31,0.00,0.00,85.12,5.60,2685.40,3948.80,0.00,0.00,62.40,64.80,1757.80,0.00,12517.80,0.00,0.00,0.00,0.00,18.40,9.60,8.80,124.80,86.40,15624316,0,808824,4.92,13528,221300,1152748,7.01,509168,143820,117044,418456,42464,2120,3124,31404,0,0,0.00,0,0.00,2,251,0.50,2.33,3.19,1,18.60,124.80,129.60,13.68,0.01,0.52,0.43,0.80,2703.20,946.40,23609.94,63.42,0.00,0.00,0.00,1.93
2018-01-06 07:42:55,65.14,0.00,2.98,0.05,0.05,0.00,0.05,0.00,0.00,31.74,21.60,2631.20,2263.20,0.00,0.00,379.20,16.80,20054.60,1.60,6588.60,0.00,0.00,0.00,0.00,40.00,37.80,2.20,758.40,76.80,15049264,0,1383876,8.42,13828,235052,14495968,88.21,1065052,153564,129196,973960,44324,2760,5796,31404,0,0,0.00,0,0.00,4,331,1.50,2.51,3.24,0,39.80,758.40,33.60,19.90,0.01,0.30,0.24,0.96,265.40,148.80,2306.25,10.33,0.00,0.00,0.00,0.19
2018-01-06 07:43:00,55.01,0.00,2.97,0.45,0.05,0.00,0.05,0.00,0.00,41.47,30.20,3230.20,1784.00,0.00,0.00,4.80,10243.20,7255.20,0.00,2548.60,0.00,0.00,0.00,0.00,96.20,0.80,95.40,9.60,20486.40,14316512,0,2116628,12.88,13840,235108,14628600,89.02,1801876,147520,78476,1702588,44992,3456,7456,31404,0,0,0.00,0,0.00,0,418,1.86,2.56,3.25,0,96.20,9.60,20486.40,213.06,3.00,31.20,0.27,2.56,18.40,26.80,5.07,6.78,0.00,0.00,0.00,0.00
2018-01-06 07:43:05,63.97,0.00,3.72,0.00,0.00,0.00,0.05,0.00,0.00,32.26,4.80,2876.60,2036.20,0.00,0.00,17.60,17688.80,2417.00,0.20,4770.00,0.00,0.00,0.00,0.00,140.80,1.60,139.20,35.20,35377.60,11633480,0,4799660,29.21,13848,256088,14732804,89.65,4465236,156004,11252,4359496,45220,3528,12552,31404,0,0,0.00,0,0.00,7,427,2.20,2.62,3.27,0,140.80,35.20,35377.60,251.51,4.63,32.90,0.30,4.24,240.80,137.40,2000.58,12.03,0.00,0.00,0.00,0.16
2018-01-06 07:43:10,97.60,0.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1881.80,1643.40,0.00,0.00,0.00,38.40,339.20,0.00,6221.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,76.80,10216184,0,6216956,37.83,13856,256112,14732804,89.65,5861204,155936,11376,5773832,45220,3496,15472,31404,0,0,0.00,0,0.00,5,423,2.82,2.74,3.30,0,0.60,0.00,76.80,128.00,0.00,0.00,0.00,0.00,2.60,5.20,0.32,1.37,0.00,0.00,0.00,0.00
2018-01-06 07:43:15,98.25,0.00,1.70,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,1755.60,2168.40,0.00,0.00,0.00,4.00,131.20,0.00,6975.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,9235908,0,7197232,43.80,13864,256140,14732804,89.65,6848496,155944,11408,6750856,45212,3488,17176,31404,0,0,0.00,0,0.00,7,422,2.91,2.76,3.31,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.60,3.00,0.20,0.87,0.00,0.00,0.00,0.00
2018-01-06 07:43:20,97.05,0.00,2.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1750.20,4148.20,0.00,0.00,0.00,3.20,168.20,0.00,19850.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,7954288,0,8478852,51.60,13872,256160,14732804,89.65,8138608,155952,11428,8032768,45192,3464,19792,31404,0,0,0.00,0,0.00,5,419,3.00,2.79,3.31,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,2.20,4.20,0.35,1.57,0.00,0.00,0.00,0.00
2018-01-06 07:43:25,97.50,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1918.00,4135.40,0.00,0.00,0.00,0.00,242.80,0.00,16102.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6829964,0,9603176,58.44,13872,256188,14732804,89.65,9265000,155940,11460,9155044,45164,3456,22084,31404,0,0,0.00,0,0.00,5,418,3.08,2.81,3.32,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,3.20,0.21,0.97,0.00,0.00,0.00,0.00
