timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 04:01:44,0.25,0.00,0.15,0.00,0.05,0.00,0.00,0.00,0.00,99.55,0.20,300.00,201.80,0.00,0.00,0.00,31.20,637.20,0.00,6726.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,62.40,15202976,0,1230164,7.49,21660,464132,1258216,7.66,768712,290388,294544,573316,54048,2240,3492,31404,0,0,0.00,0,0.00,0,267,3.47,3.23,3.29,0,0.60,0.00,62.40,104.00,0.00,0.00,0.00,0.00,5.20,6.00,0.53,0.85,0.00,0.00,0.00,0.00
2018-01-06 04:01:49,1.76,0.00,0.85,0.00,0.05,0.00,0.00,0.00,0.00,97.34,28.74,608.18,545.91,0.00,0.00,0.00,34.33,15448.90,0.00,4946.31,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,68.66,15193660,0,1239480,7.54,21672,464164,1269184,7.72,777308,290420,294532,581892,54028,2296,4508,31404,0,0,0.00,0,0.00,1,273,3.19,3.17,3.27,0,2.40,0.00,68.66,28.67,0.00,0.00,0.00,0.00,15.17,16.77,3.17,2.90,0.00,0.00,0.00,0.00
2018-01-06 04:01:54,0.71,0.00,0.81,1.97,0.10,0.00,0.35,0.00,0.00,96.06,0.80,1263.40,1694.80,0.00,0.00,0.00,29434.40,27.20,0.00,7226.20,0.00,0.00,0.00,0.00,231.60,0.00,231.60,0.00,58868.80,15118572,0,1314568,8.00,21680,541848,1269184,7.72,781556,363828,225156,581892,53972,2296,4508,31404,0,0,0.00,0,0.00,0,273,2.94,3.12,3.26,0,231.60,0.00,58868.80,254.18,14.70,63.47,0.53,12.16,1797.20,754.00,15653.57,52.05,0.00,0.00,0.00,1.28
2018-01-06 04:01:59,0.05,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,99.80,0.20,267.20,185.80,0.00,0.00,0.00,21.60,11.40,0.00,94.00,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,43.20,15118200,0,1314940,8.00,21688,542132,1269184,7.72,781584,364120,225428,581892,53972,2296,4508,31404,0,0,0.00,0,0.00,0,273,2.70,3.07,3.24,0,1.40,0.00,43.20,30.86,0.00,3.43,3.43,0.48,16.00,17.60,52.17,55.78,0.00,0.00,0.00,0.00
2018-01-06 04:02:04,77.72,0.00,3.31,0.00,0.05,0.00,0.00,0.00,0.00,18.92,31.80,2040.00,1770.20,0.00,0.00,0.80,22430.40,26732.60,0.00,13063.00,0.00,0.00,0.00,0.00,176.60,0.20,176.40,1.60,44860.80,14630228,0,1802912,10.97,21716,542796,2361428,14.37,1262832,364608,114036,1063176,55452,3032,7068,31404,0,0,0.00,0,0.00,10,365,2.72,3.07,3.24,0,176.60,1.60,44860.80,254.03,6.57,37.20,0.29,5.04,28.20,29.20,25.16,3.82,0.00,0.00,0.00,0.00
2018-01-06 04:02:09,97.30,0.00,2.40,0.00,0.05,0.00,0.15,0.00,0.00,0.10,9.60,3770.00,1895.40,0.00,0.00,0.00,7113.60,3461.20,0.00,2662.40,0.00,0.00,0.00,0.00,65.40,0.00,65.40,0.00,14227.20,14134264,0,2298876,13.99,21728,543300,2409784,14.66,1755736,365104,79356,1555800,56184,3288,8116,31404,0,0,0.00,0,0.00,4,397,3.31,3.18,3.27,0,65.40,0.00,14227.20,217.54,2.03,31.11,0.27,1.76,14.20,18.60,5.00,2.61,0.00,0.00,0.00,0.00
2018-01-06 04:02:14,98.65,0.00,1.15,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,2775.60,1937.40,0.00,0.00,0.00,60.80,236.80,0.00,506.20,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,121.60,14138244,0,2294896,13.97,21740,543328,2409784,14.66,1752304,365124,79340,1552420,55876,3240,8116,31404,0,0,0.00,0,0.00,5,391,3.36,3.20,3.28,0,1.20,0.00,121.60,101.33,0.00,0.00,0.00,0.00,7.60,10.80,0.61,2.41,0.00,0.00,0.00,0.00
2018-01-06 04:02:19,95.70,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,2.80,6.20,1218.60,1454.00,0.00,0.00,0.00,23.20,1568.40,0.00,12590.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,46.40,14271092,0,2162048,13.16,21748,640024,2399820,14.60,1619116,365088,176012,1322648,58188,3016,7384,31404,0,0,0.00,0,0.00,6,360,3.41,3.21,3.28,0,0.80,0.00,46.40,58.00,0.00,5.00,5.00,0.40,15.80,20.20,1.96,3.94,0.00,0.00,0.00,0.00
2018-01-06 04:02:24,92.24,0.00,3.05,0.00,0.00,0.00,0.00,0.00,0.00,4.70,19.40,2139.80,1699.40,0.00,0.00,0.00,66.40,17129.40,0.00,32827.40,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,132.80,14246992,0,2186148,13.30,21772,673392,2367452,14.41,1641972,365012,209504,1311868,58996,3104,7612,31404,0,0,0.00,0,0.00,12,374,3.70,3.27,3.30,0,1.60,0.00,132.80,83.00,0.00,0.00,0.00,0.00,21.80,25.00,4.34,3.68,0.00,0.00,0.00,0.00
2018-01-06 04:02:29,98.15,0.00,1.65,0.00,0.00,0.00,0.10,0.00,0.00,0.10,4.80,3716.80,1887.40,0.00,0.00,0.80,15612.80,1477.80,0.00,964.80,0.00,0.00,0.00,0.00,123.20,0.20,123.00,1.60,31225.60,13993252,0,2439888,14.85,21784,681224,2416456,14.70,1893768,365276,139432,1556116,59360,3232,8136,31404,0,0,0.00,0,0.00,5,390,4.69,3.49,3.37,0,123.20,1.60,31225.60,253.47,3.93,31.88,0.29,3.60,10.60,15.00,2.80,2.71,0.00,0.00,0.00,0.00
