timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 04:22:02,0.10,0.00,0.05,0.20,0.00,0.00,0.00,0.00,0.00,99.65,0.20,332.80,260.00,0.00,0.00,0.00,3879.20,636.00,0.00,6453.60,0.00,0.00,0.00,0.00,39.40,0.00,39.40,0.00,7758.40,60982736,0,1899028,3.02,46516,697384,2384516,3.79,945612,496568,295696,698292,77388,2616,3828,111304,0,0,0.00,0,0.00,0,313,7.03,3.54,2.02,0,39.40,0.00,7758.40,196.91,0.61,15.59,0.26,1.04,3.00,4.40,0.30,0.67,0.00,0.00,0.00,0.00
2018-01-06 04:22:07,0.43,0.00,0.25,0.43,0.03,0.00,0.00,0.00,0.00,98.87,14.40,504.00,466.80,0.00,0.00,0.80,7513.60,7751.40,0.00,2494.00,0.00,0.00,0.00,0.00,61.60,0.20,61.40,1.60,15027.20,60978648,0,1903116,3.03,46532,697404,2410016,3.83,949944,496596,258624,702628,77064,2544,4096,111304,0,0,0.00,0,0.00,1,316,6.47,3.48,2.01,0,61.60,1.60,15027.20,243.97,5.58,90.57,0.95,5.84,7.60,9.00,1.51,1.71,0.00,0.00,0.00,0.00
2018-01-06 04:22:12,0.03,0.00,0.05,0.20,0.03,0.00,0.00,0.00,0.00,99.70,0.00,279.00,251.60,0.00,0.00,0.00,11238.40,7.20,0.00,16.80,0.00,0.00,0.00,0.00,89.60,0.00,89.60,0.00,22476.80,60978400,0,1903364,3.03,46540,697448,2410016,3.83,950000,496604,202240,702644,77208,2640,4332,111304,0,0,0.00,0,0.00,1,316,5.95,3.42,2.00,0,89.60,0.00,22476.80,250.86,3.33,37.12,0.49,4.40,2.00,3.20,0.14,0.70,0.00,0.00,0.00,0.00
2018-01-06 04:22:17,0.00,0.00,0.03,0.88,0.00,0.00,0.00,0.00,0.00,99.10,0.00,292.80,346.00,0.00,0.00,0.00,21968.80,9.60,0.00,18.20,0.00,0.00,0.00,0.00,174.20,0.00,174.20,0.00,43937.60,60978408,0,1903356,3.03,46548,697464,2410016,3.83,950012,496616,92392,702644,77200,2640,4332,111304,0,0,0.00,0,0.00,1,316,5.47,3.36,1.99,0,174.20,0.00,43937.60,252.23,11.64,66.79,0.48,8.40,2.00,3.40,0.15,0.79,0.00,0.00,0.00,0.00
2018-01-06 04:22:22,1.66,0.00,0.73,0.35,0.33,0.00,0.30,0.00,0.00,96.63,5.20,3477.00,5136.80,0.00,0.00,0.00,18479.20,731.00,0.00,13224.40,0.00,0.00,0.00,0.00,146.40,0.00,146.40,0.00,36958.40,60813492,0,2068272,3.29,46560,860000,2410016,3.83,950572,658984,162808,703212,77632,2672,4332,111304,0,0,0.00,0,0.00,0,324,5.03,3.31,1.98,0,146.40,0.00,36958.40,252.45,5.49,37.52,0.29,4.24,3744.40,1511.20,32785.50,99.94,0.00,0.00,0.00,0.00
2018-01-06 04:22:27,68.54,0.00,3.98,0.00,0.08,0.00,0.05,0.00,0.00,27.36,61.40,3721.20,3963.80,0.00,0.00,0.00,120.00,45922.80,0.00,28796.40,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,240.00,58994828,0,3886936,6.18,46612,894572,12248656,19.48,2817120,590840,198124,2475032,85880,4320,10484,111304,0,0,0.00,0,0.00,16,545,4.79,3.29,1.98,0,1.60,0.00,240.00,150.00,0.00,0.00,0.00,0.00,825.80,309.80,7009.01,24.56,0.00,0.00,0.00,0.00
2018-01-06 04:22:32,50.84,0.00,2.39,0.00,0.05,0.00,0.00,0.00,0.00,46.72,42.60,2495.20,2704.80,0.00,0.00,0.00,208.00,28129.00,0.00,16591.60,0.00,0.00,0.00,0.00,15.00,0.00,15.00,0.00,416.00,57736856,0,5144908,8.18,46620,894696,14347112,22.82,4076564,589984,197416,3725328,86876,5064,13904,111304,0,0,0.00,0,0.00,0,625,5.37,3.43,2.03,0,15.00,0.00,416.00,27.73,0.03,2.24,0.05,0.08,64.60,80.60,32.15,34.00,0.00,0.00,0.00,0.00
2018-01-06 04:22:37,2.93,0.00,0.91,0.00,0.52,0.00,0.18,0.00,0.00,95.46,0.00,6180.20,8718.20,0.00,0.00,0.00,21.60,886.00,0.00,25122.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,43.20,57444084,0,5437680,8.65,46628,1073936,14544368,23.13,4279924,672036,376756,3833924,87036,5072,14432,111304,0,0,0.00,0,0.00,2,620,5.02,3.39,2.03,0,0.40,0.00,43.20,108.00,0.00,2.00,2.00,0.08,4143.80,2319.40,36311.78,157.88,0.00,0.00,0.00,0.00
2018-01-06 04:22:42,1.47,0.00,0.36,0.03,0.39,0.00,0.13,0.00,0.00,97.63,0.00,4615.00,6191.80,0.00,0.00,0.00,4.80,26.20,0.00,15384.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,57324316,0,5557448,8.84,46636,1195016,14544368,23.13,4341536,728572,497840,3830024,89240,5072,14428,111304,0,0,0.00,0,0.00,0,620,4.62,3.33,2.02,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,2769.40,1696.20,24317.00,116.18,0.00,0.00,0.00,0.00
2018-01-06 04:22:47,2.77,0.00,0.65,0.00,0.54,0.00,0.26,0.00,0.00,95.79,0.00,6262.20,8918.60,0.00,0.00,0.00,7.20,41.00,0.00,21684.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,14.40,57167052,0,5714712,9.09,46644,1362044,14544368,23.13,4416556,805492,664864,3816328,93780,5064,14416,111304,0,0,0.00,0,0.00,0,619,4.25,3.28,2.01,0,0.80,0.00,14.40,18.00,0.00,0.00,0.00,0.00,3820.80,2367.40,33541.41,161.81,0.00,0.00,0.00,0.00
