timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 11:55:10,28.92,0.00,1.00,0.00,0.00,0.00,0.10,0.00,0.00,69.98,1.60,407.00,444.00,0.00,0.00,0.00,40.80,2234.60,0.00,3049.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,81.60,14983840,0,675160,4.31,12044,165228,926700,5.92,507312,9952,428,342084,55940,1856,2872,31532,0,0,0.00,0,0.00,0,218,0.17,0.57,0.72,0,0.80,0.00,81.60,102.00,0.00,1.00,1.00,0.08,3.60,4.60,0.31,0.66,0.00,0.00,0.00,0.00
2018-01-06 11:55:15,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,99.80,0.00,210.80,122.80,0.00,0.00,0.00,4.00,11.60,0.00,19.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,14981824,0,677176,4.32,12052,165248,926700,5.92,511456,9952,448,344140,55936,1856,2876,31532,0,0,0.00,0,0.00,0,218,0.15,0.56,0.71,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.40,2.60,0.11,0.44,0.00,0.00,0.00,0.00
2018-01-06 11:55:20,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.30,0.00,218.20,134.60,0.00,0.00,0.00,0.00,58.20,0.00,16.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14980956,0,678044,4.33,12052,165272,926700,5.92,512392,9968,472,345064,55936,1856,2876,31532,0,0,0.00,0,0.00,2,218,0.14,0.55,0.71,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,3.80,0.27,0.63,0.00,0.00,0.00,0.00
2018-01-06 11:55:25,19.00,0.00,2.34,0.00,0.51,0.00,0.81,0.00,0.00,77.34,3.80,2314.80,3024.80,0.00,0.00,0.00,48.00,1151.40,0.00,3690.00,0.00,0.00,0.00,0.00,7.80,0.00,7.80,0.00,96.00,14869516,0,789484,5.04,12060,205568,1089520,6.96,582808,50208,40460,415444,56064,1912,3024,31532,0,0,0.00,0,0.00,4,225,0.13,0.55,0.71,0,7.80,0.00,96.00,12.31,0.00,0.00,0.00,0.00,934.80,484.00,8151.95,32.79,0.00,0.00,0.00,0.00
2018-01-06 11:55:30,5.75,0.00,1.13,0.00,0.51,0.00,0.72,0.00,0.00,91.89,0.00,2493.00,2976.80,0.00,0.00,0.00,32.00,46.00,0.00,4083.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,64.00,14818896,0,840104,5.36,12068,256448,1089520,6.96,582884,101200,91484,415512,56064,1912,3024,31532,0,0,0.00,0,0.00,1,225,0.12,0.54,0.70,0,0.80,0.00,64.00,80.00,0.00,1.00,1.00,0.08,1164.00,567.60,10221.16,37.55,0.00,0.00,0.00,0.00
2018-01-06 11:55:35,47.36,0.00,3.15,0.00,0.61,0.00,0.61,0.00,0.00,48.27,11.00,2358.40,2614.60,0.00,0.00,4.00,6.40,8362.00,0.20,4670.20,0.00,0.00,0.00,0.00,1.00,0.40,0.60,8.00,12.80,14530684,0,1128316,7.21,12084,294104,14255284,91.04,834156,135912,129116,663880,56476,2168,4016,31532,0,0,0.00,0,0.00,12,260,0.11,0.53,0.70,0,1.00,8.00,12.80,20.80,0.00,0.00,0.00,0.00,856.00,400.40,7500.70,26.38,0.00,0.00,0.00,0.00
2018-01-06 11:55:40,80.12,0.00,3.61,0.00,0.00,0.00,0.00,0.00,0.00,16.27,15.40,1712.60,945.00,0.00,0.00,79.20,78.40,5952.00,1.00,2966.40,0.00,0.00,0.00,0.00,6.80,4.80,2.00,158.40,156.80,14104380,0,1554620,9.93,12112,294512,14317344,91.43,1265876,129328,128984,1088580,57024,2536,5188,31532,0,0,0.00,0,0.00,1,304,0.58,0.62,0.73,0,6.80,158.40,156.80,46.35,0.01,0.82,0.47,0.32,9.60,15.40,2.46,3.77,0.00,0.00,0.00,0.00
2018-01-06 11:55:45,86.06,0.00,3.81,0.00,0.10,0.00,0.20,0.00,0.00,9.83,2.40,1477.80,1297.00,0.00,0.00,2.40,1008.80,1106.80,0.20,1020.20,0.00,0.00,0.00,0.00,8.60,0.20,8.40,4.80,2017.60,12776728,0,2882272,18.41,12120,304980,14386096,91.87,2569000,132720,134508,2403052,57204,2584,7544,31532,0,0,0.00,0,0.00,2,308,0.70,0.64,0.73,0,8.60,4.80,2017.60,235.16,0.04,4.37,0.37,0.32,193.80,119.00,1633.93,9.51,0.00,0.00,0.00,0.00
2018-01-06 11:55:50,95.80,0.00,4.10,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,879.80,865.20,0.00,0.00,0.00,24.00,208.60,0.00,948.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,48.00,10815012,0,4843988,30.93,12128,305004,14386096,91.87,4537080,132744,134564,4358836,57196,2560,11692,31532,0,0,0.00,0,0.00,5,306,0.80,0.66,0.74,0,0.40,0.00,48.00,120.00,0.00,0.00,0.00,0.00,1.60,3.20,0.13,0.63,0.00,0.00,0.00,0.00
2018-01-06 11:55:55,98.40,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,893.80,1063.40,0.00,0.00,0.00,25724.80,70.80,0.00,1090.00,0.00,0.00,0.00,0.00,201.60,0.00,201.60,0.00,51449.60,10283352,0,5375648,34.33,12136,305024,14386096,91.87,5075424,132760,6028,4891028,57272,2536,12688,31532,0,0,0.00,0,0.00,2,302,0.98,0.70,0.75,0,201.60,0.00,51449.60,255.21,37.14,184.25,1.46,29.52,1.80,3.60,0.20,0.93,0.00,0.00,0.00,0.00
2018-01-06 11:56:00,99.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,833.80,851.80,0.00,0.00,0.00,53.60,63.00,0.00,1048.80,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,107.20,9803316,0,5855684,37.40,12144,305044,14386096,91.87,5554672,132760,5800,5370244,57216,2520,13624,31532,0,0,0.00,0,0.00,2,301,1.06,0.72,0.76,0,8.00,0.00,107.20,13.40,0.00,0.00,0.00,0.00,1.40,2.80,0.17,0.80,0.00,0.00,0.00,0.00
2018-01-06 11:56:05,97.30,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,808.40,827.80,0.00,0.00,0.00,0.00,139.60,0.00,3408.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8527144,0,7131856,45.54,12144,305076,14386096,91.87,6828552,132780,5836,6644112,57212,2520,16112,31532,0,0,0.00,0,0.00,2,300,1.13,0.74,0.77,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,3.20,0.19,0.91,0.00,0.00,0.00,0.00
2018-01-06 11:56:10,99.40,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,803.40,841.20,0.00,0.00,0.00,45.60,41.40,0.00,943.40,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,91.20,8223304,0,7435696,47.49,12152,305100,14386096,91.87,7131528,132804,5696,6947080,57220,2504,16704,31532,0,0,0.00,0,0.00,2,299,1.20,0.77,0.77,0,7.00,0.00,91.20,13.03,0.00,0.00,0.00,0.00,1.80,3.40,0.19,0.91,0.00,0.00,0.00,0.00
2018-01-06 11:56:15,99.20,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,801.60,832.20,0.00,0.00,0.00,1137.60,44.40,0.00,532.00,0.00,0.00,0.00,0.00,10.60,0.00,10.60,0.00,2275.20,7870484,0,7788516,49.74,12160,305120,14386096,91.87,7481752,132812,108,7299352,57164,2504,17332,31532,0,0,0.00,0,0.00,4,299,1.35,0.80,0.78,0,10.60,0.00,2275.20,214.64,0.06,5.21,0.30,0.32,1.40,2.80,0.17,0.80,0.00,0.00,0.00,0.00
2018-01-06 11:56:20,99.80,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,807.00,833.60,0.00,0.00,0.00,8.80,32.20,0.00,327.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,17.60,7638696,0,8020304,51.22,12168,305148,14386096,91.87,7704952,132828,164,7530736,57164,2496,17784,31532,0,0,0.00,0,0.00,2,298,1.40,0.82,0.79,0,0.40,0.00,17.60,44.00,0.00,2.00,2.00,0.08,1.80,3.40,0.19,0.92,0.00,0.00,0.00,0.00
