timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 07:10:30,7.78,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,91.92,0.80,340.40,404.60,0.00,0.00,0.00,40.00,1034.00,0.00,2740.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,80.00,29946124,0,1453796,4.63,145680,545208,1488844,4.74,889860,249496,436,450556,119188,2032,3160,58076,0,0,0.00,0,0.00,0,240,0.55,2.25,3.32,0,0.80,0.00,80.00,100.00,0.00,0.00,0.00,0.00,4.20,5.60,0.35,0.80,0.00,0.00,0.00,0.00
2018-01-06 07:10:35,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,237.00,138.60,0.00,0.00,0.00,0.00,11.40,0.00,23.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29946284,0,1453636,4.63,145680,545228,1488844,4.74,889864,249500,456,450564,119028,2032,3160,58076,0,0,0.00,0,0.00,0,240,0.51,2.21,3.30,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,2.40,0.11,0.43,0.00,0.00,0.00,0.00
2018-01-06 07:10:40,21.05,0.00,2.28,0.00,0.88,0.00,0.73,0.00,0.00,75.06,25.40,6092.60,6562.00,0.00,0.00,0.00,4.80,10914.60,0.00,11376.40,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,9.60,29620424,0,1779496,5.67,145700,674144,27671996,88.13,1083044,377860,129356,645268,119892,2624,4788,58076,0,0,0.00,0,0.00,7,327,0.47,2.18,3.28,0,1.00,0.00,9.60,9.60,0.00,0.80,0.80,0.08,2957.60,1515.00,25875.01,99.82,0.00,0.00,0.00,0.00
2018-01-06 07:10:45,95.35,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.15,29.80,2978.20,1697.40,0.00,0.00,0.00,136.80,15309.80,0.00,6726.80,0.00,0.00,0.00,0.00,13.80,0.00,13.80,0.00,273.60,28648248,0,2751672,8.76,145708,674212,27827428,88.62,2062740,370668,129116,1613508,121176,3304,7164,58076,0,0,0.00,0,0.00,14,402,0.91,2.24,3.30,0,13.80,0.00,273.60,19.83,0.04,3.19,0.17,0.24,13.40,19.40,3.05,2.86,0.00,0.00,0.00,0.00
2018-01-06 07:10:50,18.82,0.00,0.81,0.50,0.05,0.00,0.00,0.00,0.00,79.82,4.80,1931.40,1306.40,0.00,0.00,0.00,11004.00,3536.80,0.00,1563.00,0.00,0.00,0.00,0.00,97.00,0.00,97.00,0.00,22008.00,28449680,0,2950240,9.40,145716,674240,27827428,88.62,2260492,368404,74412,1811020,121396,3480,7640,58076,0,0,0.00,0,0.00,12,421,0.84,2.20,3.28,0,97.00,0.00,22008.00,226.89,3.47,35.79,0.27,2.64,9.60,14.40,4.52,6.26,0.00,0.00,0.00,0.00
2018-01-06 07:10:55,83.82,0.00,7.49,0.00,0.00,0.00,0.10,0.00,0.00,8.59,3.99,2557.29,2306.19,0.00,0.00,0.00,16848.70,2330.74,0.00,4689.22,0.00,0.00,0.00,0.00,132.53,0.00,132.53,0.00,33697.41,22880740,0,8519180,27.13,145724,695128,27963596,89.06,7807500,376904,11312,7347668,121492,3512,18512,58076,0,0,0.00,0,0.00,4,425,1.65,2.35,3.32,0,132.53,0.00,33697.41,254.25,8.24,62.20,0.52,6.87,239.52,146.71,1991.09,11.32,0.00,0.00,0.00,0.00
2018-01-06 07:11:00,96.50,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,1711.20,1646.60,0.00,0.00,0.00,25.60,365.60,0.00,46865.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,51.20,20830416,0,10569504,33.66,145732,695156,27963596,89.06,9857200,376916,11408,9393284,121508,3496,22544,58076,0,0,0.00,0,0.00,4,423,1.84,2.38,3.33,0,0.40,0.00,51.20,128.00,0.00,0.00,0.00,0.00,2.60,5.20,0.39,1.93,0.00,0.00,0.00,0.00
2018-01-06 07:11:05,97.40,0.00,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1669.80,1622.80,0.00,0.00,0.00,3.20,230.40,0.00,33804.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,19304072,0,12095848,38.52,145740,695180,27963596,89.06,11325324,376936,11432,10916636,121484,3456,25524,58076,0,0,0.00,0,0.00,4,418,2.01,2.40,3.33,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.80,3.00,0.12,0.54,0.00,0.00,0.00,0.00
2018-01-06 07:11:10,99.05,0.00,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1580.40,1640.00,0.00,0.00,0.00,3.20,81.80,0.00,2386.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,18645548,0,12754372,40.62,145748,695192,27963596,89.06,12007256,376944,11452,11573976,121492,3448,26712,58076,0,0,0.00,0,0.00,10,417,2.17,2.43,3.33,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,2.40,4.60,0.38,1.88,0.00,0.00,0.00,0.00
2018-01-06 07:11:15,98.75,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1737.00,1598.40,0.00,0.00,0.00,0.00,456.40,0.00,3447.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17760752,0,13639168,43.44,145748,695228,27963596,89.06,12877840,376964,11488,12456840,121500,3440,28484,58076,0,0,0.00,0,0.00,4,416,2.32,2.45,3.34,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,2.80,0.12,0.68,0.00,0.00,0.00,0.00
