timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 03:29:32,9.13,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,90.67,1.00,345.40,346.00,0.00,0.00,0.00,82.40,1074.40,0.00,2190.80,0.00,0.00,0.00,0.00,10.20,0.00,10.20,0.00,164.80,30328292,0,1071628,3.41,35460,339368,1433904,4.57,611104,210744,180,451128,51352,2032,3148,58076,0,0,0.00,0,0.00,0,240,0.59,2.34,2.81,0,10.20,0.00,164.80,16.16,0.00,0.00,0.00,0.00,4.00,5.60,0.34,0.80,0.00,0.00,0.00,0.00
2018-01-06 03:29:37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,236.20,139.60,0.00,0.00,0.00,1.60,11.20,0.00,23.40,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.00,3.20,30328564,0,1071356,3.41,35460,339388,1433904,4.57,613116,210744,192,451128,51240,2032,3148,58076,0,0,0.00,0,0.00,0,240,0.54,2.30,2.80,0,0.20,0.00,3.20,16.00,0.00,0.00,0.00,0.00,1.40,2.60,0.11,0.43,0.00,0.00,0.00,0.00
2018-01-06 03:29:42,7.69,0.00,0.45,0.00,0.10,0.00,0.10,0.00,0.00,91.66,5.40,1210.40,1612.20,0.00,0.00,0.00,5.60,1462.80,0.00,1363.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,11.20,30295480,0,1104440,3.52,35468,352104,1351932,4.31,636120,223088,12924,471820,51448,2096,3200,58076,0,0,0.00,0,0.00,1,249,0.50,2.26,2.78,0,0.40,0.00,11.20,28.00,0.00,2.00,2.00,0.08,301.00,149.80,2565.63,10.48,0.00,0.00,0.00,0.00
2018-01-06 03:29:47,28.87,0.00,2.68,0.00,0.40,0.00,0.81,0.00,0.00,67.24,20.80,2542.00,5069.80,0.00,0.00,0.00,37.60,13655.80,0.00,10887.60,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,75.20,29866788,0,1533132,4.88,35496,468380,27693536,88.20,946752,337908,129224,780676,52380,2728,4752,58076,0,0,0.00,0,0.00,10,326,0.86,2.31,2.79,0,1.40,0.00,75.20,53.71,0.05,32.57,16.57,2.32,2657.80,945.40,23309.47,61.40,0.00,0.00,0.00,0.00
2018-01-06 03:29:52,95.39,0.00,4.26,0.00,0.00,0.00,0.00,0.00,0.00,0.35,31.00,3028.40,1839.60,0.00,0.00,0.00,55.20,16757.40,0.00,9299.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,110.40,28900872,0,2499048,7.96,35508,468400,27817628,88.59,1918144,330368,129432,1744600,53244,3328,7236,58076,0,0,0.00,0,0.00,5,410,1.51,2.42,2.83,0,1.00,0.00,110.40,110.40,0.02,18.40,9.60,0.96,17.20,24.80,4.23,5.18,0.00,0.00,0.00,0.00
2018-01-06 03:29:57,80.08,0.00,7.88,0.00,0.00,0.00,0.15,0.00,0.00,11.89,7.00,3085.00,2372.20,0.00,0.00,0.00,2014.40,3533.20,0.00,2690.80,0.00,0.00,0.00,0.00,17.20,0.00,17.20,0.00,4028.80,23747516,0,7652404,24.37,35516,489288,27967496,89.07,6994344,338172,140356,6865052,53568,3576,16956,58076,0,0,0.00,0,0.00,6,429,1.71,2.44,2.83,0,17.20,0.00,4028.80,234.23,0.07,3.95,0.33,0.56,248.80,167.60,1998.48,16.86,0.00,0.00,0.00,0.00
2018-01-06 03:30:02,96.85,0.00,3.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1590.40,1587.40,0.00,0.00,0.00,79.20,315.20,0.00,7437.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,158.40,21078180,0,10321740,32.87,35524,489316,27967496,89.07,9685144,338200,140300,9529252,53568,3504,22796,58076,0,0,0.00,0,0.00,5,424,1.89,2.47,2.84,0,1.20,0.00,158.40,132.00,0.00,0.00,0.00,0.00,1.80,3.60,0.14,0.72,0.00,0.00,0.00,0.00
2018-01-06 03:30:07,98.10,0.00,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1683.20,1607.40,0.00,0.00,0.00,7.20,146.40,0.00,6605.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,14.40,19927012,0,11472908,36.54,35532,489340,27967496,89.07,10846312,338216,140328,10678108,53600,3480,25096,58076,0,0,0.00,0,0.00,5,420,2.06,2.49,2.85,0,0.40,0.00,14.40,36.00,0.00,0.00,0.00,0.00,1.60,3.20,0.13,0.62,0.00,0.00,0.00,0.00
2018-01-06 03:30:12,98.05,0.00,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,1662.60,1816.60,0.00,0.00,0.00,25784.80,164.20,0.00,18117.80,0.00,0.00,0.00,0.00,209.60,0.00,209.60,0.00,51569.60,18958628,0,12441292,39.62,35532,489360,27967496,89.07,11792672,338212,11416,11640812,53660,3456,26840,58076,0,0,0.00,0,0.00,9,418,2.22,2.52,2.85,0,209.60,0.00,51569.60,246.04,7.90,37.68,0.29,6.08,2.20,4.20,0.32,1.58,0.00,0.00,0.00,0.00
2018-01-06 03:30:17,99.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1686.00,1589.60,0.00,0.00,0.00,10.40,79.40,0.00,2486.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,20.80,18432744,0,12967176,41.30,35540,489388,27967496,89.07,12331420,338232,11468,12169308,53660,3440,27860,58076,0,0,0.00,0,0.00,4,416,2.44,2.56,2.86,0,0.80,0.00,20.80,26.00,0.00,1.00,1.00,0.08,1.60,3.20,0.19,0.97,0.00,0.00,0.00,0.00
