timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 03:04:09,0.20,0.00,0.05,26.73,0.05,0.00,0.00,0.00,0.00,72.96,0.20,317.80,537.20,0.00,0.00,1.60,41862.40,677.00,0.00,1378.40,0.00,0.00,0.00,0.00,328.00,0.40,327.60,3.20,83776.00,25226900,0,6173020,19.66,29576,5247824,1562332,4.98,1000860,4798512,3123464,522036,178536,2176,3448,58076,0,0,0.00,0,0.00,0,258,4.12,3.16,2.31,1,328.00,3.20,83776.00,255.42,136.44,419.61,3.05,100.00,5.20,5.80,0.43,0.84,0.00,0.00,0.00,0.00
2018-01-06 03:04:14,0.45,0.00,0.35,13.40,0.10,0.00,0.00,0.00,0.00,85.70,14.20,534.20,668.80,0.00,0.00,0.80,23908.00,5557.60,0.00,1621.20,0.00,0.00,0.00,0.00,214.20,0.20,214.00,1.60,54728.00,25225760,0,6174160,19.66,29588,5247872,1562332,4.98,1002328,4798508,3003896,523408,178496,2208,3876,58076,0,0,0.00,0,0.00,0,263,3.79,3.10,2.30,0,214.20,1.60,54728.00,255.51,86.59,425.93,3.08,65.92,20.40,43.80,2.41,497.34,0.00,0.00,0.00,0.00
2018-01-06 03:04:19,21.15,0.00,1.10,12.00,0.10,0.00,0.05,0.00,0.00,65.60,18.80,997.80,1399.20,0.00,0.00,123.20,22732.80,9194.20,0.00,4352.00,0.00,0.00,0.00,0.00,157.80,9.80,148.00,244.80,37888.00,25009748,0,6390172,20.35,29592,5249076,2142664,6.82,1218076,4799264,2891132,739092,178644,2440,4672,58076,0,0,0.00,0,0.00,1,291,3.64,3.09,2.30,2,157.80,244.80,37888.00,241.65,63.41,360.66,2.80,44.16,30.00,28.60,95.01,13.30,0.00,0.00,0.00,0.00
2018-01-06 03:04:24,14.73,0.00,0.55,30.57,0.10,0.00,0.00,0.00,0.00,54.05,10.20,873.60,1435.00,0.00,0.00,84.80,41589.60,1369.00,0.00,918.60,0.00,0.00,0.00,0.00,334.20,8.80,325.40,171.20,82920.00,24973136,0,6426784,20.47,29608,5249768,2142664,6.82,1253632,4799860,2683780,774264,178536,2528,4800,58076,0,0,0.00,0,0.00,1,340,3.51,3.07,2.30,1,334.20,171.20,82920.00,248.63,137.22,401.20,2.99,100.00,18.80,17.40,62.57,60.34,0.00,0.00,0.00,0.00
2018-01-06 03:04:29,10.89,0.00,0.61,29.77,0.20,0.00,0.00,0.00,0.00,58.53,14.20,1748.00,2456.40,0.00,0.00,77.60,44373.60,715.00,0.00,246.00,0.00,0.00,0.00,0.00,366.20,7.60,358.60,155.20,88699.20,24960568,0,6439352,20.51,29624,5250632,2236448,7.12,1265116,4799976,2462740,784452,178848,2928,4912,58076,0,0,0.00,0,0.00,6,376,3.39,3.05,2.29,1,366.20,155.20,88699.20,242.64,137.49,383.13,2.73,100.08,64.20,77.80,8.52,23.47,0.00,0.00,0.00,0.00
2018-01-06 03:04:34,86.97,0.00,2.83,6.31,0.00,0.00,0.05,0.00,0.00,3.84,19.00,2210.20,2370.40,0.00,0.00,4.00,33177.60,17423.80,0.00,6738.20,0.00,0.00,0.00,0.00,262.40,1.00,261.40,8.00,66867.20,24539872,0,6860048,21.85,29656,5251444,3083616,9.82,1680228,4800484,2297872,1199700,180740,3624,7000,58076,0,0,0.00,0,0.00,6,438,3.44,3.07,2.30,1,262.40,8.00,66867.20,254.86,136.12,507.54,3.81,100.00,79.40,59.80,9.39,13.84,0.00,0.00,0.00,0.00
2018-01-06 03:04:39,84.44,0.00,3.80,5.42,0.10,0.00,0.56,0.00,0.00,5.68,5.00,3671.20,3230.20,0.00,0.00,0.80,36872.80,1356.20,0.00,1390.80,0.00,0.00,0.00,0.00,290.80,0.20,290.60,1.60,74308.80,23998036,0,7401884,23.57,29680,5452328,3083616,9.82,2214952,4800628,2314748,1533868,186464,3744,7704,58076,0,0,0.00,0,0.00,4,454,3.56,3.10,2.32,1,290.80,1.60,74308.80,255.54,135.48,355.80,3.44,100.00,24.20,21.60,6.40,3.13,0.00,0.00,0.00,0.00
2018-01-06 03:04:44,76.76,0.00,5.33,8.05,0.10,0.00,0.00,0.00,0.00,9.76,3.20,2183.20,2262.60,0.00,0.00,5.60,40163.20,283.80,0.00,7554.80,0.00,0.00,0.00,0.00,309.80,0.80,309.00,11.20,79046.40,23583272,0,7816648,24.89,29700,5827608,3083616,9.82,2623588,4796112,2493016,1562700,196996,3792,7776,58076,0,0,0.00,0,0.00,7,459,3.60,3.11,2.33,1,309.80,11.20,79046.40,255.19,136.45,545.92,3.23,100.00,40.80,25.20,12.01,3.68,0.00,0.00,0.00,0.00
2018-01-06 03:04:49,78.84,0.00,5.14,9.17,0.00,0.00,0.00,0.00,0.00,6.85,29.00,2608.00,2514.60,0.00,0.00,1.60,40637.60,19656.60,0.00,61220.80,0.00,0.00,0.00,0.00,318.40,0.40,318.00,3.20,81224.00,23970764,0,7429156,23.66,29724,5651360,3067788,9.77,2246832,4791032,2119480,1356652,192548,3608,7028,58076,0,0,0.00,0,0.00,13,436,3.95,3.19,2.36,1,318.40,3.20,81224.00,255.11,137.72,440.48,3.14,100.00,75.40,75.00,18.02,11.32,0.00,0.00,0.00,0.00
2018-01-06 03:04:54,88.63,0.00,3.82,3.57,0.10,0.00,0.30,0.00,0.00,3.57,17.20,4527.40,3570.20,0.00,0.00,1.60,36420.00,5178.20,0.00,4391.60,0.00,0.00,0.00,0.00,291.60,0.40,291.20,3.20,74324.80,23611324,0,7788596,24.80,29744,5723600,3067788,9.77,2607928,4786508,2014812,1640904,194844,3752,7928,58076,0,0,0.00,0,0.00,5,454,4.12,3.24,2.38,1,291.60,3.20,74324.80,254.90,135.06,452.92,3.43,100.00,155.00,171.60,23.60,37.97,0.00,0.00,0.00,0.00
