timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 06:40:53,0.30,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.60,0.20,262.40,157.00,0.00,0.00,0.00,39.20,590.40,0.00,1368.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,78.40,1571308,0,2283536,59.24,9192,1655736,863820,22.41,814856,1349264,316,499192,77124,1984,3556,10752,0,0,0.00,0,0.00,1,234,2.03,1.79,2.01,0,0.80,0.00,78.40,98.00,0.00,1.00,1.00,0.08,5.60,6.40,0.53,0.95,0.00,0.00,0.00,0.00
2018-01-05 06:40:58,1.41,0.00,0.60,0.10,0.00,0.00,0.00,0.00,0.00,97.88,14.40,431.00,356.60,0.00,0.00,140.00,11.20,7746.00,3.40,2645.60,0.00,0.00,0.00,0.00,9.00,8.40,0.60,280.00,22.40,1569480,0,2285364,59.29,9204,1656460,869156,22.55,816048,1349988,352,500372,77096,2000,3980,10752,0,0,0.00,0,0.00,0,236,1.86,1.76,2.00,0,9.00,280.00,22.40,33.60,0.01,0.98,0.44,0.40,8.00,9.40,1.64,1.68,0.00,0.00,0.00,0.00
2018-01-05 06:41:03,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,99.90,0.00,225.60,137.60,0.00,0.00,0.00,8.80,7.60,0.00,436.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,17.60,1567172,0,2287672,59.35,9212,1656484,869156,22.55,818052,1350004,376,502364,77096,2000,3980,10752,0,0,0.00,0,0.00,0,236,1.71,1.74,1.99,0,0.40,0.00,17.60,44.00,0.00,0.00,0.00,0.00,2.20,3.40,0.19,0.66,0.00,0.00,0.00,0.00
2018-01-05 06:41:08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,230.60,140.60,0.00,0.00,0.00,0.00,8.00,0.00,24.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1565156,0,2289688,59.40,9216,1656508,869156,22.55,818052,1350008,400,504416,77088,2000,3984,10752,0,0,0.00,0,0.00,0,236,1.58,1.71,1.98,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,3.80,0.21,0.77,0.00,0.00,0.00,0.00
2018-01-05 06:41:13,1.84,0.00,0.82,0.00,0.31,0.00,1.02,0.00,0.00,96.00,1.40,3177.40,3693.80,0.00,0.00,0.80,59.20,41.20,0.00,9572.20,0.00,0.00,0.00,0.00,8.40,0.20,8.20,1.60,118.40,1495708,0,2359136,61.20,9228,1722052,869156,22.55,828436,1410988,65696,508120,77000,2040,3984,10752,0,0,0.00,0,0.00,1,241,1.45,1.68,1.97,0,8.40,1.60,118.40,14.29,0.00,0.19,0.10,0.08,2214.80,2401.80,13251.86,13270.22,0.00,0.00,0.00,1.09
2018-01-05 06:41:18,2.02,0.00,0.81,0.00,0.10,0.00,0.10,0.00,0.00,96.97,2.20,1216.00,1804.80,0.00,0.00,4.00,20.00,267.20,0.20,3744.80,0.00,0.00,0.00,0.00,1.20,0.40,0.80,8.00,40.00,1476916,0,2377928,61.69,9236,1732364,869156,22.55,836944,1421184,76044,516632,77060,2072,4000,10752,0,0,0.00,0,0.00,1,245,1.33,1.65,1.96,0,1.20,8.00,40.00,40.00,0.00,0.00,0.00,0.00,908.40,1638.20,2146.93,13218.79,0.00,0.00,0.00,1.08
2018-01-05 06:41:23,3.55,0.00,1.04,0.10,0.31,0.00,0.10,0.00,0.00,94.89,1.80,3731.20,4366.00,0.00,0.00,0.00,58.40,260.40,0.00,6556.00,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,116.80,1419584,0,2435260,63.17,9244,1773248,869156,22.55,853548,1462020,116820,533216,77156,2088,4028,10752,0,0,0.00,0,0.00,1,247,1.23,1.62,1.95,0,1.60,0.00,116.80,73.00,0.00,0.50,0.50,0.08,1605.80,2035.20,8259.14,13247.05,0.00,0.00,0.00,1.09
2018-01-05 06:41:28,5.18,0.00,1.45,1.66,0.41,0.00,1.66,0.00,0.00,89.64,0.80,4936.60,6367.60,0.00,0.00,0.00,13248.00,27.80,0.00,12592.60,0.00,0.00,0.00,0.00,109.40,0.00,109.40,0.00,26496.00,1380212,0,2474632,64.20,9252,1810300,869156,22.55,855732,1499076,87684,535388,77232,2096,4032,10752,0,0,0.00,0,0.00,0,248,1.13,1.60,1.94,0,109.40,0.00,26496.00,242.19,4.89,44.72,0.41,4.48,3121.00,5211.60,7603.78,41650.89,0.00,0.00,0.00,3.41
2018-01-05 06:41:33,42.19,0.00,9.38,3.23,0.42,0.00,3.33,0.00,0.00,41.46,11.60,6171.20,8288.80,0.00,0.00,231.20,18884.80,8843.60,3.60,29959.20,0.00,0.00,0.00,0.00,156.20,6.00,150.20,462.40,37769.60,1095836,0,2759008,71.57,9268,1920036,1291896,33.51,1122744,1508624,169328,702112,83364,2336,5180,10752,0,0,0.00,0,0.00,6,278,1.04,1.57,1.93,0,156.20,462.40,37769.60,244.76,11.79,75.49,0.72,11.28,4458.20,7821.60,9090.93,64097.23,0.00,0.00,0.00,5.25
2018-01-05 06:41:38,87.02,0.00,3.62,0.00,0.00,0.00,0.20,0.00,0.00,9.15,8.20,1424.60,1314.80,0.00,0.00,16.00,18212.80,10268.20,0.20,7446.20,0.00,0.00,0.00,0.00,154.00,0.20,153.80,32.00,36425.60,643696,0,3211148,83.30,9280,1929168,1762604,45.72,1572460,1509348,87612,1143480,83868,2504,6060,10752,0,0,0.00,0,0.00,1,296,1.28,1.61,1.94,0,154.00,32.00,36425.60,236.74,9.28,60.23,0.64,9.92,226.20,165.80,1805.18,18.86,0.00,0.00,0.00,0.15
