timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 05:59:08,34.17,0.00,1.01,0.90,0.00,0.00,0.10,0.00,0.00,63.82,2.20,973.40,1072.60,0.00,0.00,977.60,36.80,1382.00,0.20,5021.80,0.00,0.00,0.00,0.00,59.60,58.80,0.80,1955.20,73.60,3294052,0,560792,14.55,15016,145328,701800,18.21,405596,85652,30868,330960,30976,1872,2868,10752,0,0,0.00,0,0.00,2,220,0.73,1.27,1.84,0,59.60,1955.20,73.60,34.04,0.05,0.82,0.59,3.52,706.20,272.40,6160.51,19.05,0.00,0.00,0.00,0.50
2018-01-05 05:59:13,9.32,0.00,2.30,0.10,0.31,0.00,0.84,0.00,0.00,87.12,1.00,3124.80,4291.40,0.00,0.00,14.40,11.20,279.80,0.00,13384.80,0.00,0.00,0.00,0.00,1.00,0.60,0.40,28.80,22.40,3192840,0,662004,17.17,15024,243524,709540,18.41,412476,177756,129004,331764,33252,1896,2872,10752,0,0,0.00,0,0.00,1,223,0.67,1.25,1.83,0,1.00,28.80,22.40,51.20,0.00,0.00,0.00,0.00,3269.80,4051.00,19818.75,26001.16,0.00,0.00,0.00,2.13
2018-01-05 05:59:18,16.99,0.00,1.31,0.20,0.00,0.00,1.72,0.00,0.00,79.78,3.60,1510.80,2466.60,0.00,0.00,184.80,1.60,1160.60,0.00,5996.80,0.00,0.00,0.00,0.00,12.80,12.40,0.40,369.60,3.20,3121956,0,732888,19.01,15028,244492,725424,18.82,482520,177828,129040,400828,33432,1960,3004,10752,0,0,0.00,0,0.00,10,234,0.62,1.23,1.82,0,12.80,369.60,3.20,29.12,0.01,0.94,0.81,1.04,1334.00,3635.80,86.82,31867.13,0.00,0.00,0.00,2.61
2018-01-05 05:59:23,82.16,0.00,6.22,0.51,0.10,0.00,4.69,0.00,0.00,6.32,13.40,5299.20,9161.60,0.00,0.00,474.40,73.60,9115.60,0.20,23544.40,0.00,0.00,0.00,0.00,32.60,22.20,10.40,948.80,147.20,2745048,0,1109796,28.79,15080,375616,3135292,81.33,722876,303700,257484,635880,37896,2320,4212,10752,0,0,0.00,0,0.00,4,275,0.65,1.22,1.82,0,32.60,948.80,147.20,33.62,0.05,1.40,1.23,4.00,5374.20,10513.80,361.07,92467.35,0.00,0.00,0.00,7.57
2018-01-05 05:59:28,79.39,0.00,5.86,0.00,0.10,0.00,4.75,0.00,0.00,9.90,14.80,5501.60,9344.80,0.00,0.00,286.40,13387.20,4995.00,1.40,21428.20,0.00,0.00,0.00,0.00,125.60,19.60,106.00,572.80,26774.40,2372928,0,1481916,38.44,15116,377060,3215864,83.42,1103908,297852,190984,1009636,38120,2640,5136,10752,0,0,0.00,0,0.00,1,316,0.91,1.27,1.83,0,125.60,572.80,26774.40,217.73,3.64,28.97,0.34,4.24,4796.20,8727.40,317.83,76672.43,0.00,0.00,0.00,6.28
2018-01-05 05:59:33,0.95,0.00,0.63,17.25,0.42,0.00,3.05,0.00,0.00,77.71,0.00,4112.40,8225.00,0.00,0.00,0.80,38210.40,12.00,0.00,14729.20,0.00,0.00,0.00,0.00,310.60,0.20,310.40,1.60,76420.80,2376960,0,1477884,38.34,15128,377092,3215864,83.42,1099540,297868,96,1005188,37868,2568,5136,10752,0,0,0.00,0,0.00,0,307,0.84,1.25,1.82,0,310.60,1.60,76420.80,246.05,56.42,181.64,1.37,42.64,3583.80,6890.20,233.77,60592.56,0.00,0.00,0.00,4.96
2018-01-05 05:59:38,8.86,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,90.63,2.40,1266.00,786.60,0.00,0.00,83.20,1004.80,548.60,0.40,578.60,0.00,0.00,0.00,0.00,12.80,4.40,8.40,166.40,2009.60,2330280,0,1524564,39.55,15148,387960,3259420,84.55,1139956,302384,5688,1039160,38252,2544,5148,10752,0,0,0.00,0,0.00,7,308,0.77,1.23,1.81,0,12.80,166.40,2009.60,170.00,0.06,4.88,0.69,0.88,121.60,79.60,1000.01,6.61,0.00,0.00,0.00,0.08
2018-01-05 05:59:43,96.60,0.00,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,1154.60,1843.20,0.00,0.00,0.00,24.80,5117.60,0.00,7316.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,49.60,1626668,0,2228176,57.80,15168,387988,3259420,84.55,1843132,301536,5796,1743560,38256,2560,6444,10752,0,0,0.00,0,0.00,3,306,0.87,1.24,1.81,0,0.40,0.00,49.60,124.00,0.01,26.00,26.00,1.04,3.60,6.20,0.79,1.57,0.00,0.00,0.00,0.00
2018-01-05 05:59:48,97.20,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,969.00,3352.20,0.00,0.00,0.00,4.00,71.60,0.00,15450.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,1171108,0,2683736,69.62,15176,388004,3259420,84.55,2297860,301516,5820,2198268,38256,2544,7476,10752,0,0,0.00,0,0.00,3,304,0.96,1.25,1.81,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.60,0.00,0.00,0.00,0.00
2018-01-05 05:59:53,99.70,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,977.80,841.20,0.00,0.00,0.00,0.00,14.40,0.00,27.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1170992,0,2683852,69.62,15176,388036,3259420,84.55,2299864,301536,5844,2198224,38256,2536,7480,10752,0,0,0.00,0,0.00,4,303,1.05,1.27,1.81,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.80,0.28,1.24,0.00,0.00,0.00,0.00
