timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 05:17:42,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.60,0.20,283.80,168.80,0.00,0.00,0.80,21.60,594.40,0.00,1371.60,0.00,0.00,0.00,0.00,0.80,0.20,0.60,1.60,43.20,359144,0,3495700,90.68,15884,2728888,949376,24.63,1026656,2321532,188,603440,107448,1928,3468,10752,0,0,0.00,0,0.00,1,227,1.20,2.24,2.17,0,0.80,1.60,43.20,56.00,0.00,0.00,0.00,0.00,5.20,6.00,0.51,0.92,0.00,0.00,0.00,0.00
2018-01-05 05:17:47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,231.20,136.60,0.00,0.00,11.20,0.00,14.80,0.40,184.40,0.00,0.00,0.00,0.00,1.80,1.80,0.00,22.40,0.00,362160,0,3492684,90.61,15884,2728964,949376,24.63,1023560,2321608,208,600332,107412,1920,3392,10752,0,0,0.00,0,0.00,1,226,1.11,2.21,2.16,0,1.80,22.40,0.00,12.44,0.00,0.89,0.44,0.08,1.20,2.40,0.13,0.43,0.00,0.00,0.00,0.00
2018-01-05 05:17:52,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,232.20,139.40,0.00,0.00,0.00,24.00,7.40,0.00,20.40,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,48.00,362160,0,3492684,90.61,15892,2728988,949376,24.63,1023572,2321628,124,600332,107412,1920,3392,10752,0,0,0.00,0,0.00,1,226,1.02,2.17,2.15,0,4.40,0.00,48.00,10.91,0.00,0.18,0.18,0.08,1.40,2.80,0.15,0.53,0.00,0.00,0.00,0.00
2018-01-05 05:17:57,1.51,0.00,1.01,0.10,0.00,0.00,0.00,0.00,0.00,97.38,15.40,507.00,447.40,0.00,0.00,0.80,8.00,7751.00,0.00,2548.80,0.00,0.00,0.00,0.00,0.60,0.20,0.40,1.60,16.00,357592,0,3497252,90.72,15896,2729024,956076,24.80,1028132,2321652,128,604884,107452,1952,3888,10752,0,0,0.00,0,0.00,1,232,0.94,2.13,2.14,0,0.60,1.60,16.00,29.33,0.00,1.33,1.33,0.08,24.80,57.20,3.08,383.46,0.00,0.00,0.00,0.03
2018-01-05 05:18:02,61.34,0.00,2.53,0.71,0.10,0.00,0.00,0.00,0.00,35.32,21.40,1276.20,1354.80,0.00,0.00,608.80,16.00,8171.00,5.60,4259.40,0.00,0.00,0.00,0.00,37.00,36.60,0.40,1217.60,32.00,111932,0,3742912,97.10,15912,2732996,1392268,36.12,1265208,2324936,1180,845376,107796,2280,4712,10752,0,0,0.00,0,0.00,5,271,0.94,2.11,2.13,0,37.00,1217.60,32.00,33.77,0.03,0.78,0.67,2.48,45.20,45.60,157.16,76.06,0.00,0.00,0.00,0.01
2018-01-05 05:18:07,59.05,0.00,3.13,0.20,0.10,0.00,0.10,0.00,0.00,37.41,27.40,1557.00,1500.80,0.00,0.00,163.20,48.00,6261.60,0.00,11112.80,3800.40,1638.40,5438.80,100.00,18.00,16.80,1.20,326.40,96.00,83404,0,3771440,97.84,15916,2625716,1682532,43.65,1402060,2216760,1936,977268,108688,3104,5552,10752,0,0,0.00,0,0.00,3,373,1.03,2.11,2.13,0,18.00,326.40,96.00,23.47,0.02,0.84,0.71,1.28,56.60,72.60,7.56,77.63,0.00,0.00,0.00,0.01
2018-01-05 05:18:12,71.30,0.00,3.37,0.41,0.10,0.00,0.41,0.00,0.00,24.41,2.80,1990.00,2285.40,0.00,0.00,26136.80,66.40,8497.80,0.20,19995.60,16820.20,1843.20,18663.40,100.00,347.00,345.00,2.00,52273.60,132.80,84236,0,3770608,97.81,15896,2454360,1830712,47.49,1642868,1974288,74164,1146888,108956,3144,5968,10752,0,0,0.00,0,0.00,2,378,1.03,2.09,2.12,0,347.00,52273.60,132.80,151.03,1.33,3.85,0.24,8.40,43.80,34.40,7.00,5.84,0.00,0.00,0.00,0.00
2018-01-05 05:18:17,49.55,0.00,4.23,1.01,0.10,0.00,0.10,0.00,0.00,45.02,7.80,1165.60,1164.20,0.00,0.00,388.00,13518.40,3409.40,0.00,31238.20,9790.20,0.00,9744.60,99.53,127.60,7.60,120.00,776.00,27036.80,428328,0,3426516,88.89,15896,2320460,1649508,42.79,1497020,1776556,136548,937032,109264,3056,5460,10752,0,0,0.00,0,0.00,4,368,1.18,2.11,2.13,0,127.60,776.00,27036.80,217.97,3.82,29.93,0.26,3.36,31.60,23.00,5.91,3.64,0.00,0.00,0.00,0.00
2018-01-05 05:18:22,74.12,0.00,3.24,10.11,0.10,0.00,0.10,0.00,0.00,12.34,3.60,1674.20,2650.20,0.00,0.00,18518.40,27298.40,8865.80,0.00,5870.00,0.00,0.00,0.00,0.00,518.00,304.00,214.00,37036.80,54596.80,117648,0,3737196,96.95,15908,2408088,1825980,47.37,1716936,1864428,544,1157288,109568,3152,5976,10752,0,0,0.00,0,0.00,2,380,1.17,2.09,2.12,0,518.00,37036.80,54596.80,176.90,47.52,91.74,0.61,31.44,30.20,21.60,9.22,3.15,0.00,0.00,0.00,0.00
2018-01-05 05:18:27,56.45,0.00,5.14,0.71,0.00,0.00,0.30,0.00,0.00,37.40,9.20,1758.60,1654.80,0.00,0.00,6903.20,13266.40,401.20,0.00,20980.60,13159.00,0.00,13159.00,100.00,231.40,119.60,111.80,13806.40,26532.80,215568,0,3639276,94.41,15912,2310676,1834456,47.59,1852100,1630952,136424,1156280,109804,3104,5904,10752,0,0,0.00,0,0.00,1,374,1.08,2.06,2.11,0,231.40,13806.40,26532.80,174.33,4.03,17.44,0.23,5.36,89.80,90.00,15.51,19.98,0.00,0.00,0.00,0.00
