timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 12:47:16,8.42,0.00,0.30,0.05,0.00,0.00,0.00,0.00,0.00,91.23,1.00,381.00,380.80,0.00,0.00,97.60,42.40,1228.80,0.00,1731.20,0.00,0.00,0.00,0.00,9.80,9.00,0.80,195.20,84.80,7024560,0,634952,8.29,14288,139052,783380,10.23,481960,43280,272,373960,43896,2032,3008,17940,0,0,0.00,0,0.00,0,240,0.49,1.47,1.53,0,9.80,195.20,84.80,28.57,0.01,0.82,0.33,0.32,3.60,5.00,0.36,0.68,0.00,0.00,0.00,0.00
2018-01-05 12:47:21,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,252.60,159.20,0.00,0.00,0.00,56.80,13.00,0.00,20.80,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,113.60,7024568,0,634944,8.29,14288,139072,783380,10.23,481960,43280,72,373964,43888,2032,3008,17940,0,0,0.00,0,0.00,0,240,0.45,1.45,1.52,0,9.00,0.00,113.60,12.62,0.00,0.18,0.09,0.08,1.40,2.80,0.14,0.52,0.00,0.00,0.00,0.00
2018-01-05 12:47:26,10.61,0.00,1.17,0.56,0.15,0.00,0.20,0.00,0.00,87.30,5.40,2960.60,3993.00,0.00,0.00,564.80,8392.80,1842.60,0.00,10972.80,0.00,0.00,0.00,0.00,86.80,34.00,52.80,1129.60,12897.60,6873592,0,785920,10.26,14300,237588,955480,12.47,538152,139564,54392,425964,44128,2088,3120,17940,0,0,0.00,0,0.00,0,249,0.41,1.42,1.51,2,87.20,1129.60,13000.00,162.04,1.84,16.49,0.40,3.52,2211.80,805.60,19341.39,53.77,0.00,0.00,0.00,1.58
2018-01-05 12:47:31,62.31,0.00,2.74,0.20,0.10,0.00,0.15,0.00,0.00,34.50,22.20,3384.20,3176.60,0.00,0.00,181.60,4967.20,19683.40,0.60,8247.40,0.00,0.00,0.00,0.00,38.20,13.60,24.60,363.20,6040.00,6283660,0,1375852,17.96,14344,271696,5602376,73.14,1089600,168744,62760,978404,45236,2744,5672,17940,0,0,0.00,0,0.00,5,332,0.94,1.52,1.54,1,38.20,363.20,6040.00,167.62,0.51,16.67,0.31,1.20,750.00,380.20,6574.35,25.15,0.00,0.00,0.00,0.54
2018-01-05 12:47:36,63.88,0.00,3.32,0.00,0.00,0.00,0.05,0.00,0.00,32.75,34.60,3500.20,2387.60,0.00,0.00,56.00,14381.60,10283.00,0.20,6697.80,0.00,0.00,0.00,0.00,147.60,4.00,143.60,112.00,36545.60,5440096,0,2219416,28.98,14368,292748,5851636,76.40,1912064,172324,11784,1795852,46236,3480,7488,17940,0,0,0.00,0,0.00,10,430,1.26,1.57,1.56,0,147.20,112.00,36443.20,248.34,4.08,29.65,0.29,4.32,404.40,212.60,3278.43,21.93,0.00,0.00,0.00,0.27
2018-01-05 12:47:41,98.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2400.60,1645.00,0.00,0.00,3.20,43.20,807.40,0.00,9696.20,0.00,0.00,0.00,0.00,1.20,0.60,0.60,6.40,86.40,3996784,0,3662728,47.82,14376,292988,5851636,76.40,3354312,171860,12056,3235192,46348,3464,10592,17940,0,0,0.00,0,0.00,5,419,1.48,1.61,1.57,0,1.20,6.40,86.40,77.33,0.00,0.00,0.00,0.00,3.60,6.00,0.36,1.05,0.00,0.00,0.00,0.00
2018-01-05 12:47:46,95.90,0.00,4.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2485.80,8901.60,0.00,0.00,0.00,3.20,6016.00,0.00,28078.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,2701236,0,4958276,64.73,14384,293012,5851636,76.40,4665620,171856,12080,4530356,46348,3464,13100,17940,0,0,0.00,0,0.00,8,419,1.68,1.65,1.58,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.40,3.00,0.19,0.88,0.00,0.00,0.00,0.00
2018-01-05 12:47:51,98.15,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.40,2219.80,4857.40,0.00,0.00,0.00,5.60,587.00,0.00,11729.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,11.20,2282032,0,5377480,70.21,14392,293040,5978552,78.05,5081976,171860,12116,4946448,46356,3464,14140,17940,0,0,0.00,0,0.00,9,416,1.87,1.69,1.60,0,0.40,0.00,11.20,28.00,0.00,0.00,0.00,0.00,5.80,7.20,0.76,2.05,0.00,0.00,0.00,0.00
2018-01-05 12:47:56,99.55,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,1812.80,1658.60,0.00,0.00,0.00,0.00,72.00,0.00,277.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2268476,0,5391036,70.38,14392,293056,5978552,78.05,5095384,171868,12144,4959848,46344,3416,13920,17940,0,0,0.00,0,0.00,6,413,2.04,1.73,1.61,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,4.60,0.35,1.37,0.00,0.00,0.00,0.00
2018-01-05 12:48:01,99.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1790.60,1920.80,0.00,0.00,0.00,164.00,31.00,0.00,921.40,0.00,0.00,0.00,0.00,9.20,0.00,9.20,0.00,328.00,2231936,0,5427576,70.86,14400,293084,6041668,78.88,5132420,171884,11396,4996872,46344,3408,13992,17940,0,0,0.00,0,0.00,5,412,2.28,1.78,1.63,0,9.20,0.00,328.00,35.65,0.02,1.74,0.17,0.16,1.60,3.20,0.25,1.19,0.00,0.00,0.00,0.00
