timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 07:33:59,0.20,0.00,0.15,0.05,0.00,0.00,0.00,0.00,0.00,99.60,0.20,305.60,234.80,0.00,0.00,0.00,3777.60,643.00,0.00,6747.40,0.00,0.00,0.00,0.00,30.40,0.00,30.40,0.00,7555.20,6614008,0,1045504,13.65,17168,355204,1055068,13.77,667360,265168,249692,559968,43952,2248,3452,17940,0,0,0.00,0,0.00,0,267,2.71,3.07,3.37,0,30.40,0.00,7555.20,248.53,0.64,21.11,0.26,0.80,5.60,6.40,0.55,0.97,0.00,0.00,0.00,0.00
2018-01-05 07:34:04,1.91,0.00,0.60,0.05,0.05,0.00,0.00,0.00,0.00,97.39,28.80,588.60,571.80,0.00,0.00,0.00,6234.40,15480.40,0.00,4967.40,0.00,0.00,0.00,0.00,50.40,0.00,50.40,0.00,12468.80,6605592,0,1053920,13.76,17168,355108,1067208,13.93,675848,264972,218592,568548,43860,2296,4456,17940,0,0,0.00,0,0.00,2,273,2.49,3.02,3.35,0,50.40,0.00,12468.80,247.40,1.59,31.59,0.30,1.52,13.80,15.20,3.08,2.74,0.00,0.00,0.00,0.00
2018-01-05 07:34:09,0.05,0.00,0.10,0.85,0.05,0.00,0.00,0.00,0.00,98.95,0.60,310.40,377.20,0.00,0.00,0.80,18718.40,20.00,0.00,116.20,0.00,0.00,0.00,0.00,147.80,0.20,147.60,1.60,37436.80,6604976,0,1054536,13.77,17176,355372,1067208,13.93,675924,265152,125376,568616,43820,2288,4456,17940,0,0,0.00,0,0.00,1,273,2.29,2.97,3.33,0,147.80,1.60,37436.80,253.30,5.90,39.94,0.31,4.56,18.20,20.40,54.59,59.41,0.00,0.00,0.00,0.00
2018-01-05 07:34:14,25.36,0.00,1.30,0.45,0.05,0.00,0.05,0.00,0.00,72.78,26.60,1310.40,1006.00,0.00,0.00,0.00,12552.80,12047.00,0.00,2379.40,0.00,0.00,0.00,0.00,108.00,0.00,108.00,0.00,25105.60,6338316,0,1321196,17.25,17184,356104,1933624,25.24,938356,265884,63468,831036,44980,2896,6168,17940,0,0,0.00,0,0.00,12,348,2.11,2.92,3.31,0,108.00,0.00,25105.60,232.46,3.51,32.47,0.27,2.88,18.00,18.00,23.90,2.45,0.00,0.00,0.00,0.00
2018-01-05 07:34:19,96.65,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,14.60,2717.60,1628.00,0.00,0.00,0.00,12540.00,14128.80,0.00,7955.80,0.00,0.00,0.00,0.00,98.80,0.00,98.80,0.00,25080.00,5603536,0,2055976,26.84,17196,356600,2282756,29.80,1670012,266244,2008,1564728,46060,3256,7872,17940,0,0,0.00,0,0.00,7,396,2.02,2.89,3.30,0,98.80,0.00,25080.00,253.85,7.61,77.01,0.60,5.92,21.20,27.80,6.03,5.83,0.00,0.00,0.00,0.00
2018-01-05 07:34:24,98.65,0.00,1.20,0.00,0.00,0.00,0.10,0.00,0.00,0.05,0.00,3210.20,1674.20,0.00,0.00,0.00,33.60,341.80,0.00,768.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,67.20,5546696,0,2112816,27.58,17208,356636,2396616,31.29,1726772,266256,2068,1619216,46228,3256,8208,17940,0,0,0.00,0,0.00,6,389,2.34,2.94,3.31,0,0.80,0.00,67.20,84.00,0.00,1.00,1.00,0.08,7.00,10.60,0.58,2.33,0.00,0.00,0.00,0.00
2018-01-05 07:34:29,84.45,0.00,2.46,0.00,0.00,0.00,0.00,0.00,0.00,13.10,27.20,1765.60,1757.40,0.00,0.00,0.00,74.40,11844.40,0.00,55937.60,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,148.80,6312804,0,1346708,17.58,17216,463800,1869072,24.40,962816,265812,108928,749712,46424,2752,6068,17940,0,0,0.00,0,0.00,7,343,2.47,2.96,3.32,0,2.40,0.00,148.80,62.00,0.04,15.00,15.00,3.60,26.80,27.80,4.73,5.15,0.00,0.00,0.00,0.00
2018-01-05 07:34:34,96.95,0.00,2.90,0.00,0.00,0.00,0.00,0.00,0.00,0.15,12.00,2726.00,1602.00,0.00,0.00,0.00,70.40,14195.20,0.00,7764.40,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,140.80,5790508,0,1869004,24.40,17228,464296,2124880,27.74,1483804,266340,109668,1268656,46760,3144,7476,17940,0,0,0.00,0,0.00,5,381,3.00,3.06,3.35,0,1.00,0.00,140.80,140.80,0.00,1.60,0.80,0.08,16.80,22.40,4.49,3.10,0.00,0.00,0.00,0.00
2018-01-05 07:34:39,98.35,0.00,1.40,0.00,0.00,0.00,0.20,0.00,0.00,0.05,1.60,3450.60,1846.20,0.00,0.00,0.00,1374.40,642.00,0.00,899.60,0.00,0.00,0.00,0.00,15.40,0.00,15.40,0.00,2748.80,5427480,0,2232032,29.14,17240,464108,2393760,31.25,1838140,272840,102960,1629760,47064,3224,8236,17940,0,0,0.00,0,0.00,5,389,3.08,3.08,3.35,0,15.40,0.00,2748.80,178.49,0.03,1.66,0.78,1.20,111.20,175.80,9.16,1358.70,0.00,0.00,0.00,0.11
2018-01-05 07:34:44,92.43,0.00,2.41,0.00,0.00,0.00,0.05,0.00,0.00,5.11,15.20,1738.80,1820.80,0.00,0.00,0.00,2397.60,6531.60,0.00,56811.20,0.00,0.00,0.00,0.00,26.40,0.00,26.40,0.00,4795.20,6274256,0,1385256,18.09,17248,570788,1294140,16.90,980084,283600,198008,679808,48660,2600,5004,17940,0,0,0.00,0,0.00,4,294,3.23,3.11,3.36,0,26.40,0.00,4795.20,181.64,0.05,2.00,0.70,1.84,199.60,314.80,16.11,2319.75,0.00,0.00,0.00,0.19
2018-01-05 07:34:49,60.33,0.00,2.27,0.00,0.05,0.00,0.25,0.00,0.00,37.09,20.60,1982.60,2586.40,0.00,0.00,0.00,6852.00,15447.00,0.00,10111.60,0.00,0.00,0.00,0.00,82.60,0.00,82.60,0.00,13704.00,5796276,0,1863236,24.33,17260,570956,2022556,26.41,1424428,316800,164384,1153072,49108,3088,7324,17940,0,0,0.00,0,0.00,10,376,3.05,3.07,3.35,0,82.60,0.00,13704.00,165.91,0.74,9.00,0.74,6.08,1046.60,1115.40,4739.35,6293.26,0.00,0.00,0.00,0.52
2018-01-05 07:34:54,56.39,0.00,1.11,0.10,0.05,0.00,0.25,0.00,0.00,42.09,7.80,1831.60,2569.00,0.00,0.00,2.40,6336.00,4273.20,0.00,12777.40,0.00,0.00,0.00,0.00,69.60,0.60,69.00,4.80,12672.00,5661180,0,1998332,26.09,17284,584336,2124572,27.74,1528040,347492,147564,1274008,49808,3336,7568,17940,0,0,0.00,0,0.00,1,403,2.89,3.04,3.34,0,69.60,4.80,12672.00,182.14,0.15,2.22,0.62,4.32,2164.80,1431.80,15242.84,5478.57,0.00,0.00,0.00,1.25
2018-01-05 07:34:59,26.26,0.00,1.31,0.45,0.10,0.00,0.15,0.00,0.00,71.73,11.20,1608.40,2213.00,0.00,0.00,0.80,16164.00,7099.40,0.00,21144.40,0.00,0.00,0.00,0.00,137.60,0.20,137.40,1.60,32328.00,5753124,0,1906388,24.89,17296,597216,2049448,26.76,1419296,364808,80124,1169588,50216,3384,7356,17940,0,0,0.00,0,0.00,1,408,2.74,3.00,3.32,0,137.60,1.60,32328.00,234.95,3.95,28.71,0.51,7.04,1015.20,864.80,6262.94,2972.09,0.00,0.00,0.00,0.51
