timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 07:22:18,0.23,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.67,1.80,490.60,389.80,0.00,0.00,0.00,106.40,864.20,0.00,25606.80,0.00,0.00,0.00,0.00,8.40,0.00,8.40,0.00,212.80,31363836,0,1584368,4.81,37676,590992,1685696,5.12,871008,432148,233424,674536,65392,2656,3824,57980,0,0,0.00,0,0.00,0,314,6.38,6.94,6.18,0,8.40,0.00,212.80,25.33,0.00,0.00,0.00,0.00,5.20,6.80,0.62,0.94,0.00,0.00,0.00,0.00
2018-01-05 07:22:23,1.00,0.00,0.30,0.00,0.03,0.00,0.00,0.00,0.00,98.67,28.80,662.20,595.60,0.00,0.00,0.00,3154.40,15511.80,0.00,5008.40,0.00,0.00,0.00,0.00,27.00,0.00,27.00,0.00,6308.80,31356004,0,1592200,4.83,37688,591024,1689860,5.13,879508,432184,217848,683060,65256,2672,4800,57980,0,0,0.00,0,0.00,0,320,5.87,6.82,6.15,0,27.00,0.00,6308.80,233.66,0.48,17.78,0.41,1.12,15.20,16.60,3.17,2.89,0.00,0.00,0.00,0.00
2018-01-05 07:22:28,0.05,0.00,0.05,0.30,0.03,0.00,0.00,0.00,0.00,99.57,0.40,335.00,346.40,0.00,0.00,0.00,15584.00,16.40,0.00,63.40,0.00,0.00,0.00,0.00,122.40,0.00,122.40,0.00,31168.00,31355732,0,1592472,4.83,37688,591084,1689860,5.13,879436,432216,140328,682928,65264,2672,4800,57980,0,0,0.00,0,0.00,0,320,5.40,6.71,6.12,0,122.40,0.00,31168.00,254.64,4.66,38.06,0.30,3.68,8.80,10.20,5.05,5.93,0.00,0.00,0.00,0.00
2018-01-05 07:22:33,10.22,0.00,0.90,0.15,0.05,0.00,0.03,0.00,0.00,88.65,52.60,1401.80,1355.20,0.00,0.00,0.00,9164.00,17609.20,0.00,1829.40,0.00,0.00,0.00,0.00,72.80,0.00,72.80,0.00,18328.00,31118956,0,1829248,5.55,37696,591816,3962456,12.03,1099428,432808,95000,915872,66776,2688,6624,57980,0,0,0.00,0,0.00,13,503,4.96,6.60,6.09,0,72.80,0.00,18328.00,251.76,2.44,33.49,0.29,2.08,37.00,35.60,78.46,57.88,0.00,0.00,0.00,0.01
2018-01-05 07:22:38,96.12,0.00,2.85,0.00,0.00,0.00,0.00,0.00,0.00,1.03,12.20,4771.00,2918.60,0.00,0.00,0.00,18598.40,27653.80,0.00,16668.40,0.00,0.00,0.00,0.00,146.60,0.00,146.60,0.00,37196.80,30305476,0,2642728,8.02,37708,592304,4061376,12.33,1921380,433240,3540,1724528,68608,4400,10292,57980,0,0,0.00,0,0.00,21,542,4.97,6.57,6.08,0,146.60,0.00,37196.80,253.73,5.60,38.20,0.32,4.72,21.00,25.80,2.58,3.77,0.00,0.00,0.00,0.00
2018-01-05 07:22:43,97.10,0.00,2.45,0.00,0.00,0.00,0.05,0.00,0.00,0.40,16.60,9254.20,3042.40,0.00,0.00,0.00,348.80,4074.60,0.00,2363.40,0.00,0.00,0.00,0.00,4.60,0.00,4.60,0.00,697.60,29395316,0,3552888,10.78,37720,593320,4175704,12.67,2823240,434216,3132,2626452,70324,4856,12180,57980,0,0,0.00,0,0.00,12,588,6.25,6.81,6.16,0,4.60,0.00,697.60,151.65,0.02,4.70,3.13,1.44,25.00,36.40,9.79,5.39,0.00,0.00,0.00,0.00
2018-01-05 07:22:48,68.88,0.00,2.11,0.00,0.08,0.00,0.03,0.00,0.00,28.91,45.20,3040.40,3519.20,0.00,0.00,0.00,160.00,16277.80,0.00,100931.80,0.00,0.00,0.00,0.00,12.00,0.00,12.00,0.00,320.00,30942768,0,2005436,6.09,37728,699636,3389300,10.29,1281976,433080,108688,984152,67984,3152,6496,57980,0,0,0.00,0,0.00,15,447,6.23,6.80,6.16,0,12.00,0.00,320.00,26.67,0.01,1.20,0.40,0.48,47.00,45.20,7.83,8.21,0.00,0.00,0.00,0.00
2018-01-05 07:22:53,96.85,0.00,3.00,0.00,0.00,0.00,0.03,0.00,0.00,0.13,22.20,4265.60,2868.60,0.00,0.00,0.00,99.20,29038.40,0.00,14820.60,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,198.40,30197340,0,2750864,8.35,37740,700384,4051856,12.30,2026088,433616,109840,1721632,70036,4312,10176,57980,0,0,0.00,0,0.00,23,534,7.57,7.07,6.25,0,1.40,0.00,198.40,141.71,0.00,3.43,3.43,0.48,24.00,28.40,3.93,4.56,0.00,0.00,0.00,0.00
2018-01-05 07:22:58,78.58,0.00,2.11,0.00,0.05,0.00,0.15,0.00,0.00,19.11,22.20,6288.80,4555.40,0.00,0.00,1.60,730.40,7787.40,0.00,9452.60,0.00,0.00,0.00,0.00,11.20,0.40,10.80,3.20,1460.80,29658668,0,3289536,9.98,37752,728076,4135492,12.55,2557040,437536,134348,2229432,70616,4952,11492,57980,0,0,0.00,0,0.00,3,600,7.53,7.07,6.25,0,11.20,3.20,1460.80,130.71,0.01,1.00,0.43,0.48,841.80,610.60,5899.68,275.86,0.00,0.00,0.00,0.48
2018-01-05 07:23:03,71.87,0.00,2.88,0.00,0.10,0.00,0.18,0.00,0.00,24.97,40.40,4571.60,5607.80,0.00,0.00,1.60,4552.80,29824.40,0.00,71567.60,0.00,0.00,0.00,0.00,65.20,0.40,64.80,3.20,9105.60,29989168,0,2959036,8.98,37844,754164,4117060,12.50,2209448,456992,140852,1873920,71864,4840,10680,57980,0,0,0.00,0,0.00,5,604,7.73,7.11,6.27,0,65.20,3.20,9105.60,139.71,0.07,1.09,0.61,4.00,1483.00,1298.60,8579.96,4313.05,0.00,0.00,0.00,0.70
