timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 08:14:16,0.10,0.00,0.05,0.08,0.03,0.00,0.00,0.00,0.00,99.75,0.20,339.20,264.00,0.00,0.00,0.00,3872.80,671.20,0.00,6470.80,0.00,0.00,0.00,0.00,39.20,0.00,39.20,0.00,7745.60,31311392,0,1636812,4.97,43504,628360,1672592,5.08,918032,433408,228872,679580,70608,2600,3780,57980,0,0,0.00,0,0.00,0,311,5.87,3.53,2.27,0,39.20,0.00,7745.60,197.59,0.97,24.67,1.02,4.00,3.40,4.80,0.36,0.69,0.00,0.00,0.00,0.00
2018-01-05 08:14:21,0.45,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,99.35,14.40,508.00,432.20,0.00,0.00,0.00,3150.40,7755.20,0.00,2515.60,0.00,0.00,0.00,0.00,26.80,0.00,26.80,0.00,6300.80,31307208,0,1640996,4.98,43516,628388,1689164,5.13,922412,433428,213324,683892,70336,2440,4360,57980,0,0,0.00,0,0.00,1,314,5.40,3.47,2.25,0,26.80,0.00,6300.80,235.10,0.64,23.73,0.33,0.88,8.20,9.60,1.66,1.75,0.00,0.00,0.00,0.00
2018-01-05 08:14:26,0.00,0.00,0.03,0.15,0.03,0.00,0.00,0.00,0.00,99.80,0.00,287.20,245.40,0.00,0.00,0.00,9367.20,8.20,0.00,26.60,0.00,0.00,0.00,0.00,75.00,0.00,75.00,0.00,18734.40,31307432,0,1640772,4.98,43524,628416,1689164,5.13,922352,433436,166588,683876,70312,2624,4284,57980,0,0,0.00,0,0.00,1,314,4.97,3.42,2.24,0,75.00,0.00,18734.40,249.79,2.04,27.17,0.30,2.24,2.80,4.00,0.23,0.76,0.00,0.00,0.00,0.00
2018-01-05 08:14:31,0.00,0.00,0.03,0.38,0.03,0.00,0.00,0.00,0.00,99.57,0.00,301.00,320.80,0.00,0.00,0.00,18105.60,9.60,0.00,33.80,0.00,0.00,0.00,0.00,143.00,0.00,143.00,0.00,36211.20,31307528,0,1640676,4.98,43532,628440,1689164,5.13,922364,433448,76168,683876,70216,2624,4284,57980,0,0,0.00,0,0.00,0,314,4.57,3.36,2.23,0,143.00,0.00,36211.20,253.23,5.51,38.56,0.30,4.24,3.00,4.40,0.25,0.86,0.00,0.00,0.00,0.00
2018-01-05 08:14:36,0.03,0.00,0.05,0.30,0.00,0.00,0.00,0.00,0.00,99.62,0.00,297.60,279.20,0.00,0.00,0.00,12494.40,8.40,0.00,28.20,0.00,0.00,0.00,0.00,99.00,0.00,99.00,0.00,24988.80,31307536,0,1640668,4.98,43544,628464,1689164,5.13,922388,433472,13912,683884,70208,2624,4284,57980,0,0,0.00,0,0.00,0,314,4.21,3.30,2.22,0,99.00,0.00,24988.80,252.41,3.03,30.65,0.29,2.88,3.20,4.60,0.26,0.88,0.00,0.00,0.00,0.00
2018-01-05 08:14:41,0.05,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,99.82,0.00,287.60,194.40,0.00,0.00,0.00,2721.60,10.00,0.00,28.60,0.00,0.00,0.00,0.00,21.80,0.00,21.80,0.00,5443.20,31307544,0,1640660,4.98,43552,628488,1689164,5.13,922400,433484,408,683884,70200,2624,4284,57980,0,0,0.00,0,0.00,0,314,3.87,3.25,2.21,0,21.80,0.00,5443.20,249.69,0.25,11.63,0.26,0.56,2.80,4.00,0.23,0.76,0.00,0.00,0.00,0.00
2018-01-05 08:14:46,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.60,310.00,210.00,0.00,0.00,0.00,86.40,18.40,0.00,71.60,0.00,0.00,0.00,0.00,7.60,0.00,7.60,0.00,172.80,31307272,0,1640932,4.98,43560,628596,1689164,5.13,922480,433592,84,683952,70184,2632,4284,57980,0,0,0.00,0,0.00,0,314,3.56,3.20,2.19,0,7.60,0.00,172.80,22.74,0.00,0.42,0.11,0.08,10.40,10.40,17.03,17.59,0.00,0.00,0.00,0.00
2018-01-05 08:14:51,9.09,0.00,1.64,0.00,0.31,0.00,0.69,0.00,0.00,88.27,23.80,7622.20,10646.80,0.00,0.00,0.00,34.40,10299.80,0.00,31454.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,68.80,30912496,0,2035708,6.18,43572,824900,3743472,11.36,1216476,530316,196856,878388,76024,2768,5044,57980,0,0,0.00,0,0.00,5,389,3.35,3.16,2.19,0,1.00,0.00,68.80,68.80,0.00,0.00,0.00,0.00,4598.60,2006.40,39838.98,164.83,0.00,0.00,0.00,3.26
2018-01-05 08:14:56,85.25,0.00,4.89,0.00,0.03,0.00,0.60,0.00,0.00,9.23,68.06,9454.69,6855.09,0.00,0.00,0.00,95.01,45235.33,0.00,47633.33,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,190.02,29109636,0,3838568,11.65,43584,1029280,8374072,25.42,2906548,623532,401520,2461264,79616,4704,10912,57980,0,0,0.00,0,0.00,11,608,4.05,3.31,2.24,0,1.40,0.00,190.02,136.00,0.00,2.86,1.14,0.16,4732.73,1611.58,41097.09,200.33,0.00,0.00,0.00,3.37
2018-01-05 08:15:01,86.93,0.00,4.97,0.05,0.08,0.00,0.38,0.00,0.00,7.59,24.20,7706.20,7313.00,0.00,0.00,0.00,52996.80,26240.80,0.00,40969.00,0.00,0.00,0.00,0.00,414.80,0.00,414.80,0.00,105993.60,27120452,0,5827752,17.69,43592,1401532,9947796,30.19,4695428,809184,509260,4062124,90708,5360,14636,57980,0,0,0.00,0,0.00,3,646,4.44,3.40,2.28,0,414.80,0.00,105993.60,255.53,28.59,68.93,0.54,22.56,2523.40,1072.60,21636.04,137.69,0.00,0.00,0.00,1.77
