timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 08:31:49,3.95,0.00,0.13,0.00,0.03,0.00,0.00,0.00,0.00,95.90,1.00,416.20,387.80,0.00,0.00,0.00,36.80,1546.60,0.00,3452.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,73.60,31738204,0,1210000,3.67,46408,418188,1686764,5.12,702684,218892,340,459200,74116,2352,3252,57980,0,0,0.00,0,0.00,0,280,1.01,4.29,4.43,0,0.80,0.00,73.60,92.00,0.00,0.00,0.00,0.00,3.60,5.00,0.36,0.68,0.00,0.00,0.00,0.00
2018-01-05 08:31:54,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,99.97,0.00,283.40,164.80,0.00,0.00,0.00,0.00,11.60,0.00,146.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31736084,0,1212120,3.68,46408,418224,1686764,5.12,702128,218892,444,460676,74116,2352,3252,57980,0,0,0.00,0,0.00,0,280,0.93,4.21,4.40,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-05 08:31:59,5.09,0.00,0.35,0.00,0.08,0.00,0.08,0.00,0.00,94.41,5.40,2471.20,3365.60,0.00,0.00,0.00,39.20,2963.40,0.00,4377.00,0.00,0.00,0.00,0.00,8.20,0.00,8.20,0.00,78.40,31684136,0,1264068,3.84,46416,448244,1557992,4.73,731348,248372,30224,485752,74236,2320,3316,57980,0,0,0.00,0,0.00,1,289,0.85,4.14,4.38,0,8.20,0.00,78.40,9.56,0.00,0.00,0.00,0.00,706.80,369.60,6143.49,25.12,0.00,0.00,0.00,0.50
2018-01-05 08:32:04,15.23,0.00,1.26,0.00,0.18,0.00,0.13,0.00,0.00,83.21,45.20,7012.80,7699.60,0.00,0.00,0.00,37.60,19666.40,0.00,12919.60,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,75.20,31239556,0,1708648,5.19,46424,546928,28279864,85.83,1062916,346348,128640,824460,75260,2552,6080,57980,0,0,0.00,0,0.00,8,468,0.79,4.08,4.36,0,1.80,0.00,75.20,41.78,0.00,0.00,0.00,0.00,2257.00,1158.20,19774.53,76.05,0.00,0.00,0.00,1.62
2018-01-05 08:32:09,95.95,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.20,54.00,4837.00,3322.40,0.00,0.00,0.00,83.20,34033.80,0.00,16288.20,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,166.40,29477796,0,3470408,10.53,46436,547616,28509100,86.53,2822996,341040,129928,2578832,78516,4880,10452,57980,0,0,0.00,0,0.00,22,627,1.76,4.22,4.40,0,1.20,0.00,166.40,138.67,0.00,1.33,0.67,0.08,24.00,32.20,5.78,4.59,0.00,0.00,0.00,0.00
2018-01-05 08:32:14,53.05,0.00,3.94,0.00,0.10,0.00,0.05,0.00,0.00,42.86,24.40,6226.80,4585.20,0.00,0.00,0.00,3986.40,14321.00,0.00,19485.20,0.00,0.00,0.00,0.00,32.40,0.00,32.40,0.00,7972.80,25551848,0,7396356,22.45,46444,589372,28912596,87.75,6641660,356500,151900,6448380,79760,5664,18472,57980,0,0,0.00,0,0.00,26,690,3.22,4.49,4.49,0,32.40,0.00,7972.80,246.07,0.15,4.67,0.40,1.28,573.60,384.80,4643.52,40.49,0.00,0.00,0.00,0.38
2018-01-05 08:32:19,95.27,0.00,4.38,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,7337.20,3111.80,0.00,0.00,0.00,117.60,1073.20,0.00,71530.60,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,235.20,20598044,0,12350160,37.48,46452,589400,28912596,87.75,11657276,356408,151812,11396260,79816,5560,27968,57980,0,0,0.00,0,0.00,14,681,5.05,4.84,4.60,0,2.20,0.00,235.20,106.91,0.00,0.00,0.00,0.00,2.80,5.60,0.23,0.91,0.00,0.00,0.00,0.00
2018-01-05 08:32:24,97.52,0.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,8445.40,3038.40,0.00,0.00,0.00,10.40,351.40,0.00,16178.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,20.80,18061348,0,14886856,45.18,46460,589424,29038536,88.13,14137552,356416,151852,13927720,79760,5496,33176,57980,0,0,0.00,0,0.00,14,673,5.93,5.03,4.66,0,0.40,0.00,20.80,52.00,0.00,0.00,0.00,0.00,2.20,4.40,0.40,2.01,0.00,0.00,0.00,0.00
2018-01-05 08:32:29,97.82,0.00,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7772.60,3026.00,0.00,0.00,0.00,3.20,288.60,0.00,11210.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,15932928,0,17015276,51.64,46468,589452,29038536,88.13,16229248,356440,151880,16050120,79816,5496,37200,57980,0,0,0.00,0,0.00,16,673,6.09,5.08,4.68,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,2.00,4.00,0.34,1.71,0.00,0.00,0.00,0.00
2018-01-05 08:32:34,97.58,0.00,2.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6544.20,3238.80,0.00,0.00,0.00,25834.40,265.00,0.00,12880.00,0.00,0.00,0.00,0.00,217.00,0.00,217.00,0.00,51668.80,13869772,0,19078432,57.90,46476,589472,29038536,88.13,18281628,356448,22776,18106580,79936,5488,41260,57980,0,0,0.00,0,0.00,23,672,6.48,5.17,4.72,0,217.00,0.00,51668.80,238.11,8.33,38.40,0.29,6.32,2.20,4.40,0.45,2.20,0.00,0.00,0.00,0.00
2018-01-05 08:32:39,97.72,0.00,2.25,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,6056.09,3053.09,0.00,0.00,0.00,153.29,279.64,0.00,12943.51,0.00,0.00,0.00,0.00,15.77,0.00,15.77,0.00,306.59,11821784,0,21126420,64.12,46476,589508,29038536,88.13,20389312,356468,22240,20154848,79936,5488,45224,57980,0,0,0.00,0,0.00,13,672,6.61,5.22,4.73,0,15.77,0.00,306.59,19.44,0.03,2.13,0.05,0.08,2.00,3.99,0.34,1.70,0.00,0.00,0.00,0.00
2018-01-05 08:32:44,98.83,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8384.60,3005.80,0.00,0.00,0.00,28.80,82.80,0.00,2694.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,57.60,11394404,0,21553800,65.42,46484,589536,29038536,88.13,20799240,356464,22424,20581208,79952,5488,46656,57980,0,0,0.00,0,0.00,29,672,7.52,5.43,4.80,0,0.60,0.00,57.60,96.00,0.00,1.33,1.33,0.08,2.40,4.80,0.47,2.39,0.00,0.00,0.00,0.00
2018-01-05 08:32:49,98.93,0.00,1.05,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,8695.20,3044.20,0.00,0.00,0.00,4387.20,29.00,0.00,57.00,0.00,0.00,0.00,0.00,37.40,0.00,37.40,0.00,8774.40,11392204,0,21556000,65.42,46492,589564,29038536,88.13,20842024,356484,564,20583004,79928,5464,46660,57980,0,0,0.00,0,0.00,32,669,7.80,5.53,4.84,0,37.40,0.00,8774.40,234.61,0.84,22.40,0.28,1.04,1.80,3.60,0.32,1.65,0.00,0.00,0.00,0.00
2018-01-05 08:32:54,98.95,0.00,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8344.20,3019.20,0.00,0.00,0.00,48.80,34.00,0.00,58.00,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,97.60,11386228,0,21561976,65.44,46500,589588,29038536,88.13,20866244,356484,404,20588808,79780,5424,46672,57980,0,0,0.00,0,0.00,43,664,8.53,5.72,4.90,0,1.20,0.00,97.60,81.33,0.00,0.00,0.00,0.00,2.40,4.80,0.47,2.39,0.00,0.00,0.00,0.00
2018-01-05 08:32:59,99.17,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,8406.20,2990.80,0.00,0.00,0.00,6.40,48.60,0.00,30.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,12.80,11357200,0,21591004,65.53,46508,589616,29038536,88.13,20893392,356524,444,20617968,79780,5424,46728,57980,0,0,0.00,0,0.00,19,664,9.05,5.87,4.96,0,0.40,0.00,12.80,32.00,0.00,0.00,0.00,0.00,2.00,4.00,0.34,1.76,0.00,0.00,0.00,0.00
2018-01-05 08:33:04,99.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8412.20,2982.60,0.00,0.00,0.00,7.20,29.80,0.00,25.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,14.40,11293548,0,21654656,65.72,46516,589644,29038536,88.13,20958964,356524,460,20681512,79804,5424,46852,57980,0,0,0.00,0,0.00,10,664,9.53,6.02,5.01,0,0.60,0.00,14.40,24.00,0.00,0.00,0.00,0.00,2.40,4.60,0.46,2.29,0.00,0.00,0.00,0.00
2018-01-05 08:33:09,99.15,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,7838.60,3024.20,0.00,0.00,0.00,71.20,31.20,0.00,29.00,0.00,0.00,0.00,0.00,4.80,0.00,4.80,0.00,142.40,11293588,0,21654616,65.72,46524,589672,29038536,88.13,20958988,356544,320,20681556,79788,5424,46852,57980,0,0,0.00,0,0.00,9,664,9.81,6.14,5.05,0,4.80,0.00,142.40,29.67,0.00,0.00,0.00,0.00,2.20,4.20,0.35,1.76,0.00,0.00,0.00,0.00
