timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 06:56:46,19.70,0.00,0.50,0.00,0.10,0.00,0.00,0.00,0.00,79.70,0.80,382.20,387.00,0.00,0.00,0.00,91.20,1216.40,0.00,1684.60,0.00,0.00,0.00,0.00,8.40,0.00,8.40,0.00,182.40,7385460,0,790148,9.66,28232,324496,799796,9.78,478952,208468,24,334712,36608,1856,2860,18156,0,0,0.00,0,0.00,1,218,0.52,0.54,0.77,0,8.40,0.00,182.40,21.71,0.00,0.00,0.00,0.00,3.80,5.00,0.36,0.64,0.00,0.00,0.00,0.00
2018-01-05 06:56:51,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,226.80,136.00,0.00,0.00,0.00,14.40,12.00,0.00,20.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,28.80,7385460,0,790148,9.66,28240,324516,799796,9.78,478980,208464,120,334716,36608,1856,2860,18156,0,0,0.00,0,0.00,1,218,0.48,0.53,0.76,0,0.40,0.00,28.80,72.00,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.52,0.00,0.00,0.00,0.00
2018-01-05 06:56:56,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,227.00,134.80,0.00,0.00,0.00,26.40,9.00,0.00,309.40,0.00,0.00,0.00,0.00,3.40,0.00,3.40,0.00,52.80,7384524,0,791084,9.68,28240,324540,799796,9.78,479360,208480,28,335080,36608,1856,2860,18156,0,0,0.00,0,0.00,1,218,0.44,0.52,0.76,0,3.40,0.00,52.80,15.53,0.01,1.65,1.65,0.56,1.40,2.80,0.14,0.52,0.00,0.00,0.00,0.00
2018-01-05 06:57:01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,226.60,136.80,0.00,0.00,0.00,5.60,8.20,0.00,19.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,11.20,7384400,0,791208,9.68,28248,324564,799796,9.78,479372,208492,80,335092,36608,1856,2860,18156,0,0,0.00,0,0.00,1,218,0.41,0.51,0.76,0,0.40,0.00,11.20,28.00,0.00,2.00,2.00,0.08,1.20,2.40,0.12,0.42,0.00,0.00,0.00,0.00
2018-01-05 06:57:06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,226.20,135.00,0.00,0.00,0.00,0.00,7.80,0.00,20.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7384400,0,791208,9.68,28248,324588,799796,9.78,479388,208516,112,335092,36608,1856,2860,18156,0,0,0.00,0,0.00,1,218,0.37,0.50,0.75,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.52,0.00,0.00,0.00,0.00
2018-01-05 06:57:11,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,99.80,0.00,229.40,136.00,0.00,0.00,0.00,27.20,9.00,0.00,364.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,54.40,7391348,0,784260,9.59,28256,324608,799796,9.78,472552,208528,20,328240,36608,1856,2848,18156,0,0,0.00,0,0.00,2,218,0.34,0.50,0.75,0,1.20,0.00,54.40,45.33,0.00,0.67,0.67,0.08,1.60,3.00,0.15,0.53,0.00,0.00,0.00,0.00
2018-01-05 06:57:16,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.00,226.80,131.40,0.00,0.00,0.00,5.60,7.40,0.00,20.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,11.20,7391224,0,784384,9.59,28264,324632,799796,9.78,472564,208544,80,328240,36608,1856,2848,18156,0,0,0.00,0,0.00,0,218,0.32,0.49,0.74,0,0.40,0.00,11.20,28.00,0.00,0.00,0.00,0.00,1.40,2.60,0.13,0.43,0.00,0.00,0.00,0.00
2018-01-05 06:57:21,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.00,222.60,135.60,0.00,0.00,0.00,0.00,7.80,0.00,20.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7391224,0,784384,9.59,28264,324656,799796,9.78,472576,208564,108,328240,36608,1856,2848,18156,0,0,0.00,0,0.00,0,218,0.29,0.48,0.74,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.52,0.00,0.00,0.00,0.00
2018-01-05 06:57:26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,232.60,143.20,0.00,0.00,0.00,3.20,7.60,0.00,24.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,7391224,0,784384,9.59,28272,324680,799796,9.78,472588,208576,132,328240,36608,1856,2848,18156,0,0,0.00,0,0.00,0,217,0.27,0.47,0.74,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.52,0.00,0.00,0.00,0.00
2018-01-05 06:57:31,16.87,0.00,0.91,0.00,0.20,0.00,0.20,0.00,0.00,81.81,3.80,1551.00,1723.60,0.00,0.00,0.00,1384.00,1383.80,0.00,2341.00,0.00,0.00,0.00,0.00,12.20,0.00,12.20,0.00,2768.00,7287384,0,888224,10.86,28272,344560,953236,11.66,557688,228208,13120,413240,36280,1904,3024,18156,0,0,0.00,0,0.00,1,224,0.25,0.46,0.73,0,12.20,0.00,2768.00,226.89,0.13,10.30,0.33,0.40,464.20,236.40,4019.79,16.48,0.00,0.00,0.00,0.33
