timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 11:03:41,3.25,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,96.64,0.80,387.60,401.20,0.00,0.00,0.00,28.80,1498.20,0.00,1878.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,57.60,61207112,0,1674652,2.66,65952,517548,2415804,3.84,959748,229732,212,610112,105108,2344,3532,111304,0,0,0.00,0,0.00,0,279,0.29,0.41,0.81,0,0.60,0.00,57.60,96.00,0.00,0.00,0.00,0.00,3.80,5.00,0.32,0.68,0.00,0.00,0.00,0.00
2018-01-05 11:03:46,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,99.97,0.00,273.60,158.40,0.00,0.00,0.00,0.00,11.20,0.00,15.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61207152,0,1674612,2.66,65952,517572,2415804,3.84,959652,229748,236,610108,105104,2344,3532,111304,0,0,0.00,0,0.00,0,279,0.27,0.41,0.80,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,2.80,0.12,0.52,0.00,0.00,0.00,0.00
2018-01-05 11:03:51,6.07,0.00,0.83,0.13,0.20,0.00,0.15,0.00,0.00,92.62,5.40,2696.00,4488.00,0.00,0.00,0.00,7475.20,3359.20,0.00,13405.60,0.00,0.00,0.00,0.00,33.60,0.00,33.60,0.00,6860.80,61022764,0,1859000,2.96,65956,627780,2415804,3.84,1034272,339312,73164,682496,105256,2416,3688,111304,0,0,0.00,0,0.00,0,288,0.25,0.40,0.80,1,33.80,0.00,6912.00,204.50,1.57,22.46,0.36,1.20,2543.40,1003.40,22246.25,66.73,0.00,0.00,0.00,0.00
2018-01-05 11:03:56,74.38,0.00,3.27,0.50,0.08,0.00,0.00,0.00,0.00,21.77,68.40,3583.00,4220.00,0.00,0.00,0.00,7352.00,41577.20,0.00,15077.00,0.00,0.00,0.00,0.00,89.40,0.00,89.40,0.00,22793.60,59416036,0,3465728,5.51,66004,646732,55175916,87.75,2622512,349480,55556,2261404,108512,4056,9128,111304,0,0,0.00,0,0.00,11,541,1.43,0.64,0.87,0,89.20,0.00,22742.40,254.96,2.68,39.18,0.32,2.88,433.00,235.80,3634.37,18.99,0.00,0.00,0.00,0.00
2018-01-05 11:04:01,54.82,0.00,3.05,0.08,0.13,0.00,0.08,0.00,0.00,41.85,46.80,5263.40,5640.20,0.00,0.00,0.00,14521.60,20528.00,0.00,10004.20,0.00,0.00,0.00,0.00,115.00,0.00,115.00,0.00,29043.20,57603724,0,5278040,8.39,66016,681432,55648040,88.50,4399792,363932,18820,4025876,110656,5496,13476,111304,0,0,0.00,0,0.00,18,681,1.63,0.70,0.89,0,115.00,0.00,29043.20,252.55,7.02,61.02,0.58,6.72,787.80,474.20,6476.58,46.45,0.00,0.00,0.00,0.00
2018-01-05 11:04:06,94.82,0.00,4.98,0.00,0.00,0.00,0.00,0.00,0.00,0.20,2.20,5300.60,3324.80,0.00,0.00,0.00,552.80,2775.00,0.00,9203.60,0.00,0.00,0.00,0.00,4.80,0.00,4.80,0.00,1105.60,51102172,0,11779592,18.73,66020,688716,55732728,88.63,10784364,367280,23336,10511500,110656,5576,25660,111304,0,0,0.00,0,0.00,8,680,2.14,0.82,0.93,0,4.80,0.00,1105.60,230.33,0.02,3.17,0.33,0.16,21.60,19.60,67.91,3.70,0.00,0.00,0.00,0.00
2018-01-05 11:04:11,94.88,0.00,5.10,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,3239.60,3202.40,0.00,0.00,0.00,24.00,931.40,0.00,65314.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,48.00,43501900,0,19379864,30.82,66028,688744,55732728,88.63,18398948,367288,23400,18091300,110624,5504,40984,111304,0,0,0.00,0,0.00,16,672,2.61,0.94,0.97,0,0.40,0.00,48.00,120.00,0.00,0.00,0.00,0.00,2.20,4.20,0.26,1.36,0.00,0.00,0.00,0.00
2018-01-05 11:04:16,97.80,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3098.40,3138.40,0.00,0.00,0.00,3.20,414.20,0.00,30712.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,40495752,0,22386012,35.60,66036,688772,55732728,88.63,21403800,367308,23428,21098340,110624,5464,47616,111304,0,0,0.00,0,0.00,18,669,3.04,1.05,1.00,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,2.80,5.60,0.51,2.63,0.00,0.00,0.00,0.00
2018-01-05 11:04:21,97.63,0.00,2.30,0.00,0.02,0.00,0.02,0.00,0.00,0.02,0.00,3209.20,3148.40,0.00,0.00,0.00,3.20,352.20,0.00,20953.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,37641864,0,25239900,40.14,66044,688800,55732728,88.63,24189436,367328,23456,23926884,110568,5464,53104,111304,0,0,0.00,0,0.00,22,669,3.44,1.17,1.04,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.40,2.80,0.17,0.99,0.00,0.00,0.00,0.00
2018-01-05 11:04:26,98.70,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,3074.60,3119.20,0.00,0.00,0.00,160.80,229.00,0.00,17983.40,0.00,0.00,0.00,0.00,14.60,0.00,14.60,0.00,321.60,35831512,0,27050252,43.02,66052,688824,55732728,88.63,26022484,367340,22756,25753752,110624,5456,56656,111304,0,0,0.00,0,0.00,15,668,3.81,1.28,1.08,0,14.60,0.00,321.60,22.03,0.03,2.03,0.05,0.08,2.60,5.20,0.54,2.80,0.00,0.00,0.00,0.00
2018-01-05 11:04:31,98.28,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,3387.60,3116.20,0.00,0.00,0.00,196.80,328.80,0.00,45271.40,0.00,0.00,0.00,0.00,15.80,0.00,15.80,0.00,393.60,33627648,0,29254116,46.52,66056,688848,55732728,88.63,28248792,367360,22164,27953416,110472,5456,61004,111304,0,0,0.00,0,0.00,8,668,4.70,1.51,1.15,0,15.80,0.00,393.60,24.91,0.03,1.87,0.05,0.08,1.80,3.60,0.25,1.41,0.00,0.00,0.00,0.00
2018-01-05 11:04:36,34.63,0.00,1.61,0.00,0.03,0.00,0.00,0.00,0.00,63.73,4.80,3360.80,2554.00,0.00,0.00,0.00,4380.80,980.80,0.00,75446.40,0.00,0.00,0.00,0.00,37.20,0.00,37.20,0.00,8761.60,31923772,0,30957992,49.23,66056,688884,55732728,88.63,30003680,367312,484,29653160,110448,5456,63728,111304,0,0,0.00,0,0.00,0,690,4.33,1.49,1.15,0,37.20,0.00,8761.60,235.53,0.89,23.87,0.26,0.96,125.60,78.20,1000.92,14.64,0.00,0.00,0.00,0.00
2018-01-05 11:04:41,35.58,0.00,0.98,0.03,0.10,0.00,0.13,0.00,0.00,63.18,0.00,4200.60,4123.60,0.00,0.00,0.00,12.00,6809.20,0.00,39682.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,24.00,31565180,0,31316584,49.80,66064,688908,55808160,88.75,30394524,366968,540,30006916,110616,5632,64960,111304,0,0,0.00,0,0.00,12,690,3.98,1.46,1.14,0,0.40,0.00,24.00,60.00,0.00,0.00,0.00,0.00,851.80,458.00,6724.07,86.28,0.00,0.00,0.00,0.00
2018-01-05 11:04:46,47.60,0.00,0.55,0.00,0.13,0.00,0.13,0.00,0.00,51.59,0.80,4639.60,4771.20,0.00,0.00,0.00,54.40,856.00,0.00,5370.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,108.80,31558604,0,31323160,49.81,66068,688996,55808160,88.75,30401340,366820,860,30013592,110636,5664,65048,111304,0,0,0.00,0,0.00,8,694,4.30,1.57,1.18,0,0.80,0.00,108.80,136.00,0.00,0.00,0.00,0.00,1169.80,624.80,8480.94,4067.98,0.00,0.00,0.00,0.00
2018-01-05 11:04:51,99.75,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2892.60,3244.00,0.00,0.00,0.00,68.00,14.60,0.00,118.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,136.00,31560600,0,31321164,49.81,66072,689028,55808160,88.75,30399864,366832,1148,30011812,110596,5664,65048,111304,0,0,0.00,0,0.00,8,694,4.60,1.68,1.21,0,0.80,0.00,136.00,170.00,0.00,0.00,0.00,0.00,1.80,3.60,0.25,1.85,0.00,0.00,0.00,0.00
2018-01-05 11:04:56,63.50,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,36.40,0.00,2851.00,2698.20,0.00,0.00,0.00,12.80,13.00,0.00,26.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,25.60,31560512,0,31321252,49.81,66080,689052,55808160,88.75,30399864,366844,1164,30011772,110660,5656,65052,111304,0,0,0.00,0,0.00,0,693,4.39,1.68,1.22,0,0.80,0.00,25.60,32.00,0.00,0.00,0.00,0.00,6.00,9.80,1.02,11.23,0.00,0.00,0.00,0.00
