timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 08:03:22,0.25,0.00,0.10,4.32,0.05,0.00,0.00,0.00,0.00,95.28,0.20,300.20,502.40,0.00,0.00,0.00,43329.60,640.60,0.00,1269.00,0.00,0.00,0.00,0.00,312.00,0.00,312.00,0.00,79771.20,25238320,0,6161600,19.62,38108,5242740,1440420,4.59,1086892,4692764,2180284,498840,187668,2144,3296,58076,0,0,0.00,0,0.00,0,254,1.77,2.46,3.12,1,312.20,0.00,79822.40,255.68,26.36,65.88,0.59,18.40,3.80,5.20,0.30,0.72,0.00,0.00,0.00,0.00
2018-01-05 08:03:27,0.96,0.00,0.60,24.69,0.20,0.00,0.00,0.00,0.00,73.55,14.80,507.40,1201.80,0.00,0.00,0.00,104111.20,7974.00,0.00,2483.40,0.00,0.00,0.00,0.00,820.80,0.00,820.80,0.00,207636.80,25232836,0,6167084,19.64,38116,5242772,1440420,4.59,1091984,4692796,1659968,503948,187564,2184,4064,58076,0,0,0.00,0,0.00,1,259,1.71,2.44,3.11,1,820.60,0.00,207585.60,252.97,137.21,170.96,1.22,100.00,9.60,10.80,1.68,2.16,0.00,0.00,0.00,0.00
2018-01-05 08:03:32,0.05,0.00,0.25,25.15,0.20,0.00,0.00,0.00,0.00,74.35,0.00,336.80,1007.80,0.00,0.00,1.60,103979.20,68.80,0.00,112.80,0.00,0.00,0.00,0.00,812.20,0.40,811.80,3.20,207598.40,25233652,0,6166268,19.64,38128,5242792,1440420,4.59,1091232,4692812,1140196,503124,187528,2168,3800,58076,0,0,0.00,0,0.00,1,257,1.65,2.42,3.09,1,812.20,3.20,207598.40,255.60,141.27,171.28,1.23,100.00,3.80,6.00,0.36,1.00,0.00,0.00,0.00,0.00
2018-01-05 08:03:37,0.05,0.00,0.15,25.08,0.15,0.00,0.00,0.00,0.00,74.57,0.00,310.20,976.80,0.00,0.00,0.00,103232.80,7.20,0.00,16.40,0.00,0.00,0.00,0.00,811.00,0.00,811.00,0.00,207540.80,25233652,0,6166268,19.64,38136,5242812,1440420,4.59,1091244,4692832,623980,503124,187528,2168,3800,58076,0,0,0.00,0,0.00,1,257,1.68,2.41,3.09,1,811.20,0.00,207592.00,255.91,140.98,174.82,1.23,100.00,2.00,3.40,0.15,0.75,0.00,0.00,0.00,0.00
2018-01-05 08:03:42,0.45,0.00,0.30,24.97,0.20,0.00,0.00,0.00,0.00,74.07,2.00,430.00,1141.60,0.00,0.00,0.00,104489.60,259.20,0.00,127.00,0.00,0.00,0.00,0.00,812.40,0.00,812.40,0.00,207648.00,25233136,0,6166784,19.64,38144,5243164,1440420,4.59,1091480,4693072,102256,503348,187496,2168,3800,58076,0,0,0.00,0,0.00,0,261,1.71,2.40,3.08,1,812.20,0.00,207596.80,255.60,140.87,175.34,1.23,100.00,17.80,18.80,98.45,1.92,0.00,0.00,0.00,0.00
2018-01-05 08:03:47,2.83,0.00,0.72,4.57,0.51,0.00,0.36,0.00,0.00,91.01,4.80,4212.40,5163.80,0.00,0.00,0.00,20298.40,750.40,0.00,5849.20,0.00,0.00,0.00,0.00,191.20,0.00,191.20,0.00,48686.40,25161196,0,6238724,19.87,38152,5313384,1440420,4.59,1092472,4763200,70912,504348,187740,2264,3808,58076,0,0,0.00,0,0.00,1,267,1.57,2.36,3.07,0,191.20,0.00,48686.40,254.64,31.09,175.65,1.23,23.44,1614.40,997.60,14110.25,67.39,0.00,0.00,0.00,0.00
2018-01-05 08:03:52,13.65,0.00,3.26,0.36,0.87,0.00,1.12,0.00,0.00,80.74,19.20,5726.40,7791.60,0.00,0.00,0.00,96.00,8862.00,0.00,21466.80,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,192.00,24894644,0,6505276,20.72,38220,5439916,4409392,14.04,1320772,4790844,197524,637832,193112,2768,5080,58076,0,0,0.00,0,0.00,8,334,2.08,2.46,3.09,0,1.80,0.00,192.00,106.67,0.02,10.67,3.56,0.64,2934.40,1628.40,25582.54,108.61,0.00,0.00,0.00,0.00
2018-01-05 08:03:57,95.20,0.00,4.15,0.00,0.00,0.00,0.00,0.00,0.00,0.65,17.00,2213.00,1516.00,0.00,0.00,0.00,40.80,24876.60,0.00,12424.60,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,81.60,23859696,0,7540224,24.01,38232,5439920,5176264,16.48,2361264,4786440,197544,1669804,194240,3176,7800,58076,0,0,0.00,0,0.00,11,383,2.88,2.61,3.14,0,1.00,0.00,81.60,81.60,0.00,0.00,0.00,0.00,19.00,22.80,2.32,6.38,0.00,0.00,0.00,0.00
2018-01-05 08:04:02,35.65,0.00,2.95,0.61,0.30,0.00,0.71,0.00,0.00,59.78,7.40,3615.60,5518.20,0.00,0.00,0.00,17736.80,4599.80,0.00,13834.20,0.00,0.00,0.00,0.00,147.60,0.00,147.60,0.00,35473.60,23435828,0,7964092,25.36,38236,5616356,5474172,17.43,2698632,4869944,285288,1914016,194628,3240,8348,58076,0,0,0.00,0,0.00,0,391,2.89,2.62,3.14,0,147.60,0.00,35473.60,240.34,4.88,33.04,0.27,3.92,2052.60,487.40,17758.20,47.89,0.00,0.00,0.00,0.00
2018-01-05 08:04:07,23.05,0.00,2.93,1.23,0.41,0.00,0.77,0.00,0.00,71.61,1.40,3858.20,4841.60,0.00,0.00,0.00,26.40,5359.60,0.00,33240.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,52.80,22737276,0,8662644,27.59,38244,5651400,6600564,21.02,3369668,4884036,325520,2574776,195128,3224,9008,58076,0,0,0.00,0,0.00,3,389,2.74,2.59,3.13,0,0.60,0.00,52.80,88.00,0.02,33.33,33.33,2.00,948.20,854.20,8209.32,67.57,0.00,0.00,0.00,0.00
