timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 18:55:42,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,99.60,2.00,433.00,335.60,0.00,0.00,14.40,62.40,680.20,0.40,25394.40,0.00,0.00,0.00,0.00,6.40,2.40,4.00,28.80,124.80,1133040,0,6526472,85.21,3796,5572292,1026772,13.41,1220116,5045372,3116,689364,191608,2176,3640,17940,0,0,0.00,0,0.00,1,259,1.41,2.56,2.86,0,6.40,28.80,124.80,24.00,0.00,0.00,0.00,0.00,7.20,8.00,0.79,1.05,0.00,0.00,0.00,0.00
2018-01-05 18:55:47,0.65,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,99.00,14.40,449.60,363.60,0.00,0.00,0.00,30.40,7742.00,0.00,2484.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,60.80,1129888,0,6529624,85.25,3808,5572148,1037576,13.55,1224220,5045396,3140,693660,191392,2208,4144,17940,0,0,0.00,0,0.00,0,262,1.29,2.52,2.85,0,0.80,0.00,60.80,76.00,0.02,22.00,11.00,0.88,8.20,9.80,1.66,1.72,0.00,0.00,0.00,0.00
2018-01-05 18:55:52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,245.20,160.00,0.00,0.00,0.00,645.60,8.80,0.00,125.60,0.00,0.00,0.00,0.00,14.00,0.00,14.00,0.00,1291.20,1128708,0,6530804,85.26,3808,5572184,1037576,13.55,1222184,5045396,24,693660,191392,2208,4144,17940,0,0,0.00,0,0.00,0,262,1.19,2.48,2.83,0,14.00,0.00,1291.20,92.23,0.11,8.00,1.26,1.76,2.40,3.40,0.20,0.67,0.00,0.00,0.00,0.00
2018-01-05 18:55:57,0.05,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,99.85,0.00,249.60,151.60,0.00,0.00,0.00,14.40,9.60,0.00,32.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,28.80,1128848,0,6530664,85.26,3816,5572208,1037576,13.55,1224244,5045416,112,693660,191376,2208,4144,17940,0,0,0.00,0,0.00,0,262,1.09,2.44,2.82,0,0.40,0.00,28.80,72.00,0.00,2.00,2.00,0.08,3.20,4.60,0.26,0.83,0.00,0.00,0.00,0.00
2018-01-05 18:56:02,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,99.95,0.00,249.00,152.40,0.00,0.00,0.00,2.40,7.80,0.00,311.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,1128284,0,6531228,85.27,3824,5572232,1037576,13.55,1222648,5045428,136,694100,191376,2208,4144,17940,0,0,0.00,0,0.00,0,262,1.01,2.40,2.80,0,0.40,0.00,4.80,12.00,0.00,2.00,2.00,0.08,2.80,4.20,0.24,0.80,0.00,0.00,0.00,0.00
2018-01-05 18:56:07,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,245.60,149.80,0.00,0.00,0.00,2.40,9.60,0.00,29.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,1128284,0,6531228,85.27,3832,5572256,1037576,13.55,1224708,5045440,160,694100,191376,2208,4144,17940,0,0,0.00,0,0.00,0,262,0.93,2.36,2.79,0,0.40,0.00,4.80,12.00,0.00,2.00,2.00,0.08,3.00,4.20,0.24,0.72,0.00,0.00,0.00,0.00
2018-01-05 18:56:12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,245.20,149.20,0.00,0.00,0.00,2.40,7.60,0.00,26.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,1128292,0,6531220,85.27,3840,5572280,1037576,13.55,1224720,5045468,184,694100,191368,2208,4144,17940,0,0,0.00,0,0.00,0,262,0.85,2.32,2.77,0,0.40,0.00,4.80,12.00,0.00,2.00,2.00,0.08,2.80,4.20,0.24,0.80,0.00,0.00,0.00,0.00
2018-01-05 18:56:17,0.05,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,99.85,0.00,249.00,153.60,0.00,0.00,0.00,2.40,9.60,0.00,28.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,1128292,0,6531220,85.27,3848,5572304,1037576,13.55,1224728,5045484,208,694100,191368,2208,4144,17940,0,0,0.00,0,0.00,0,262,0.78,2.28,2.76,0,0.40,0.00,4.80,12.00,0.00,2.00,2.00,0.08,2.80,4.20,0.24,0.80,0.00,0.00,0.00,0.00
2018-01-05 18:56:22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,242.60,147.00,0.00,0.00,0.00,7.20,8.80,0.00,24.60,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,14.40,1128292,0,6531220,85.27,3856,5572324,1037576,13.55,1224740,5045512,228,694100,191368,2208,4144,17940,0,0,0.00,0,0.00,0,262,0.72,2.24,2.74,0,1.20,0.00,14.40,12.00,0.00,0.00,0.00,0.00,2.40,3.60,0.20,0.68,0.00,0.00,0.00,0.00
2018-01-05 18:56:27,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,251.20,155.00,0.00,0.00,0.00,48.00,9.80,0.00,29.00,0.00,0.00,0.00,0.00,3.60,0.00,3.60,0.00,96.00,1128292,0,6531220,85.27,3864,5572348,1037576,13.55,1224752,5045524,24,694100,191368,2208,4144,17940,0,0,0.00,0,0.00,0,262,0.66,2.21,2.73,0,3.60,0.00,96.00,26.67,0.01,2.00,2.00,0.72,3.00,4.40,0.25,0.82,0.00,0.00,0.00,0.00
2018-01-05 18:56:32,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,247.50,150.10,0.00,0.00,0.00,3.99,7.58,0.00,26.75,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,7.98,1128168,0,6531344,85.27,3872,5572372,1037576,13.55,1224768,5045548,60,694104,191368,2208,4144,17940,0,0,0.00,0,0.00,0,262,0.61,2.17,2.71,0,0.40,0.00,7.98,20.00,0.00,2.00,2.00,0.08,2.99,4.39,0.25,0.82,0.00,0.00,0.00,0.00
2018-01-05 18:56:37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,242.20,147.40,0.00,0.00,0.00,2.40,9.60,0.00,27.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,1128168,0,6531344,85.27,3880,5572396,1037576,13.55,1224780,5045560,84,694104,191368,2208,4144,17940,0,0,0.00,0,0.00,0,262,0.56,2.13,2.70,0,0.40,0.00,4.80,12.00,0.00,2.00,2.00,0.08,2.60,3.80,0.22,0.70,0.00,0.00,0.00,0.00
