timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 20:15:31,0.20,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,99.70,0.20,299.40,234.80,0.00,0.00,0.00,3848.80,654.00,0.00,4130.20,0.00,0.00,0.00,0.00,39.00,0.00,39.00,0.00,7697.60,6601288,0,1058224,13.82,18484,370292,1054464,13.77,676684,269820,185552,557740,42624,2248,3472,17940,0,0,0.00,0,0.00,0,267,3.16,3.06,2.64,0,39.00,0.00,7697.60,197.37,1.71,43.84,2.75,10.72,5.20,6.00,0.51,0.84,0.00,0.00,0.00,0.00
2018-01-05 20:15:36,0.70,0.00,0.35,0.00,0.10,0.00,0.00,0.00,0.00,98.85,14.20,445.20,364.60,0.00,0.00,0.00,14.40,7707.20,0.00,5138.40,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,28.80,6647740,0,1011772,13.21,18484,318504,1065624,13.91,679092,218420,185652,562572,42544,2272,3980,17940,0,0,0.00,0,0.00,0,270,2.90,3.01,2.63,0,1.60,0.00,28.80,18.00,0.00,0.00,0.00,0.00,8.20,9.80,1.67,1.72,0.00,0.00,0.00,0.00
2018-01-05 20:15:41,0.05,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,99.65,0.00,249.80,221.40,0.00,0.00,0.00,9369.60,7.60,0.00,27.00,0.00,0.00,0.00,0.00,74.80,0.00,74.80,0.00,18739.20,6647740,0,1011772,13.21,18492,318528,1065624,13.91,681140,218420,138956,562572,42544,2272,3980,17940,0,0,0.00,0,0.00,0,270,2.67,2.96,2.61,0,74.80,0.00,18739.20,250.52,3.86,51.57,0.89,6.64,2.40,3.60,0.20,0.69,0.00,0.00,0.00,0.00
2018-01-05 20:15:46,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,99.40,0.00,254.80,261.00,0.00,0.00,0.80,13724.80,9.60,0.00,28.20,0.00,0.00,0.00,0.00,108.60,0.20,108.40,1.60,27449.60,6647740,0,1011772,13.21,18504,318560,1065624,13.91,681176,218444,70428,562572,42544,2272,3980,17940,0,0,0.00,0,0.00,0,270,2.46,2.91,2.60,0,108.60,1.60,27449.60,252.77,4.35,40.03,0.52,5.68,2.80,4.20,0.23,0.80,0.00,0.00,0.00,0.00
2018-01-05 20:15:51,2.41,0.00,0.97,0.56,0.26,0.00,0.10,0.00,0.00,95.70,6.80,3482.00,4515.80,0.00,0.00,0.80,14039.20,975.80,0.00,8322.40,0.00,0.00,0.00,0.00,112.00,0.20,111.80,1.60,28078.40,6562412,0,1097100,14.32,18520,404876,1065624,13.91,682076,304640,86608,563436,42844,2352,3984,17940,0,0,0.00,0,0.00,0,280,2.26,2.86,2.58,0,112.00,1.60,28078.40,250.71,4.52,40.33,0.33,3.68,1999.60,901.40,17466.73,60.14,0.00,0.00,0.00,1.43
2018-01-05 20:15:56,6.73,0.00,2.36,0.05,0.21,0.00,0.10,0.00,0.00,90.54,19.20,3766.40,4274.60,0.00,0.00,0.00,32.80,7520.60,0.00,20899.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,65.60,6370288,0,1289224,16.83,18548,515516,1937984,25.30,855144,317208,197444,638080,48600,2856,5212,17940,0,0,0.00,0,0.00,7,347,2.08,2.81,2.57,0,0.60,0.00,65.60,109.33,0.00,0.00,0.00,0.00,2550.80,1032.20,22385.85,67.86,0.00,0.00,0.00,1.83
2018-01-05 20:16:01,90.29,0.00,3.25,0.05,0.00,0.00,0.00,0.00,0.00,6.41,18.40,2357.20,1481.60,0.00,0.00,49.60,106.40,22350.00,0.00,10119.40,0.00,0.00,0.00,0.00,6.20,4.60,1.60,99.20,212.80,5515508,0,2144004,27.99,18560,515776,2582584,33.72,1708452,311712,197504,1485876,49900,3304,7328,17940,0,0,0.00,0,0.00,2,403,2.63,2.92,2.60,0,6.20,99.20,212.80,50.32,0.07,11.87,9.16,5.68,35.00,40.00,4.84,13.04,0.00,0.00,0.00,0.00
2018-01-05 20:16:06,14.28,0.00,1.12,0.00,0.10,0.00,0.05,0.00,0.00,84.45,3.20,2340.80,2455.80,0.00,0.00,0.00,116.80,5489.60,0.00,10987.60,0.00,0.00,0.00,0.00,10.60,0.00,10.60,0.00,233.60,5214376,0,2445136,31.92,18572,566976,3209204,41.90,1983396,335608,248252,1733848,49936,3264,8072,17940,0,0,0.00,0,0.00,1,393,2.42,2.87,2.59,0,10.60,0.00,233.60,22.04,0.02,1.74,0.08,0.08,1194.80,587.40,10451.38,43.51,0.00,0.00,0.00,0.86
2018-01-05 20:16:11,2.14,0.00,0.41,0.00,0.10,0.00,0.15,0.00,0.00,97.20,0.00,2047.80,2273.40,0.00,0.00,0.00,20.80,12.60,0.00,4929.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,41.60,5185780,0,2473732,32.30,18584,600928,3209204,41.90,1997012,351620,282296,1729336,49952,3232,8028,17940,0,0,0.00,0,0.00,1,390,2.23,2.82,2.58,0,0.60,0.00,41.60,69.33,0.00,0.00,0.00,0.00,771.40,632.60,6772.00,44.16,0.00,0.00,0.00,0.55
2018-01-05 20:16:16,1.67,0.00,0.46,0.00,0.05,0.00,0.10,0.00,0.00,97.72,0.00,1806.20,1931.80,0.00,0.00,0.00,5.60,23.60,0.00,3966.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,11.20,5154172,0,2505340,32.71,18592,629556,3209204,41.90,2014392,364752,310924,1731396,50692,3232,8032,17940,0,0,0.00,0,0.00,1,389,2.05,2.77,2.56,0,0.40,0.00,11.20,28.00,0.00,2.00,2.00,0.08,660.00,563.40,5773.90,41.09,0.00,0.00,0.00,0.47
