timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 18:26:15,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.75,0.00,265.20,172.20,0.00,0.00,0.00,32.80,637.00,0.00,1374.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,65.60,6882244,0,777268,10.15,27416,321440,805524,10.52,461416,207648,396,320224,40976,2040,2924,17940,0,0,0.00,0,0.00,1,241,0.69,2.05,1.50,0,0.80,0.00,65.60,82.00,0.00,0.00,0.00,0.00,3.20,4.60,0.32,0.68,0.00,0.00,0.00,0.00
2018-01-05 18:26:20,0.05,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,99.90,0.00,237.80,146.40,0.00,0.00,0.00,0.00,11.60,0.00,20.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6882120,0,777392,10.15,27416,321460,805524,10.52,461428,207660,416,320232,40976,2040,2924,17940,0,0,0.00,0,0.00,0,241,0.63,2.02,1.49,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-05 18:26:25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,240.20,148.20,0.00,0.00,0.00,44.80,9.40,0.00,309.80,0.00,0.00,0.00,0.00,8.20,0.00,8.20,0.00,89.60,6881808,0,777704,10.15,27424,321484,805524,10.52,459896,207668,224,320720,40976,2040,2924,17940,0,0,0.00,0,0.00,0,241,0.58,1.98,1.48,0,8.20,0.00,89.60,10.93,0.00,0.00,0.00,0.00,1.20,2.40,0.12,0.43,0.00,0.00,0.00,0.00
2018-01-05 18:26:30,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,248.60,153.40,0.00,0.00,0.00,18.40,8.40,0.00,22.60,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,36.80,6881928,0,777584,10.15,27432,321508,805524,10.52,461812,207684,176,320596,40976,2040,2924,17940,0,0,0.00,0,0.00,0,241,0.54,1.95,1.48,0,2.00,0.00,36.80,18.40,0.00,0.00,0.00,0.00,1.60,3.00,0.15,0.54,0.00,0.00,0.00,0.00
2018-01-05 18:26:35,0.05,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,99.90,0.00,256.40,157.40,0.00,0.00,0.00,58.40,11.20,0.00,22.40,0.00,0.00,0.00,0.00,3.40,0.00,3.40,0.00,116.80,6881804,0,777708,10.15,27440,321532,805524,10.52,461832,207696,28,320596,40976,2040,2924,17940,0,0,0.00,0,0.00,0,241,0.49,1.92,1.47,0,3.40,0.00,116.80,34.35,0.05,16.00,11.29,3.84,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-05 18:26:40,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,99.95,0.00,245.00,143.20,0.00,0.00,0.00,11.20,7.40,0.00,21.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,22.40,6881680,0,777832,10.16,27448,321556,805524,10.52,461844,207708,104,320596,40976,2040,2924,17940,0,0,0.00,0,0.00,0,241,0.45,1.89,1.46,0,0.40,0.00,22.40,56.00,0.00,2.00,2.00,0.08,1.60,2.80,0.14,0.45,0.00,0.00,0.00,0.00
2018-01-05 18:26:45,0.05,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,251.20,150.60,0.00,0.00,0.00,2.40,9.40,0.00,25.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,6881820,0,777692,10.15,27456,321580,805524,10.52,461856,207724,128,320596,40960,2040,2924,17940,0,0,0.00,0,0.00,0,241,0.42,1.86,1.45,0,0.40,0.00,4.80,12.00,0.00,0.00,0.00,0.00,2.00,3.20,0.18,0.55,0.00,0.00,0.00,0.00
2018-01-05 18:26:50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,252.20,154.00,0.00,0.00,0.00,2.40,8.00,0.00,20.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,6881820,0,777692,10.15,27464,321604,805524,10.52,461864,207744,152,320596,40960,2040,2924,17940,0,0,0.00,0,0.00,0,241,0.38,1.83,1.45,0,0.40,0.00,4.80,12.00,0.00,2.00,2.00,0.08,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-05 18:26:55,7.93,0.00,0.71,0.00,0.10,0.00,0.20,0.00,0.00,91.06,5.40,1713.60,2181.20,0.00,0.00,0.00,3.20,1598.00,0.00,5650.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,6751984,0,907528,11.85,27472,369692,948296,12.38,544640,255328,48252,403172,41132,2080,3092,17940,0,0,0.00,0,0.00,1,250,0.35,1.80,1.44,0,0.40,0.00,6.40,16.00,0.00,2.00,2.00,0.08,1118.80,379.40,9757.13,25.13,0.00,0.00,0.00,0.80
2018-01-05 18:27:00,2.33,0.00,0.41,0.10,0.26,0.00,0.05,0.00,0.00,96.84,1.60,4236.80,5364.20,0.00,0.00,0.00,17.60,257.20,0.00,6842.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,35.20,6676792,0,982720,12.83,27484,443144,948296,12.38,544780,329004,121768,403248,42592,2120,3104,17940,0,0,0.00,0,0.00,0,251,0.32,1.77,1.43,1,0.40,0.00,35.20,88.00,0.00,12.00,12.00,0.48,1686.40,890.00,14819.32,59.46,0.00,0.00,0.00,1.21
