timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 18:17:46,0.05,0.00,0.05,4.31,0.05,0.00,0.00,0.00,0.00,95.54,0.20,260.80,210.40,0.00,0.00,0.00,9680.80,18.20,0.00,44.00,0.00,0.00,0.00,0.00,48.20,0.00,48.20,0.00,11835.20,3515016,0,4144496,54.11,25720,3470260,837944,10.94,788900,3162196,624384,455192,124844,2168,3248,17940,0,0,0.00,0,0.00,0,257,3.10,1.29,0.50,1,48.20,0.00,11835.20,245.54,25.40,235.02,3.65,17.60,1.40,2.60,0.14,0.43,0.00,0.00,0.00,0.00
2018-01-05 18:17:51,0.80,0.00,0.45,26.26,0.05,0.00,0.00,0.00,0.00,72.44,14.17,473.45,727.74,0.00,0.00,3.99,46114.17,7685.63,0.00,2469.66,0.00,0.00,0.00,0.00,359.48,1.00,358.48,7.98,91717.37,3511292,0,4148220,54.16,25756,3470300,841884,10.99,793456,3162220,393684,459648,124844,2176,3952,17940,0,0,0.00,0,0.00,1,260,2.93,1.28,0.50,1,359.48,7.98,91717.37,255.16,134.37,401.77,2.78,99.80,8.18,9.78,1.65,1.70,0.00,0.00,0.00,0.00
2018-01-05 18:17:56,0.00,0.00,0.10,27.60,0.10,0.00,0.00,0.00,0.00,72.20,0.40,321.00,564.60,0.00,0.00,1.60,44344.80,18.20,0.00,70.00,0.00,0.00,0.00,0.00,352.20,0.40,351.80,3.20,90019.20,3511472,0,4148040,54.16,25788,3470404,841884,10.99,793396,3162280,172196,459480,124688,2192,3744,17940,0,0,0.00,0,0.00,1,260,2.78,1.28,0.50,2,352.20,3.20,90019.20,255.60,140.68,397.62,2.84,100.00,8.00,9.60,10.07,10.70,0.00,0.00,0.00,0.00
2018-01-05 18:18:01,0.05,0.00,0.10,33.78,0.10,0.00,0.05,0.00,0.00,65.91,0.20,280.80,459.40,0.00,0.00,1.60,34306.40,11.20,0.00,93.00,0.00,0.00,0.00,0.00,279.00,0.40,278.60,3.20,71104.00,3511224,0,4148288,54.16,25804,3470728,841884,10.99,793424,3162584,1192,459480,124696,2192,3744,17940,0,0,0.00,0,0.00,1,260,2.72,1.29,0.51,0,279.00,3.20,71104.00,254.86,140.43,519.09,3.58,100.00,15.00,16.40,59.36,61.85,0.00,0.00,0.00,0.01
2018-01-05 18:18:06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,255.40,176.80,0.00,0.00,0.00,95.20,10.40,0.00,32.00,0.00,0.00,0.00,0.00,16.60,0.00,16.60,0.00,4217.60,3511224,0,4148288,54.16,25812,3470764,841884,10.99,793448,3162596,516,459484,124696,2192,3744,17940,0,0,0.00,0,0.00,1,260,2.50,1.27,0.51,1,17.00,0.00,4227.20,248.66,1.47,101.27,2.49,4.24,3.60,5.00,0.28,0.84,0.00,0.00,0.00,0.00
2018-01-05 18:18:11,74.81,0.00,2.21,0.05,0.00,0.00,0.00,0.00,0.00,22.93,27.40,1991.20,1515.20,0.00,0.00,0.00,0.80,22719.00,0.00,8946.80,0.00,0.00,0.00,0.00,11.80,0.00,11.80,0.00,192.00,3034124,0,4625388,60.39,25844,3471464,1752992,22.89,1256972,3163140,1368,931192,126564,2920,6204,17940,0,0,0.00,0,0.00,13,353,2.30,1.25,0.50,0,11.40,0.00,182.40,16.00,0.02,1.61,0.07,0.08,28.40,33.40,25.25,62.06,0.00,0.00,0.00,0.01
2018-01-05 18:18:16,97.25,0.00,2.15,0.00,0.00,0.00,0.25,0.00,0.00,0.35,10.00,4309.20,2187.80,0.00,0.00,9.60,85.60,5393.80,0.00,5161.00,0.00,0.00,0.00,0.00,3.60,1.60,2.00,19.20,171.20,2457852,0,5201660,67.91,25860,3469384,2141932,27.96,1839632,3160224,1864,1504604,127572,3160,7484,17940,0,0,0.00,0,0.00,8,381,2.91,1.39,0.56,0,3.60,19.20,171.20,52.89,0.01,3.56,3.33,1.20,16.60,21.40,5.70,11.21,0.00,0.00,0.00,0.00
2018-01-05 18:18:21,99.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1864.40,1490.40,0.00,0.00,0.80,20.80,457.20,0.00,705.20,0.00,0.00,0.00,0.00,0.80,0.20,0.60,1.60,41.60,2462344,0,5197168,67.85,25868,3464368,2141932,27.96,1840560,3155416,1960,1505760,127276,3128,7496,17940,0,0,0.00,0,0.00,6,377,3.32,1.50,0.60,0,0.80,1.60,41.60,54.00,0.00,1.00,1.00,0.08,4.40,6.60,0.37,1.60,0.00,0.00,0.00,0.00
2018-01-05 18:18:26,98.80,0.00,1.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,2341.20,1680.80,0.00,0.00,0.00,9.60,176.40,0.00,518.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,19.20,2467484,0,5192028,67.79,25876,3459320,2141932,27.96,1840540,3150612,2036,1506032,127216,3088,7504,17940,0,0,0.00,0,0.00,4,372,3.62,1.60,0.63,0,0.40,0.00,19.20,48.00,0.00,0.00,0.00,0.00,5.40,9.20,0.47,2.28,0.00,0.00,0.00,0.00
2018-01-05 18:18:31,98.80,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2290.20,1547.80,0.00,0.00,0.00,18.40,35.40,0.00,460.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,36.80,2471880,0,5187632,67.73,25884,3454316,2141932,27.96,1840536,3145972,2100,1506340,126988,3088,7504,17940,0,0,0.00,0,0.00,4,372,3.73,1.65,0.65,0,0.80,0.00,36.80,46.00,0.00,0.00,0.00,0.00,4.20,7.00,0.38,2.06,0.00,0.00,0.00,0.00
