timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 19:29:43,0.00,0.00,0.40,61.33,0.00,0.00,0.00,0.00,0.00,38.27,0.20,235.80,253.20,0.00,0.00,0.80,13921.60,12.60,0.00,18319.20,0.00,0.00,0.00,0.00,108.20,0.20,108.00,1.60,27587.20,1301240,0,6874368,84.08,19376,5927520,1046188,12.80,1144904,5460744,975672,658764,200464,2040,3564,18156,0,0,0.00,0,0.00,0,241,3.32,2.78,2.32,1,108.20,1.60,27587.20,254.98,128.57,1268.26,9.24,100.00,1.40,2.80,0.17,0.53,0.00,0.00,0.00,0.00
2018-01-05 19:29:48,1.00,0.00,0.50,59.98,0.20,0.00,0.00,0.00,0.00,38.31,13.20,379.80,403.00,0.00,0.00,0.00,10324.00,5537.40,0.00,1461.00,0.00,0.00,0.00,0.00,103.20,0.00,103.20,0.00,26419.20,1297264,0,6878344,84.13,19380,5927556,1046188,12.80,1149228,5460760,924304,663056,200444,2064,4068,18156,0,0,0.00,0,0.00,1,244,3.13,2.75,2.31,3,103.20,0.00,26419.20,256.00,132.22,1272.50,9.69,100.00,8.00,9.20,1.64,1.59,0.00,0.00,0.00,0.00
2018-01-05 19:29:53,0.10,0.00,0.20,50.65,0.00,0.00,0.00,0.00,0.00,49.05,0.00,229.34,243.51,0.00,0.00,1.60,14716.97,7.58,0.00,28.54,0.00,0.00,0.00,0.00,107.78,0.20,107.58,1.60,27097.80,1297008,0,6878600,84.14,19392,5927572,1046188,12.80,1149240,5460780,850556,663056,200444,2064,4068,18156,0,0,0.00,0,0.00,1,244,2.96,2.72,2.30,1,107.78,1.60,27097.80,251.42,134.24,1234.24,9.26,99.80,3.39,4.59,0.27,0.81,0.00,0.00,0.00,0.00
2018-01-05 19:29:58,0.10,0.00,0.10,60.00,0.00,0.00,0.00,0.00,0.00,39.80,0.00,230.60,258.60,0.00,0.00,0.00,16256.00,7.80,0.00,29.80,0.00,0.00,0.00,0.00,119.40,0.20,119.20,1.60,28262.40,1294952,0,6880656,84.16,19400,5927620,1046188,12.80,1151312,5460812,769488,665104,200452,2064,4072,18156,0,0,0.00,0,0.00,1,244,2.81,2.69,2.30,1,119.40,1.60,28262.40,236.72,120.62,974.04,8.38,100.00,3.00,4.40,0.25,0.81,0.00,0.00,0.00,0.00
2018-01-05 19:30:03,0.00,0.00,0.00,62.41,0.10,0.00,0.00,0.00,0.00,37.49,0.00,230.80,248.60,0.00,0.00,0.80,13122.40,7.60,0.00,107.80,0.00,0.00,0.00,0.00,107.00,0.20,106.80,1.60,27268.80,1293896,0,6881712,84.17,19412,5927652,1046188,12.80,1151772,5460832,704052,665552,200452,2064,4072,18156,0,0,0.00,0,0.00,1,244,2.66,2.66,2.29,1,107.00,1.60,27268.80,254.86,124.47,1159.86,9.35,100.00,3.20,4.60,0.26,0.81,0.00,0.00,0.00,0.00
2018-01-05 19:30:08,0.10,0.00,0.10,0.50,0.00,0.00,0.00,0.00,0.00,99.30,0.00,223.60,168.40,0.00,0.00,0.00,242.40,7.60,0.00,27.00,0.00,0.00,0.00,0.00,28.20,0.00,28.20,0.00,7140.80,1293896,0,6881712,84.17,19420,5927672,1046188,12.80,1151792,5460848,702824,665552,200452,2064,4072,18156,0,0,0.00,0,0.00,1,244,2.45,2.62,2.28,0,28.20,0.00,7140.80,253.22,21.19,1423.29,10.84,30.56,3.00,4.20,0.24,0.71,0.00,0.00,0.00,0.00
2018-01-05 19:30:13,0.10,0.00,0.10,48.85,0.10,0.00,0.00,0.00,0.00,50.85,0.00,233.00,245.40,0.00,0.00,0.00,16286.40,8.80,0.00,31.80,0.00,0.00,0.00,0.00,99.40,0.00,99.40,0.00,25446.40,1293904,0,6881704,84.17,19420,5927696,1046188,12.80,1151816,5460852,621480,665552,200444,2064,4072,18156,0,0,0.00,0,0.00,1,244,2.33,2.59,2.27,1,99.40,0.00,25446.40,256.00,142.91,1205.64,9.95,98.88,3.40,4.80,0.27,0.83,0.00,0.00,0.00,0.00
2018-01-05 19:30:18,0.00,0.00,0.10,61.81,0.00,0.00,0.00,0.00,0.00,38.09,0.00,239.20,253.20,0.00,0.00,0.80,12996.00,7.60,0.00,27.40,0.00,0.00,0.00,0.00,103.00,0.20,102.80,1.60,26052.80,1293788,0,6881820,84.18,19432,5927728,1046188,12.80,1151840,5460872,556632,665552,200436,2064,4072,18156,0,0,0.00,0,0.00,1,244,2.23,2.57,2.26,1,103.00,1.60,26052.80,252.96,127.24,1287.02,9.71,100.00,3.00,4.40,0.25,0.81,0.00,0.00,0.00,0.00
2018-01-05 19:30:23,0.00,0.00,0.10,61.67,0.00,0.00,0.00,0.00,0.00,38.23,0.00,235.40,251.00,0.00,0.00,0.00,13975.20,8.20,0.00,36.20,0.00,0.00,0.00,0.00,105.60,0.00,105.60,0.00,26977.60,1294084,0,6881524,84.17,19444,5927752,1046188,12.80,1151704,5460900,486888,665408,200404,2048,4072,18156,0,0,0.00,0,0.00,1,242,2.13,2.54,2.26,1,105.80,0.00,27028.80,255.47,127.20,1183.84,9.45,100.00,2.80,4.00,0.23,0.70,0.00,0.00,0.00,0.00
2018-01-05 19:30:28,0.20,0.00,0.10,62.22,0.20,0.00,0.00,0.00,0.00,37.27,0.00,228.00,242.20,0.00,0.00,0.80,12303.20,7.60,0.00,27.00,0.00,0.00,0.00,0.00,99.80,0.20,99.60,1.60,25425.60,1294084,0,6881524,84.17,19460,5927780,1046188,12.80,1151732,5460916,425476,665408,200404,2048,4072,18156,0,0,0.00,0,0.00,1,242,2.12,2.53,2.25,1,99.60,1.60,25374.40,254.78,126.62,1225.21,10.04,100.00,3.00,4.40,0.25,0.81,0.00,0.00,0.00,0.00
