timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 20:43:30,3.86,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,96.04,0.80,294.80,231.00,0.00,0.00,0.00,39.20,797.40,0.00,1434.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,78.40,30281896,0,1118024,3.56,42640,377680,1476240,4.70,647212,217724,360,446684,57692,2032,3128,58076,0,0,0.00,0,0.00,0,240,0.50,1.36,1.88,0,0.80,0.00,78.40,98.00,0.00,1.00,1.00,0.08,3.80,5.40,0.33,0.79,0.00,0.00,0.00,0.00
2018-01-05 20:43:35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,240.40,144.80,0.00,0.00,0.00,0.00,13.00,0.00,17.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30281756,0,1118164,3.56,42640,377700,1476240,4.70,647172,217728,380,446668,57692,2032,3128,58076,0,0,0.00,0,0.00,0,240,0.46,1.34,1.87,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-05 20:43:40,7.99,0.00,0.66,0.05,0.15,0.00,0.15,0.00,0.00,91.00,7.00,1577.20,2192.80,0.00,0.00,0.00,17.60,1678.80,0.00,2416.40,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,35.20,30232564,0,1167356,3.72,42648,398100,1361324,4.34,677108,238248,20780,474488,58332,2200,3188,58076,0,0,0.00,0,0.00,0,251,0.42,1.32,1.86,0,1.80,0.00,35.20,19.56,0.00,0.00,0.00,0.00,485.00,416.20,4164.52,29.10,0.00,0.00,0.00,0.00
2018-01-05 20:43:45,2.79,0.00,0.36,0.00,0.25,0.00,0.25,0.00,0.00,96.35,0.00,2055.60,2831.80,0.00,0.00,0.00,32.80,19.00,0.00,3341.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,65.60,30184512,0,1215408,3.87,42656,440108,1361324,4.34,683420,279896,62804,480772,58220,2120,3200,58076,0,0,0.00,0,0.00,1,251,0.39,1.29,1.85,0,0.80,0.00,65.60,82.00,0.00,0.00,0.00,0.00,959.60,758.60,8419.71,51.85,0.00,0.00,0.00,0.00
2018-01-05 20:43:50,25.64,0.00,1.83,0.00,0.46,0.00,0.51,0.00,0.00,71.57,19.20,3140.40,4536.40,0.00,0.00,0.00,6.40,13336.80,0.00,7012.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,12.80,29801724,0,1598196,5.09,42684,506700,27684764,88.17,998180,344776,129376,793592,59312,2712,5196,58076,0,0,0.00,0,0.00,9,325,0.36,1.27,1.84,0,0.40,0.00,12.80,32.00,0.00,0.00,0.00,0.00,1515.60,998.40,13291.00,67.54,0.00,0.00,0.00,0.00
2018-01-05 20:43:55,95.75,0.00,4.10,0.00,0.00,0.00,0.05,0.00,0.00,0.10,31.20,2964.20,1772.40,0.00,0.00,0.00,65.60,16537.00,0.00,9660.00,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,131.20,28852664,0,2547256,8.11,42688,506740,27807900,88.56,1951384,336792,129552,1738816,60052,3400,7436,58076,0,0,0.00,0,0.00,6,411,1.21,1.43,1.89,0,1.60,0.00,131.20,82.00,0.00,0.00,0.00,0.00,15.00,22.40,3.79,4.40,0.00,0.00,0.00,0.00
2018-01-05 20:44:00,71.98,0.00,9.38,0.00,0.10,0.00,0.20,0.00,0.00,18.35,6.60,3129.00,2525.20,0.00,0.00,0.00,2092.80,3511.80,0.00,5688.20,0.00,0.00,0.00,0.00,26.80,0.00,26.80,0.00,4185.60,22492476,0,8907444,28.37,42692,527628,27963920,89.06,8277472,345136,140164,8066668,60100,3536,19800,58076,0,0,0.00,0,0.00,6,428,1.51,1.49,1.90,0,26.80,0.00,4185.60,156.18,0.08,2.84,0.21,0.56,285.40,240.80,2316.49,23.51,0.00,0.00,0.00,0.00
2018-01-05 20:44:05,97.50,0.00,2.45,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,1841.60,1600.80,0.00,0.00,0.00,39.20,279.00,0.00,13395.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,78.40,20577148,0,10822772,34.47,42700,527652,27963920,89.06,10131388,345152,140136,9973768,60044,3480,23592,58076,0,0,0.00,0,0.00,8,421,1.95,1.58,1.93,0,0.60,0.00,78.40,130.67,0.00,0.00,0.00,0.00,2.20,4.40,0.16,0.78,0.00,0.00,0.00,0.00
2018-01-05 20:44:10,96.55,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1948.00,1586.40,0.00,0.00,0.00,4278.40,236.40,0.00,12648.00,0.00,0.00,0.00,0.00,4.60,0.00,4.60,0.00,1081.60,18645648,0,12754272,40.62,42708,527676,27963920,89.06,12054464,345168,118824,11898884,60044,3464,27320,58076,0,0,0.00,0,0.00,14,419,2.44,1.69,1.96,1,5.20,0.00,1235.20,237.54,0.22,3.69,0.31,0.16,1.60,3.00,0.17,0.88,0.00,0.00,0.00,0.00
2018-01-05 20:44:15,97.35,0.00,2.55,0.00,0.00,0.00,0.05,0.00,0.00,0.05,0.00,2078.40,1800.20,0.00,0.00,0.00,21438.40,199.60,0.00,9268.40,0.00,0.00,0.00,0.00,197.20,0.00,197.20,0.00,50352.00,17272584,0,14127336,44.99,42708,527700,27963920,89.06,13451552,345168,11636,13275460,60076,3440,30000,58076,0,0,0.00,0,0.00,5,416,2.56,1.73,1.97,0,196.60,0.00,50198.40,255.33,9.17,47.65,0.35,6.96,2.00,4.00,0.31,1.57,0.00,0.00,0.00,0.00
