timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-05 18:48:28,5.07,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,94.88,0.80,309.40,257.60,0.00,0.00,0.00,32.00,846.40,0.00,1644.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,64.00,30370420,0,1029500,3.28,27512,321464,1482144,4.72,587528,207468,324,448152,40876,2032,3188,58076,0,0,0.00,0,0.00,0,240,0.35,2.17,1.66,0,0.80,0.00,64.00,80.00,0.00,0.00,0.00,0.00,3.80,5.40,0.33,0.79,0.00,0.00,0.00,0.00
2018-01-05 18:48:33,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,240.40,141.40,0.00,0.00,0.00,0.00,13.00,0.00,17.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30370452,0,1029468,3.28,27512,321484,1482144,4.72,587564,207460,344,448156,40876,2032,3188,58076,0,0,0.00,0,0.00,0,240,0.32,2.13,1.65,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,2.40,0.11,0.42,0.00,0.00,0.00,0.00
2018-01-05 18:48:38,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,243.40,146.40,0.00,0.00,0.00,2.40,7.20,0.00,39.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,30371072,0,1028848,3.28,27520,321508,1482144,4.72,587104,207496,368,447676,40876,2032,3188,58076,0,0,0.00,0,0.00,0,240,0.30,2.10,1.64,0,0.40,0.00,4.80,12.00,0.01,30.00,30.00,1.20,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-05 18:48:43,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,251.20,155.60,0.00,0.00,0.00,18.40,10.00,0.00,19.40,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,36.80,30371072,0,1028848,3.28,27528,321532,1482144,4.72,589184,207512,324,447688,40876,2032,3188,58076,0,0,0.00,0,0.00,0,240,0.27,2.06,1.63,0,2.20,0.00,36.80,16.73,0.00,0.36,0.36,0.08,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-05 18:48:48,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,244.20,145.40,0.00,0.00,0.00,14.40,7.20,0.00,15.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,28.80,30371072,0,1028848,3.28,27536,321556,1482144,4.72,589184,207512,376,447688,40876,2032,3188,58076,0,0,0.00,0,0.00,0,240,0.25,2.03,1.62,0,0.40,0.00,28.80,72.00,0.00,2.00,2.00,0.08,1.20,2.40,0.11,0.42,0.00,0.00,0.00,0.00
2018-01-05 18:48:53,0.05,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,99.90,0.00,248.20,155.00,0.00,0.00,0.00,76.80,10.00,0.00,17.40,0.00,0.00,0.00,0.00,8.40,0.00,8.40,0.00,153.60,30370940,0,1028980,3.28,27544,321580,1482144,4.72,589184,207524,24,447688,40884,2032,3188,58076,0,0,0.00,0,0.00,0,240,0.23,1.99,1.61,0,8.40,0.00,153.60,18.29,0.04,4.57,2.29,1.92,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-05 18:48:58,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,249.00,147.00,0.00,0.00,0.00,8.80,7.00,0.00,15.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,17.60,30371032,0,1028888,3.28,27552,321604,1482144,4.72,589208,207568,84,447688,40884,2032,3188,58076,0,0,0.00,0,0.00,0,240,0.21,1.96,1.60,0,0.40,0.00,17.60,44.00,0.00,2.00,2.00,0.08,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-05 18:49:03,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,249.80,149.60,0.00,0.00,0.00,2.40,9.20,0.00,17.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,30371032,0,1028888,3.28,27560,321628,1482144,4.72,589208,207580,116,447688,40884,2032,3188,58076,0,0,0.00,0,0.00,0,240,0.20,1.93,1.60,0,0.40,0.00,4.80,12.00,0.00,2.00,2.00,0.08,1.20,2.40,0.11,0.42,0.00,0.00,0.00,0.00
2018-01-05 18:49:08,0.10,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,99.85,0.00,245.60,151.80,0.00,0.00,0.00,3.20,7.20,0.00,17.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,30371064,0,1028856,3.28,27568,321648,1482144,4.72,589208,207592,136,447688,40884,2032,3188,58076,0,0,0.00,0,0.00,0,240,0.18,1.89,1.59,0,0.40,0.00,6.40,16.00,0.00,2.00,2.00,0.08,1.60,3.00,0.13,0.54,0.00,0.00,0.00,0.00
2018-01-05 18:49:13,10.77,0.00,0.81,0.05,0.30,0.00,0.41,0.00,0.00,87.65,7.00,2389.60,3753.60,0.00,0.00,0.00,4187.20,1734.00,0.00,4738.80,0.00,0.00,0.00,0.00,35.40,0.00,35.40,0.00,8374.40,30287116,0,1112804,3.54,27576,376312,1373824,4.38,616776,262144,33900,474944,41440,2112,3256,58076,0,0,0.00,0,0.00,0,250,0.17,1.86,1.58,0,35.40,0.00,8374.40,236.56,0.85,24.09,1.15,4.08,1275.60,874.80,11102.81,59.99,0.00,0.00,0.00,0.00
