timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 14:28:35,0.15,0.00,0.05,5.22,0.05,0.00,0.00,0.00,0.00,94.53,0.00,313.00,388.40,0.00,0.00,0.00,18991.20,612.20,0.00,1373.80,0.00,0.00,0.00,0.00,182.00,0.00,182.00,0.00,46174.40,14495048,0,1938092,11.79,35836,1143968,1204660,7.33,891808,856124,296332,568124,73652,2160,3520,31404,0,0,0.00,0,0.00,0,256,0.59,2.20,3.02,0,181.80,0.00,46123.20,253.70,33.39,199.34,1.38,25.12,6.00,6.60,0.55,0.99,0.00,0.00,0.00,0.00
2018-01-06 14:28:40,0.90,0.00,0.40,1.36,0.05,0.00,0.00,0.00,0.00,97.29,14.40,481.60,601.40,0.00,0.00,0.00,26480.00,7742.20,0.00,2642.20,0.00,0.00,0.00,0.00,215.80,0.00,215.80,0.00,52960.00,14493664,0,1939476,11.80,35836,1144004,1209224,7.36,892964,856148,164004,569300,73516,2176,3940,31404,0,0,0.00,0,0.00,0,258,0.54,2.16,3.01,0,215.80,0.00,52960.00,245.41,10.36,47.99,0.42,8.96,7.60,9.40,1.61,1.69,0.00,0.00,0.00,0.00
2018-01-06 14:28:45,0.05,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,99.85,0.00,246.20,179.60,0.00,0.00,0.00,3198.40,9.60,0.00,28.60,0.00,0.00,0.00,0.00,25.40,0.00,25.40,0.00,6396.80,14493688,0,1939452,11.80,35844,1144028,1209224,7.36,892968,856156,148200,569300,73492,2176,3940,31404,0,0,0.00,0,0.00,0,258,0.50,2.13,2.99,0,25.40,0.00,6396.80,251.84,0.58,22.96,0.38,0.96,2.00,3.20,0.18,0.67,0.00,0.00,0.00,0.00
2018-01-06 14:28:50,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,244.60,150.80,0.00,0.00,0.00,7.20,7.60,0.00,23.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,14.40,14493688,0,1939452,11.80,35852,1144052,1209224,7.36,892980,856168,148228,569300,73492,2176,3940,31404,0,0,0.00,0,0.00,0,258,0.46,2.09,2.97,0,0.40,0.00,14.40,36.00,0.00,2.00,2.00,0.08,2.00,3.40,0.18,0.76,0.00,0.00,0.00,0.00
2018-01-06 14:28:55,0.05,0.00,0.05,2.36,0.05,0.00,0.00,0.00,0.00,97.49,0.00,262.00,385.80,0.00,0.00,0.00,29603.20,9.80,0.00,26.20,0.00,0.00,0.00,0.00,232.00,0.00,232.00,0.00,59206.40,14493540,0,1939600,11.80,35864,1144076,1209224,7.36,893008,856208,248,569304,73512,2176,3940,31404,0,0,0.00,0,0.00,0,258,0.42,2.06,2.96,0,232.00,0.00,59206.40,255.20,16.07,69.27,0.54,12.56,2.20,3.60,0.20,0.77,0.00,0.00,0.00,0.00
2018-01-06 14:29:00,1.27,0.00,0.30,0.00,0.15,0.00,0.20,0.00,0.00,98.07,7.20,2177.80,2545.40,0.00,0.00,0.00,11.20,902.00,0.00,2580.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,22.40,14469916,0,1963224,11.95,35872,1168356,1209224,7.36,893940,880220,24552,570048,73736,2256,3940,31404,0,0,0.00,0,0.00,0,268,0.39,2.02,2.94,0,0.40,0.00,22.40,56.00,0.00,2.00,2.00,0.08,566.80,332.20,4875.50,23.30,0.00,0.00,0.00,0.40
2018-01-06 14:29:05,1.02,0.00,0.41,0.25,0.15,0.00,0.00,0.00,0.00,98.17,1.60,2718.40,2824.00,0.00,0.00,0.00,68.00,256.40,0.00,2787.00,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,136.00,14441636,0,1991504,12.12,35884,1197508,1209224,7.36,894208,909352,53612,570312,73504,2272,3944,31404,0,0,0.00,0,0.00,1,270,0.36,1.99,2.93,0,2.40,0.00,136.00,56.67,0.06,26.33,18.00,4.32,672.20,376.60,5881.72,25.49,0.00,0.00,0.00,0.48
2018-01-06 14:29:10,0.46,0.00,0.20,0.00,0.15,0.00,0.20,0.00,0.00,98.98,0.00,2833.80,3034.80,0.00,0.00,0.00,13.60,8.20,0.00,2939.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,27.20,14409672,0,2023468,12.31,35892,1229088,1209224,7.36,894112,940996,85208,570196,73504,2256,3944,31404,0,0,0.00,0,0.00,0,268,0.33,1.96,2.91,0,0.40,0.00,27.20,68.00,0.00,2.00,2.00,0.08,729.60,418.00,6398.77,28.43,0.00,0.00,0.00,0.52
2018-01-06 14:29:15,0.76,0.00,0.10,0.00,0.20,0.00,0.05,0.00,0.00,98.88,0.00,2552.80,2857.00,0.00,0.00,0.00,43.20,12.00,0.00,2503.60,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,86.40,14382728,0,2050412,12.48,35900,1256152,1209224,7.36,894140,968264,112068,570240,73504,2256,3944,31404,0,0,0.00,0,0.00,0,268,0.30,1.92,2.89,0,7.00,0.00,86.40,12.34,0.00,0.11,0.11,0.08,621.20,360.40,5451.43,24.48,0.00,0.00,0.00,0.45
2018-01-06 14:29:20,13.58,0.00,3.08,0.00,0.36,0.00,0.67,0.00,0.00,82.32,17.60,4572.80,6176.20,0.00,0.00,0.00,3.20,8654.20,0.00,18392.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,14151220,0,2281920,13.89,35908,1341200,2901760,17.66,1128416,954144,197088,709636,78240,2768,5360,31404,0,0,0.00,0,0.00,6,332,0.28,1.89,2.88,0,0.40,0.00,6.40,16.00,0.00,2.00,2.00,0.08,1965.60,926.80,17245.70,61.15,0.00,0.00,0.00,1.41
