timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 15:35:27,7.61,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,91.99,0.80,352.20,376.80,0.00,0.00,0.00,43.20,1215.60,0.00,3132.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,86.40,15487968,0,945172,5.75,42580,390240,984608,5.99,557564,218264,468,343068,54688,2040,2996,31404,0,0,0.00,0,0.00,1,241,0.23,0.68,1.26,0,0.80,0.00,86.40,108.00,0.00,0.00,0.00,0.00,4.00,5.60,0.39,0.80,0.00,0.00,0.00,0.00
2018-01-06 15:35:32,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,244.20,146.60,0.00,0.00,0.00,0.00,13.80,0.00,22.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15487968,0,945172,5.75,42580,390260,984608,5.99,557588,218276,488,343072,54688,2040,2996,31404,0,0,0.00,0,0.00,1,241,0.21,0.66,1.25,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-06 15:35:37,42.51,0.00,2.72,0.00,0.10,0.00,0.20,0.00,0.00,54.46,23.00,1840.60,3201.00,0.00,0.00,0.00,16.80,16074.40,0.00,17010.40,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,33.60,14970976,0,1462164,8.90,42588,519120,14456024,87.97,944788,343720,129276,728928,55272,2520,4860,31404,0,0,0.00,0,0.00,8,321,0.43,0.70,1.26,0,1.40,0.00,33.60,24.00,0.00,0.57,0.57,0.08,2962.80,785.80,25915.77,51.40,0.00,0.00,0.00,2.12
2018-01-06 15:35:42,89.57,0.00,3.78,0.00,0.05,0.00,0.00,0.00,0.00,6.60,32.80,3010.20,2222.40,0.00,0.00,0.00,176.80,15148.40,0.00,7364.00,0.00,0.00,0.00,0.00,17.00,0.00,17.00,0.00,353.60,13984928,0,2448212,14.90,42600,519244,14621236,88.97,1931360,337308,129120,1709020,56464,3408,7436,31404,0,0,0.00,0,0.00,1,416,1.36,0.89,1.32,0,17.00,0.00,353.60,20.80,0.04,2.35,0.05,0.08,17.60,27.20,5.03,6.94,0.00,0.00,0.00,0.00
2018-01-06 15:35:47,0.76,0.00,0.15,0.00,0.05,0.00,0.00,0.00,0.00,99.04,0.00,1575.80,937.60,0.00,0.00,0.00,18.40,10.60,0.00,342.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,36.80,13989412,0,2443728,14.87,42608,519272,14621236,88.97,1927776,337324,129232,1703252,56568,3432,7516,31404,0,0,0.00,0,0.00,1,411,1.25,0.88,1.31,0,0.40,0.00,36.80,92.00,0.00,2.00,2.00,0.08,3.20,4.20,0.26,0.76,0.00,0.00,0.00,0.00
2018-01-06 15:35:52,0.76,0.00,0.05,0.46,0.05,0.00,0.00,0.00,0.00,98.68,0.00,1559.00,992.80,0.00,0.00,0.00,10138.40,17.60,0.00,39.80,0.00,0.00,0.00,0.00,85.20,0.00,85.20,0.00,20276.80,13989780,0,2443360,14.87,42612,519296,14621236,88.97,1927476,337340,78648,1702948,56556,3384,7516,31404,0,0,0.00,0,0.00,1,409,1.15,0.86,1.30,0,85.20,0.00,20276.80,237.99,3.52,41.32,0.34,2.88,1.20,2.40,0.12,0.57,0.00,0.00,0.00,0.00
2018-01-06 15:35:57,26.73,0.00,2.53,0.81,0.05,0.00,0.00,0.00,0.00,69.88,4.80,2396.40,1577.20,0.00,0.00,0.00,17743.20,2021.60,0.00,3349.60,0.00,0.00,0.00,0.00,147.20,0.00,147.20,0.00,35486.40,12612684,0,3820456,23.25,42624,540184,14741012,89.70,3269792,345768,11120,3057336,56664,3496,9820,31404,0,0,0.00,0,0.00,6,423,1.06,0.85,1.29,0,147.20,0.00,35486.40,241.08,5.75,39.09,0.36,5.36,276.60,151.60,2318.52,13.18,0.00,0.00,0.00,0.19
2018-01-06 15:36:02,95.95,0.00,4.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2663.60,1597.00,0.00,0.00,0.00,48.00,650.80,0.00,8878.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,96.00,9799248,0,6633892,40.37,42632,540212,14779464,89.94,6038700,345652,11388,5867044,56688,3464,15452,31404,0,0,0.00,0,0.00,4,419,1.54,0.95,1.33,0,0.60,0.00,96.00,160.00,0.00,0.00,0.00,0.00,5.20,7.80,0.54,2.04,0.00,0.00,0.00,0.00
2018-01-06 15:36:07,97.30,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2255.60,1593.20,0.00,0.00,0.00,3.20,180.00,0.00,8549.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,8381508,0,8051632,49.00,42640,540224,14779464,89.94,7460172,345664,11408,7282364,56656,3464,18356,31404,0,0,0.00,0,0.00,4,419,1.97,1.05,1.36,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,4.20,5.40,0.46,1.81,0.00,0.00,0.00,0.00
2018-01-06 15:36:12,97.65,0.00,2.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2114.00,1604.60,0.00,0.00,0.00,0.00,382.80,0.00,6959.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7239832,0,9193308,55.94,42640,540260,14779464,89.94,8590236,345684,11436,8420600,56648,3424,20624,31404,0,0,0.00,0,0.00,6,414,2.29,1.13,1.38,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,3.20,0.25,1.18,0.00,0.00,0.00,0.00
2018-01-06 15:36:17,97.70,0.00,2.25,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,2215.60,1572.20,0.00,0.00,0.00,3.20,150.80,0.00,7307.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,6051692,0,10381448,63.17,42648,540284,14779464,89.94,9796640,345704,11460,9606512,56640,3424,22856,31404,0,0,0.00,0,0.00,4,414,2.83,1.26,1.42,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.80,3.60,0.27,1.27,0.00,0.00,0.00,0.00
