timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 13:35:06,1.15,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,98.65,0.80,282.60,193.60,0.00,0.00,0.00,34.40,725.20,0.00,1563.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,68.80,15594372,0,838768,5.10,27276,322132,1000700,6.09,474892,207744,388,335304,41028,2032,2964,31404,0,0,0.00,0,0.00,1,240,0.76,1.93,1.42,0,0.80,0.00,68.80,86.00,0.01,10.00,5.00,0.40,4.40,6.00,0.42,0.81,0.00,0.00,0.00,0.00
2018-01-06 13:35:11,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,239.60,144.20,0.00,0.00,0.00,0.00,13.80,0.00,36.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15594704,0,838436,5.10,27276,322152,1000700,6.09,476940,207752,408,335312,40820,2032,2964,31404,0,0,0.00,0,0.00,1,240,0.70,1.90,1.41,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,3.00,0.15,0.53,0.00,0.00,0.00,0.00
2018-01-06 13:35:16,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,235.00,140.80,0.00,0.00,0.00,4.00,7.60,0.00,461.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,8.00,15587140,0,846000,5.15,27284,322176,1000700,6.09,482496,207772,424,342888,40804,2032,2964,31404,0,0,0.00,0,0.00,1,240,0.64,1.87,1.40,0,0.80,0.00,8.00,10.00,0.00,0.00,0.00,0.00,1.20,2.40,0.12,0.42,0.00,0.00,0.00,0.00
2018-01-06 13:35:21,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,244.40,155.20,0.00,0.00,0.00,52.00,10.40,0.00,22.40,0.00,0.00,0.00,0.00,8.80,0.00,8.80,0.00,104.00,15587264,0,845876,5.15,27292,322200,1000700,6.09,484548,207788,456,342896,40804,2032,2964,31404,0,0,0.00,0,0.00,2,240,0.59,1.84,1.39,0,8.80,0.00,104.00,11.82,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-06 13:35:26,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,241.60,147.60,0.00,0.00,0.00,12.00,7.80,0.00,226.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,24.00,15574732,0,858408,5.22,27300,322224,1000700,6.09,494736,207800,252,355124,40796,2032,2964,31404,0,0,0.00,0,0.00,1,240,0.55,1.81,1.39,0,0.40,0.00,24.00,60.00,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-06 13:35:31,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,99.95,0.00,241.00,146.80,0.00,0.00,0.00,16.00,10.20,0.00,23.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,32.00,15574732,0,858408,5.22,27308,322248,1000700,6.09,496800,207828,276,355124,40796,2032,2964,31404,0,0,0.00,0,0.00,1,240,0.50,1.78,1.38,0,1.20,0.00,32.00,26.67,0.00,0.00,0.00,0.00,1.20,2.40,0.12,0.42,0.00,0.00,0.00,0.00
2018-01-06 13:35:36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,241.80,146.40,0.00,0.00,0.00,43.20,7.60,0.00,216.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,86.40,15574728,0,858412,5.22,27316,322272,1000700,6.09,494904,207840,84,355264,40796,2032,2964,31404,0,0,0.00,0,0.00,1,240,0.46,1.75,1.37,0,1.00,0.00,86.40,86.40,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-06 13:35:41,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,243.00,146.20,0.00,0.00,0.00,4.80,9.80,0.00,22.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,15574728,0,858412,5.22,27324,322296,1000700,6.09,494912,207872,120,355264,40796,2032,2964,31404,0,0,0.00,0,0.00,1,240,0.42,1.72,1.36,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-06 13:35:46,8.11,0.00,0.81,0.00,0.15,0.00,0.15,0.00,0.00,90.79,5.40,1709.60,2098.00,0.00,0.00,0.00,3.20,1516.40,0.00,4781.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,15465252,0,967888,5.89,27332,355312,1149376,6.99,574264,240704,33140,432292,41224,2088,3120,31404,0,0,0.00,0,0.00,0,249,0.39,1.69,1.36,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,773.20,355.00,6704.65,24.33,0.00,0.00,0.00,0.55
2018-01-06 13:35:51,2.40,0.00,0.31,0.00,0.15,0.00,0.10,0.00,0.00,97.04,1.60,2715.40,2959.40,0.00,0.00,0.00,21.60,262.20,0.00,2750.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,43.20,15434936,0,998204,6.07,27340,384312,1149376,6.99,574548,269600,62200,432552,41976,2112,3128,31404,0,0,0.00,0,0.00,0,250,0.36,1.66,1.35,0,0.60,0.00,43.20,72.00,0.00,1.33,1.33,0.08,662.40,387.00,5807.69,26.25,0.00,0.00,0.00,0.48
