timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 18:24:42,8.77,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,90.78,1.00,353.60,397.60,0.00,0.00,0.00,41.60,1537.20,0.00,2561.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,83.20,30173576,0,1226344,3.91,60560,454056,1449196,4.62,728288,230880,468,446612,71436,2040,3140,58076,0,0,0.00,0,0.00,0,241,0.30,0.32,0.29,0,0.80,0.00,83.20,104.00,0.00,0.00,0.00,0.00,3.80,5.20,0.32,0.74,0.00,0.00,0.00,0.00
2018-01-06 18:24:47,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,234.40,137.80,0.00,0.00,0.00,2.40,11.20,0.00,17.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,30173600,0,1226320,3.91,60560,454076,1449196,4.62,730352,230884,476,446616,71412,2040,3140,58076,0,0,0.00,0,0.00,0,241,0.27,0.32,0.29,0,0.40,0.00,4.80,12.00,0.00,0.00,0.00,0.00,1.20,2.40,0.11,0.43,0.00,0.00,0.00,0.00
2018-01-06 18:24:52,12.23,0.00,1.07,0.05,0.25,0.00,0.15,0.00,0.00,86.25,6.99,2113.37,2827.15,0.00,0.00,0.00,27.94,4498.60,0.00,4989.62,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,11.18,30100500,0,1299420,4.14,60572,484408,1353272,4.31,772404,260816,30820,488628,71796,2096,3228,58076,0,0,0.00,0,0.00,0,252,0.25,0.31,0.29,1,0.40,0.00,11.18,28.00,0.00,2.00,2.00,0.08,707.58,347.90,6105.54,23.83,0.00,0.00,0.00,0.00
2018-01-06 18:24:57,1.88,0.00,0.41,0.00,0.25,0.00,0.15,0.00,0.00,97.31,0.00,2243.80,2493.20,0.00,0.00,0.00,81.60,13.40,0.00,2628.80,0.00,0.00,0.00,0.00,15.60,0.00,15.60,0.00,208.00,30072448,0,1327472,4.23,60576,515056,1353272,4.31,769552,291744,61108,485772,71516,2128,3248,58076,0,0,0.00,0,0.00,0,252,0.23,0.31,0.29,0,15.60,0.00,208.00,13.33,0.02,1.49,0.10,0.16,707.40,380.20,6205.89,25.48,0.00,0.00,0.00,0.00
2018-01-06 18:25:02,1.01,0.00,0.25,0.05,0.35,0.00,0.25,0.00,0.00,98.07,0.40,2511.60,2929.60,0.00,0.00,0.00,24.80,173.40,0.00,3278.80,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,49.60,30032452,0,1367468,4.36,60592,555336,1353272,4.31,769468,331716,101452,485660,71480,2112,3172,58076,0,0,0.00,0,0.00,0,251,0.21,0.30,0.29,0,1.00,0.00,49.60,49.60,0.00,0.80,0.80,0.08,925.00,468.00,8104.61,30.90,0.00,0.00,0.00,0.00
2018-01-06 18:25:07,68.82,0.00,3.02,0.00,0.20,0.00,0.15,0.00,0.00,27.81,21.80,2533.60,2459.00,0.00,0.00,0.00,0.00,19732.40,0.00,7438.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29417496,0,1982424,6.31,60612,583112,27712160,88.26,1352632,356180,129240,1069144,73064,2752,5800,58076,0,0,0.00,0,0.00,8,331,1.08,0.48,0.35,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,622.00,275.80,5447.19,18.36,0.00,0.00,0.00,0.00
2018-01-06 18:25:12,58.57,0.00,3.23,0.00,0.05,0.00,0.05,0.00,0.00,38.10,32.20,3144.60,2088.40,0.00,0.00,0.00,101.60,7593.80,0.00,3683.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,203.20,28595232,0,2804688,8.93,60616,584776,27837332,88.65,2179648,350404,130900,1884976,73676,3504,7680,58076,0,0,0.00,0,0.00,1,427,0.99,0.47,0.34,0,2.00,0.00,203.20,101.60,0.02,9.60,9.60,1.92,203.20,161.40,1613.69,17.65,0.00,0.00,0.00,0.00
2018-01-06 18:25:17,81.09,0.00,4.02,0.00,0.05,0.00,0.10,0.00,0.00,14.74,4.20,2818.60,2355.20,0.00,0.00,0.00,2004.80,2794.20,0.00,4628.00,0.00,0.00,0.00,0.00,16.40,0.00,16.40,0.00,4009.60,26036252,0,5363668,17.08,60624,604028,27961220,89.05,4697020,358284,140292,4421372,73868,3568,12536,58076,0,0,0.00,0,0.00,4,432,1.23,0.53,0.36,0,16.40,0.00,4009.60,244.49,0.07,4.00,0.39,0.64,206.00,153.60,1660.06,13.80,0.00,0.00,0.00,0.00
2018-01-06 18:25:22,94.90,0.00,5.05,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,1575.80,1618.00,0.00,0.00,0.00,39.20,473.40,0.00,5924.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,78.40,21698944,0,9700976,30.89,60628,604048,27961220,89.05,9036220,358300,140368,8744176,73660,3560,20688,58076,0,0,0.00,0,0.00,7,430,1.45,0.59,0.38,0,0.60,0.00,78.40,130.67,0.00,0.00,0.00,0.00,2.40,4.00,0.22,1.02,0.00,0.00,0.00,0.00
2018-01-06 18:25:27,97.85,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1677.80,1840.60,0.00,0.00,0.00,25723.20,219.60,0.00,5516.60,0.00,0.00,0.00,0.00,201.80,0.00,201.80,0.00,51446.40,20182396,0,11217524,35.72,60632,604076,27961220,89.05,10514660,358300,11860,10263552,73708,3496,24028,58076,0,0,0.00,0,0.00,4,423,1.66,0.64,0.40,0,201.80,0.00,51446.40,254.94,7.86,38.96,0.29,5.92,2.60,5.20,0.29,1.38,0.00,0.00,0.00,0.00
