timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 15:16:04,0.20,0.00,0.05,0.00,0.05,0.00,0.00,0.00,0.00,99.70,0.20,293.60,192.60,0.00,0.00,0.00,16.80,648.00,0.00,3948.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,33.60,30074452,0,1325468,4.22,41460,522444,1452632,4.63,714936,355768,147660,506800,59324,2264,3528,58076,0,0,0.00,0,0.00,1,268,2.50,1.83,1.25,0,0.40,0.00,33.60,84.00,0.00,0.00,0.00,0.00,5.00,5.60,0.44,0.84,0.00,0.00,0.00,0.00
2018-01-06 15:16:09,0.90,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,98.75,14.40,452.60,373.40,0.00,0.00,0.00,52.00,7746.00,0.00,2640.20,0.00,0.00,0.00,0.00,2.40,0.00,2.40,0.00,104.00,30074004,0,1325916,4.22,41472,522468,1452632,4.63,716104,355784,147624,507988,59132,2280,3952,58076,0,0,0.00,0,0.00,0,270,2.30,1.80,1.25,0,2.40,0.00,104.00,43.33,0.00,0.00,0.00,0.00,7.60,9.40,1.51,1.70,0.00,0.00,0.00,0.00
2018-01-06 15:16:14,0.60,0.00,0.45,0.20,0.10,0.00,0.05,0.00,0.00,98.59,0.40,635.60,862.80,0.00,0.00,0.00,7499.20,21.40,0.00,2002.80,0.00,0.00,0.00,0.00,59.80,0.00,59.80,0.00,14969.60,30049248,0,1350672,4.30,41476,547256,1452632,4.63,717604,379296,135012,508168,59228,2288,3872,58076,0,0,0.00,0,0.00,1,272,2.11,1.77,1.24,2,59.80,0.00,14969.60,250.33,2.16,36.16,0.33,2.00,579.60,223.80,5045.76,15.79,0.00,0.00,0.00,0.00
2018-01-06 15:16:19,2.32,0.00,1.16,0.15,0.45,0.00,0.86,0.00,0.00,95.05,0.20,3131.40,4568.40,0.00,0.00,0.00,7300.80,15.20,0.00,10488.20,0.00,0.00,0.00,0.00,67.00,0.00,67.00,0.00,14630.40,29941784,0,1458136,4.64,41480,654616,1452632,4.63,723276,480932,205772,508164,59200,2280,3872,58076,0,0,0.00,0,0.00,0,271,1.94,1.74,1.23,0,67.00,0.00,14630.40,218.36,1.48,22.10,0.25,1.68,3436.40,1421.80,21590.14,26527.43,0.00,0.00,0.00,0.00
2018-01-06 15:16:24,9.80,0.00,3.86,0.36,1.46,0.00,2.24,0.00,0.00,82.27,17.40,5310.20,14114.00,0.00,0.00,0.00,11227.20,3454.20,0.00,23867.20,0.00,0.00,0.00,0.00,89.20,0.00,89.20,0.00,22454.40,29702120,0,1697800,5.41,41488,851340,2939936,9.36,851940,579792,346648,543296,65360,2704,4464,58076,0,0,0.00,0,0.00,2,323,1.87,1.73,1.23,0,89.20,0.00,22454.40,251.73,3.50,39.20,0.51,4.56,7982.80,5874.80,13546.02,100971.19,0.00,0.00,0.00,0.00
2018-01-06 15:16:29,85.94,0.00,5.87,0.05,0.05,0.00,6.28,0.00,0.00,1.81,20.40,6626.20,16697.60,0.00,0.00,0.00,3576.00,23989.80,0.00,20675.80,0.00,0.00,0.00,0.00,28.80,0.00,28.80,0.00,7152.00,28904008,0,2495912,7.95,41500,851552,4812476,15.33,1654516,574696,329692,1336192,67380,3280,7192,58076,0,0,0.00,0,0.00,8,394,2.60,1.88,1.28,0,28.80,0.00,7152.00,248.33,0.80,27.69,0.86,2.48,9323.40,8742.20,485.98,152540.54,0.00,0.00,0.00,0.00
2018-01-06 15:16:34,37.67,0.00,2.19,0.00,1.87,0.00,2.39,0.00,0.00,55.88,9.20,6701.60,18225.80,0.00,0.00,0.00,93.60,5919.80,0.00,15236.80,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,187.20,28584268,0,2815652,8.97,41508,851576,5216936,16.61,1974524,574028,329624,1655512,67208,3320,7896,58076,0,0,0.00,0,0.00,0,400,2.39,1.85,1.28,0,1.60,0.00,187.20,117.00,0.00,1.00,0.50,0.08,9015.80,8984.60,469.01,152443.02,0.00,0.00,0.00,0.00
2018-01-06 15:16:39,0.41,0.00,0.15,0.00,1.23,0.05,0.10,0.00,0.00,98.05,0.00,3305.60,7979.40,0.00,0.00,0.00,12.80,9.60,0.00,4717.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,25.60,28585828,0,2814092,8.96,41516,851600,5216936,16.61,1973056,574048,329660,1653984,66860,3256,7896,58076,0,0,0.00,0,0.00,0,391,2.20,1.82,1.27,0,0.40,0.00,25.60,64.00,0.00,0.00,0.00,0.00,3767.80,3446.00,191.40,73031.49,0.00,0.00,0.00,0.00
2018-01-06 15:16:44,18.09,0.00,1.87,0.00,0.52,0.00,0.52,0.00,0.00,79.00,1.60,4627.40,6041.20,0.00,0.00,0.00,8.80,5361.20,0.00,11945.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,17.60,28402536,0,2997384,9.55,41524,924220,5247708,16.71,2120456,607924,402268,1762792,66828,3232,8128,58076,0,0,0.00,0,0.00,2,390,2.02,1.79,1.26,0,0.60,0.00,17.60,29.33,0.00,0.00,0.00,0.00,1682.60,1031.60,14696.64,72.09,0.00,0.00,0.00,0.00
2018-01-06 15:16:49,2.95,0.00,0.67,1.19,0.52,0.00,0.26,0.00,0.00,94.41,0.00,3348.80,4576.40,0.00,0.00,0.00,26436.80,20.40,0.00,6954.20,0.00,0.00,0.00,0.00,207.40,0.00,207.40,0.00,52873.60,28367264,0,3032656,9.66,41532,973648,5247708,16.71,2131192,630660,319608,1747380,68120,3232,8116,58076,0,0,0.00,0,0.00,1,390,1.86,1.76,1.26,0,207.40,0.00,52873.60,254.94,8.58,41.39,0.31,6.48,1129.00,780.40,9906.54,53.90,0.00,0.00,0.00,0.00
