timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 15:38:54,0.40,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,99.40,0.40,268.00,155.80,0.00,0.00,0.00,29.60,565.40,0.00,1442.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,59.20,646444,0,3208400,83.23,5344,2382780,951564,24.68,1025204,2046308,66304,683392,96432,2040,3644,10752,0,0,0.00,0,0.00,0,241,2.58,1.97,1.91,0,0.80,0.00,59.20,74.00,0.00,3.00,1.00,0.08,3.20,4.60,0.35,0.69,0.00,0.00,0.00,0.00
2018-01-06 15:38:59,0.90,0.00,0.50,0.20,0.00,0.00,0.10,0.00,0.00,98.29,13.00,383.80,316.40,0.00,0.00,150.40,15.20,5503.00,1.60,1826.00,0.00,0.00,0.00,0.00,18.80,18.40,0.40,300.80,30.40,640832,0,3214012,83.38,5588,2383324,959392,24.89,1030104,2047068,66328,688268,96420,2064,4148,10752,0,0,0.00,0,0.00,1,244,2.37,1.94,1.90,0,18.80,300.80,30.40,17.62,0.01,0.34,0.21,0.40,7.80,9.00,1.62,1.58,0.00,0.00,0.00,0.00
2018-01-06 15:39:04,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.00,232.00,139.60,0.00,0.00,1.60,0.00,7.60,0.00,26.20,0.00,0.00,0.00,0.00,0.40,0.40,0.00,3.20,0.00,640832,0,3214012,83.38,5596,2383348,959392,24.89,1030104,2047084,66352,688268,96420,2064,4148,10752,0,0,0.00,0,0.00,0,244,2.18,1.91,1.89,0,0.40,3.20,0.00,8.00,0.00,0.00,0.00,0.00,2.80,4.00,0.23,0.78,0.00,0.00,0.00,0.00
2018-01-06 15:39:09,0.10,0.00,0.10,1.41,0.10,0.00,0.00,0.00,0.00,98.29,0.00,237.20,248.00,0.00,0.00,0.00,13244.00,9.20,0.00,26.20,0.00,0.00,0.00,0.00,112.60,0.00,112.60,0.00,26488.00,640800,0,3214044,83.38,5604,2383372,959392,24.89,1030116,2047096,128,688272,96456,2064,4148,10752,0,0,0.00,0,0.00,0,244,2.01,1.88,1.88,0,112.60,0.00,26488.00,235.24,4.34,38.59,0.30,3.36,2.80,4.00,0.23,0.74,0.00,0.00,0.00,0.00
2018-01-06 15:39:14,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,217.40,126.60,0.00,0.00,0.00,15.20,8.00,0.00,24.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,30.40,640800,0,3214044,83.38,5612,2383396,959392,24.89,1030140,2047132,232,688272,96456,2064,4148,10752,0,0,0.00,0,0.00,2,244,1.85,1.85,1.87,0,0.40,0.00,30.40,76.00,0.00,0.00,0.00,0.00,2.40,3.60,0.20,0.68,0.00,0.00,0.00,0.00
2018-01-06 15:39:19,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.00,228.40,131.40,0.00,0.00,0.00,3.20,7.60,0.00,25.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,640800,0,3214044,83.38,5620,2383408,959392,24.89,1030152,2047144,252,688272,96456,2064,4148,10752,0,0,0.00,0,0.00,1,244,1.70,1.82,1.86,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,2.60,4.00,0.22,0.78,0.00,0.00,0.00,0.00
2018-01-06 15:39:24,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,225.00,132.60,0.00,0.00,0.00,34.40,7.60,0.00,25.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,68.80,640800,0,3214044,83.38,5620,2383440,959392,24.89,1030164,2047168,104,688272,96456,2064,4148,10752,0,0,0.00,0,0.00,0,244,1.56,1.79,1.85,0,0.80,0.00,68.80,86.00,0.00,0.00,0.00,0.00,2.60,4.00,0.22,0.78,0.00,0.00,0.00,0.00
2018-01-06 15:39:29,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,231.00,136.20,0.00,0.00,0.00,11.20,7.60,0.00,126.20,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,22.40,640364,0,3214480,83.39,5632,2383464,959392,24.89,1028140,2047192,160,688284,96456,2064,4148,10752,0,0,0.00,0,0.00,0,244,1.44,1.76,1.84,0,0.60,0.00,22.40,37.33,0.00,0.00,0.00,0.00,2.60,3.80,0.21,0.69,0.00,0.00,0.00,0.00
2018-01-06 15:39:34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,225.60,132.60,0.00,0.00,0.00,0.00,7.60,0.00,23.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,640364,0,3214480,83.39,5632,2383488,959392,24.89,1028148,2047208,184,688284,96456,2064,4148,10752,0,0,0.00,0,0.00,1,244,1.32,1.73,1.83,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20,3.60,0.20,0.76,0.00,0.00,0.00,0.00
2018-01-06 15:39:39,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,239.40,151.80,0.00,0.00,0.00,9.60,9.60,0.00,47.20,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,19.20,640528,0,3214316,83.38,5640,2383508,959392,24.89,1029852,2047224,192,687928,96456,2024,4148,10752,0,0,0.00,0,0.00,0,239,1.22,1.70,1.82,0,1.00,0.00,19.20,19.20,0.00,0.00,0.00,0.00,2.60,4.00,0.22,0.78,0.00,0.00,0.00,0.00
