timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 17:54:39,18.17,0.00,0.70,0.30,0.00,0.00,0.00,0.00,0.00,80.82,1.00,350.00,295.20,0.00,0.00,124.00,40.80,1045.20,0.00,2058.20,0.00,0.00,0.00,0.00,15.20,14.40,0.80,248.00,81.60,3329932,0,524912,13.62,11168,103824,703368,18.25,423120,29764,372,337864,30576,1856,2856,10752,0,0,0.00,0,0.00,1,218,0.59,1.06,1.46,0,15.20,248.00,81.60,21.68,0.01,0.89,0.74,1.12,4.40,5.40,0.41,0.74,0.00,0.00,0.00,0.00
2018-01-06 17:54:44,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,229.00,139.40,0.00,0.00,0.00,0.00,12.00,0.00,20.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3329956,0,524888,13.62,11168,103844,703368,18.25,423092,29764,392,337876,30576,1856,2856,10752,0,0,0.00,0,0.00,1,218,0.54,1.04,1.45,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-06 17:54:49,12.76,0.00,1.01,0.20,0.10,0.00,0.10,0.00,0.00,85.83,3.60,746.40,737.00,0.00,0.00,56.00,2.40,1418.40,0.00,996.40,0.00,0.00,0.00,0.00,9.40,9.00,0.40,112.00,4.80,3258444,0,596400,15.47,11176,110184,844700,21.91,488080,36040,6452,402816,30616,1896,2984,10752,0,0,0.00,0,0.00,5,224,0.50,1.02,1.45,0,9.40,112.00,4.80,12.43,0.01,0.94,0.85,0.80,149.20,69.20,1241.37,5.03,0.00,0.00,0.00,0.10
2018-01-06 17:54:54,3.99,0.00,0.82,0.00,0.20,0.00,0.31,0.00,0.00,94.68,0.20,2321.40,2586.40,0.00,0.00,0.00,77.60,59.20,0.00,2895.00,0.00,0.00,0.00,0.00,9.60,0.00,9.60,0.00,155.20,3216184,0,638660,16.57,11184,138080,852904,22.13,503136,63808,34096,417860,30520,1912,3024,10752,0,0,0.00,0,0.00,0,225,0.70,1.05,1.45,0,9.60,0.00,155.20,16.17,0.00,0.33,0.17,0.16,638.80,330.20,5597.58,22.59,0.00,0.00,0.00,0.46
2018-01-06 17:54:59,4.93,0.00,0.41,0.10,0.21,0.00,0.62,0.00,0.00,93.74,0.00,2698.20,3100.40,0.00,0.00,0.00,12.00,21.20,0.00,3013.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,24.00,3182712,0,672132,17.44,11192,170528,852904,22.13,503304,96464,66576,418016,31332,1904,3024,10752,0,0,0.00,0,0.00,0,224,0.72,1.05,1.45,0,0.80,0.00,24.00,30.00,0.00,0.00,0.00,0.00,748.20,419.80,6566.02,28.12,0.00,0.00,0.00,0.54
2018-01-06 17:55:04,1.64,0.00,0.51,0.00,0.10,0.00,0.10,0.00,0.00,97.64,0.40,2433.60,2620.00,0.00,0.00,0.00,7.20,173.20,0.00,2597.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,14.40,3154260,0,700584,18.17,11200,198172,852904,22.13,503340,123964,94256,418032,32036,1904,3024,10752,0,0,0.00,0,0.00,0,224,0.66,1.04,1.44,0,0.40,0.00,14.40,36.00,0.00,0.00,0.00,0.00,632.40,370.80,5551.78,24.91,0.00,0.00,0.00,0.45
2018-01-06 17:55:09,1.95,0.00,0.51,0.00,0.31,0.00,0.10,0.00,0.00,97.13,0.00,2561.20,2798.60,0.00,0.00,0.00,58.40,14.00,0.00,2733.40,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,116.80,3123632,0,731212,18.97,11208,227808,852904,22.13,503456,153756,123696,418136,32808,1904,3024,10752,0,0,0.00,0,0.00,0,224,0.61,1.02,1.44,0,1.80,0.00,116.80,64.89,0.00,0.00,0.00,0.00,679.60,396.00,5970.82,26.64,0.00,0.00,0.00,0.49
2018-01-06 17:55:14,81.99,0.00,3.32,0.10,0.00,0.00,0.10,0.00,0.00,14.49,17.00,1715.20,1332.20,0.00,0.00,485.60,12.00,11539.60,1.40,3776.20,0.00,0.00,0.00,0.00,45.80,45.40,0.40,971.20,24.00,2687220,0,1167624,30.29,11492,235100,3202112,83.07,936904,153472,128928,843784,33664,2432,4692,10752,0,0,0.00,0,0.00,7,290,0.88,1.07,1.45,0,45.80,971.20,24.00,21.73,0.03,0.75,0.37,1.68,116.60,62.80,987.67,4.57,0.00,0.00,0.00,0.08
2018-01-06 17:55:19,95.09,0.00,4.01,0.10,0.00,0.00,0.00,0.00,0.00,0.80,12.40,2138.80,1766.80,0.00,0.00,53.60,7868.80,4349.60,0.40,8486.40,0.00,0.00,0.00,0.00,81.40,6.00,75.40,107.20,15737.60,1790028,0,2064816,53.56,11508,245888,3329024,86.36,1831208,153972,100352,1727796,34220,2608,6472,10752,0,0,0.00,0,0.00,3,312,1.05,1.10,1.46,0,81.40,107.20,15737.60,194.65,1.91,23.42,0.26,2.08,147.00,115.40,1161.62,12.05,0.00,0.00,0.00,0.10
2018-01-06 17:55:24,96.50,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1197.60,1078.60,0.00,0.00,0.00,18988.80,34585.60,0.00,574.00,0.00,0.00,0.00,0.00,148.80,0.00,148.80,0.00,37977.60,1085992,0,2768852,71.83,11516,245912,3329024,86.36,2533928,154004,5744,2430680,34284,2552,7856,10752,0,0,0.00,0,0.00,4,305,1.13,1.11,1.46,0,148.80,0.00,37977.60,255.23,11.54,77.54,0.74,11.04,3.20,4.80,0.28,0.98,0.00,0.00,0.00,0.00
