timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 15:19:36,0.91,0.00,0.30,0.40,0.00,0.00,0.00,0.00,0.00,98.39,1.80,449.40,322.40,0.00,0.00,0.00,29.60,783.20,0.00,21081.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,59.20,1322568,0,2532276,65.69,29740,1868420,891416,23.12,765492,1645852,1184,513184,79008,1952,3200,10752,0,0,0.00,0,0.00,3,230,1.35,1.56,1.54,0,0.80,0.00,59.20,74.00,0.02,26.00,13.00,1.04,7.60,8.60,0.83,1.12,0.00,0.00,0.00,0.00
2018-01-06 15:19:41,0.30,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.60,0.20,240.60,129.40,0.00,0.00,0.00,43.20,19.00,0.00,39.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,86.40,1320884,0,2533960,65.73,29740,1868036,891416,23.12,767580,1645572,1100,515376,78956,1960,3204,10752,0,0,0.00,0,0.00,0,231,1.24,1.54,1.53,0,0.80,0.00,86.40,108.00,0.03,42.00,21.00,1.68,1.00,2.00,0.10,0.36,0.00,0.00,0.00,0.00
2018-01-06 15:19:46,1.51,0.00,0.60,0.10,0.00,0.00,0.00,0.00,0.00,97.78,14.40,421.40,335.60,0.00,0.00,0.00,20.80,7732.80,0.00,2485.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,41.60,1316560,0,2538284,65.85,29752,1868064,898260,23.30,771848,1645600,1148,519660,78908,1984,3716,10752,0,0,0.00,0,0.00,1,234,1.14,1.51,1.52,0,0.80,0.00,41.60,52.00,0.00,0.00,0.00,0.00,8.20,9.60,1.65,1.69,0.00,0.00,0.00,0.00
2018-01-06 15:19:51,0.20,0.00,0.10,0.00,0.10,0.00,0.00,0.00,0.00,99.60,1.60,393.20,369.00,0.00,0.00,0.00,52.00,43.60,0.00,231.60,0.00,0.00,0.00,0.00,6.60,0.00,6.60,0.00,104.00,1313680,0,2541164,65.92,29760,1868392,898260,23.30,774196,1645924,1264,521968,78892,2024,3720,10752,0,0,0.00,0,0.00,0,239,1.05,1.49,1.51,0,6.60,0.00,104.00,15.76,0.00,0.00,0.00,0.00,45.40,110.00,61.81,825.34,0.00,0.00,0.00,0.07
2018-01-06 15:19:56,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.00,234.00,142.60,0.00,0.00,0.00,14.40,8.00,0.00,26.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,28.80,1311648,0,2543196,65.97,29768,1868416,898260,23.30,776248,1645924,1324,524020,78892,2024,3724,10752,0,0,0.00,0,0.00,0,239,0.97,1.46,1.50,0,0.40,0.00,28.80,72.00,0.00,0.00,0.00,0.00,2.80,4.00,0.23,0.70,0.00,0.00,0.00,0.00
2018-01-06 15:20:01,65.63,0.00,2.61,0.00,0.00,0.00,0.00,0.00,0.00,31.76,20.40,1247.80,897.40,0.00,0.00,2.40,172.80,10887.00,0.00,4101.40,0.00,0.00,0.00,0.00,3.60,0.60,3.00,4.80,345.60,1082116,0,2772728,71.93,29780,1868992,1344004,34.87,1003600,1646348,1164,751276,79364,2360,4868,10752,0,0,0.00,0,0.00,5,281,1.37,1.54,1.53,0,3.60,4.80,345.60,97.33,0.00,0.22,0.22,0.08,25.80,30.60,24.52,61.82,0.00,0.00,0.00,0.01
2018-01-06 15:20:06,96.60,0.00,3.10,0.00,0.00,0.00,0.10,0.00,0.00,0.20,5.60,2968.60,831.80,0.00,0.00,1.60,81.60,2425.00,0.00,1122.20,0.00,0.00,0.00,0.00,2.20,0.40,1.80,3.20,163.20,736544,0,3118300,80.89,29792,1869260,1623376,42.11,1347452,1646596,1420,1095048,79624,2496,5664,10752,0,0,0.00,0,0.00,5,298,1.50,1.56,1.54,0,2.20,3.20,163.20,75.64,0.08,37.09,21.09,4.64,13.40,18.00,22.10,2.34,0.00,0.00,0.00,0.00
2018-01-06 15:20:11,95.00,0.00,4.90,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,1531.20,759.60,0.00,0.00,0.00,8488.00,56.20,0.00,434.40,0.00,0.00,0.00,0.00,80.40,0.00,80.40,0.00,16976.00,512264,0,3342580,86.71,29800,2087688,1623376,42.11,1568264,1644264,179564,1095084,85584,2440,5664,10752,0,0,0.00,0,0.00,5,291,1.62,1.59,1.54,0,80.40,0.00,16976.00,211.14,24.64,306.47,2.67,21.44,4.60,7.80,0.38,1.47,0.00,0.00,0.00,0.00
2018-01-06 15:20:16,69.81,0.00,6.92,21.06,0.00,0.00,0.10,0.00,0.00,2.11,3.80,1425.00,1049.20,0.00,0.00,1.60,37842.40,294.60,0.00,13546.60,0.00,0.00,0.00,0.00,266.20,0.40,265.80,3.20,67683.20,443868,0,3410976,88.49,29816,2154144,1623376,42.11,1638436,1639516,227336,1093892,88172,2472,5672,10752,0,0,0.00,0,0.00,4,295,1.73,1.61,1.55,2,266.20,3.20,67683.20,254.27,104.51,364.70,2.94,78.32,7.40,10.60,0.76,2.07,0.00,0.00,0.00,0.00
2018-01-06 15:20:21,86.03,0.00,3.22,8.24,0.00,0.00,0.00,0.00,0.00,2.51,15.20,1328.80,982.60,0.00,0.00,0.00,3213.60,11657.20,0.00,32956.80,0.00,0.00,0.00,0.00,57.00,0.00,57.00,0.00,14428.80,748756,0,3106088,80.58,29828,2129648,1351064,35.05,1340472,1634712,211800,815728,87040,2336,5020,10752,0,0,0.00,0,0.00,4,282,1.99,1.67,1.57,0,57.00,0.00,14428.80,253.14,19.84,476.76,3.05,17.36,14.80,17.20,2.67,2.51,0.00,0.00,0.00,0.00
2018-01-06 15:20:26,90.87,0.00,4.41,4.11,0.10,0.00,0.50,0.00,0.00,0.00,4.00,2587.40,2114.80,0.00,0.00,4.00,42301.60,1635.00,0.00,2506.80,0.00,0.00,0.00,0.00,337.00,1.00,336.00,8.00,84603.20,446060,0,3408784,88.43,29860,2133352,1622992,42.10,1640376,1635960,17524,1113176,87324,2496,5684,10752,0,0,0.00,0,0.00,4,298,2.15,1.70,1.58,0,337.00,8.00,84603.20,251.07,97.38,288.96,2.39,80.40,221.40,333.20,31.01,2758.16,0.00,0.00,0.00,0.23
2018-01-06 15:20:31,94.19,0.00,5.51,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.80,1595.00,1191.00,0.00,0.00,0.80,6900.00,62.80,0.00,1075.20,0.00,0.00,0.00,0.00,35.60,0.20,35.40,1.60,6924.80,179180,0,3675664,95.35,29872,2388724,1622992,42.10,1901340,1631316,243644,1118172,93940,2504,5696,10752,0,0,0.00,0,0.00,2,299,2.14,1.71,1.59,3,35.80,1.60,6976.00,194.91,13.99,197.30,2.95,10.56,5.80,20.60,0.47,123.16,0.00,0.00,0.00,0.01
2018-01-06 15:20:36,44.22,0.00,5.63,32.06,0.10,0.00,0.00,0.00,0.00,17.99,5.80,1459.00,1469.60,0.00,0.00,32.00,30420.00,607.60,1.60,44462.40,2236.40,0.00,2162.40,96.69,270.60,3.60,267.00,64.00,67715.20,773396,0,3081448,79.94,23368,2337672,976204,25.32,1359436,1585808,230532,584200,93236,2008,3836,10752,0,0,0.00,0,0.00,2,243,2.13,1.71,1.59,0,270.40,64.00,67664.00,250.47,107.60,423.55,3.17,85.68,174.80,215.20,12.14,1711.74,0.00,0.00,0.00,0.14
2018-01-06 15:20:41,94.68,0.00,3.11,0.20,0.00,0.00,0.10,0.00,0.00,1.91,10.80,1230.60,1115.00,0.00,0.00,96.80,19560.80,10192.00,3.80,4735.00,0.00,0.00,0.00,0.00,134.40,8.60,125.80,193.60,31851.20,564064,0,3290780,85.37,23384,2331212,1346212,34.92,1561736,1591604,133432,798840,93460,2376,5012,10752,0,0,0.00,0,0.00,6,285,2.52,1.80,1.62,1,134.80,193.60,31953.60,238.48,35.60,221.44,2.27,30.56,167.20,290.40,12.67,2408.58,0.00,0.00,0.00,0.20
2018-01-06 15:20:46,80.40,0.00,5.23,1.91,0.00,0.00,1.21,0.00,0.00,11.26,5.00,2782.00,2242.20,0.00,0.00,3.20,6026.40,1268.60,0.20,13250.60,0.00,0.00,0.00,0.00,63.40,0.60,62.80,6.40,15747.20,123176,0,3731668,96.80,23400,2478840,1627128,42.21,1990284,1599276,260652,1087356,96968,2528,5608,10752,0,0,0.00,0,0.00,4,302,2.40,1.79,1.61,1,63.00,6.40,15644.80,248.43,15.23,267.14,2.68,16.88,2978.00,1573.40,24963.09,2366.83,0.00,0.00,0.00,2.04
2018-01-06 15:20:51,39.76,0.00,3.75,33.27,0.10,0.00,0.20,0.00,0.00,22.92,3.40,1444.40,1689.00,0.00,0.00,7.20,33534.40,365.00,0.00,30584.00,7742.80,0.00,7742.40,99.99,291.60,1.80,289.80,14.40,70644.80,473112,0,3381732,87.73,21524,2378452,1305864,33.88,1792532,1447740,218964,840204,97300,2304,4844,10752,0,0,0.00,0,0.00,1,275,2.53,1.83,1.63,0,291.60,14.40,70644.80,242.32,116.46,413.65,3.28,95.52,261.80,421.40,572.15,3019.32,0.00,0.00,0.00,0.25
2018-01-06 15:20:56,70.43,0.00,2.52,2.72,0.10,0.00,0.50,0.00,0.00,23.71,7.40,2083.80,2073.20,0.00,0.00,14.40,11393.60,5804.20,0.20,5230.60,0.00,0.00,0.00,0.00,64.40,0.20,64.20,28.80,16043.20,184680,0,3670164,95.21,21536,2373616,1618904,42.00,2070936,1456044,162552,1131848,97724,2528,5700,10752,0,0,0.00,0,0.00,6,302,2.56,1.85,1.63,1,64.40,28.80,16043.20,249.57,23.71,216.70,3.48,22.40,679.00,639.80,3948.78,2255.17,0.00,0.00,0.00,0.32
2018-01-06 15:21:01,63.97,0.00,5.16,26.32,0.10,0.00,0.30,0.00,0.00,4.15,0.80,1685.20,2108.00,0.00,0.00,2.40,32444.00,126.20,0.00,10893.80,7192.80,0.00,7174.40,99.74,283.20,0.60,282.60,4.80,71632.00,84844,0,3770000,97.80,15376,2475792,1618904,42.00,2316004,1307788,244968,1132920,101032,2544,5720,10752,0,0,0.00,0,0.00,3,304,2.60,1.86,1.64,0,283.20,4.80,71632.00,252.95,109.79,422.13,3.01,85.20,527.80,367.60,4491.44,26.09,0.00,0.00,0.00,0.37
