timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 14:48:25,0.30,0.00,0.20,29.12,0.00,0.00,0.00,0.00,0.00,70.38,0.40,262.20,305.00,0.00,0.00,0.80,23112.80,22.60,0.00,56.00,0.00,0.00,0.00,0.00,151.80,0.00,151.80,0.00,38289.60,803556,0,3051288,79.15,25620,2417652,823612,21.37,742308,2175032,200964,474072,92272,1952,3168,10752,0,0,0.00,0,0.00,0,230,2.20,1.18,0.51,1,151.80,0.00,38289.60,252.24,62.99,365.10,3.21,48.80,1.60,3.00,0.17,0.54,0.00,0.00,0.00,0.00
2018-01-06 14:48:30,0.71,0.00,0.61,53.38,0.10,0.00,0.00,0.00,0.00,45.21,13.20,406.60,503.00,0.00,0.00,1.60,24364.00,5535.20,0.00,1453.60,0.00,0.00,0.00,0.00,194.60,0.60,194.00,4.80,49598.40,799084,0,3055760,79.27,25636,2417700,825644,21.42,746600,2175060,79192,478264,92300,2096,3660,10752,0,0,0.00,0,0.00,1,233,2.11,1.17,0.51,1,194.60,4.80,49598.40,254.90,137.64,737.16,5.14,100.00,7.40,8.80,1.60,1.55,0.00,0.00,0.00,0.00
2018-01-06 14:48:35,0.10,0.00,0.10,22.84,0.10,0.00,0.00,0.00,0.00,76.86,0.40,277.60,322.40,0.00,0.00,0.00,15748.00,16.00,0.00,570.20,0.00,0.00,0.00,0.00,151.00,0.00,151.00,0.00,38561.60,794748,0,3060096,79.38,25636,2417788,825644,21.42,750500,2175132,532,482184,92296,1976,3676,10752,0,0,0.00,0,0.00,0,233,2.02,1.17,0.51,0,151.00,0.00,38561.60,255.37,77.83,527.04,4.09,61.76,4.80,6.00,9.79,0.99,0.00,0.00,0.00,0.00
2018-01-06 14:48:40,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,239.00,143.60,0.00,0.00,0.00,19.20,7.80,0.00,23.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,38.40,794808,0,3060036,79.38,25648,2417812,825644,21.42,750480,2175132,572,482184,92296,1976,3676,10752,0,0,0.00,0,0.00,0,233,1.86,1.15,0.51,0,0.60,0.00,38.40,64.00,0.00,1.33,1.33,0.08,2.20,3.60,0.20,0.75,0.00,0.00,0.00,0.00
2018-01-06 14:48:45,59.78,0.00,2.61,0.00,0.00,0.00,0.00,0.00,0.00,37.61,15.60,1134.80,805.00,0.00,0.00,0.00,0.00,9439.40,0.00,3246.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,600292,0,3254552,84.43,25656,2418364,1307024,33.91,942912,2175564,1184,674452,92752,2240,4616,10752,0,0,0.00,0,0.00,3,269,1.71,1.13,0.51,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.20,20.80,81.37,2.20,0.00,0.00,0.00,0.01
2018-01-06 14:48:50,96.50,0.00,2.90,0.10,0.00,0.00,0.10,0.00,0.00,0.40,6.80,1628.40,979.20,0.00,0.00,8.80,109.60,3603.20,0.00,2276.60,0.00,0.00,0.00,0.00,13.60,1.40,12.20,17.60,219.20,242684,0,3612160,93.70,25668,2416612,1589704,41.24,1300380,2173468,1088,1031620,93332,2456,5516,10752,0,0,0.00,0,0.00,6,293,2.05,1.21,0.54,0,13.60,17.60,219.20,17.41,0.00,0.24,0.18,0.24,12.60,17.00,3.51,10.21,0.00,0.00,0.00,0.00
2018-01-06 14:48:55,98.40,0.00,1.20,0.00,0.00,0.00,0.20,0.00,0.00,0.20,0.00,1600.20,872.20,0.00,0.00,0.80,52.00,119.40,0.00,499.20,0.00,0.00,0.00,0.00,2.00,0.20,1.80,1.60,104.00,248800,0,3606044,93.55,25684,2411520,1589704,41.24,1298816,2168564,996,1030256,93440,2424,5572,10752,0,0,0.00,0,0.00,3,289,2.21,1.26,0.56,0,2.00,1.60,104.00,52.80,0.02,12.40,7.60,1.52,3.80,6.00,0.33,1.31,0.00,0.00,0.00,0.00
2018-01-06 14:49:00,98.40,0.00,1.40,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,1532.00,937.60,0.00,0.00,0.80,20.80,60.00,0.00,333.60,0.00,0.00,0.00,0.00,1.00,0.20,0.80,1.60,41.60,251576,0,3603268,93.47,25692,2406468,1589704,41.24,1301172,2163788,1092,1032788,93240,2408,5584,10752,0,0,0.00,0,0.00,3,287,2.35,1.30,0.57,0,1.00,1.60,41.60,43.20,0.00,0.00,0.00,0.00,3.40,5.80,0.30,1.39,0.00,0.00,0.00,0.00
2018-01-06 14:49:05,98.40,0.00,1.40,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,1265.80,854.20,0.00,0.00,0.00,8.80,19.40,0.00,321.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,17.60,254580,0,3600264,93.40,25700,2401412,1589704,41.24,1303136,2158988,1168,1034972,93200,2408,5584,10752,0,0,0.00,0,0.00,5,287,2.32,1.32,0.58,0,0.40,0.00,17.60,44.00,0.00,0.00,0.00,0.00,2.80,4.60,0.25,1.14,0.00,0.00,0.00,0.00
2018-01-06 14:49:10,99.00,0.00,0.80,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,1002.20,810.80,0.00,0.00,0.00,17.60,21.00,0.00,460.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,35.20,262088,0,3592756,93.20,25708,2396360,1589704,41.24,1300520,2154188,1184,1032508,93036,2408,5584,10752,0,0,0.00,0,0.00,3,285,2.30,1.33,0.59,0,0.80,0.00,35.20,44.00,0.00,0.00,0.00,0.00,3.60,6.00,0.33,1.60,0.00,0.00,0.00,0.00
