timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 16:34:50,0.25,0.00,0.20,14.89,0.05,0.00,0.00,0.00,0.00,84.60,0.40,318.20,579.60,0.00,0.00,3.20,44208.00,686.40,0.00,1288.60,0.00,0.00,0.00,0.00,377.40,0.80,376.60,6.40,96249.60,4507876,0,3151636,41.15,29316,2377028,1063156,13.88,854964,2131256,296,579916,97232,2152,3504,17940,0,0,0.00,0,0.00,0,256,2.37,2.91,2.40,0,377.40,6.40,96249.60,255.05,90.00,246.24,1.77,66.72,2.80,4.00,0.31,0.57,0.00,0.00,0.00,0.00
2018-01-06 16:34:55,0.80,0.00,0.25,0.00,0.05,0.00,0.00,0.00,0.00,98.90,14.80,504.20,432.60,0.00,0.00,0.00,0.00,7756.60,0.00,2522.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4500576,0,3158936,41.24,29316,2377060,1065604,13.91,861384,2131300,328,586308,97192,2176,4008,17940,0,0,0.00,0,0.00,1,259,2.18,2.86,2.39,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.20,14.80,11.56,11.68,0.00,0.00,0.00,0.00
2018-01-06 16:35:00,0.05,0.00,0.00,0.65,0.00,0.00,0.00,0.00,0.00,99.30,0.00,263.60,170.20,0.00,0.00,0.00,14.40,7.60,0.00,28.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,28.80,4500636,0,3158876,41.24,29324,2377136,1065604,13.91,861384,2131352,412,586308,97192,2184,4012,17940,0,0,0.00,0,0.00,1,259,2.00,2.82,2.38,0,0.40,0.00,28.80,72.00,0.01,36.00,36.00,1.44,3.20,4.60,0.26,0.83,0.00,0.00,0.00,0.00
2018-01-06 16:35:05,62.91,0.00,2.31,0.05,0.00,0.00,0.00,0.00,0.00,34.74,34.20,2184.60,1489.00,0.00,0.00,2.40,2.40,23021.00,0.00,9449.40,0.00,0.00,0.00,0.00,1.00,0.60,0.40,4.80,4.80,4112068,0,3547444,46.31,29332,2377856,1964664,25.65,1247316,2131900,1220,972100,98748,2864,6228,17940,0,0,0.00,0,0.00,10,344,2.40,2.88,2.40,0,1.00,4.80,4.80,9.60,0.00,0.00,0.00,0.00,33.60,31.40,84.91,3.46,0.00,0.00,0.00,0.01
2018-01-06 16:35:10,96.34,0.00,3.16,0.00,0.00,0.00,0.25,0.00,0.00,0.25,13.40,4608.00,2468.60,0.00,0.00,1.60,63.20,5240.20,0.00,3585.80,0.00,0.00,0.00,0.00,1.40,0.40,1.00,3.20,126.40,3437604,0,4221908,55.12,29344,2378352,2309852,30.16,1918232,2132392,1936,1643008,99724,3256,7752,17940,0,0,0.00,0,0.00,7,393,2.77,2.95,2.43,0,1.40,3.20,126.40,92.57,0.00,2.29,0.57,0.08,30.60,36.00,6.85,60.85,0.00,0.00,0.00,0.00
2018-01-06 16:35:15,96.15,0.00,3.60,0.00,0.00,0.00,0.20,0.00,0.00,0.05,0.00,2548.80,1609.80,0.00,0.00,0.00,32.80,176.00,0.00,427.40,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,65.60,3027456,0,4632056,60.47,29356,2775740,2367636,30.91,2320732,2130032,401360,1645572,109912,3128,7812,17940,0,0,0.00,0,0.00,5,377,2.95,2.99,2.44,0,1.00,0.00,65.60,65.60,0.00,0.00,0.00,0.00,8.00,10.60,0.65,2.33,0.00,0.00,0.00,0.00
2018-01-06 16:35:20,73.14,0.00,7.29,7.44,0.05,0.00,0.00,0.00,0.00,12.07,16.20,3191.00,2193.20,0.00,0.00,6.40,59407.20,3504.80,0.00,67477.20,0.00,0.00,0.00,0.00,486.40,1.60,484.80,12.80,118814.40,3587728,0,4071784,53.16,29396,2916356,1916832,25.03,1758800,2125036,545852,917916,114640,2856,5864,17940,0,0,0.00,0,0.00,6,311,3.11,3.02,2.45,0,486.40,12.80,118814.40,244.30,108.48,223.03,1.72,83.76,23.20,27.00,2.96,4.42,0.00,0.00,0.00,0.00
2018-01-06 16:35:25,93.23,0.00,3.21,0.00,0.00,0.00,0.05,0.00,0.00,3.51,22.20,2566.20,1820.60,0.00,0.00,0.00,7428.80,21624.60,0.00,24193.40,0.00,0.00,0.00,0.00,32.80,0.00,32.80,0.00,8252.80,3299072,0,4360440,56.93,29408,2911552,2056424,26.85,2052568,2120372,509792,1234232,114800,3008,6908,17940,0,0,0.00,0,0.00,14,363,3.51,3.10,2.48,1,32.80,0.00,8252.80,251.61,11.65,210.49,2.49,8.16,22.60,24.40,5.00,16.92,0.00,0.00,0.00,0.00
2018-01-06 16:35:30,89.55,0.00,4.42,1.51,0.05,0.00,0.70,0.00,0.00,3.77,8.60,5093.40,3954.80,0.00,0.00,68.80,66414.40,3139.60,0.00,15226.40,0.00,0.00,0.00,0.00,518.60,2.80,515.80,137.60,131958.40,2756664,0,4902848,64.01,29448,3065796,2383180,31.11,2562896,2149544,349224,1618036,117816,3232,7748,17940,0,0,0.00,0,0.00,6,390,3.79,3.17,2.51,1,518.80,137.60,132009.60,254.72,135.92,259.01,1.93,100.00,2144.60,1895.60,13508.86,8667.09,0.00,0.00,0.00,1.11
2018-01-06 16:35:35,76.22,0.00,7.15,5.79,0.05,0.00,0.20,0.00,0.00,10.58,10.00,2978.20,3033.80,0.00,0.00,2.40,45072.00,4901.60,0.00,23749.60,0.00,0.00,0.00,0.00,369.20,0.60,368.60,4.80,90176.00,2438924,0,5220588,68.16,29472,3540936,2274100,29.69,2854976,2161352,606436,1448172,131028,3192,7352,17940,0,0,0.00,0,0.00,4,385,3.80,3.18,2.52,1,369.20,4.80,90176.00,244.26,79.55,208.62,1.77,65.44,355.20,503.20,749.85,3615.63,0.00,0.00,0.00,0.30
