timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 16:46:11,0.15,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,99.60,0.20,301.60,202.40,0.00,0.00,0.00,0.00,586.60,0.00,16798.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11328944,0,5104196,31.06,30516,4181856,1240180,7.55,1032764,3800892,329604,621288,153268,2240,3592,31404,0,0,0.00,0,0.00,0,266,4.76,3.51,2.54,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.60,6.00,0.53,0.76,0.00,0.00,0.00,0.00
2018-01-06 16:46:16,0.30,0.00,0.35,2.91,0.10,0.00,0.00,0.00,0.00,96.33,13.20,421.20,594.00,0.00,0.00,0.00,33116.80,5539.40,0.00,1463.00,0.00,0.00,0.00,0.00,268.80,0.00,268.80,0.00,66233.60,11325100,0,5108040,31.08,30528,4181880,1257232,7.65,1037048,3800916,164324,625580,153268,2264,4092,31404,0,0,0.00,0,0.00,0,269,4.38,3.45,2.52,0,268.80,0.00,66233.60,246.40,20.02,74.49,0.60,16.08,8.00,9.60,1.64,1.71,0.00,0.00,0.00,0.00
2018-01-06 16:46:21,0.00,0.00,0.10,1.25,0.00,0.00,0.00,0.00,0.00,98.65,0.00,257.60,262.20,0.00,0.00,0.00,17192.00,9.60,0.00,433.00,0.00,0.00,0.00,0.00,108.80,0.00,108.80,0.00,27779.20,11325092,0,5108048,31.08,30536,4181904,1257232,7.65,1035080,3800924,78720,625660,153268,2264,4092,31404,0,0,0.00,0,0.00,1,269,4.03,3.40,2.51,0,109.20,0.00,27881.60,255.33,7.12,58.95,0.50,5.44,2.40,3.80,0.21,0.78,0.00,0.00,0.00,0.00
2018-01-06 16:46:26,0.00,0.00,0.05,2.06,0.05,0.00,0.00,0.00,0.00,97.84,0.00,252.60,299.20,0.00,0.00,0.00,15674.40,9.00,0.00,33.60,0.00,0.00,0.00,0.00,150.40,0.00,150.40,0.00,37953.60,11325164,0,5107976,31.08,30544,4181928,1257232,7.65,1037156,3800956,192,625664,153196,2264,4092,31404,0,0,0.00,0,0.00,0,269,3.71,3.34,2.50,0,150.00,0.00,37851.20,252.34,12.49,87.81,0.73,10.88,2.60,3.80,0.22,0.70,0.00,0.00,0.00,0.00
2018-01-06 16:46:31,0.00,0.00,0.05,0.05,0.05,0.00,0.00,0.00,0.00,99.85,0.00,248.80,152.80,0.00,0.00,0.00,13.60,9.60,0.00,233.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,27.20,11325160,0,5107980,31.08,30552,4181952,1257232,7.65,1037156,3800956,260,625664,153196,2264,4092,31404,0,0,0.00,0,0.00,0,269,3.41,3.29,2.48,0,0.40,0.00,27.20,68.00,0.00,0.00,0.00,0.00,2.80,4.20,0.24,0.81,0.00,0.00,0.00,0.00
2018-01-06 16:46:36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,246.00,149.00,0.00,0.00,0.00,0.00,7.60,0.00,26.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11325160,0,5107980,31.08,30552,4181976,1257232,7.65,1037168,3800968,284,625664,153196,2264,4092,31404,0,0,0.00,0,0.00,1,269,3.14,3.23,2.47,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,4.20,0.24,0.81,0.00,0.00,0.00,0.00
2018-01-06 16:46:41,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.95,0.00,246.80,152.40,0.00,0.00,0.00,38.40,9.80,0.00,848.20,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,76.80,11325268,0,5107872,31.08,30560,4182000,1257232,7.65,1037180,3800980,128,625668,153196,2264,4092,31404,0,0,0.00,0,0.00,0,269,2.89,3.18,2.46,0,1.40,0.00,76.80,54.86,0.00,0.00,0.00,0.00,3.00,4.20,0.24,0.73,0.00,0.00,0.00,0.00
2018-01-06 16:46:46,0.05,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,247.20,152.60,0.00,0.00,0.00,6.40,7.60,0.00,27.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,12.80,11325268,0,5107872,31.08,30568,4182024,1257232,7.65,1037180,3801000,164,625668,153196,2264,4092,31404,0,0,0.00,0,0.00,2,269,2.66,3.12,2.44,0,0.40,0.00,12.80,32.00,0.00,0.00,0.00,0.00,3.20,4.60,0.26,0.84,0.00,0.00,0.00,0.00
2018-01-06 16:46:51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,271.00,188.40,0.00,0.00,0.00,24.00,11.40,0.00,68.40,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,48.00,11325496,0,5107644,31.08,30576,4182044,1257232,7.65,1036596,3801052,76,625024,153164,2192,4092,31404,0,0,0.00,0,0.00,0,260,2.44,3.07,2.43,0,4.40,0.00,48.00,10.91,0.00,0.00,0.00,0.00,3.00,4.40,0.25,0.82,0.00,0.00,0.00,0.00
2018-01-06 16:46:56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,242.80,147.80,0.00,0.00,0.00,8.80,8.80,0.00,29.60,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,17.60,11325560,0,5107580,31.08,30584,4182068,1257232,7.65,1036596,3801060,100,625024,153100,2192,4092,31404,0,0,0.00,0,0.00,0,260,2.25,3.02,2.42,0,1.20,0.00,17.60,14.67,0.00,0.00,0.00,0.00,2.80,4.00,0.23,0.72,0.00,0.00,0.00,0.00
