timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 18:00:08,0.15,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,99.70,0.20,293.40,190.20,0.00,0.00,0.00,0.00,662.20,0.00,4124.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15151676,0,1281464,7.80,39992,492136,1228928,7.48,777480,332720,123988,578076,54180,2216,3500,31404,0,0,0.00,0,0.00,0,263,3.12,1.72,1.07,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.20,5.80,0.50,0.75,0.00,0.00,0.00,0.00
2018-01-06 18:00:13,0.85,0.00,0.35,0.00,0.05,0.00,0.00,0.00,0.00,98.75,14.40,472.60,390.00,0.00,0.00,0.00,51.20,7747.40,0.00,2499.80,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,102.40,15148128,0,1285012,7.82,40000,492160,1241232,7.55,781808,332736,123988,582380,54100,2240,3996,31404,0,0,0.00,0,0.00,0,266,2.87,1.69,1.06,0,2.20,0.00,102.40,46.55,0.00,0.36,0.36,0.08,9.60,10.60,1.74,1.77,0.00,0.00,0.00,0.00
2018-01-06 18:00:18,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,99.85,0.00,247.60,199.20,0.00,0.00,0.00,6253.60,8.20,0.00,34.00,0.00,0.00,0.00,0.00,50.40,0.00,50.40,0.00,12507.20,15148128,0,1285012,7.82,40008,492184,1241232,7.55,781820,332752,92860,582380,54092,2240,3996,31404,0,0,0.00,0,0.00,0,266,2.64,1.66,1.06,0,50.40,0.00,12507.20,248.16,1.43,28.40,0.27,1.36,3.80,5.00,0.30,0.86,0.00,0.00,0.00,0.00
2018-01-06 18:00:23,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,99.90,0.00,249.20,200.20,0.00,0.00,0.00,6248.00,9.60,0.00,29.20,0.00,0.00,0.00,0.00,49.40,0.00,49.40,0.00,12496.00,15148136,0,1285004,7.82,40016,492208,1241232,7.55,781832,332768,61712,582380,54084,2240,3996,31404,0,0,0.00,0,0.00,0,266,2.43,1.64,1.05,0,49.40,0.00,12496.00,252.96,1.42,28.81,0.29,1.44,3.00,4.20,0.24,0.73,0.00,0.00,0.00,0.00
2018-01-06 18:00:28,0.05,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,99.65,0.00,251.00,225.20,0.00,0.00,0.00,9146.40,7.80,0.00,27.60,0.00,0.00,0.00,0.00,72.60,0.00,72.60,0.00,18292.80,15148136,0,1285004,7.82,40024,492232,1241232,7.55,781844,332772,16060,582384,54084,2240,3996,31404,0,0,0.00,0,0.00,0,266,2.24,1.61,1.05,0,72.60,0.00,18292.80,251.97,2.34,32.25,0.29,2.08,3.20,4.60,0.26,0.84,0.00,0.00,0.00,0.00
2018-01-06 18:00:33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,254.60,183.20,0.00,0.00,0.00,3132.80,10.40,0.00,28.80,0.00,0.00,0.00,0.00,25.00,0.00,25.00,0.00,6265.60,15148136,0,1285004,7.82,40032,492256,1241232,7.55,781864,332800,496,582388,54084,2240,3996,31404,0,0,0.00,0,0.00,0,266,2.06,1.58,1.04,0,25.00,0.00,6265.60,250.62,0.42,16.99,0.29,0.72,3.00,4.40,0.25,0.82,0.00,0.00,0.00,0.00
2018-01-06 18:00:38,0.80,0.00,0.15,0.00,0.10,0.00,0.00,0.00,0.00,98.94,5.60,966.60,1003.00,0.00,0.00,0.00,119.20,655.80,0.00,2292.40,0.00,0.00,0.00,0.00,9.60,0.00,9.60,0.00,238.40,15126364,0,1306776,7.95,40040,513720,1241232,7.55,782552,353816,21476,582888,54484,2320,3996,31404,0,0,0.00,0,0.00,0,274,1.89,1.56,1.04,0,9.60,0.00,238.40,24.83,0.00,0.00,0.00,0.00,519.20,212.80,4462.54,14.90,0.00,0.00,0.00,0.37
2018-01-06 18:00:43,0.76,0.00,0.15,0.00,0.05,0.00,0.05,0.00,0.00,98.98,3.20,2128.60,2069.00,0.00,0.00,0.00,44.00,489.00,0.00,1985.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,88.00,15106908,0,1326232,8.07,40052,533684,1241232,7.55,783232,373924,41648,583604,54440,2320,4000,31404,0,0,0.00,0,0.00,0,278,1.74,1.53,1.03,0,0.80,0.00,88.00,110.00,0.00,2.00,1.00,0.08,450.40,309.20,3901.61,21.94,0.00,0.00,0.00,0.32
2018-01-06 18:00:48,0.40,0.00,0.20,0.00,0.15,0.00,0.05,0.00,0.00,99.19,0.00,2076.60,1903.40,0.00,0.00,0.00,16.80,10.40,0.00,1680.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,33.60,15089164,0,1343976,8.18,40056,551816,1241232,7.55,783060,392120,59792,583396,54264,2328,4004,31404,0,0,0.00,0,0.00,0,276,1.60,1.50,1.03,0,0.80,0.00,33.60,42.00,0.00,1.00,1.00,0.08,414.60,265.00,3630.85,18.42,0.00,0.00,0.00,0.30
2018-01-06 18:00:53,0.30,0.00,0.05,0.00,0.05,0.00,0.00,0.00,0.00,99.59,0.00,2232.00,1784.00,0.00,0.00,0.00,4.80,10.20,0.00,1749.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,15070232,0,1362908,8.29,40060,570476,1241232,7.55,782936,410796,78456,583256,54264,2304,4004,31404,0,0,0.00,0,0.00,0,274,1.47,1.48,1.02,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,430.80,286.00,3764.72,19.80,0.00,0.00,0.00,0.31
2018-01-06 18:00:58,0.25,0.00,0.25,0.05,0.15,0.00,0.20,0.00,0.00,99.09,0.00,2038.80,2273.80,0.00,0.00,0.00,4.00,9.60,0.00,1873.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,15051688,0,1381452,8.41,40064,590328,1241232,7.55,782448,430560,98304,582760,54196,2256,4004,31404,0,0,0.00,0,0.00,0,268,1.36,1.45,1.01,0,0.40,0.00,8.00,20.00,0.00,2.00,2.00,0.08,457.40,275.20,3993.66,18.96,0.00,0.00,0.00,0.33
2018-01-06 18:01:03,0.36,0.00,0.10,0.00,0.10,0.00,0.05,0.00,0.00,99.39,0.00,2436.60,2136.20,0.00,0.00,0.00,8.00,13.20,0.00,2122.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,16.00,15028000,0,1405140,8.55,40072,613008,1241232,7.55,782480,453160,120988,582796,54464,2256,4004,31404,0,0,0.00,0,0.00,1,267,1.25,1.43,1.01,0,0.60,0.00,16.00,26.67,0.00,1.33,1.33,0.08,525.40,323.00,4599.31,22.17,0.00,0.00,0.00,0.38
2018-01-06 18:01:08,18.88,0.00,3.40,0.00,0.26,0.00,0.41,0.00,0.00,77.06,19.20,5040.40,5606.00,0.00,0.00,0.00,5.60,10121.40,0.00,17801.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,11.20,14720980,0,1712160,10.42,40072,689360,2913640,17.73,1104840,430056,197316,805656,59624,2480,5332,31404,0,0,0.00,0,0.00,7,339,1.15,1.41,1.00,0,0.40,0.00,11.20,28.00,0.00,2.00,2.00,0.08,1765.60,903.80,15501.07,60.38,0.00,0.00,0.00,1.27
2018-01-06 18:01:13,90.12,0.00,3.81,0.00,0.05,0.00,0.00,0.00,0.00,6.02,18.80,2316.40,1890.80,0.00,0.00,0.00,200.80,20123.60,0.00,10860.80,0.00,0.00,0.00,0.00,16.00,0.00,16.00,0.00,401.60,13886504,0,2546636,15.50,40084,689332,3690456,22.46,1939656,426188,196880,1636572,60856,3184,7412,31404,0,0,0.00,0,0.00,8,399,1.38,1.45,1.02,0,16.00,0.00,401.60,25.10,0.02,1.05,0.05,0.08,29.80,38.60,8.70,13.22,0.00,0.00,0.00,0.00
