timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 16:33:31,0.20,0.00,0.15,28.72,0.05,0.00,0.00,0.00,0.00,70.88,0.40,293.20,355.00,0.00,0.00,0.80,21345.60,571.20,0.00,1309.00,0.00,0.00,0.00,0.00,167.00,0.20,166.80,1.60,42640.00,13320936,0,3112204,18.94,28532,2374208,1204004,7.33,768732,2129768,1376172,495764,97444,2152,3320,31404,0,0,0.00,0,0.00,0,256,3.27,2.54,1.85,1,167.00,1.60,42640.00,255.34,130.88,770.93,5.99,100.00,3.00,4.40,0.33,0.68,0.00,0.00,0.00,0.00
2018-01-06 16:33:36,1.00,0.00,0.40,27.92,0.05,0.00,0.00,0.00,0.00,70.63,14.80,474.80,547.00,0.00,0.00,2.40,20428.00,7747.20,0.00,2492.20,0.00,0.00,0.00,0.00,163.40,0.60,162.80,4.80,41624.00,13316412,0,3116728,18.97,28564,2374244,1243364,7.57,773072,2129784,1274236,500108,97388,2184,3820,31404,0,0,0.00,0,0.00,1,261,3.09,2.52,1.85,1,163.40,4.80,41624.00,254.77,126.48,795.31,6.12,100.00,10.00,11.60,1.87,1.90,0.00,0.00,0.00,0.00
2018-01-06 16:33:41,0.05,0.00,0.05,28.77,0.05,0.00,0.00,0.00,0.00,71.08,0.80,333.00,433.60,0.00,0.00,1.60,22192.80,24.20,0.00,144.00,0.00,0.00,0.00,0.00,174.40,0.40,174.00,3.20,44488.00,13315924,0,3117216,18.97,28592,2374656,1243364,7.57,773268,2130156,1163972,500180,97380,2192,3820,31404,0,0,0.00,0,0.00,1,260,2.92,2.49,1.84,1,174.40,3.20,44488.00,255.11,130.35,694.11,5.74,100.08,23.60,25.00,69.80,75.62,0.00,0.00,0.00,0.01
2018-01-06 16:33:46,0.00,0.00,0.10,27.78,0.00,0.00,0.00,0.00,0.00,72.12,0.00,277.80,351.40,0.00,0.00,0.80,23079.20,10.00,0.00,35.40,0.00,0.00,0.00,0.00,181.80,0.20,181.60,1.60,46414.40,13315808,0,3117332,18.97,28604,2374676,1243364,7.57,773216,2130176,1048608,500116,97384,2184,3820,31404,0,0,0.00,0,0.00,1,259,2.77,2.47,1.84,1,181.80,1.60,46414.40,255.31,134.79,795.11,5.50,100.00,3.60,5.00,0.28,0.86,0.00,0.00,0.00,0.00
2018-01-06 16:33:51,0.10,0.00,0.10,28.09,0.10,0.00,0.00,0.00,0.00,71.61,0.00,274.40,380.80,0.00,0.00,0.80,27615.20,8.40,0.00,27.20,0.00,0.00,0.00,0.00,215.80,0.20,215.60,1.60,54793.60,13315808,0,3117332,18.97,28616,2374712,1243364,7.57,773228,2130176,910564,500116,97380,2184,3820,31404,0,0,0.00,0,0.00,0,259,2.63,2.44,1.83,1,215.80,1.60,54793.60,253.92,134.93,626.42,4.63,100.00,3.00,4.40,0.25,0.82,0.00,0.00,0.00,0.00
2018-01-06 16:33:56,0.00,0.00,0.10,28.08,0.00,0.00,0.00,0.00,0.00,71.82,0.00,263.60,370.20,0.00,0.00,0.80,27277.60,10.20,0.00,29.20,0.00,0.00,0.00,0.00,213.20,0.20,213.00,1.60,54224.00,13315684,0,3117456,18.97,28628,2374748,1243364,7.57,773276,2130212,774436,500116,97380,2184,3820,31404,0,0,0.00,0,0.00,1,259,2.50,2.42,1.83,1,213.40,1.60,54275.20,254.34,134.40,661.05,4.69,100.00,3.00,4.20,0.24,0.73,0.00,0.00,0.00,0.00
2018-01-06 16:34:01,0.05,0.00,0.10,25.96,0.10,0.00,0.00,0.00,0.00,73.78,0.20,272.40,372.00,0.00,0.00,1.60,24206.40,11.20,0.00,35.00,0.00,0.00,0.00,0.00,209.00,0.40,208.60,3.20,51556.80,13315684,0,3117456,18.97,28644,2374784,1243364,7.57,773300,2130216,653592,500116,97376,2184,3820,31404,0,0,0.00,0,0.00,1,260,2.38,2.39,1.83,2,208.80,3.20,51505.60,246.69,134.39,581.77,4.79,100.00,4.80,6.00,0.39,1.36,0.00,0.00,0.00,0.00
2018-01-06 16:34:06,75.35,0.00,3.22,7.44,0.00,0.00,0.10,0.00,0.00,13.88,37.00,2251.80,1936.20,0.00,0.00,4.00,23045.60,22527.00,0.00,10505.60,0.00,0.00,0.00,0.00,182.00,1.00,181.00,8.00,46142.40,12755824,0,3677316,22.38,28676,2375548,2415304,14.70,1328320,2130772,539324,1054864,99028,2920,6292,31404,0,0,0.00,0,0.00,12,358,2.99,2.52,1.87,3,182.00,8.00,46142.40,253.57,133.33,758.17,5.49,100.00,45.20,54.60,27.42,180.20,0.00,0.00,0.00,0.01
2018-01-06 16:34:11,96.45,0.00,2.95,0.10,0.00,0.00,0.25,0.00,0.00,0.25,11.00,4256.20,2661.40,0.00,0.00,2.40,27068.00,9284.80,0.00,5743.60,0.00,0.00,0.00,0.00,228.60,0.60,228.00,4.80,58297.60,12221984,0,4211156,25.63,28692,2376052,2464648,15.00,1855308,2131248,404996,1585920,100028,3272,7600,31404,0,0,0.00,0,0.00,5,395,3.71,2.68,1.92,3,228.60,4.80,58297.60,255.04,129.33,602.92,4.37,100.00,28.00,31.00,6.28,57.20,0.00,0.00,0.00,0.00
2018-01-06 16:34:16,88.53,0.00,3.25,1.25,0.05,0.00,0.35,0.00,0.00,6.56,0.00,3023.60,1986.60,0.00,0.00,0.80,9041.60,524.00,0.00,1457.20,0.00,0.00,0.00,0.00,44.40,0.20,44.20,1.60,11230.40,11922108,0,4511032,27.45,28708,2664012,2464648,15.00,2153216,2130024,648856,1590716,107888,3152,7624,31404,0,0,0.00,0,0.00,3,377,3.73,2.70,1.94,3,44.60,1.60,11281.60,252.99,17.40,244.13,3.17,14.16,10.60,12.80,0.83,2.68,0.00,0.00,0.00,0.00
2018-01-06 16:34:21,90.10,0.00,7.35,2.40,0.00,0.00,0.00,0.00,0.00,0.15,3.60,2333.40,1607.40,0.00,0.00,2.40,41044.80,626.00,0.00,1705.60,0.00,0.00,0.00,0.00,323.40,0.60,322.80,4.80,82355.20,11256608,0,5176532,31.50,28724,3331108,2464648,15.00,2805392,2125232,1115828,1571136,125612,3200,7972,31404,0,0,0.00,0,0.00,0,386,3.99,2.77,1.96,6,323.20,4.80,82304.00,254.67,136.69,412.50,3.09,100.00,10.40,13.40,0.99,3.08,0.00,0.00,0.00,0.00
2018-01-06 16:34:26,68.80,0.00,4.28,20.61,0.10,0.00,0.05,0.00,0.00,6.15,30.20,2435.60,2307.40,0.00,0.00,4.00,26744.80,17592.60,0.00,83659.20,0.00,0.00,0.00,0.00,206.80,1.00,205.80,8.00,52531.20,12285640,0,4147500,25.24,28748,2910144,2385684,14.52,1794376,2120124,566204,975900,114900,2824,6404,31404,0,0,0.00,0,0.00,12,343,4.00,2.79,1.97,1,206.80,8.00,52531.20,254.06,130.35,633.16,4.84,100.00,32.40,34.40,5.56,4.90,0.00,0.00,0.00,0.00
2018-01-06 16:34:31,93.25,0.00,3.30,1.40,0.00,0.00,0.25,0.00,0.00,1.80,13.80,3600.20,2345.00,0.00,0.00,1.60,7339.20,8444.40,0.00,6308.60,0.00,0.00,0.00,0.00,88.60,0.40,88.20,3.20,22097.60,11706684,0,4726456,28.76,28784,2905616,2435236,14.82,2357752,2132340,530764,1555996,115068,3152,7448,31404,0,0,0.00,0,0.00,12,389,4.24,2.86,2.00,0,88.60,3.20,22097.60,249.44,27.07,421.10,5.26,46.64,247.60,425.20,21.29,3429.01,0.00,0.00,0.00,0.28
2018-01-06 16:34:36,95.25,0.00,4.30,0.00,0.00,0.00,0.40,0.00,0.00,0.05,0.00,4655.20,1802.80,0.00,0.00,0.00,5841.60,131.60,0.00,2491.00,0.00,0.00,0.00,0.00,62.00,0.00,62.00,0.00,12286.40,11402932,0,5030208,30.61,28800,3189508,2435236,14.82,2630180,2156508,790384,1569080,122468,3168,7616,31404,0,0,0.00,0,0.00,6,382,4.30,2.90,2.02,0,62.00,0.00,12286.40,198.17,1.81,32.18,1.82,11.28,372.40,677.80,25.01,5774.90,0.00,0.00,0.00,0.47
2018-01-06 16:34:41,92.60,0.00,7.30,0.00,0.00,0.00,0.05,0.00,0.00,0.05,3.20,2710.40,1591.20,0.00,0.00,0.00,1923.20,130.20,0.00,899.60,0.00,0.00,0.00,0.00,18.00,0.00,18.00,0.00,3846.40,10738712,0,5694428,34.65,28812,3824932,2435236,14.82,3274636,2160492,1421588,1581832,139832,3232,7664,31404,0,0,0.00,0,0.00,4,388,4.27,2.92,2.03,0,18.00,0.00,3846.40,213.69,0.71,39.64,3.64,6.56,120.80,213.80,8.17,1767.66,0.00,0.00,0.00,0.14
2018-01-06 16:34:46,70.90,0.00,5.14,12.54,0.05,0.00,0.30,0.00,0.00,11.08,30.40,2913.80,2952.60,0.00,0.00,0.80,21137.60,18643.00,0.00,89115.40,0.00,0.00,0.00,0.00,176.40,0.20,176.20,1.60,42275.20,11716324,0,4716816,28.70,28856,3431832,2385296,14.52,2228328,2240588,931924,1008172,128964,2824,6056,31404,0,0,0.00,0,0.00,5,342,4.09,2.90,2.03,0,176.40,1.60,42275.20,239.66,31.52,178.67,3.81,67.28,1166.40,2113.40,81.86,17877.05,0.00,0.00,0.00,1.46
2018-01-06 16:34:51,92.72,0.00,3.81,1.25,0.00,0.00,0.75,0.00,0.00,1.46,15.40,3374.80,3450.40,0.00,0.00,4.00,30013.60,5970.80,0.00,24367.40,0.00,0.00,0.00,0.00,214.40,1.00,213.40,8.00,52198.40,11214344,0,5218796,31.76,28892,3530240,2451492,14.92,2704896,2261620,887412,1407188,131260,3248,7292,31404,0,0,0.00,0,0.00,11,401,4.56,3.02,2.07,1,214.40,8.00,52198.40,243.50,107.17,457.85,3.78,81.04,4721.60,2251.80,39643.42,3519.76,0.00,0.00,0.00,3.25
2018-01-06 16:34:56,48.63,0.00,3.84,18.10,0.10,0.00,0.30,0.00,0.00,29.02,0.80,2303.80,3408.00,0.00,0.00,4.80,25007.20,680.40,0.00,23628.60,0.00,0.00,0.00,0.00,202.20,1.20,201.00,9.60,51000.00,10723288,0,5709852,34.75,28924,3861776,2481516,15.10,3134516,2314652,1109992,1558432,139140,3312,7604,31404,0,0,0.00,0,0.00,2,402,4.60,3.05,2.09,1,202.40,9.60,51051.20,252.28,129.98,619.87,4.94,100.00,4008.80,2948.80,30104.36,12731.84,0.00,0.00,0.00,2.47
2018-01-06 16:35:01,13.26,0.00,1.66,38.00,0.10,0.00,0.35,0.00,0.00,46.62,6.80,1921.80,2445.80,0.00,0.00,2.40,26424.80,2688.20,0.00,26570.80,0.00,0.00,0.00,0.00,204.80,0.60,204.20,4.80,51774.40,10965980,0,5467160,33.27,28940,3805732,2493436,15.17,2864616,2342724,927996,1374656,137728,3112,6912,31404,0,0,0.00,0,0.00,1,387,4.39,3.03,2.09,1,204.60,4.80,51723.20,252.83,133.77,677.93,4.89,100.00,1736.00,1649.20,9869.77,6485.51,0.00,0.00,0.00,0.81
2018-01-06 16:35:06,41.17,0.00,1.46,25.23,0.15,0.00,0.25,0.00,0.00,31.74,4.20,2268.80,2974.40,0.00,0.00,44.80,23560.00,4537.00,0.00,9640.20,0.00,0.00,0.00,0.00,186.40,0.80,185.60,89.60,47107.20,10748712,0,5684428,34.59,28956,3800040,2536804,15.44,3069852,2355148,811224,1596184,137660,3304,7688,31404,0,0,0.00,0,0.00,1,399,4.60,3.10,2.11,1,186.40,89.60,47107.20,253.20,131.90,708.30,5.36,100.00,1286.60,1206.80,9721.42,3859.23,0.00,0.00,0.00,0.80
2018-01-06 16:35:11,22.65,0.00,2.22,31.74,0.15,0.00,0.05,0.00,0.00,43.19,1.40,1744.80,2088.20,0.00,0.00,2.40,27112.80,77.00,0.00,8043.60,0.00,0.00,0.00,0.00,219.20,0.60,218.60,4.80,55476.80,10624740,0,5808400,35.35,28980,3921908,2536804,15.44,3188212,2356200,803224,1593204,141264,3328,7684,31404,0,0,0.00,0,0.00,0,402,4.71,3.15,2.13,1,219.20,4.80,55476.80,253.11,134.57,562.38,4.56,100.00,241.40,294.40,1552.32,1249.47,0.00,0.00,0.00,0.13
2018-01-06 16:35:16,27.81,0.00,1.62,27.76,0.10,0.00,0.15,0.00,0.00,42.55,10.80,1491.80,2104.80,0.00,0.00,0.80,25334.40,7232.00,0.00,20451.80,0.00,0.00,0.00,0.00,195.00,0.20,194.80,1.60,49457.60,10623876,0,5809264,35.35,28996,3917920,2520252,15.34,3164968,2382960,677252,1600872,140768,3248,7460,31404,0,0,0.00,0,0.00,1,398,4.50,3.13,2.13,2,195.00,1.60,49457.60,253.64,137.43,716.62,5.13,100.00,1038.80,1030.20,3905.44,5939.37,0.00,0.00,0.00,0.49
2018-01-06 16:35:21,31.10,0.00,1.41,30.04,0.15,0.00,0.30,0.00,0.00,37.00,0.00,2133.80,2508.20,0.00,0.00,0.80,21883.20,329.00,0.00,5620.80,0.00,0.00,0.00,0.00,177.80,0.20,177.60,1.60,44963.20,10491784,0,5941356,36.15,29012,4040340,2536304,15.43,3299964,2378084,695540,1608812,143424,3296,7712,31404,0,0,0.00,0,0.00,3,398,4.22,3.09,2.13,1,177.80,1.60,44963.20,252.90,132.41,735.20,5.62,100.00,1103.80,760.40,9095.48,55.35,0.00,0.00,0.00,0.75
2018-01-06 16:35:26,31.85,0.00,3.44,23.65,0.10,0.00,0.10,0.00,0.00,40.86,7.80,1969.20,2608.40,0.00,0.00,0.80,23336.00,2209.80,0.00,25612.00,0.00,0.00,0.00,0.00,223.20,0.20,223.00,1.60,53366.40,10452328,0,5980812,36.39,29028,4310052,2512308,15.29,3306004,2404480,853592,1371380,150880,3072,6788,31404,0,0,0.00,0,0.00,1,387,4.12,3.09,2.13,0,223.20,1.60,53366.40,239.10,109.40,575.89,3.93,87.68,1354.60,1285.20,6869.32,5993.25,0.00,0.00,0.00,0.56
2018-01-06 16:35:31,41.56,0.00,1.46,4.84,0.15,0.00,0.10,0.00,0.00,51.89,3.60,1941.20,2226.60,0.00,0.00,0.80,10892.80,3619.00,0.00,4553.80,0.00,0.00,0.00,0.00,56.40,0.20,56.20,1.60,14259.20,10187760,0,6245380,38.00,29048,4344272,2512308,15.29,3572272,2400052,839020,1599104,151884,3272,7700,31404,0,0,0.00,0,0.00,1,395,4.03,3.09,2.14,1,56.40,1.60,14259.20,252.85,28.30,377.63,3.57,20.16,215.00,151.40,1679.22,13.34,0.00,0.00,0.00,0.14
2018-01-06 16:35:36,21.64,0.00,2.07,29.93,0.20,0.00,0.15,0.00,0.00,46.01,5.40,2164.80,2842.60,0.00,0.00,6.40,37085.60,1242.40,0.00,23486.40,0.00,0.00,0.00,0.00,293.20,1.40,291.80,11.20,74363.20,10347860,0,6085280,37.03,29100,4428204,2224568,13.54,3388472,2420824,742484,1351984,154420,3176,6816,31404,0,0,0.00,0,0.00,0,372,3.87,3.07,2.14,2,293.20,11.20,74363.20,253.66,136.60,460.36,3.41,100.00,947.60,999.40,4475.45,4994.75,0.00,0.00,0.00,0.41
2018-01-06 16:35:41,32.04,0.00,1.01,31.23,0.05,0.00,0.05,0.00,0.00,35.62,6.00,1439.60,1819.40,0.00,0.00,10243.20,24564.80,4779.80,0.00,3519.80,0.00,0.00,0.00,0.00,264.20,74.60,189.60,18849.60,48374.40,10058220,0,6374920,38.79,29128,4474612,2540856,15.46,3627368,2472832,620296,1596732,154576,3272,7680,31404,0,0,0.00,0,0.00,0,395,3.80,3.07,2.14,2,264.20,18849.60,48374.40,254.44,137.35,508.05,3.79,100.00,291.60,277.00,1740.70,972.50,0.00,0.00,0.00,0.14
2018-01-06 16:35:46,27.20,0.00,1.41,20.05,0.15,0.00,0.10,0.00,0.00,51.08,0.80,1659.20,1948.80,0.00,0.00,7373.60,19567.20,72.80,0.00,1587.00,0.00,0.00,0.00,0.00,249.40,64.20,185.20,16385.60,47224.00,9829512,0,6603628,40.18,29144,4695764,2540856,15.46,3815864,2507296,709692,1598324,159192,3264,7684,31404,0,0,0.00,0,0.00,1,398,3.65,3.05,2.14,0,249.40,16385.60,47224.00,255.05,124.00,544.30,4.00,99.68,152.00,104.80,1193.02,10.16,0.00,0.00,0.00,0.10
2018-01-06 16:35:51,34.62,0.00,1.98,0.20,0.10,0.00,0.10,0.00,0.00,63.00,10.60,1927.20,2409.40,0.00,0.00,0.80,6299.20,6602.00,0.00,24951.00,0.00,0.00,0.00,0.00,56.40,0.20,56.20,1.60,12598.40,9898168,0,6534972,39.77,29164,4631892,2531384,15.40,3721248,2533848,619608,1594384,158296,3248,7468,31404,0,0,0.00,0,0.00,3,393,3.36,3.00,2.13,0,56.40,1.60,12598.40,223.40,2.96,52.54,3.11,17.52,576.20,820.20,855.32,5933.88,0.00,0.00,0.00,0.49
