timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 16:20:44,0.40,0.00,0.80,31.56,0.10,0.00,0.00,0.00,0.00,67.14,0.20,293.40,472.60,0.00,0.00,0.00,34433.60,561.80,0.00,21803.20,0.00,0.00,0.00,0.00,302.80,0.00,302.80,0.00,75356.80,10592812,0,5066188,32.35,31040,4178440,1202776,7.68,1021928,3793660,33400,606112,147016,2048,3564,31532,0,0,0.00,0,0.00,1,241,2.68,2.43,1.81,0,302.80,0.00,75356.80,248.87,99.14,353.64,2.41,72.88,3.20,4.60,0.30,0.68,0.00,0.00,0.00,0.00
2018-01-06 16:20:49,0.81,0.00,0.40,0.20,0.10,0.00,0.00,0.00,0.00,98.49,13.20,378.20,353.00,0.00,0.00,0.00,6627.20,5536.00,0.00,1448.40,0.00,0.00,0.00,0.00,52.20,0.00,52.20,0.00,13254.40,10588996,0,5070004,32.38,31040,4178464,1233428,7.88,1026100,3793680,304,610356,146888,2304,4068,31532,0,0,0.00,0,0.00,0,244,2.47,2.39,1.80,0,52.20,0.00,13254.40,253.92,1.51,28.92,0.28,1.44,7.40,8.40,1.50,1.54,0.00,0.00,0.00,0.00
2018-01-06 16:20:54,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,225.40,134.40,0.00,0.00,0.00,14.40,7.40,0.00,16.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,28.80,10588896,0,5070104,32.38,31048,4178492,1233428,7.88,1026164,3793684,340,610336,146860,2064,3992,31532,0,0,0.00,0,0.00,1,244,2.27,2.35,1.79,0,0.40,0.00,28.80,72.00,0.00,0.00,0.00,0.00,2.00,3.40,0.16,0.74,0.00,0.00,0.00,0.00
2018-01-06 16:20:59,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.00,221.80,135.20,0.00,0.00,0.00,3.20,7.20,0.00,16.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,10588740,0,5070260,32.38,31056,4178516,1233428,7.88,1026176,3793704,364,610336,146860,2064,3992,31532,0,0,0.00,0,0.00,0,244,2.09,2.31,1.78,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,2.00,3.40,0.16,0.74,0.00,0.00,0.00,0.00
2018-01-06 16:21:04,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,220.40,134.00,0.00,0.00,0.00,0.00,7.20,0.00,17.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10588772,0,5070228,32.38,31056,4178540,1233428,7.88,1026184,3793724,388,610336,146860,2064,3992,31532,0,0,0.00,0,0.00,0,244,1.92,2.27,1.77,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,3.00,0.14,0.64,0.00,0.00,0.00,0.00
2018-01-06 16:21:09,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.00,217.40,131.00,0.00,0.00,0.00,2.40,7.20,0.00,16.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,10588772,0,5070228,32.38,31064,4178560,1233428,7.88,1026196,3793736,408,610336,146860,2064,3992,31532,0,0,0.00,0,0.00,0,244,1.77,2.23,1.76,0,0.40,0.00,4.80,12.00,0.00,0.00,0.00,0.00,2.20,3.60,0.16,0.75,0.00,0.00,0.00,0.00
2018-01-06 16:21:14,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,231.80,148.40,0.00,0.00,0.00,42.40,9.40,0.00,39.80,0.00,0.00,0.00,0.00,1.80,0.00,1.80,0.00,84.80,10588968,0,5070032,32.38,31064,4178584,1233428,7.88,1025860,3793768,244,609976,146828,2024,3992,31532,0,0,0.00,0,0.00,0,239,1.63,2.20,1.75,0,1.80,0.00,84.80,47.11,0.00,0.00,0.00,0.00,2.20,3.40,0.16,0.74,0.00,0.00,0.00,0.00
2018-01-06 16:21:19,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.00,217.00,134.40,0.00,0.00,0.00,49.60,7.20,0.00,16.00,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,99.20,10588844,0,5070156,32.38,31072,4178608,1233428,7.88,1025860,3793768,56,609976,146828,2024,3992,31532,0,0,0.00,0,0.00,0,239,1.50,2.16,1.74,0,7.00,0.00,99.20,14.17,0.00,0.00,0.00,0.00,1.80,3.00,0.14,0.64,0.00,0.00,0.00,0.00
2018-01-06 16:21:24,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,99.80,0.00,223.80,134.80,0.00,0.00,0.00,0.00,7.20,0.00,16.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10588812,0,5070188,32.38,31072,4178632,1233428,7.88,1025872,3793788,80,609976,146828,2024,3992,31532,0,0,0.00,0,0.00,1,239,1.38,2.12,1.73,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.40,0.16,0.74,0.00,0.00,0.00,0.00
2018-01-06 16:21:29,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.00,221.00,134.60,0.00,0.00,0.00,22.40,8.40,0.00,19.60,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,44.80,10588876,0,5070124,32.38,31080,4178652,1233428,7.88,1025880,3793804,20,609976,146796,2024,3992,31532,0,0,0.00,0,0.00,1,239,1.27,2.09,1.72,0,1.60,0.00,44.80,28.00,0.00,0.00,0.00,0.00,2.00,3.40,0.16,0.74,0.00,0.00,0.00,0.00
