timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 16:44:22,0.50,0.00,0.30,2.01,0.00,0.00,0.00,0.00,0.00,97.19,0.20,266.80,238.40,0.00,0.00,0.00,10423.20,562.80,0.00,3857.80,0.00,0.00,0.00,0.00,83.40,0.00,83.40,0.00,20846.40,14420544,0,1238456,7.91,34012,461556,1119196,7.15,762320,329700,124692,596456,43548,2032,3388,31532,0,0,0.00,0,0.00,1,240,1.46,1.53,1.54,0,83.40,0.00,20846.40,249.96,3.34,40.08,0.63,5.28,3.40,4.80,0.29,0.69,0.00,0.00,0.00,0.00
2018-01-06 16:44:27,4.53,0.00,2.32,1.01,0.10,0.00,0.00,0.00,0.00,92.04,28.80,503.80,459.80,0.00,0.00,0.00,12465.60,15467.80,0.00,4918.80,0.00,0.00,0.00,0.00,98.00,0.00,98.00,0.00,24931.20,14411452,0,1247548,7.97,34016,461604,1180736,7.54,770908,329736,62516,605048,43620,2080,4400,31532,0,0,0.00,0,0.00,1,246,1.35,1.50,1.53,0,98.00,0.00,24931.20,254.40,4.09,41.78,0.41,4.00,14.40,15.80,2.93,2.81,0.00,0.00,0.00,0.00
2018-01-06 16:44:32,0.20,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.70,0.00,221.80,134.60,0.00,0.00,0.00,27.20,7.40,0.00,17.20,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,54.40,14411420,0,1247580,7.97,34028,461628,1180736,7.54,770936,329736,62560,605048,43620,2080,4400,31532,0,0,0.00,0,0.00,0,246,1.24,1.48,1.52,0,1.40,0.00,54.40,38.86,0.00,1.14,0.57,0.08,2.60,3.80,0.18,0.86,0.00,0.00,0.00,0.00
2018-01-06 16:44:37,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.80,1.00,296.60,228.60,0.00,0.00,0.00,16.80,31.00,0.00,54.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,33.60,14409132,0,1249868,7.98,34036,461772,1180736,7.54,773072,329892,62728,607168,43604,2088,4404,31532,0,0,0.00,0,0.00,0,247,1.14,1.45,1.51,0,0.80,0.00,33.60,42.00,0.00,0.00,0.00,0.00,13.20,14.20,22.48,23.45,0.00,0.00,0.00,0.00
2018-01-06 16:44:42,6.75,0.00,0.81,6.85,0.10,0.00,0.10,0.00,0.00,85.40,18.00,590.00,502.80,0.00,0.00,0.80,12461.60,3776.40,0.00,629.40,0.00,0.00,0.00,0.00,98.20,0.20,98.00,1.60,24923.20,14360576,0,1298424,8.29,34056,462188,1667420,10.65,819168,330304,872,653360,43924,2336,4796,31532,0,0,0.00,0,0.00,6,301,1.13,1.45,1.51,0,98.20,1.60,24923.20,253.82,25.16,256.25,2.41,23.68,67.00,73.80,56.91,336.06,0.00,0.00,0.00,0.00
2018-01-06 16:44:47,96.70,0.00,3.10,0.00,0.00,0.00,0.10,0.00,0.00,0.10,3.80,1055.20,812.80,0.00,0.00,0.00,48.80,7394.20,0.00,3839.40,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,97.60,14133484,0,1525516,9.74,34068,462316,1730100,11.05,1044276,330284,1160,878116,44372,2424,5748,31532,0,0,0.00,0,0.00,7,289,1.28,1.47,1.52,0,1.00,0.00,97.60,97.60,0.00,0.00,0.00,0.00,30.80,32.00,2.04,100.15,0.00,0.00,0.00,0.00
2018-01-06 16:44:52,97.50,0.00,2.30,0.00,0.00,0.00,0.10,0.00,0.00,0.10,5.00,1749.20,1115.80,0.00,0.00,0.00,96.00,1263.20,0.00,402.40,0.00,0.00,0.00,0.00,9.40,0.00,9.40,0.00,192.00,13903184,0,1755816,11.21,34080,462592,1730100,11.05,1274496,330544,1068,1108364,44612,2544,6224,31532,0,0,0.00,0,0.00,4,301,1.50,1.52,1.53,0,9.40,0.00,192.00,20.43,0.00,0.17,0.09,0.08,14.20,17.20,2.87,7.18,0.00,0.00,0.00,0.00
2018-01-06 16:44:57,99.30,0.00,0.40,0.00,0.00,0.00,0.10,0.00,0.00,0.20,0.00,703.60,752.20,0.00,0.00,0.00,13.60,37.80,0.00,47.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,27.20,13903512,0,1755488,11.21,34088,462812,1730100,11.05,1274504,330556,1300,1108248,44572,2504,6224,31532,0,0,0.00,0,0.00,4,298,1.54,1.52,1.53,0,0.60,0.00,27.20,45.33,0.00,0.00,0.00,0.00,3.80,6.00,0.28,1.59,0.00,0.00,0.00,0.00
2018-01-06 16:45:02,86.29,0.00,2.90,0.00,0.00,0.00,0.00,0.00,0.00,10.81,13.00,1000.80,760.20,0.00,0.00,0.00,49.60,7235.80,0.00,26203.40,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,99.20,14176216,0,1482784,9.47,34108,516216,1696188,10.83,1001264,330384,54788,783500,44172,2312,5568,31532,0,0,0.00,0,0.00,7,275,1.65,1.55,1.54,0,1.20,0.00,99.20,82.67,0.00,0.67,0.67,0.08,15.20,17.80,2.34,2.94,0.00,0.00,0.00,0.00
2018-01-06 16:45:07,96.40,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.10,7.40,1277.40,800.00,0.00,0.00,0.00,50.40,5186.80,0.00,2761.40,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,100.80,13852908,0,1806092,11.53,34120,516484,1727376,11.03,1325360,330628,54972,1105428,44604,2488,6212,31532,0,0,0.00,0,0.00,7,300,1.84,1.59,1.55,0,1.60,0.00,100.80,63.00,0.00,0.00,0.00,0.00,12.20,16.20,3.00,3.12,0.00,0.00,0.00,0.00
2018-01-06 16:45:12,97.90,0.00,1.30,0.30,0.00,0.00,0.40,0.00,0.00,0.10,0.00,1802.20,1274.20,0.00,0.00,0.00,572.80,41.20,0.00,302.20,0.00,0.00,0.00,0.00,6.40,0.00,6.40,0.00,1145.60,13847388,0,1811612,11.57,34128,516512,1727376,11.03,1327348,333440,52192,1110180,44732,2504,6240,31532,0,0,0.00,0,0.00,5,299,1.85,1.59,1.56,0,6.40,0.00,1145.60,179.00,0.15,22.75,5.25,3.36,58.80,55.60,3.44,565.17,0.00,0.00,0.00,0.00
2018-01-06 16:45:17,95.60,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,3.20,2.60,637.00,736.80,0.00,0.00,0.00,387.20,325.00,0.00,12398.40,0.00,0.00,0.00,0.00,4.80,0.00,4.80,0.00,659.20,14036468,0,1622532,10.36,34136,569660,1442936,9.21,1137276,334592,103640,867976,46004,2472,5456,31532,0,0,0.00,0,0.00,1,269,1.87,1.60,1.56,0,4.80,0.00,659.20,137.33,0.08,17.00,3.67,1.76,34.20,31.60,2.22,232.98,0.00,0.00,0.00,0.00
2018-01-06 16:45:22,23.56,0.00,1.31,0.00,0.20,0.00,0.10,0.00,0.00,74.82,10.00,775.60,917.60,0.00,0.00,0.00,2140.80,4785.60,0.00,13501.00,0.00,0.00,0.00,0.00,28.60,0.00,28.60,0.00,4396.80,14190544,0,1468456,9.38,34156,569984,1684368,10.76,973940,344892,93464,714772,45424,2184,5116,31532,0,0,0.00,0,0.00,5,274,1.72,1.58,1.55,0,28.60,0.00,4396.80,153.73,0.75,26.15,6.43,18.40,197.60,191.80,12.76,2139.41,0.00,0.00,0.00,0.00
