timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 16:29:04,0.00,0.00,0.05,24.92,0.05,0.00,0.00,0.00,0.00,74.97,0.00,263.00,422.80,0.00,0.00,4.00,37472.00,17.00,0.00,19.40,0.00,0.00,0.00,0.00,276.40,1.00,275.40,8.00,70353.60,28167944,0,3231976,10.29,25636,2417740,1430112,4.55,758828,2184324,1118948,499796,96584,2136,3348,58076,0,0,0.00,0,0.00,1,253,2.90,1.24,0.49,2,276.20,8.00,70302.40,254.56,138.66,473.18,3.62,100.00,1.40,2.60,0.11,0.43,0.00,0.00,0.00,0.00
2018-01-06 16:29:09,0.05,0.00,0.05,27.09,0.10,0.00,0.00,0.00,0.00,72.70,0.00,267.40,417.20,0.00,0.00,0.80,34356.00,14.20,0.00,22.00,0.00,0.00,0.00,0.00,265.80,0.20,265.60,1.60,67824.00,28167944,0,3231976,10.29,25644,2417780,1430112,4.55,758872,2184356,947336,499804,96584,2136,3348,58076,0,0,0.00,0,0.00,0,253,2.75,1.24,0.50,1,265.80,1.60,67824.00,255.18,135.77,488.12,3.76,100.00,1.60,3.00,0.13,0.53,0.00,0.00,0.00,0.00
2018-01-06 16:29:14,0.35,0.00,0.10,29.02,0.00,0.00,0.00,0.00,0.00,70.53,0.00,274.00,395.20,0.00,0.00,0.80,29326.40,10.60,0.00,351.00,0.00,0.00,0.00,0.00,232.20,0.20,232.00,1.60,59318.40,28168368,0,3231552,10.29,25656,2417812,1430112,4.55,756340,2184368,800876,499308,96656,2136,3348,58076,0,0,0.00,0,0.00,0,253,2.61,1.23,0.50,1,232.20,1.60,59318.40,255.47,137.08,600.93,4.31,100.00,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-06 16:29:19,0.95,0.00,0.45,28.82,0.05,0.00,0.00,0.00,0.00,69.73,14.80,491.80,613.00,0.00,0.00,3.20,27222.40,7747.20,0.00,2478.80,0.00,0.00,0.00,0.00,209.00,0.80,208.20,6.40,53062.40,28164332,0,3235588,10.30,25680,2417868,1461988,4.66,762832,2184408,664864,503700,96512,2168,3844,58076,0,0,0.00,0,0.00,1,256,2.56,1.24,0.51,1,209.00,6.40,53062.40,253.92,132.12,647.98,4.78,100.00,9.80,11.40,11.04,1.83,0.00,0.00,0.00,0.00
2018-01-06 16:29:24,0.05,0.00,0.05,28.74,0.05,0.00,0.00,0.00,0.00,71.11,0.00,278.40,372.80,0.00,0.00,0.80,26173.60,8.00,0.00,18.60,0.00,0.00,0.00,0.00,207.60,0.20,207.40,1.60,52859.20,28164100,0,3235820,10.31,25696,2417952,1461988,4.66,762804,2184480,534300,503632,96504,2160,3844,58076,0,0,0.00,0,0.00,0,256,2.52,1.26,0.52,1,207.60,1.60,52859.20,254.63,134.48,646.04,4.82,100.00,2.60,3.80,0.18,0.77,0.00,0.00,0.00,0.00
2018-01-06 16:29:29,1.36,0.00,0.30,26.68,0.10,0.00,0.00,0.00,0.00,71.56,10.60,569.40,774.20,0.00,0.00,3.20,29711.20,1300.20,0.00,508.00,0.00,0.00,0.00,0.00,234.60,0.80,233.80,6.40,59780.80,28161232,0,3238688,10.31,25748,2418324,1461988,4.66,763816,2184516,386080,504588,96980,2168,3844,58076,0,0,0.00,0,0.00,5,269,2.48,1.27,0.52,1,234.60,6.40,59780.80,254.85,133.71,570.52,4.26,100.00,24.80,20.40,82.36,2.37,0.00,0.00,0.00,0.00
2018-01-06 16:29:34,92.38,0.00,2.66,4.61,0.00,0.00,0.00,0.00,0.00,0.35,21.60,1982.20,1775.40,0.00,0.00,0.80,32191.20,21309.80,0.00,8001.80,0.00,0.00,0.00,0.00,258.40,0.20,258.20,1.60,63614.40,27618640,0,3781280,12.04,25792,2418712,2508208,7.99,1302492,2185032,226116,1043048,98440,2888,6464,58076,0,0,0.00,0,0.00,13,350,2.92,1.38,0.56,1,258.40,1.60,63614.40,246.19,132.44,518.63,3.87,100.00,11.20,13.80,1.20,2.03,0.00,0.00,0.00,0.00
2018-01-06 16:29:39,82.44,0.00,1.96,11.62,0.05,0.00,0.15,0.00,0.00,3.77,10.80,3098.40,2080.20,0.00,0.00,14.40,30151.20,3056.80,0.00,1173.40,0.00,0.00,0.00,0.00,239.60,2.00,237.60,28.80,60712.00,27156892,0,4243028,13.51,25820,2419284,2601424,8.28,1755672,2185516,76096,1502332,99524,3216,7468,58076,0,0,0.00,0,0.00,10,386,3.48,1.52,0.61,1,239.60,28.80,60712.00,253.51,135.90,560.31,4.17,99.92,24.20,31.00,5.79,52.82,0.00,0.00,0.00,0.00
2018-01-06 16:29:44,97.90,0.00,1.65,0.20,0.00,0.00,0.25,0.00,0.00,0.00,0.00,2702.20,2121.20,0.00,0.00,1.60,14934.40,186.40,0.00,1273.60,0.00,0.00,0.00,0.00,147.40,0.40,147.00,3.20,37446.40,27167524,0,4232396,13.48,25836,2419320,2601424,8.28,1745952,2185528,1516,1490424,99700,3120,7480,58076,0,0,0.00,0,0.00,4,376,3.77,1.61,0.65,0,147.40,3.20,37446.40,254.07,62.67,485.41,3.56,52.48,5.40,6.40,0.36,1.58,0.00,0.00,0.00,0.00
2018-01-06 16:29:49,98.40,0.00,1.30,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,2715.80,1644.00,0.00,0.00,0.80,20.80,114.80,0.00,238.40,0.00,0.00,0.00,0.00,0.60,0.20,0.40,1.60,41.60,27169380,0,4230540,13.47,25844,2419428,2601424,8.28,1749076,2185524,1672,1489420,99604,3088,7496,58076,0,0,0.00,0,0.00,5,372,3.86,1.67,0.67,0,0.60,1.60,41.60,72.00,0.00,1.33,1.33,0.08,4.40,8.00,0.34,2.11,0.00,0.00,0.00,0.00
