timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 02:38:13,13.31,0.00,0.30,0.50,0.10,0.00,0.00,0.00,0.00,85.79,0.80,345.80,297.60,0.00,0.00,357.60,23.20,722.80,0.20,1585.80,0.00,0.00,0.00,0.00,23.60,23.20,0.40,715.20,46.40,3284024,0,570820,14.81,14416,141128,705456,18.30,441332,56576,388,344396,31740,1856,2872,10752,0,0,0.00,0,0.00,0,218,0.11,0.19,0.16,0,23.60,715.20,46.40,32.27,0.01,0.44,0.41,0.96,4.00,5.40,0.38,0.70,0.00,0.00,0.00,0.00
2018-01-07 02:38:18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,222.80,133.40,0.00,0.00,0.00,13.60,12.60,0.00,22.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,27.20,3282012,0,572832,14.86,14416,141156,705456,18.30,443372,56584,408,346452,31740,1856,2876,10752,0,0,0.00,0,0.00,0,218,0.11,0.19,0.16,0,0.80,0.00,27.20,34.00,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-07 02:38:23,5.61,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,93.99,0.20,318.40,239.60,0.00,0.00,168.80,12.80,352.20,0.00,233.80,0.00,0.00,0.00,0.00,13.20,12.40,0.80,337.60,25.60,3230036,0,624808,16.21,14424,142072,846112,21.95,497860,56616,440,397976,31728,1856,2888,10752,0,0,0.00,0,0.00,3,219,0.10,0.19,0.16,0,13.20,337.60,25.60,27.52,0.00,0.36,0.30,0.40,3.20,4.40,0.79,0.70,0.00,0.00,0.00,0.00
2018-01-07 02:38:28,13.48,0.00,0.82,0.51,0.10,0.00,0.00,0.00,0.00,85.09,3.60,1474.00,1621.60,0.00,0.00,567.20,2430.40,1214.00,0.00,2224.60,0.00,0.00,0.00,0.00,66.20,32.20,34.00,1134.40,4860.80,3190432,0,664412,17.24,14432,159716,861732,22.35,521808,72260,3360,419968,31740,1912,3028,10752,0,0,0.00,0,0.00,0,225,0.09,0.18,0.16,0,66.20,1134.40,4860.80,90.56,0.31,4.66,0.34,2.24,346.20,186.60,2992.68,13.50,0.00,0.00,0.00,0.25
2018-01-07 02:38:33,0.72,0.00,0.20,0.10,0.10,0.00,0.10,0.00,0.00,98.77,0.00,1496.21,1504.79,0.00,0.00,0.00,15.17,10.38,0.00,1105.79,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,30.34,3178344,0,676500,17.55,14440,171508,861732,22.35,521864,84080,15224,420016,31740,1912,3028,10752,0,0,0.00,0,0.00,0,225,0.08,0.18,0.16,0,0.40,0.00,30.34,76.00,0.00,0.00,0.00,0.00,272.65,202.20,2382.98,14.12,0.00,0.00,0.00,0.20
2018-01-07 02:38:38,1.12,0.00,0.41,0.00,0.10,0.00,0.10,0.00,0.00,98.26,0.00,1495.60,1462.80,0.00,0.00,0.00,4.00,8.00,0.00,1205.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,3165508,0,689336,17.88,14448,184444,861732,22.35,521816,96920,28160,419952,31732,1904,3028,10752,0,0,0.00,0,0.00,0,224,0.08,0.18,0.16,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,297.40,227.40,2600.80,15.90,0.00,0.00,0.00,0.21
2018-01-07 02:38:43,2.45,0.00,0.31,0.00,0.10,0.00,0.00,0.00,0.00,97.15,0.00,1412.80,1397.00,0.00,0.00,0.00,4.80,92.20,0.00,1221.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,3153348,0,701496,18.20,14456,196696,861732,22.35,521864,109236,40420,419988,31732,1904,3028,10752,0,0,0.00,0,0.00,0,224,0.07,0.17,0.16,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,279.80,210.20,2452.84,14.63,0.00,0.00,0.00,0.20
2018-01-07 02:38:48,1.32,0.00,0.20,0.00,0.10,0.00,0.10,0.00,0.00,98.27,0.00,1319.00,1334.40,0.00,0.00,0.00,4.00,9.00,0.00,981.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,3142852,0,711992,18.47,14464,207112,861732,22.35,521880,119604,50836,419992,31732,1904,3028,10752,0,0,0.00,0,0.00,0,224,0.06,0.17,0.16,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,241.40,199.20,2113.03,14.06,0.00,0.00,0.00,0.17
2018-01-07 02:38:53,0.81,0.00,0.30,0.00,0.20,0.10,0.10,0.00,0.00,98.48,0.00,1435.00,1528.80,0.00,0.00,0.00,4.00,8.00,0.00,1230.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,3130392,0,724452,18.79,14472,219356,861732,22.35,521892,131752,63080,419996,31952,1904,3028,10752,0,0,0.00,0,0.00,0,224,0.06,0.17,0.16,0,0.40,0.00,8.00,20.00,0.00,2.00,2.00,0.08,278.40,210.20,2437.02,14.75,0.00,0.00,0.00,0.20
2018-01-07 02:38:58,0.92,0.00,0.20,1.73,0.20,0.00,0.10,0.00,0.00,96.84,0.00,1570.00,1882.60,0.00,0.00,0.00,14476.00,8.80,0.00,1330.80,0.00,0.00,0.00,0.00,115.00,0.00,115.00,0.00,28952.00,3115640,0,739204,19.18,14480,233592,861732,22.35,521904,146072,4992,419996,32332,1904,3028,10752,0,0,0.00,0,0.00,0,224,0.05,0.17,0.15,0,115.00,0.00,28952.00,251.76,3.94,34.30,0.32,3.68,327.20,240.60,2870.13,16.66,0.00,0.00,0.00,0.24
