timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 22:29:29,17.99,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,81.41,1.00,311.80,338.00,0.00,0.00,0.00,36.80,2297.00,0.00,3009.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,73.60,3314640,0,540204,14.01,9848,109800,697612,18.10,450052,12040,412,344492,34916,1856,2888,10752,0,0,0.00,0,0.00,0,218,0.35,0.39,0.37,0,0.80,0.00,73.60,92.00,0.00,0.00,0.00,0.00,4.40,5.40,0.41,0.75,0.00,0.00,0.00,0.00
2018-01-06 22:29:34,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,219.00,129.40,0.00,0.00,0.00,0.00,11.80,0.00,19.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3314640,0,540204,14.01,9848,109820,697612,18.10,450052,12040,432,344500,34916,1856,2888,10752,0,0,0.00,0,0.00,0,218,0.33,0.39,0.37,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,2.40,0.12,0.43,0.00,0.00,0.00,0.00
2018-01-06 22:29:39,10.56,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,89.03,2.00,412.60,369.00,0.00,0.00,0.00,4.80,903.60,0.00,495.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,9.60,3254644,0,600200,15.57,9856,109856,839404,21.78,512376,12072,456,404792,34876,1880,3004,10752,0,0,0.00,0,0.00,3,222,0.30,0.38,0.37,0,1.00,0.00,9.60,9.60,0.00,0.80,0.80,0.08,3.00,4.40,0.78,0.70,0.00,0.00,0.00,0.00
2018-01-06 22:29:44,4.47,0.00,0.61,0.00,0.10,0.00,0.00,0.00,0.00,94.82,1.80,1259.00,1390.20,0.00,0.00,0.00,96.80,396.00,0.00,1570.40,0.00,0.00,0.00,0.00,13.20,0.00,13.20,0.00,193.60,3224868,0,629976,16.34,9864,122364,850692,22.07,529692,24504,12672,422036,34740,1912,3048,10752,0,0,0.00,0,0.00,1,225,0.28,0.37,0.37,0,13.20,0.00,193.60,14.67,0.02,1.27,0.06,0.08,293.40,200.80,2527.85,14.64,0.00,0.00,0.00,0.21
2018-01-06 22:29:49,1.21,0.00,0.20,0.10,0.10,0.00,0.20,0.00,0.00,98.19,0.00,1116.40,1097.40,0.00,0.00,0.00,3644.00,12.20,0.00,790.60,0.00,0.00,0.00,0.00,31.00,0.00,31.00,0.00,7288.00,3216472,0,638372,16.56,9872,130632,850692,22.07,529756,32792,2892,422092,34732,1912,3048,10752,0,0,0.00,0,0.00,1,225,0.25,0.37,0.37,0,31.00,0.00,7288.00,235.10,0.65,21.08,0.26,0.80,193.20,158.40,1685.19,11.18,0.00,0.00,0.00,0.14
2018-01-06 22:29:54,0.71,0.00,0.51,0.00,0.10,0.00,0.10,0.00,0.00,98.58,0.00,1156.20,1278.40,0.00,0.00,0.00,12.00,8.80,0.00,923.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,24.00,3206840,0,648004,16.81,9880,140520,850692,22.07,529720,42664,12764,422040,34732,1904,3048,10752,0,0,0.00,0,0.00,1,224,0.23,0.36,0.36,0,0.40,0.00,24.00,60.00,0.00,2.00,2.00,0.08,225.40,189.40,1966.93,13.34,0.00,0.00,0.00,0.16
2018-01-06 22:29:59,2.74,0.00,0.30,0.00,0.10,0.00,0.10,0.00,0.00,96.75,0.00,1206.00,1330.80,0.00,0.00,0.00,4.80,16.40,0.00,929.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,3196100,0,658744,17.09,9888,150536,850692,22.07,529900,52696,22820,422208,34732,1904,3048,10752,0,0,0.00,0,0.00,0,224,0.21,0.36,0.36,0,0.40,0.00,9.60,24.00,0.00,0.00,0.00,0.00,235.40,187.40,2060.21,13.22,0.00,0.00,0.00,0.17
2018-01-06 22:30:04,1.21,0.00,0.40,0.00,0.10,0.00,0.20,0.00,0.00,98.08,0.00,1309.80,1427.80,0.00,0.00,0.00,4.00,8.60,0.00,1084.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,3184924,0,669920,17.38,9896,162160,850692,22.07,529916,64244,34444,422212,34732,1904,3048,10752,0,0,0.00,0,0.00,1,224,0.20,0.35,0.36,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,261.00,201.20,2287.33,14.09,0.00,0.00,0.00,0.19
2018-01-06 22:30:09,1.33,0.00,0.20,0.00,0.10,0.00,0.20,0.00,0.00,98.16,0.00,1508.40,1712.20,0.00,0.00,0.00,4.00,11.60,0.00,1278.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,3171128,0,683716,17.74,9904,175900,850692,22.07,529992,77840,48184,422280,34732,1904,3048,10752,0,0,0.00,0,0.00,1,224,0.18,0.34,0.36,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,315.20,223.80,2759.25,15.54,0.00,0.00,0.00,0.23
2018-01-06 22:30:14,0.91,0.00,0.61,0.51,0.10,0.00,0.10,0.00,0.00,97.76,0.00,1614.20,1826.20,0.00,0.00,0.00,7516.00,10.40,0.00,1389.60,0.00,0.00,0.00,0.00,62.60,0.00,62.60,0.00,15032.00,3156388,0,698456,18.12,9912,190732,850692,22.07,529964,92812,25520,422240,34748,1888,3048,10752,0,0,0.00,0,0.00,0,222,0.17,0.34,0.36,0,62.60,0.00,15032.00,240.13,1.89,30.24,0.64,4.00,342.40,253.40,3000.46,17.70,0.00,0.00,0.00,0.25
2018-01-06 22:30:19,0.61,0.00,0.41,1.02,0.10,0.00,0.00,0.00,0.00,97.87,0.00,1505.00,1376.20,0.00,0.00,0.00,6701.60,7.40,0.00,1258.60,0.00,0.00,0.00,0.00,53.00,0.00,53.00,0.00,13403.20,3143924,0,710920,18.44,9920,203180,850692,22.07,529976,105288,4500,422240,34732,1888,3048,10752,0,0,0.00,0,0.00,0,222,0.15,0.33,0.35,0,53.00,0.00,13403.20,252.89,1.25,23.65,0.29,1.52,285.60,219.80,2503.90,15.25,0.00,0.00,0.00,0.21
2018-01-06 22:30:24,0.82,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.00,98.78,0.00,1873.60,1739.60,0.00,0.00,0.00,5.60,8.00,0.00,1580.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,11.20,3126580,0,728264,18.89,9928,220164,850692,22.07,529996,122340,21488,422248,34800,1888,3048,10752,0,0,0.00,0,0.00,0,222,0.14,0.33,0.35,0,0.40,0.00,11.20,28.00,0.00,0.00,0.00,0.00,391.80,264.20,3437.11,18.16,0.00,0.00,0.00,0.28
2018-01-06 22:30:29,66.40,0.00,3.04,0.00,0.00,0.00,0.00,0.00,0.00,30.57,11.20,2419.20,2144.60,0.00,0.00,79.20,40.00,9840.60,1.20,4320.40,0.00,0.00,0.00,0.00,4.80,4.00,0.80,158.40,80.00,2828816,0,1026028,26.62,9940,239220,3163564,82.07,809100,136824,40332,698796,35596,2176,4368,10752,0,0,0.00,0,0.00,4,259,0.45,0.39,0.37,0,4.80,158.40,80.00,49.67,0.00,0.00,0.00,0.00,420.60,216.20,3686.47,14.41,0.00,0.00,0.00,0.30
2018-01-06 22:30:34,95.20,0.00,4.10,0.00,0.00,0.00,0.30,0.00,0.00,0.40,17.80,2174.00,1115.20,0.00,0.00,2.40,1017.60,4796.80,0.20,3111.20,0.00,0.00,0.00,0.00,8.80,0.20,8.60,4.80,2035.20,2167308,0,1687536,43.78,9948,249684,3288040,85.30,1471824,134880,45836,1347092,36212,2576,5780,10752,0,0,0.00,0,0.00,3,308,0.82,0.46,0.40,0,8.80,4.80,2035.20,231.82,0.04,4.18,0.91,0.80,202.60,132.00,1639.76,12.54,0.00,0.00,0.00,0.13
2018-01-06 22:30:39,98.70,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,904.80,850.60,0.00,0.00,0.00,0.00,88.20,0.00,1093.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1504284,0,2350560,60.98,9948,249712,3288040,85.30,2110248,134900,45900,2008024,36212,2544,7036,10752,0,0,0.00,0,0.00,3,304,0.91,0.49,0.41,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,3.40,0.17,0.64,0.00,0.00,0.00,0.00
2018-01-06 22:30:44,98.40,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,968.40,824.80,0.00,0.00,0.00,54.40,280.60,0.00,1783.40,0.00,0.00,0.00,0.00,7.20,0.00,7.20,0.00,108.80,845964,0,3008880,78.05,9956,249736,3370400,87.43,2790868,134884,45684,2666100,36228,2520,8356,10752,0,0,0.00,0,0.00,3,301,1.00,0.52,0.41,0,7.20,0.00,108.80,15.11,0.00,0.00,0.00,0.00,2.00,4.00,0.29,1.24,0.00,0.00,0.00,0.00
2018-01-06 22:30:49,99.60,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,911.00,908.40,0.00,0.00,0.00,8008.00,13.20,0.00,26.20,0.00,0.00,0.00,0.00,63.80,0.00,63.80,0.00,16016.00,845816,0,3009028,78.06,9964,249760,3370400,87.43,2790924,134908,5720,2666120,36312,2520,8356,10752,0,0,0.00,0,0.00,3,301,1.08,0.54,0.42,0,63.80,0.00,16016.00,251.03,2.04,31.90,0.29,1.84,1.20,2.40,0.12,0.50,0.00,0.00,0.00,0.00
2018-01-06 22:30:54,73.37,0.00,0.20,0.00,0.10,0.00,0.00,0.00,0.00,26.33,0.00,889.60,769.80,0.00,0.00,0.00,10.40,17.40,0.00,34.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,20.80,845832,0,3009012,78.06,9972,249788,3370400,87.43,2790928,134932,5788,2666140,36280,2504,8356,10752,0,0,0.00,0,0.00,0,299,1.15,0.56,0.43,0,0.40,0.00,20.80,52.00,0.00,0.00,0.00,0.00,2.40,4.00,0.31,2.16,0.00,0.00,0.00,0.00
2018-01-06 22:30:59,89.60,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,10.20,0.00,1014.60,931.60,0.00,0.00,0.00,44.80,260.60,0.00,344.40,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00,89.60,807916,0,3046928,79.04,9980,249808,3403304,88.29,2828640,134836,5652,2703724,36284,2504,8428,10752,0,0,0.00,0,0.00,2,299,1.22,0.59,0.44,0,7.00,0.00,89.60,12.80,0.00,0.11,0.11,0.08,82.40,44.80,639.32,5.57,0.00,0.00,0.00,0.05
2018-01-06 22:31:04,99.80,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,913.60,839.80,0.00,0.00,0.00,1120.00,17.20,0.00,24.40,0.00,0.00,0.00,0.00,9.60,0.00,9.60,0.00,2240.00,807724,0,3047120,79.05,9988,249832,3403304,88.29,2828768,134856,296,2703840,36232,2504,8428,10752,0,0,0.00,0,0.00,2,299,1.44,0.64,0.46,0,9.60,0.00,2240.00,233.33,0.06,6.33,0.33,0.32,1.60,3.20,0.25,1.10,0.00,0.00,0.00,0.00
2018-01-06 22:31:09,99.30,0.00,0.60,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,902.00,795.41,0.00,0.00,0.80,8.78,1851.30,0.20,39.72,0.00,0.00,0.00,0.00,0.60,0.20,0.40,1.60,17.56,771020,0,3083824,80.00,9996,249860,3404940,88.33,2865368,134860,336,2740392,36248,2488,8500,10752,0,0,0.00,0,0.00,2,297,1.49,0.67,0.47,0,0.60,1.60,17.56,32.00,0.00,0.00,0.00,0.00,2.59,4.79,0.40,1.09,0.00,0.00,0.00,0.00
2018-01-06 22:31:14,99.80,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,892.00,789.40,0.00,0.00,0.00,11.20,409.80,0.00,27.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,22.40,763084,0,3091760,80.20,10004,249884,3375164,87.56,2873264,134880,348,2748260,36248,2488,8528,10752,0,0,0.00,0,0.00,2,297,1.53,0.69,0.47,0,0.80,0.00,22.40,28.00,0.00,0.00,0.00,0.00,1.80,3.60,0.27,1.23,0.00,0.00,0.00,0.00
