timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 21:52:33,0.30,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,99.50,0.00,256.40,144.80,0.00,0.00,0.00,40.00,584.80,0.00,1532.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,80.00,2568876,0,1285968,33.36,16816,678644,877716,22.77,733648,462020,106128,500228,48364,1920,3204,10752,0,0,0.00,0,0.00,1,226,0.88,1.01,1.45,0,0.80,0.00,80.00,100.00,0.00,5.00,5.00,0.40,5.20,5.80,0.50,0.73,0.00,0.00,0.00,0.00
2018-01-06 21:52:38,1.41,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,97.79,14.40,397.40,321.20,0.00,0.00,0.00,0.00,7737.20,0.00,2467.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2564872,0,1289972,33.46,16816,678668,882688,22.90,737964,462044,106148,504524,48380,1944,3700,10752,0,0,0.00,0,0.00,1,229,0.81,0.99,1.45,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.60,10.20,1.68,1.72,0.00,0.00,0.00,0.00
2018-01-06 21:52:43,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.00,228.80,142.60,0.00,0.00,0.00,8.80,8.00,0.00,27.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,17.60,2564872,0,1289972,33.46,16824,678692,882688,22.90,737964,462044,106172,504524,48380,1944,3700,10752,0,0,0.00,0,0.00,1,229,0.74,0.98,1.44,0,0.40,0.00,17.60,44.00,0.00,0.00,0.00,0.00,3.00,4.40,0.25,0.80,0.00,0.00,0.00,0.00
2018-01-06 21:52:48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,217.40,135.40,0.00,0.00,0.00,0.00,7.60,0.00,26.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2564748,0,1290096,33.47,16824,678716,882688,22.90,737976,462064,106196,504524,48380,1944,3700,10752,0,0,0.00,0,0.00,1,229,0.68,0.96,1.43,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.60,0.23,0.63,0.00,0.00,0.00,0.00
2018-01-06 21:52:53,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,226.80,142.00,0.00,0.00,0.00,2.40,7.60,0.00,27.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,2564748,0,1290096,33.47,16832,678740,882688,22.90,737984,462080,106220,504524,48380,1944,3700,10752,0,0,0.00,0,0.00,1,229,0.63,0.95,1.42,0,0.40,0.00,4.80,12.00,0.00,0.00,0.00,0.00,3.00,4.40,0.25,0.80,0.00,0.00,0.00,0.00
2018-01-06 21:52:58,0.20,0.00,0.10,4.60,0.10,0.00,0.00,0.00,0.00,94.99,0.00,234.40,313.60,0.00,0.00,0.00,21209.60,8.80,0.00,28.40,0.00,0.00,0.00,0.00,172.60,0.00,172.60,0.00,42419.20,2564780,0,1290064,33.47,16832,678760,882688,22.90,738008,462108,176,504524,48348,1944,3700,10752,0,0,0.00,0,0.00,1,229,0.58,0.93,1.42,0,172.60,0.00,42419.20,245.77,18.47,107.03,0.85,14.72,3.00,4.40,0.25,0.80,0.00,0.00,0.00,0.00
2018-01-06 21:53:03,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.00,228.80,138.20,0.00,0.00,0.00,44.80,7.80,0.00,26.40,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,89.60,2564788,0,1290056,33.47,16840,678784,882688,22.90,738020,462128,60,504528,48340,1944,3700,10752,0,0,0.00,0,0.00,1,229,0.53,0.91,1.41,0,1.40,0.00,89.60,64.00,0.00,0.00,0.00,0.00,2.80,4.00,0.23,0.69,0.00,0.00,0.00,0.00
2018-01-06 21:53:08,2.42,0.00,0.61,0.00,0.10,0.00,0.10,0.00,0.00,96.77,5.60,1326.60,1340.60,0.00,0.00,0.00,24.80,675.80,0.00,1509.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,49.60,2534040,0,1320804,34.26,16848,692096,882688,22.90,755308,475240,13480,521664,48388,2008,3744,10752,0,0,0.00,0,0.00,0,237,0.49,0.90,1.40,0,0.40,0.00,49.60,124.00,0.00,2.00,2.00,0.08,317.80,183.00,2689.88,13.56,0.00,0.00,0.00,0.22
2018-01-06 21:53:13,0.61,0.00,0.31,0.00,0.10,0.00,0.10,0.00,0.00,98.88,0.00,1567.40,1583.20,0.00,0.00,0.00,16.00,8.00,0.00,1285.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,32.00,2518248,0,1336596,34.67,16860,705884,882688,22.90,757368,489052,27288,523716,48380,2008,3748,10752,0,0,0.00,0,0.00,0,237,0.45,0.88,1.39,0,0.60,0.00,32.00,53.33,0.00,0.00,0.00,0.00,316.60,228.60,2759.34,16.10,0.00,0.00,0.00,0.23
2018-01-06 21:53:18,1.43,0.00,0.31,0.00,0.10,0.00,0.00,0.00,0.00,98.17,0.00,1680.80,1587.20,0.00,0.00,0.00,3.20,8.20,0.00,1598.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,2499088,0,1355756,35.17,16868,720872,882688,22.90,761640,503964,42276,527976,48380,1992,3752,10752,0,0,0.00,0,0.00,0,235,0.42,0.87,1.39,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,346.40,259.60,3014.70,18.13,0.00,0.00,0.00,0.25
