timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 20:42:16,13.87,0.00,0.60,0.80,0.00,0.00,0.00,0.00,0.00,84.72,1.60,375.00,332.20,0.00,0.00,1.60,37.60,1415.40,0.00,1485.80,0.00,0.00,0.00,0.00,1.40,0.40,1.00,3.20,75.20,3084868,0,769976,19.97,26756,319292,691908,17.95,486072,206956,396,346976,35540,1856,2880,10752,0,0,0.00,0,0.00,0,218,0.18,0.63,0.61,0,1.40,3.20,75.20,56.00,0.02,14.86,13.14,1.84,9.60,10.80,1.37,1.89,0.00,0.00,0.00,0.00
2018-01-06 20:42:21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,231.20,132.40,0.00,0.00,0.00,6.40,11.80,0.00,306.80,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,12.80,3084552,0,770292,19.98,26764,319312,691908,17.95,484392,206972,404,347332,35540,1856,2880,10752,0,0,0.00,0,0.00,0,218,0.17,0.62,0.61,0,1.00,0.00,12.80,12.80,0.00,0.00,0.00,0.00,1.20,2.40,0.12,0.42,0.00,0.00,0.00,0.00
2018-01-06 20:42:26,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,99.80,0.00,232.20,137.20,0.00,0.00,0.00,21.60,8.20,0.00,23.00,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,43.20,3084552,0,770292,19.98,26772,319336,691908,17.95,486452,206988,384,347332,35540,1856,2880,10752,0,0,0.00,0,0.00,0,218,0.15,0.61,0.60,0,1.20,0.00,43.20,36.00,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-06 20:42:31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,233.80,139.80,0.00,0.00,0.00,47.20,8.00,0.00,20.20,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,94.40,3084544,0,770300,19.98,26780,319360,691908,17.95,486464,207004,220,347344,35548,1856,2880,10752,0,0,0.00,0,0.00,0,218,0.14,0.60,0.60,0,8.00,0.00,94.40,11.80,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-06 20:42:36,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,229.60,130.40,0.00,0.00,0.00,0.00,7.40,0.00,19.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3084544,0,770300,19.98,26780,319384,691908,17.95,486464,207004,244,347344,35548,1856,2880,10752,0,0,0.00,0,0.00,0,218,0.13,0.59,0.60,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,2.40,0.12,0.42,0.00,0.00,0.00,0.00
2018-01-06 20:42:41,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,235.60,140.00,0.00,0.00,0.00,16.80,8.20,0.00,20.20,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,33.60,3084544,0,770300,19.98,26788,319404,691908,17.95,486488,207032,208,347344,35548,1856,2880,10752,0,0,0.00,0,0.00,0,218,0.12,0.58,0.59,0,1.20,0.00,33.60,28.00,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-06 20:42:46,0.00,0.00,0.00,0.60,0.10,0.00,0.00,0.00,0.00,99.30,0.00,232.20,133.80,0.00,0.00,0.00,45.60,7.80,0.00,20.80,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,91.20,3084668,0,770176,19.98,26796,319428,691908,17.95,486508,207060,96,347344,35548,1856,2880,10752,0,0,0.00,0,0.00,0,218,0.11,0.57,0.59,0,1.00,0.00,91.20,91.20,0.01,7.20,6.40,0.64,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-06 20:42:51,16.48,0.00,1.73,0.00,0.10,0.00,0.51,0.00,0.00,81.18,3.80,1752.80,2019.80,0.00,0.00,0.00,19.20,1378.40,0.00,3796.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,38.40,2972028,0,882816,22.90,26804,352956,851080,22.08,565412,240368,33696,426028,36064,1912,3044,10752,0,0,0.00,0,0.00,0,225,0.10,0.56,0.59,0,0.60,0.00,38.40,64.00,0.00,1.33,1.33,0.08,776.20,322.00,6765.10,22.11,0.00,0.00,0.00,0.55
2018-01-06 20:42:56,2.53,0.00,0.51,0.00,0.00,0.00,0.10,0.00,0.00,96.86,0.00,1095.00,1159.80,0.00,0.00,0.00,12.00,10.40,0.00,842.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,24.00,2963020,0,891824,23.14,26812,361968,851080,22.08,565456,249320,42704,426060,36292,1912,3044,10752,0,0,0.00,0,0.00,1,225,0.09,0.55,0.58,0,0.60,0.00,24.00,40.00,0.00,1.33,1.33,0.08,207.00,175.40,1808.44,12.46,0.00,0.00,0.00,0.15
2018-01-06 20:43:01,1.12,0.00,0.41,0.10,0.10,0.00,0.10,0.00,0.00,98.17,0.00,1269.60,1403.40,0.00,0.00,0.00,4.00,7.60,0.00,1062.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,2951288,0,903556,23.44,26820,373256,851080,22.08,565404,260704,53992,425996,36576,1904,3044,10752,0,0,0.00,0,0.00,1,224,0.09,0.54,0.58,0,0.40,0.00,8.00,20.00,0.00,2.00,2.00,0.08,261.00,202.60,2275.10,14.24,0.00,0.00,0.00,0.19
