timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 21:52:43,0.30,0.00,0.40,26.96,0.10,0.00,0.00,0.00,0.00,72.23,0.20,287.80,417.40,0.00,0.00,0.00,28153.60,587.20,0.00,4378.60,0.00,0.00,0.00,0.00,252.60,0.00,252.60,0.00,64448.00,11578928,0,4080072,26.06,30208,3214808,1125476,7.19,959108,2898148,57736,612248,119180,2040,3504,31532,0,0,0.00,0,0.00,1,241,2.61,2.02,1.52,0,252.60,0.00,64448.00,255.14,83.97,352.15,2.45,62.00,5.40,6.20,0.45,0.93,0.00,0.00,0.00,0.00
2018-01-06 21:52:48,0.10,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,98.90,0.00,236.80,231.20,0.00,0.00,0.00,11500.00,14.00,0.00,179.20,0.00,0.00,0.00,0.00,90.40,0.00,90.40,0.00,23000.00,11582052,0,4076948,26.04,30208,3214828,1125476,7.19,956008,2898160,256,609140,119152,2032,3428,31532,0,0,0.00,0,0.00,1,240,2.40,1.98,1.51,0,90.40,0.00,23000.00,254.42,3.80,42.01,0.35,3.12,1.20,2.40,0.11,0.43,0.00,0.00,0.00,0.00
2018-01-06 21:52:53,0.90,0.00,0.50,0.00,0.10,0.00,0.00,0.00,0.00,98.50,13.20,376.00,295.40,0.00,0.00,0.00,6.40,5533.60,0.00,1435.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,12.80,11578324,0,4080676,26.06,30216,3214856,1160044,7.41,960312,2898192,284,613428,119132,2056,3940,31532,0,0,0.00,0,0.00,1,243,2.21,1.95,1.50,0,0.40,0.00,12.80,32.00,0.00,2.00,2.00,0.08,7.20,9.00,1.49,1.65,0.00,0.00,0.00,0.00
2018-01-06 21:52:58,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,222.60,136.60,0.00,0.00,0.00,8.80,7.80,0.00,17.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,17.60,11578324,0,4080676,26.06,30224,3214880,1160044,7.41,960320,2898208,312,613436,119132,2056,3940,31532,0,0,0.00,0,0.00,1,243,2.03,1.92,1.49,0,0.40,0.00,17.60,44.00,0.00,0.00,0.00,0.00,3.00,4.00,0.20,0.77,0.00,0.00,0.00,0.00
2018-01-06 21:53:03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,222.40,132.20,0.00,0.00,0.00,8.80,8.20,0.00,16.40,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,17.60,11578324,0,4080676,26.06,30232,3214904,1160044,7.41,960336,2898228,328,613436,119132,2056,3940,31532,0,0,0.00,0,0.00,1,243,1.87,1.89,1.49,0,1.20,0.00,17.60,14.67,0.00,0.00,0.00,0.00,2.00,3.20,0.15,0.65,0.00,0.00,0.00,0.00
2018-01-06 21:53:08,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.00,226.20,135.00,0.00,0.00,0.00,4.00,7.40,0.00,16.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,11578292,0,4080708,26.06,30240,3214924,1160044,7.41,960348,2898236,356,613436,119132,2056,3940,31532,0,0,0.00,0,0.00,1,243,1.72,1.86,1.48,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,2.20,3.60,0.16,0.75,0.00,0.00,0.00,0.00
2018-01-06 21:53:13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,231.00,145.40,0.00,0.00,0.00,36.00,8.20,0.00,43.60,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,72.00,11578304,0,4080696,26.06,30240,3214948,1160044,7.41,960072,2898264,204,613144,119056,2024,3940,31532,0,0,0.00,0,0.00,1,238,1.58,1.82,1.47,0,1.00,0.00,72.00,72.00,0.00,0.00,0.00,0.00,2.00,3.40,0.16,0.74,0.00,0.00,0.00,0.00
2018-01-06 21:53:18,0.20,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,99.50,0.00,218.00,133.00,0.00,0.00,0.00,44.00,7.20,0.00,16.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,88.00,11578188,0,4080812,26.06,30248,3214972,1160044,7.41,960016,2898284,56,613076,119056,2016,3940,31532,0,0,0.00,0,0.00,1,238,1.45,1.79,1.46,0,6.00,0.00,88.00,14.67,0.00,0.67,0.67,0.40,1.80,3.00,0.14,0.64,0.00,0.00,0.00,0.00
2018-01-06 21:53:23,0.00,0.00,0.10,0.00,0.10,0.00,0.00,0.00,0.00,99.80,0.00,223.60,136.40,0.00,0.00,0.00,0.00,7.20,0.00,16.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11578188,0,4080812,26.06,30248,3214996,1160044,7.41,960024,2898300,80,613076,119056,2016,3940,31532,0,0,0.00,0,0.00,1,238,1.34,1.76,1.46,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20,3.60,0.17,0.75,0.00,0.00,0.00,0.00
2018-01-06 21:53:28,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,225.20,135.40,0.00,0.00,0.00,2.40,7.60,0.00,16.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,11578188,0,4080812,26.06,30256,3215016,1160044,7.41,960036,2898316,112,613076,119056,2016,3940,31532,0,0,0.00,0,0.00,1,238,1.23,1.74,1.45,0,0.40,0.00,4.80,12.00,0.00,0.00,0.00,0.00,2.00,3.40,0.16,0.74,0.00,0.00,0.00,0.00
