timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 22:31:49,0.40,0.00,0.10,0.30,0.00,0.00,0.00,0.00,0.00,99.20,0.00,253.00,146.00,0.00,0.00,0.00,32.80,561.40,0.00,1261.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,65.60,13943156,0,1715844,10.96,34636,909112,1144848,7.31,911928,643856,370300,612044,57516,1920,3420,31532,0,0,0.00,0,0.00,0,226,0.73,1.01,1.38,0,0.80,0.00,65.60,82.00,0.01,10.00,5.00,0.40,3.60,5.00,0.29,0.71,0.00,0.00,0.00,0.00
2018-01-06 22:31:54,2.01,0.00,0.60,0.00,0.10,0.00,0.00,0.00,0.00,97.29,14.20,394.80,314.80,0.00,0.00,0.00,2.40,7695.40,0.00,2444.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,13938916,0,1720084,10.98,34636,909140,1145132,7.31,916240,643884,370308,616344,57544,1944,3936,31532,0,0,0.00,0,0.00,0,229,0.67,1.00,1.37,0,0.40,0.00,4.80,12.00,0.00,0.00,0.00,0.00,7.60,9.40,1.51,1.67,0.00,0.00,0.00,0.00
2018-01-06 22:31:59,0.10,0.00,0.20,11.66,0.10,0.00,0.00,0.00,0.00,87.94,0.00,235.20,338.80,0.00,0.00,0.00,26443.20,9.00,0.00,20.80,0.00,0.00,0.00,0.00,208.00,0.00,208.00,0.00,52886.40,13938956,0,1720044,10.98,34648,909164,1145132,7.31,916256,643904,238208,616344,57496,1944,3936,31532,0,0,0.00,0,0.00,0,229,0.62,0.98,1.37,0,208.00,0.00,52886.40,254.26,39.25,188.71,1.49,31.04,1.80,3.00,0.14,0.63,0.00,0.00,0.00,0.00
2018-01-06 22:32:04,0.00,0.00,0.30,22.64,0.10,0.00,0.00,0.00,0.00,76.96,0.00,246.00,417.40,0.00,0.00,0.00,38406.40,7.20,0.00,252.60,0.00,0.00,0.00,0.00,274.40,0.00,274.40,0.00,70131.20,13934332,0,1724668,11.01,34656,909188,1145132,7.31,919860,643928,46236,619940,57668,1944,3936,31532,0,0,0.00,0,0.00,0,229,0.65,0.98,1.36,1,274.40,0.00,70131.20,255.58,68.23,196.33,1.73,47.60,1.80,3.20,0.15,0.72,0.00,0.00,0.00,0.00
2018-01-06 22:32:09,0.10,0.00,0.10,9.44,0.00,0.00,0.00,0.00,0.00,90.36,0.00,230.20,239.20,0.00,0.00,0.00,9234.40,7.20,0.00,19.00,0.00,0.00,0.00,0.00,104.80,0.00,104.80,0.00,25150.40,13934364,0,1724636,11.01,34664,909212,1145132,7.31,919872,643940,196,619940,57616,1944,3936,31532,0,0,0.00,0,0.00,0,229,0.60,0.96,1.36,0,104.80,0.00,25150.40,239.98,31.18,434.52,2.31,24.16,2.20,3.60,0.16,0.74,0.00,0.00,0.00,0.00
2018-01-06 22:32:14,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,222.00,130.60,0.00,0.00,0.00,0.00,8.00,0.00,712.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13931836,0,1727164,11.03,34664,909232,1145132,7.31,920272,643956,216,622376,57616,1944,3936,31532,0,0,0.00,0,0.00,0,229,0.55,0.95,1.35,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,3.00,0.14,0.63,0.00,0.00,0.00,0.00
2018-01-06 22:32:19,2.22,0.00,0.40,0.00,0.20,0.00,0.10,0.00,0.00,97.07,3.60,926.80,1024.80,0.00,0.00,0.00,36.80,504.40,0.00,851.20,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,73.60,13922644,0,1736356,11.09,34672,917832,1145132,7.31,922876,652128,8652,622916,57744,1992,3944,31532,0,0,0.00,0,0.00,1,235,0.51,0.93,1.34,0,1.20,0.00,73.60,61.33,0.00,0.00,0.00,0.00,203.20,139.60,1710.67,10.19,0.00,0.00,0.00,0.00
2018-01-06 22:32:24,1.12,0.00,0.31,0.00,0.20,0.10,0.31,0.00,0.00,97.97,0.00,1244.00,1563.00,0.00,0.00,0.00,23.20,7.80,0.00,1618.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,46.40,13906296,0,1752704,11.19,34680,933948,1145132,7.31,922908,668588,24860,622928,57744,1992,3944,31532,0,0,0.00,0,0.00,1,235,0.47,0.92,1.34,0,0.40,0.00,46.40,116.00,0.00,0.00,0.00,0.00,374.80,238.80,3277.08,16.65,0.00,0.00,0.00,0.00
2018-01-06 22:32:29,1.82,0.00,0.50,0.00,0.30,0.00,0.61,0.00,0.00,96.77,0.00,1278.20,1553.40,0.00,0.00,0.00,3.20,7.60,0.00,1331.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,13890124,0,1768876,11.30,34688,950268,1145132,7.31,922860,685012,41180,622872,57616,1984,3944,31532,0,0,0.00,0,0.00,1,234,0.43,0.90,1.33,0,0.40,0.00,6.40,16.00,0.00,2.00,2.00,0.08,379.20,235.60,3317.50,16.29,0.00,0.00,0.00,0.00
2018-01-06 22:32:34,0.71,0.00,0.20,0.00,0.20,0.00,0.10,0.00,0.00,98.78,0.00,1104.60,1294.60,0.00,0.00,0.00,11.20,8.80,0.00,1440.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,22.40,13875860,0,1783140,11.39,34696,964444,1145132,7.31,922868,699188,55364,622872,57616,1984,3944,31532,0,0,0.00,0,0.00,1,234,0.39,0.89,1.32,0,1.00,0.00,22.40,22.40,0.00,0.00,0.00,0.00,322.00,234.40,2811.22,16.47,0.00,0.00,0.00,0.00
2018-01-06 22:32:39,1.52,0.00,0.61,0.00,0.30,0.00,0.10,0.00,0.00,97.47,0.00,1227.20,1430.40,0.00,0.00,0.00,4.80,8.80,0.00,1188.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,13861592,0,1797408,11.48,34704,979100,1145132,7.31,922904,713884,70020,622892,57616,1984,3944,31532,0,0,0.00,0,0.00,0,234,0.36,0.87,1.31,0,0.40,0.00,9.60,24.00,0.00,2.00,2.00,0.08,341.00,221.80,2978.23,15.49,0.00,0.00,0.00,0.00
2018-01-06 22:32:44,0.61,0.00,0.41,0.00,0.31,0.00,0.41,0.00,0.00,98.26,0.00,1441.00,1818.60,0.00,0.00,0.00,28.80,7.80,0.00,2336.20,0.00,0.00,0.00,0.00,4.40,0.00,4.40,0.00,57.60,13841344,0,1817656,11.61,34712,999252,1145132,7.31,922684,733880,90040,622660,57616,1960,3944,31532,0,0,0.00,0,0.00,0,231,0.33,0.86,1.31,0,4.40,0.00,57.60,13.09,0.00,0.00,0.00,0.00,458.80,275.00,4015.43,18.96,0.00,0.00,0.00,0.00
