timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 23:11:05,0.30,0.00,0.20,0.30,0.00,0.00,0.00,0.00,0.00,99.20,0.20,281.20,174.40,0.00,0.00,0.00,30.40,583.40,0.00,3949.00,0.00,0.00,0.00,0.00,4.60,0.00,4.60,0.00,865.60,14470404,0,1188596,7.59,38920,444860,1201980,7.68,734544,302956,92212,553716,47616,2008,3432,31532,0,0,0.00,0,0.00,1,237,1.73,1.19,0.85,0,4.60,0.00,865.60,188.17,0.22,148.70,6.96,3.20,5.20,6.00,0.45,0.91,0.00,0.00,0.00,0.00
2018-01-06 23:11:10,1.81,0.00,0.80,0.80,0.00,0.00,0.00,0.00,0.00,96.58,14.20,417.20,402.00,0.00,0.00,0.00,9056.80,7701.80,0.00,2612.80,0.00,0.00,0.00,0.00,70.80,0.00,70.80,0.00,17942.40,14470148,0,1188852,7.59,38928,444892,1221880,7.80,735712,302984,47108,554900,47572,2024,3844,31532,0,0,0.00,0,0.00,1,239,1.59,1.17,0.84,0,70.80,0.00,17942.40,253.42,2.08,28.12,0.36,2.56,7.60,9.40,1.51,1.67,0.00,0.00,0.00,0.00
2018-01-06 23:11:15,0.20,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,99.70,0.00,228.00,139.80,0.00,0.00,0.00,17.60,7.40,0.00,17.80,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,206.40,14470072,0,1188928,7.59,38940,444912,1221880,7.80,735752,303000,47112,554904,47528,2016,3844,31532,0,0,0.00,0,0.00,1,238,1.46,1.15,0.84,0,2.00,0.00,206.40,103.20,0.04,64.00,5.20,1.04,2.20,3.40,0.15,0.64,0.00,0.00,0.00,0.00
2018-01-06 23:11:20,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,99.50,0.00,225.40,165.80,0.00,0.00,0.00,8160.80,7.20,0.00,16.40,0.00,0.00,0.00,0.00,33.20,0.00,33.20,0.00,8356.80,14469916,0,1189084,7.59,38948,444940,1221880,7.80,735760,303020,6504,554904,47528,2016,3844,31532,0,0,0.00,0,0.00,1,238,1.34,1.14,0.83,1,33.60,0.00,8459.20,251.76,1.38,20.29,0.29,0.96,2.00,3.40,0.16,0.73,0.00,0.00,0.00,0.00
2018-01-06 23:11:25,0.20,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,99.70,0.00,223.40,176.20,0.00,0.00,0.00,1200.00,8.60,0.00,18.40,0.00,0.00,0.00,0.00,41.40,0.00,41.40,0.00,10364.80,14469832,0,1189168,7.59,38948,444972,1221880,7.80,735772,303032,408,554904,47524,2008,3844,31532,0,0,0.00,0,0.00,1,237,1.24,1.12,0.83,0,41.00,0.00,10262.40,250.30,1.16,45.17,0.29,1.20,1.80,3.20,0.15,0.72,0.00,0.00,0.00,0.00
2018-01-06 23:11:30,0.10,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,99.80,0.00,221.80,141.00,0.00,0.00,0.00,57.60,7.20,0.00,16.20,0.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,115.20,14469832,0,1189168,7.59,38956,444992,1221880,7.80,735784,303044,184,554904,47524,2008,3844,31532,0,0,0.00,0,0.00,1,237,1.14,1.10,0.82,0,8.00,0.00,115.20,14.40,0.00,0.00,0.00,0.00,1.80,3.00,0.14,0.63,0.00,0.00,0.00,0.00
2018-01-06 23:11:35,2.33,0.00,0.51,0.00,0.10,0.00,0.20,0.00,0.00,96.86,3.60,1061.80,1113.60,0.00,0.00,0.00,34.40,495.80,0.00,1114.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,68.80,14456912,0,1202088,7.68,38956,456676,1221880,7.80,736336,314640,11700,555428,47652,2056,3844,31532,0,0,0.00,0,0.00,0,243,1.05,1.08,0.82,0,0.80,0.00,68.80,86.00,0.00,0.00,0.00,0.00,278.00,189.40,2359.95,13.78,0.00,0.00,0.00,0.00
2018-01-06 23:11:40,1.22,0.00,0.31,0.00,0.20,0.00,0.00,0.00,0.00,98.27,0.00,1192.00,1229.80,0.00,0.00,0.00,27.20,11.00,0.00,1634.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,54.40,14431668,0,1227332,7.84,38964,470284,1221880,7.80,748132,328248,25416,567212,47652,2056,3868,31532,0,0,0.00,0,0.00,0,243,0.96,1.06,0.82,0,0.60,0.00,54.40,90.67,0.00,1.33,1.33,0.08,312.80,213.00,2732.10,14.90,0.00,0.00,0.00,0.00
2018-01-06 23:11:45,0.81,0.00,0.30,0.10,0.30,0.00,0.61,0.00,0.00,97.88,0.00,1359.00,1575.60,0.00,0.00,0.00,5.60,7.20,0.00,1326.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,11.20,14415532,0,1243468,7.94,38972,486772,1221880,7.80,748076,344700,41912,567148,47652,2048,3868,31532,0,0,0.00,0,0.00,1,242,0.89,1.04,0.81,0,0.40,0.00,11.20,28.00,0.00,2.00,2.00,0.08,378.60,239.60,3310.48,16.61,0.00,0.00,0.00,0.00
2018-01-06 23:11:50,0.81,0.00,0.41,0.00,0.20,0.00,0.10,0.00,0.00,98.48,0.00,1234.60,1415.40,0.00,0.00,0.00,2.40,7.40,0.00,1106.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,14401564,0,1257436,8.03,38980,500304,1221880,7.80,747940,358288,55444,567000,47648,2032,3868,31532,0,0,0.00,0,0.00,1,240,0.81,1.03,0.81,0,0.40,0.00,4.80,12.00,0.00,0.00,0.00,0.00,313.00,221.80,2733.86,15.56,0.00,0.00,0.00,0.00
