timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 21:26:17,5.63,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,93.87,0.80,298.80,221.60,0.00,0.00,0.00,32.80,749.20,0.00,1576.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,65.60,14797632,0,861368,5.50,27268,319712,1070472,6.84,517888,207296,388,378152,36120,1856,2956,31532,0,0,0.00,0,0.00,0,218,0.36,0.83,0.80,0,0.80,0.00,65.60,82.00,0.00,0.00,0.00,0.00,4.20,5.20,0.34,0.69,0.00,0.00,0.00,0.00
2018-01-06 21:26:22,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,221.60,135.80,0.00,0.00,0.00,0.00,11.20,0.00,15.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14797640,0,861360,5.50,27268,319732,1070472,6.84,517856,207280,408,378156,36120,1856,2956,31532,0,0,0.00,0,0.00,0,218,0.33,0.82,0.79,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-06 21:26:27,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.70,0.00,221.20,134.00,0.00,0.00,0.00,4.00,7.20,0.00,17.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,8.00,14797672,0,861328,5.50,27276,319756,1070472,6.84,517880,207308,424,378160,36120,1856,2956,31532,0,0,0.00,0,0.00,0,218,0.30,0.81,0.79,0,0.80,0.00,8.00,10.00,0.00,1.00,1.00,0.08,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-06 21:26:32,0.10,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,99.70,0.00,224.00,138.40,0.00,0.00,0.00,54.40,8.20,0.00,15.20,0.00,0.00,0.00,0.00,8.40,0.00,8.40,0.00,108.80,14797672,0,861328,5.50,27288,319780,1070472,6.84,517896,207324,196,378168,36120,1856,2956,31532,0,0,0.00,0,0.00,0,218,0.28,0.79,0.78,0,8.40,0.00,108.80,12.95,0.06,6.67,3.14,2.64,1.20,2.40,0.11,0.42,0.00,0.00,0.00,0.00
2018-01-06 21:26:37,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.00,221.60,132.60,0.00,0.00,0.00,10.40,7.00,0.00,15.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,20.80,14797672,0,861328,5.50,27296,319804,1070472,6.84,517896,207324,260,378168,36120,1856,2956,31532,0,0,0.00,0,0.00,0,218,0.26,0.78,0.78,0,0.40,0.00,20.80,52.00,0.00,0.00,0.00,0.00,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-06 21:26:42,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,222.20,132.80,0.00,0.00,0.00,7.20,7.80,0.00,15.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,14.40,14797548,0,861452,5.50,27296,319824,1070472,6.84,517920,207344,260,378168,36120,1856,2956,31532,0,0,0.00,0,0.00,0,218,0.23,0.77,0.77,0,0.40,0.00,14.40,36.00,0.00,0.00,0.00,0.00,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-06 21:26:47,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.00,219.40,129.40,0.00,0.00,0.00,48.00,7.00,0.00,15.20,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,96.00,14797548,0,861452,5.50,27304,319848,1070472,6.84,517932,207356,88,378168,36120,1856,2956,31532,0,0,0.00,0,0.00,0,218,0.22,0.75,0.77,0,1.20,0.00,96.00,80.00,0.00,0.67,0.67,0.08,1.20,2.40,0.11,0.42,0.00,0.00,0.00,0.00
2018-01-06 21:26:52,13.44,0.00,0.80,0.20,0.00,0.00,0.10,0.00,0.00,85.46,4.00,554.80,547.40,0.00,0.00,0.00,6.40,1380.20,0.00,686.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,12.80,14762668,0,896332,5.72,27312,320864,1070472,6.84,551860,208136,1128,411928,36136,1880,3016,31532,0,0,0.00,0,0.00,2,226,0.20,0.74,0.77,0,0.40,0.00,12.80,32.00,0.00,10.00,10.00,0.40,38.60,29.80,270.28,2.56,0.00,0.00,0.00,0.00
2018-01-06 21:26:57,2.36,0.00,1.02,0.00,0.31,0.00,0.00,0.00,0.00,96.31,0.00,1627.40,1934.20,0.00,0.00,0.00,17.60,25.60,0.00,1806.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,35.20,14739396,0,919604,5.87,27320,343328,1070472,6.84,552276,230752,23656,412272,36284,1912,3032,31532,0,0,0.00,0,0.00,0,225,0.18,0.73,0.76,0,0.40,0.00,35.20,88.00,0.00,2.00,2.00,0.08,512.80,320.00,4489.40,22.18,0.00,0.00,0.00,0.00
2018-01-06 21:27:02,4.28,0.00,0.51,0.00,0.31,0.00,0.41,0.00,0.00,94.50,0.00,1526.60,1814.00,0.00,0.00,0.00,32.00,10.20,0.00,1676.60,0.00,0.00,0.00,0.00,5.60,0.00,5.60,0.00,64.00,14718324,0,940676,6.01,27328,364320,1070472,6.84,552328,251496,44520,412312,36808,1912,3032,31532,0,0,0.00,0,0.00,0,224,0.17,0.72,0.76,0,5.60,0.00,64.00,11.43,0.00,0.00,0.00,0.00,479.60,288.20,4194.77,19.54,0.00,0.00,0.00,0.00
