timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 23:56:27,0.40,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,99.30,0.40,269.00,155.80,0.00,0.00,0.00,15.20,572.20,0.00,6757.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,30.40,641616,0,3213228,83.36,6852,2409420,963604,25.00,893380,2177132,172,654232,100192,2040,3660,10752,0,0,0.00,0,0.00,1,241,1.37,2.12,1.94,0,0.40,0.00,30.40,76.00,0.00,0.00,0.00,0.00,3.00,4.20,0.33,0.58,0.00,0.00,0.00,0.00
2018-01-06 23:56:32,1.61,0.00,0.60,0.00,0.10,0.00,0.00,0.00,0.00,97.69,14.40,425.20,336.60,0.00,0.00,0.00,28.80,7738.80,0.00,2510.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,57.60,638004,0,3216840,83.45,6864,2409444,980536,25.44,897264,2177140,300,658108,100008,2032,4136,10752,0,0,0.00,0,0.00,1,239,1.26,2.09,1.93,0,0.80,0.00,57.60,72.00,0.00,0.00,0.00,0.00,8.00,9.40,1.64,1.68,0.00,0.00,0.00,0.00
2018-01-06 23:56:37,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,99.90,0.00,232.20,139.80,0.00,0.00,0.00,16.80,8.80,0.00,23.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,33.60,638120,0,3216724,83.45,6872,2409468,980536,25.44,897292,2177156,312,658112,100012,2024,4080,10752,0,0,0.00,0,0.00,1,239,1.16,2.05,1.92,0,1.20,0.00,33.60,28.00,0.00,0.00,0.00,0.00,2.20,3.60,0.20,0.76,0.00,0.00,0.00,0.00
2018-01-06 23:56:42,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,231.40,136.40,0.00,0.00,0.00,0.00,7.60,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,638120,0,3216724,83.45,6872,2409496,980536,25.44,897292,2177160,340,658112,100012,2024,4080,10752,0,0,0.00,0,0.00,1,239,1.06,2.02,1.91,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.20,0.18,0.65,0.00,0.00,0.00,0.00
2018-01-06 23:56:47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,231.80,140.40,0.00,0.00,0.00,52.00,7.80,0.00,412.00,0.00,0.00,0.00,0.00,6.60,0.00,6.60,0.00,104.00,637120,0,3217724,83.47,6884,2409520,980536,25.44,895672,2177204,168,658520,100012,2024,4080,10752,0,0,0.00,0,0.00,1,239,0.98,1.98,1.90,0,6.60,0.00,104.00,15.76,0.00,0.12,0.12,0.08,2.20,3.60,0.20,0.76,0.00,0.00,0.00,0.00
2018-01-06 23:56:52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,231.00,140.80,0.00,0.00,0.00,37.60,8.80,0.00,24.60,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,75.20,637120,0,3217724,83.47,6884,2409540,980536,25.44,895684,2177212,24,658520,100012,2024,4080,10752,0,0,0.00,0,0.00,1,239,0.90,1.95,1.89,0,2.20,0.00,75.20,34.18,0.00,0.00,0.00,0.00,2.40,3.80,0.21,0.77,0.00,0.00,0.00,0.00
2018-01-06 23:56:57,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,227.80,131.20,0.00,0.00,0.00,9.60,8.00,0.00,23.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,19.20,637120,0,3217724,83.47,6892,2409564,980536,25.44,895684,2177212,96,658520,100012,2024,4080,10752,0,0,0.00,0,0.00,1,239,0.83,1.92,1.88,0,0.40,0.00,19.20,48.00,0.00,0.00,0.00,0.00,2.00,3.20,0.18,0.65,0.00,0.00,0.00,0.00
2018-01-06 23:57:02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,232.20,135.20,0.00,0.00,0.00,3.20,7.60,0.00,23.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,637120,0,3217724,83.47,6900,2409588,980536,25.44,895696,2177228,120,658520,100012,2024,4080,10752,0,0,0.00,0,0.00,1,239,0.76,1.89,1.87,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,2.20,3.60,0.20,0.76,0.00,0.00,0.00,0.00
2018-01-06 23:57:07,0.10,0.00,0.10,0.00,0.10,0.00,0.00,0.00,0.00,99.70,0.00,231.00,135.00,0.00,0.00,0.00,0.00,7.60,0.00,23.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,637244,0,3217600,83.47,6900,2409612,980536,25.44,895708,2177240,144,658520,100012,2024,4080,10752,0,0,0.00,0,0.00,1,239,0.70,1.85,1.86,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20,3.60,0.20,0.76,0.00,0.00,0.00,0.00
2018-01-06 23:57:12,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,224.00,137.80,0.00,0.00,0.00,2.40,7.60,0.00,25.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,637120,0,3217724,83.47,6908,2409632,980536,25.44,895716,2177256,164,658520,100012,2024,4080,10752,0,0,0.00,0,0.00,1,239,0.64,1.82,1.85,0,0.40,0.00,4.80,12.00,0.00,2.00,2.00,0.08,2.60,3.60,0.21,0.67,0.00,0.00,0.00,0.00
