timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 01:18:33,0.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,99.40,0.20,265.20,157.40,0.00,0.00,0.00,28.00,564.00,0.00,3897.40,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,56.00,2991808,0,863036,22.39,16264,211348,950580,24.66,664100,123604,75132,560108,33532,2032,3328,10752,0,0,0.00,0,0.00,0,240,2.67,2.08,1.62,0,0.80,0.00,56.00,70.00,0.00,0.00,0.00,0.00,2.80,4.00,0.30,0.56,0.00,0.00,0.00,0.00
2018-01-07 01:18:38,0.80,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,98.89,13.20,377.60,311.80,0.00,0.00,28.80,16.80,5538.40,0.00,1469.80,0.00,0.00,0.00,0.00,8.60,7.20,1.40,57.60,33.60,2987072,0,867772,22.51,16404,211384,958100,24.85,668416,123764,75160,564392,33544,2056,3836,10752,0,0,0.00,0,0.00,0,243,2.45,2.05,1.61,0,8.60,57.60,33.60,10.60,0.02,2.33,0.09,0.08,8.60,10.20,1.68,1.72,0.00,0.00,0.00,0.00
2018-01-07 01:18:43,0.10,0.00,0.10,0.40,0.00,0.00,0.00,0.00,0.00,99.40,0.00,228.20,200.60,0.00,0.00,0.00,7500.00,8.00,0.00,132.40,0.00,0.00,0.00,0.00,59.60,0.00,59.60,0.00,15000.00,2986736,0,868108,22.52,16412,211408,958100,24.85,668460,123784,37764,564392,33544,2056,3836,10752,0,0,0.00,0,0.00,0,243,2.26,2.01,1.60,0,59.60,0.00,15000.00,251.68,1.78,29.85,0.28,1.68,3.00,4.40,0.25,0.80,0.00,0.00,0.00,0.00
2018-01-07 01:18:48,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,227.20,144.80,0.00,0.00,0.00,61.60,8.00,0.00,26.80,0.00,0.00,0.00,0.00,8.80,0.00,8.80,0.00,123.20,2986760,0,868084,22.52,16420,211432,958100,24.85,668440,123808,37500,564400,33544,2056,3836,10752,0,0,0.00,0,0.00,0,243,2.08,1.98,1.59,0,8.80,0.00,123.20,14.00,0.00,0.00,0.00,0.00,3.00,4.20,0.24,0.71,0.00,0.00,0.00,0.00
2018-01-07 01:18:53,0.00,0.00,0.00,1.91,0.10,0.00,0.00,0.00,0.00,97.99,0.00,228.20,200.60,0.00,0.00,0.00,7490.40,8.40,0.00,28.40,0.00,0.00,0.00,0.00,59.20,0.00,59.20,0.00,14980.80,2986728,0,868116,22.52,16432,211456,958100,24.85,668460,123832,216,564404,33576,2056,3836,10752,0,0,0.00,0,0.00,0,243,1.91,1.95,1.58,0,59.20,0.00,14980.80,253.05,1.31,22.20,0.50,2.96,3.00,4.40,0.25,0.80,0.00,0.00,0.00,0.00
2018-01-07 01:18:58,1.11,0.00,0.40,0.00,0.00,0.00,0.10,0.00,0.00,98.39,3.59,775.45,724.55,0.00,0.00,0.00,7.19,491.62,0.00,880.24,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,14.37,2979028,0,875816,22.72,16440,218784,958100,24.85,668932,131160,7572,564856,33620,2104,3836,10752,0,0,0.00,0,0.00,0,249,1.76,1.91,1.58,0,0.40,0.00,14.37,36.00,0.00,0.00,0.00,0.00,179.24,115.97,1502.67,8.93,0.00,0.00,0.00,0.12
2018-01-07 01:19:03,0.91,0.00,0.40,0.00,0.00,0.00,0.10,0.00,0.00,98.59,0.00,1088.40,1134.00,0.00,0.00,0.00,59.20,8.60,0.00,791.80,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,118.40,2970512,0,884332,22.94,16448,227340,958100,24.85,668956,139604,16032,564868,33620,2104,3836,10752,0,0,0.00,0,0.00,0,249,1.62,1.88,1.57,0,1.20,0.00,118.40,98.67,0.00,0.00,0.00,0.00,194.40,171.20,1688.76,12.34,0.00,0.00,0.00,0.14
2018-01-07 01:19:08,0.81,0.00,0.20,0.00,0.10,0.00,0.10,0.00,0.00,98.79,0.00,1003.80,1006.00,0.00,0.00,0.00,12.80,10.40,0.00,679.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,25.60,2963508,0,891336,23.12,16456,234356,958100,24.85,668928,146548,23044,564824,33620,2096,3836,10752,0,0,0.00,0,0.00,1,248,1.49,1.85,1.56,0,0.80,0.00,25.60,32.00,0.00,0.00,0.00,0.00,165.20,160.20,1426.46,11.70,0.00,0.00,0.00,0.12
2018-01-07 01:19:13,1.12,0.00,0.20,0.00,0.10,0.00,0.10,0.00,0.00,98.48,0.00,1266.20,1210.80,0.00,0.00,0.00,4.00,10.80,0.00,915.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,2953680,0,901164,23.38,16464,244176,958100,24.85,668988,156352,32864,564880,33620,2096,3836,10752,0,0,0.00,0,0.00,0,248,1.37,1.82,1.55,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,224.60,183.20,1961.64,13.10,0.00,0.00,0.00,0.16
2018-01-07 01:19:18,1.01,0.00,0.30,0.10,0.10,0.00,0.00,0.00,0.00,98.49,0.00,1146.20,1119.20,0.00,0.00,0.00,3.20,8.00,0.00,774.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,2945460,0,909384,23.59,16472,252248,958100,24.85,669008,164460,40936,564884,33620,2096,3836,10752,0,0,0.00,0,0.00,0,248,1.26,1.79,1.54,0,0.40,0.00,6.40,16.00,0.00,2.00,2.00,0.08,190.00,166.80,1648.28,12.08,0.00,0.00,0.00,0.14
