timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 00:30:43,0.40,0.00,0.50,34.61,0.10,0.00,0.00,0.00,0.00,64.38,0.20,299.60,580.80,0.00,0.00,0.00,52942.40,565.00,0.00,4026.20,0.00,0.00,0.00,0.00,419.20,0.00,419.20,0.00,105884.80,4740040,0,3435568,42.02,30084,2642216,1047076,12.81,901456,2362708,92448,591860,103496,2032,3408,18156,0,0,0.00,0,0.00,0,240,2.14,1.77,1.48,0,419.20,0.00,105884.80,252.59,105.18,250.92,1.82,76.24,3.20,4.60,0.33,0.68,0.00,0.00,0.00,0.00
2018-01-07 00:30:48,2.01,0.00,1.01,1.31,0.10,0.00,0.00,0.00,0.00,95.57,14.40,434.60,473.00,0.00,0.00,0.00,18444.00,7733.00,0.00,2472.60,0.00,0.00,0.00,0.00,136.60,0.00,136.60,0.00,34788.80,4735364,0,3440244,42.08,30084,2642248,1058220,12.94,905716,2362720,488,596228,103496,2032,4048,18156,0,0,0.00,0,0.00,0,243,1.97,1.74,1.47,0,136.80,0.00,34840.00,254.68,16.08,90.14,1.08,14.80,8.00,9.20,1.64,1.58,0.00,0.00,0.00,0.00
2018-01-07 00:30:53,0.10,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,99.60,0.00,236.80,149.40,0.00,0.00,0.00,12.80,7.60,0.00,27.60,0.00,0.00,0.00,0.00,8.60,0.00,8.60,0.00,2124.80,4735428,0,3440180,42.08,30092,2642280,1058220,12.94,905764,2362736,292,596156,103488,2056,3896,18156,0,0,0.00,0,0.00,0,243,1.81,1.71,1.46,0,8.40,0.00,2073.60,246.86,0.27,478.19,3.62,3.04,3.00,4.40,0.25,0.80,0.00,0.00,0.00,0.00
2018-01-07 00:30:58,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,236.20,133.40,0.00,0.00,0.00,10.40,7.60,0.00,26.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,20.80,4735428,0,3440180,42.08,30104,2642304,1058220,12.94,905776,2362752,328,596156,103488,2056,3896,18156,0,0,0.00,0,0.00,0,243,1.66,1.68,1.46,0,0.60,0.00,20.80,34.67,0.00,2.67,1.33,0.08,3.00,4.40,0.25,0.80,0.00,0.00,0.00,0.00
2018-01-07 00:31:03,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,99.80,0.00,234.40,138.80,0.00,0.00,0.00,0.00,7.80,0.00,128.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4734696,0,3440912,42.09,30104,2642328,1058220,12.94,905876,2362780,352,596244,103488,2056,3896,18156,0,0,0.00,0,0.00,0,243,1.53,1.66,1.45,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,4.00,0.23,0.69,0.00,0.00,0.00,0.00
2018-01-07 00:31:08,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,232.80,140.40,0.00,0.00,0.00,3.20,7.60,0.00,27.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,6.40,4734860,0,3440748,42.09,30112,2642348,1058220,12.94,905800,2362792,372,596160,103488,2056,3896,18156,0,0,0.00,0,0.00,0,243,1.41,1.63,1.44,0,0.60,0.00,6.40,10.67,0.00,1.33,1.33,0.08,3.20,4.60,0.26,0.81,0.00,0.00,0.00,0.00
2018-01-07 00:31:13,0.20,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.70,0.00,240.20,148.80,0.00,0.00,0.00,43.20,8.60,0.00,27.60,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,86.40,4734868,0,3440740,42.09,30120,2642364,1058220,12.94,905812,2362808,224,596160,103488,2056,3896,18156,0,0,0.00,0,0.00,0,243,1.30,1.60,1.43,0,1.60,0.00,86.40,54.00,0.00,0.00,0.00,0.00,3.20,4.60,0.26,0.81,0.00,0.00,0.00,0.00
2018-01-07 00:31:18,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,243.20,154.80,0.00,0.00,0.00,42.40,9.00,0.00,43.80,0.00,0.00,0.00,0.00,6.60,0.00,6.60,0.00,84.80,4735056,0,3440552,42.08,30128,2642388,1058220,12.94,905480,2362844,88,595804,103452,2016,3896,18156,0,0,0.00,0,0.00,0,238,1.19,1.58,1.43,0,6.60,0.00,84.80,12.85,0.00,0.00,0.00,0.00,1.60,2.80,0.15,0.62,0.00,0.00,0.00,0.00
2018-01-07 00:31:23,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,231.60,139.00,0.00,0.00,0.00,0.00,7.60,0.00,27.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4735080,0,3440528,42.08,30128,2642420,1058220,12.94,905480,2362848,92,595804,103452,2016,3896,18156,0,0,0.00,0,0.00,0,238,1.10,1.55,1.42,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,4.60,0.26,0.81,0.00,0.00,0.00,0.00
2018-01-07 00:31:28,0.10,0.00,0.10,5.51,0.10,0.00,0.00,0.00,0.00,94.19,0.00,234.60,143.20,0.00,0.00,0.00,2.40,7.80,0.00,26.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,4.80,4735080,0,3440528,42.08,30136,2642440,1058220,12.94,905488,2362868,116,595804,103452,2016,3896,18156,0,0,0.00,0,0.00,0,238,1.01,1.52,1.41,0,0.40,0.00,4.80,12.00,0.11,274.00,274.00,10.96,3.00,4.40,0.25,0.80,0.00,0.00,0.00,0.00
2018-01-07 00:31:33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,232.80,139.60,0.00,0.00,0.00,3.20,7.60,0.00,28.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,4735080,0,3440528,42.08,30144,2642464,1058220,12.94,905500,2362884,140,595804,103452,2016,3896,18156,0,0,0.00,0,0.00,0,238,0.93,1.50,1.40,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,3.40,4.40,0.26,0.72,0.00,0.00,0.00,0.00
