timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 05:55:24,10.73,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,88.87,0.80,320.20,253.40,0.00,0.00,0.00,0.00,613.80,0.00,1591.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7451828,0,723780,8.85,29084,246900,811444,9.93,585664,21312,492,333064,47776,1856,2832,18156,0,0,0.00,0,0.00,1,218,0.36,0.45,0.28,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.80,5.00,0.38,0.72,0.00,0.00,0.00,0.00
2018-01-07 05:55:29,19.17,0.00,2.62,0.10,0.10,0.00,0.10,0.00,0.00,77.90,4.00,557.60,1415.00,0.00,0.00,0.00,11.20,1337.00,0.00,6645.20,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,22.40,7301744,0,873864,10.69,29092,312068,973396,11.91,672648,86320,65644,417760,47920,1896,3000,18156,0,0,0.00,0,0.00,4,224,0.33,0.44,0.28,0,1.20,0.00,22.40,18.67,0.00,0.67,0.67,0.08,1516.80,423.60,13263.94,27.91,0.00,0.00,0.00,1.09
2018-01-07 05:55:34,76.95,0.00,3.13,0.00,0.10,0.00,1.11,0.00,0.00,18.71,17.80,1779.80,2166.00,0.00,0.00,0.00,60.00,8695.00,0.00,9482.80,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,120.00,7046164,0,1129444,13.81,29108,375768,1485376,18.17,874576,138524,129412,608324,48012,2176,3740,18156,0,0,0.00,0,0.00,7,298,0.55,0.48,0.29,0,1.60,0.00,120.00,75.00,0.00,0.00,0.00,0.00,1481.80,539.00,12672.83,42.55,0.00,0.00,0.00,1.04
2018-01-07 05:55:39,64.44,0.00,2.42,0.00,0.10,0.00,0.20,0.00,0.00,32.83,25.60,1882.20,1571.40,0.00,0.00,0.00,7028.80,6882.60,0.00,2216.00,0.00,0.00,0.00,0.00,79.60,0.00,79.60,0.00,14057.60,6725576,0,1450032,17.74,29120,376124,4915852,60.13,1195168,136040,94864,925964,49380,3352,5052,18156,0,0,0.00,0,0.00,1,406,0.74,0.53,0.31,0,79.60,0.00,14057.60,176.60,1.90,23.89,0.24,1.92,100.40,122.60,14.79,44.78,0.00,0.00,0.00,0.00
2018-01-07 05:55:44,0.51,0.00,0.10,4.26,0.10,0.00,0.00,0.00,0.00,95.04,0.00,911.60,688.40,0.00,0.00,0.00,18984.80,9.80,0.00,364.80,0.00,0.00,0.00,0.00,148.80,0.00,148.80,0.00,37969.60,6730104,0,1445504,17.68,29128,376148,4915852,60.13,1189280,135896,236,919900,49232,3336,5084,18156,0,0,0.00,0,0.00,1,391,0.68,0.52,0.31,0,148.80,0.00,37969.60,255.17,15.47,103.97,0.98,14.56,3.80,7.60,0.30,0.85,0.00,0.00,0.00,0.00
2018-01-07 05:55:49,1.01,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,98.88,0.00,1030.40,687.40,0.00,0.00,0.00,6.40,16.80,0.00,671.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,12.80,6741220,0,1434388,17.54,29136,376168,4882000,59.71,1178696,135912,272,909320,48876,2696,5020,18156,0,0,0.00,0,0.00,1,323,0.63,0.51,0.31,0,0.40,0.00,12.80,32.00,0.00,0.00,0.00,0.00,15.60,30.80,1.13,2.55,0.00,0.00,0.00,0.00
2018-01-07 05:55:54,1.42,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,98.38,0.00,930.80,585.20,0.00,0.00,0.00,4.00,21.40,0.00,579.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,6712416,0,1463192,17.90,29144,376192,4882000,59.71,1205440,135904,304,938128,48884,2696,5048,18156,0,0,0.00,0,0.00,2,323,0.58,0.50,0.30,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,38.40,17.80,318.93,1.61,0.00,0.00,0.00,0.03
2018-01-07 05:55:59,56.17,0.00,2.23,0.00,0.10,0.00,0.00,0.00,0.00,41.50,1.20,1140.40,937.40,0.00,0.00,0.00,495.20,763.40,0.00,11160.20,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,990.40,5815380,0,2360228,28.87,29144,381436,4902000,59.96,2093408,136884,3068,1829960,49012,2720,6812,18156,0,0,0.00,0,0.00,2,326,0.61,0.51,0.31,0,4.00,0.00,990.40,247.60,0.03,7.20,0.60,0.24,62.40,47.20,499.74,4.59,0.00,0.00,0.00,0.04
2018-01-07 05:56:04,51.97,0.00,1.92,0.00,0.00,0.00,0.00,0.00,0.00,46.12,0.00,879.00,680.40,0.00,0.00,0.00,16.80,90.20,0.00,20439.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,33.60,5405136,0,2770472,33.89,29152,381460,4902000,59.96,2505176,136892,3116,2239648,49036,2720,7632,18156,0,0,0.00,0,0.00,2,326,0.64,0.52,0.31,0,0.40,0.00,33.60,84.00,0.00,0.00,0.00,0.00,1.80,3.60,0.19,0.69,0.00,0.00,0.00,0.00
2018-01-07 05:56:09,53.02,0.00,1.51,0.00,0.10,0.00,0.00,0.00,0.00,45.36,0.00,880.60,676.40,0.00,0.00,0.00,20.80,78.40,0.00,16071.40,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,41.60,5055780,0,3119828,38.16,29160,381480,4902000,59.96,2838272,136884,3100,2587044,49004,2704,8216,18156,0,0,0.00,0,0.00,2,324,0.67,0.52,0.32,0,1.60,0.00,41.60,26.00,0.00,0.00,0.00,0.00,2.20,4.40,0.26,1.02,0.00,0.00,0.00,0.00
