timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-06 23:52:34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,228.80,135.60,0.00,0.00,0.00,0.00,9.00,0.00,19.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5991480,0,2184128,26.72,25632,1575620,989036,12.10,656988,1392640,432,448400,69472,1968,3156,18156,0,0,0.00,0,0.00,0,232,1.92,0.98,0.46,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,2.80,0.14,0.53,0.00,0.00,0.00,0.00
2018-01-06 23:52:39,2.01,0.00,0.70,0.20,0.00,0.00,0.00,0.00,0.00,97.08,14.40,437.60,347.20,0.00,0.00,0.80,17.60,7736.40,0.00,2487.20,0.00,0.00,0.00,0.00,1.40,0.20,1.20,1.60,35.20,5986492,0,2189116,26.78,25644,1575648,996460,12.19,661360,1392680,436,452712,69424,1992,3684,18156,0,0,0.00,0,0.00,0,235,1.76,0.97,0.46,0,1.40,1.60,35.20,26.29,0.00,2.86,2.86,0.40,8.60,10.20,1.68,1.72,0.00,0.00,0.00,0.00
2018-01-06 23:52:44,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,226.20,140.20,0.00,0.00,0.00,74.40,7.80,0.00,51.40,0.00,0.00,0.00,0.00,9.00,0.00,9.00,0.00,148.80,5984620,0,2190988,26.80,25652,1575672,996460,12.19,662876,1392692,148,454248,69412,1992,3652,18156,0,0,0.00,0,0.00,0,235,1.62,0.95,0.46,0,9.00,0.00,148.80,16.53,0.01,0.62,0.09,0.08,2.80,3.80,0.22,0.64,0.00,0.00,0.00,0.00
2018-01-06 23:52:49,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,231.60,140.00,0.00,0.00,0.00,8.80,7.80,0.00,28.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,17.60,5984628,0,2190980,26.80,25664,1575692,996460,12.19,662876,1392700,172,454252,69404,1992,3652,18156,0,0,0.00,0,0.00,0,235,1.49,0.94,0.46,0,0.60,0.00,17.60,29.33,0.00,0.00,0.00,0.00,3.40,4.80,0.27,0.82,0.00,0.00,0.00,0.00
2018-01-06 23:52:54,54.40,0.00,2.30,0.00,0.10,0.00,0.00,0.00,0.00,43.20,15.20,953.00,720.40,0.00,0.00,0.00,0.00,8801.00,0.00,2567.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5815684,0,2359924,28.87,25672,1576248,1381120,16.89,830424,1393136,804,621692,70096,2256,4592,18156,0,0,0.00,0,0.00,6,269,1.37,0.92,0.45,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.20,18.80,81.33,2.12,0.00,0.00,0.00,0.01
2018-01-06 23:52:59,96.60,0.00,3.10,0.00,0.00,0.00,0.10,0.00,0.00,0.20,6.40,1235.40,825.40,0.00,0.00,8.80,34.40,3913.80,0.00,1158.40,0.00,0.00,0.00,0.00,2.20,1.40,0.80,17.60,68.80,5472956,0,2702652,33.06,25684,1576556,1599756,19.57,1172876,1392460,1196,963116,70412,2408,5236,18156,0,0,0.00,0,0.00,7,291,1.66,0.99,0.48,0,2.20,17.60,68.80,39.27,0.00,0.36,0.36,0.08,16.60,21.80,25.32,2.55,0.00,0.00,0.00,0.00
2018-01-06 23:53:04,97.80,0.00,1.90,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,2049.80,1045.40,0.00,0.00,0.80,49.60,121.20,0.00,931.40,0.00,0.00,0.00,0.00,1.20,0.20,1.00,1.60,99.20,5473304,0,2702304,33.05,25696,1571504,1599756,19.57,1174964,1387648,1068,965552,70584,2416,5460,18156,0,0,0.00,0,0.00,2,288,1.69,1.01,0.49,0,1.20,1.60,99.20,84.00,0.01,5.33,5.33,0.64,4.80,7.60,0.39,1.41,0.00,0.00,0.00,0.00
2018-01-06 23:53:09,99.40,0.00,0.50,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,674.40,736.60,0.00,0.00,0.80,17.60,132.40,0.00,303.80,0.00,0.00,0.00,0.00,1.00,0.20,0.80,1.60,35.20,5474840,0,2700768,33.03,25704,1566396,1599756,19.57,1178988,1382828,1108,969740,70512,2416,5472,18156,0,0,0.00,0,0.00,4,286,1.72,1.02,0.50,0,1.00,1.60,35.20,36.80,0.00,0.80,0.80,0.08,3.80,6.00,0.32,1.23,0.00,0.00,0.00,0.00
2018-01-06 23:53:14,98.60,0.00,1.10,0.00,0.00,0.00,0.20,0.00,0.00,0.10,0.00,1370.80,828.80,0.00,0.00,0.00,47.20,38.40,0.00,321.00,0.00,0.00,0.00,0.00,6.00,0.00,6.00,0.00,94.40,5467044,0,2708564,33.13,25712,1561380,1599756,19.57,1191388,1377980,972,982408,70468,2392,5492,18156,0,0,0.00,0,0.00,3,285,1.74,1.04,0.50,0,6.00,0.00,94.40,15.73,0.00,0.00,0.00,0.00,4.00,6.00,0.34,1.40,0.00,0.00,0.00,0.00
2018-01-06 23:53:19,98.80,0.00,1.00,0.00,0.00,0.00,0.10,0.00,0.00,0.10,0.00,1370.60,904.60,0.00,0.00,0.00,7.20,19.00,0.00,329.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,14.40,5459988,0,2715620,33.22,25720,1556252,1599756,19.57,1197416,1373220,1044,994780,70368,2392,5508,18156,0,0,0.00,0,0.00,3,285,1.76,1.05,0.51,0,0.40,0.00,14.40,36.00,0.00,12.00,12.00,0.48,4.20,5.60,0.34,1.20,0.00,0.00,0.00,0.00
