timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 00:57:00,22.62,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,76.78,1.00,356.40,329.40,0.00,0.00,0.00,34.40,1109.00,0.00,1836.60,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,68.80,14809064,0,849936,5.43,31808,332720,937468,5.99,494140,210132,396,341812,41844,1856,2864,31532,0,0,0.00,0,0.00,0,218,0.18,0.71,1.04,0,0.80,0.00,68.80,86.00,0.00,1.00,1.00,0.08,3.80,5.00,0.32,0.72,0.00,0.00,0.00,0.00
2018-01-07 00:57:05,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,223.20,130.40,0.00,0.00,0.00,3.20,11.40,0.00,15.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,14809064,0,849936,5.43,31816,332740,937468,5.99,494164,210132,416,341820,41844,1856,2864,31532,0,0,0.00,0,0.00,0,218,0.17,0.69,1.03,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.40,2.80,0.12,0.52,0.00,0.00,0.00,0.00
2018-01-07 00:57:10,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.00,221.80,126.60,0.00,0.00,0.00,1.60,7.00,0.00,15.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,3.20,14809064,0,849936,5.43,31816,332764,937468,5.99,494188,210160,432,341820,41844,1856,2864,31532,0,0,0.00,0,0.00,0,218,0.15,0.68,1.03,0,0.40,0.00,3.20,8.00,0.00,0.00,0.00,0.00,1.40,2.60,0.11,0.43,0.00,0.00,0.00,0.00
2018-01-07 00:57:15,14.94,0.00,0.51,0.00,0.20,0.00,0.20,0.00,0.00,84.15,3.80,1164.80,1485.00,0.00,0.00,0.00,46.40,1290.00,0.00,1273.80,0.00,0.00,0.00,0.00,8.40,0.00,8.40,0.00,92.80,14724424,0,934576,5.97,31824,343884,1076448,6.87,569356,221144,11276,414916,41928,1912,3012,31532,0,0,0.00,0,0.00,1,225,0.14,0.67,1.02,0,8.40,0.00,92.80,11.05,0.00,0.00,0.00,0.00,264.60,238.20,2247.64,16.95,0.00,0.00,0.00,0.00
2018-01-07 00:57:20,1.63,0.00,0.41,1.22,0.41,0.00,0.41,0.00,0.00,95.93,0.00,1242.80,1670.00,0.00,0.00,0.00,27.20,10.80,0.00,1575.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,54.40,14705012,0,953988,6.09,31832,363428,1076448,6.87,569424,240660,30944,414972,41928,1912,3012,31532,0,0,0.00,0,0.00,1,225,0.13,0.66,1.02,0,0.60,0.00,54.40,90.67,0.03,45.33,45.33,2.72,451.40,407.80,3945.54,28.41,0.00,0.00,0.00,0.00
2018-01-07 00:57:25,3.35,0.00,0.30,0.00,0.20,0.00,0.41,0.00,0.00,95.73,0.00,1100.60,1492.80,0.00,0.00,0.00,10.40,8.60,0.00,1316.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,20.80,14688500,0,970500,6.20,31840,379636,1076448,6.87,569380,257140,47136,414916,41928,1904,3012,31532,0,0,0.00,0,0.00,0,224,0.12,0.65,1.01,0,0.80,0.00,20.80,26.00,0.00,0.00,0.00,0.00,375.80,343.20,3284.12,23.99,0.00,0.00,0.00,0.00
2018-01-07 00:57:30,1.11,0.00,0.20,0.00,0.20,0.00,0.60,0.00,0.00,97.89,0.00,873.80,1134.20,0.00,0.00,0.00,48.80,7.60,0.00,970.20,0.00,0.00,0.00,0.00,1.40,0.00,1.40,0.00,97.60,14676172,0,982828,6.28,31848,391768,1076448,6.87,569400,269124,59080,414920,41928,1904,3012,31532,0,0,0.00,0,0.00,0,224,0.11,0.64,1.01,0,1.40,0.00,97.60,69.71,0.00,0.00,0.00,0.00,276.20,254.00,2415.63,17.90,0.00,0.00,0.00,0.00
2018-01-07 00:57:35,0.91,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.00,98.69,0.00,730.40,918.80,0.00,0.00,0.00,9.60,9.60,0.00,707.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,19.20,14667624,0,991376,6.33,31856,400500,1076448,6.87,569428,277784,67824,414936,41928,1904,3012,31532,0,0,0.00,0,0.00,1,224,0.10,0.63,1.00,0,0.40,0.00,19.20,48.00,0.00,0.00,0.00,0.00,200.60,188.40,1751.10,13.45,0.00,0.00,0.00,0.00
2018-01-07 00:57:40,1.31,0.00,0.20,0.10,0.10,0.00,0.40,0.00,0.00,97.89,0.00,866.20,1043.00,0.00,0.00,0.00,3.20,7.40,0.00,868.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,14656668,0,1002332,6.40,31864,411364,1076448,6.87,569444,288568,78688,414944,41928,1904,3012,31532,0,0,0.00,0,0.00,1,224,0.09,0.62,1.00,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,246.60,231.40,2155.43,16.28,0.00,0.00,0.00,0.00
2018-01-07 00:57:45,1.31,0.00,0.51,8.90,0.51,0.00,1.01,0.00,0.00,87.77,0.00,1432.60,2161.00,0.00,0.00,0.00,18180.00,17.00,0.00,1762.20,0.00,0.00,0.00,0.00,143.60,0.00,143.60,0.00,36360.00,14635132,0,1023868,6.54,31872,433264,1076448,6.87,569572,310584,9740,415060,41928,1896,3012,31532,0,0,0.00,0,0.00,0,223,0.33,0.66,1.01,0,143.60,0.00,36360.00,253.20,13.29,92.57,1.05,15.04,503.60,467.80,4414.48,32.60,0.00,0.00,0.00,0.00
