timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 02:46:08,18.56,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,81.14,0.80,324.20,305.60,0.00,0.00,0.00,42.40,1022.20,0.00,1756.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,84.80,14748980,0,910020,5.81,42332,367140,970752,6.20,536544,218412,448,349624,49528,1856,2896,31532,0,0,0.00,0,0.00,1,218,0.16,1.14,1.38,0,0.80,0.00,84.80,106.00,0.00,2.00,1.00,0.08,4.20,5.00,0.33,0.64,0.00,0.00,0.00,0.00
2018-01-07 02:46:13,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.00,223.40,133.00,0.00,0.00,0.00,3.20,11.20,0.00,35.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,14749476,0,909524,5.81,42340,367160,970752,6.20,540308,218412,468,349244,49528,1856,2896,31532,0,0,0.00,0,0.00,1,218,0.14,1.12,1.38,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-07 02:46:18,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,221.40,132.20,0.00,0.00,0.00,2.40,7.00,0.00,99.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,4.80,14748668,0,910332,5.81,42340,367184,970752,6.20,538628,218428,480,349600,49528,1856,2896,31532,0,0,0.00,0,0.00,1,218,0.13,1.10,1.37,0,0.60,0.00,4.80,8.00,0.00,0.00,0.00,0.00,1.40,2.80,0.12,0.53,0.00,0.00,0.00,0.00
2018-01-07 02:46:23,19.27,0.00,0.91,0.00,0.20,0.00,0.30,0.00,0.00,79.31,3.80,1087.00,1301.40,0.00,0.00,0.00,68.80,1647.20,0.00,1716.40,0.00,0.00,0.00,0.00,11.20,0.00,11.20,0.00,137.60,14664240,0,994760,6.35,42348,377396,1110312,7.09,614516,228360,10364,423412,49568,1912,3052,31532,0,0,0.00,0,0.00,1,225,0.12,1.08,1.36,0,11.20,0.00,137.60,12.29,0.02,1.36,0.14,0.16,243.20,223.00,2066.74,15.95,0.00,0.00,0.00,0.00
2018-01-07 02:46:28,2.02,0.00,0.50,0.00,0.40,0.00,0.91,0.00,0.00,96.17,0.00,1324.00,1716.20,0.00,0.00,0.00,34.40,11.20,0.00,1602.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,68.80,14644440,0,1014560,6.48,42356,397320,1110312,7.09,614588,248428,30448,423472,49568,1912,3052,31532,0,0,0.00,0,0.00,1,225,0.11,1.06,1.35,0,0.60,0.00,68.80,114.67,0.00,0.00,0.00,0.00,460.20,414.80,4025.49,28.94,0.00,0.00,0.00,0.00
2018-01-07 02:46:33,3.95,0.00,0.30,0.00,0.20,0.00,0.40,0.00,0.00,95.14,0.00,1198.00,1526.20,0.00,0.00,0.00,12.80,9.00,0.00,1450.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,25.60,14626520,0,1032480,6.59,42360,415352,1110312,7.09,614560,266520,48472,423424,49568,1904,3052,31532,0,0,0.00,0,0.00,0,224,0.10,1.05,1.35,0,0.80,0.00,25.60,32.00,0.00,0.00,0.00,0.00,414.20,355.80,3618.16,24.79,0.00,0.00,0.00,0.00
2018-01-07 02:46:38,0.70,0.00,0.30,0.10,0.10,0.00,0.40,0.00,0.00,98.41,0.00,474.40,474.00,0.00,0.00,0.00,49.60,8.00,0.00,360.60,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,99.20,14621744,0,1037256,6.62,42364,419688,1110312,7.09,614576,270776,52620,423428,49568,1904,3052,31532,0,0,0.00,0,0.00,0,224,0.10,1.03,1.34,0,1.20,0.00,99.20,82.67,0.00,0.00,0.00,0.00,99.80,88.00,866.80,6.30,0.00,0.00,0.00,0.00
2018-01-07 02:46:43,1.52,0.00,0.51,0.00,0.20,0.00,0.30,0.00,0.00,97.47,0.00,892.60,1093.80,0.00,0.00,0.00,6.40,9.20,0.00,1019.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,12.80,14609396,0,1049604,6.70,42372,432464,1110312,7.09,614608,283624,65404,423444,49568,1904,3052,31532,0,0,0.00,0,0.00,1,224,0.09,1.01,1.33,0,0.40,0.00,12.80,32.00,0.00,0.00,0.00,0.00,290.20,240.60,2538.69,16.83,0.00,0.00,0.00,0.00
2018-01-07 02:46:48,0.30,0.00,0.20,0.00,0.10,0.00,0.20,0.00,0.00,99.20,0.00,379.40,326.00,0.00,0.00,0.00,3.20,7.60,0.00,169.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,6.40,14607604,0,1051396,6.71,42380,434252,1110312,7.09,614608,285376,67192,423448,49568,1904,3052,31532,0,0,0.00,0,0.00,1,223,0.08,1.00,1.33,0,0.40,0.00,6.40,16.00,0.00,0.00,0.00,0.00,44.60,38.00,379.85,3.02,0.00,0.00,0.00,0.00
2018-01-07 02:46:53,0.71,0.00,0.51,0.00,0.30,0.00,0.20,0.00,0.00,98.28,0.00,1175.20,1473.20,0.00,0.00,0.00,8.00,7.80,0.00,1307.40,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,16.00,14591076,0,1067924,6.82,42388,450400,1110312,7.09,614568,301440,83340,423384,49472,1896,3052,31532,0,0,0.00,0,0.00,0,223,0.07,0.98,1.32,0,0.60,0.00,16.00,26.67,0.00,0.00,0.00,0.00,371.80,329.80,3257.45,23.00,0.00,0.00,0.00,0.00
