timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 09:18:03,11.43,0.00,0.30,0.00,0.00,0.00,0.10,0.00,0.00,88.16,0.80,364.00,312.00,0.00,0.00,0.00,36.80,649.40,0.00,1761.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,73.60,7336140,0,839468,10.27,34244,360300,789660,9.66,525268,203848,408,334604,43800,1840,2852,18156,0,0,0.00,0,0.00,0,216,0.27,0.37,0.34,0,0.80,0.00,73.60,92.00,0.01,12.00,6.00,0.48,4.20,5.20,0.40,0.69,0.00,0.00,0.00,0.00
2018-01-07 09:18:08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,232.40,134.40,0.00,0.00,0.00,0.00,11.80,0.00,22.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7336140,0,839468,10.27,34244,360320,789660,9.66,525288,203852,428,334612,43800,1840,2852,18156,0,0,0.00,0,0.00,0,216,0.24,0.37,0.34,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,3.20,0.17,0.54,0.00,0.00,0.00,0.00
2018-01-07 09:18:13,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.00,230.80,137.40,0.00,0.00,0.00,17.60,8.20,0.00,21.00,0.00,0.00,0.00,0.00,1.60,0.00,1.60,0.00,35.20,7336148,0,839460,10.27,34252,360344,789660,9.66,525308,203868,388,334612,43792,1840,2852,18156,0,0,0.00,0,0.00,0,216,0.22,0.36,0.33,0,1.60,0.00,35.20,22.00,0.00,0.50,0.50,0.08,1.60,3.00,0.15,0.53,0.00,0.00,0.00,0.00
2018-01-07 09:18:18,14.11,0.00,1.22,0.00,0.10,0.00,0.00,0.00,0.00,84.57,3.80,1105.80,1160.00,0.00,0.00,0.00,52.00,1318.20,0.00,1204.20,0.00,0.00,0.00,0.00,9.60,0.00,9.60,0.00,104.00,7245392,0,930216,11.38,34260,367736,944772,11.56,609304,211252,7548,418576,43792,1896,3020,18156,0,0,0.00,0,0.00,1,223,0.21,0.36,0.33,0,9.60,0.00,104.00,10.83,0.00,0.08,0.08,0.08,180.40,142.20,1520.73,10.79,0.00,0.00,0.00,0.12
2018-01-07 09:18:23,1.52,0.00,0.20,0.10,0.10,0.00,0.10,0.00,0.00,97.97,0.00,1199.60,1303.40,0.00,0.00,0.00,26.40,10.20,0.00,826.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,52.80,7236576,0,939032,11.49,34268,376668,944772,11.56,609360,220016,16596,418624,43792,1896,3020,18156,0,0,0.00,0,0.00,0,223,0.19,0.35,0.33,0,0.40,0.00,52.80,132.00,0.00,2.00,2.00,0.08,202.40,177.80,1769.69,12.60,0.00,0.00,0.00,0.14
2018-01-07 09:18:28,1.21,0.00,0.30,0.00,0.20,0.00,0.00,0.00,0.00,98.29,0.00,965.20,924.20,0.00,0.00,0.00,20.00,9.40,0.00,542.00,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,40.00,7231000,0,944608,11.55,34276,382276,944772,11.56,609320,225656,22088,418572,43792,1888,3020,18156,0,0,0.00,0,0.00,0,222,0.17,0.34,0.33,0,1.20,0.00,40.00,33.33,0.00,0.67,0.67,0.08,131.20,123.60,1134.13,8.96,0.00,0.00,0.00,0.09
2018-01-07 09:18:33,1.11,0.00,0.51,0.00,0.10,0.00,0.10,0.00,0.00,98.18,0.00,1098.60,1102.80,0.00,0.00,0.00,44.80,8.40,0.00,697.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,89.60,7223608,0,952000,11.64,34284,389644,944772,11.56,609340,232888,29408,418576,43792,1888,3020,18156,0,0,0.00,0,0.00,1,222,0.16,0.34,0.33,0,0.80,0.00,89.60,112.00,0.00,1.00,1.00,0.08,170.20,161.80,1487.95,11.52,0.00,0.00,0.00,0.12
2018-01-07 09:18:38,1.32,0.00,0.61,0.00,0.10,0.00,0.10,0.00,0.00,97.87,0.00,1398.00,1369.80,0.00,0.00,0.00,6.40,7.80,0.00,949.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,12.80,7213536,0,962072,11.77,34292,399860,944772,11.56,609356,243284,39612,418580,43792,1888,3020,18156,0,0,0.00,0,0.00,1,222,0.15,0.33,0.33,0,0.40,0.00,12.80,32.00,0.00,2.00,2.00,0.08,234.20,208.00,2049.65,14.83,0.00,0.00,0.00,0.17
2018-01-07 09:18:43,1.52,0.00,0.20,0.00,0.10,0.00,0.00,0.00,0.00,98.17,0.00,1085.20,1032.60,0.00,0.00,0.00,8.00,8.80,0.00,634.80,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,16.00,7206912,0,968696,11.85,34300,406664,944772,11.56,609300,249960,46412,418516,43792,1880,3020,18156,0,0,0.00,0,0.00,0,221,0.14,0.33,0.32,0,0.60,0.00,16.00,26.67,0.00,0.00,0.00,0.00,153.80,142.80,1340.08,10.32,0.00,0.00,0.00,0.11
2018-01-07 09:18:48,0.41,0.00,0.30,0.71,0.10,0.00,0.00,0.00,0.00,98.48,0.00,1059.80,1182.00,0.00,0.00,0.00,10339.20,8.40,0.00,633.40,0.00,0.00,0.00,0.00,82.20,0.00,82.20,0.00,20678.40,7200216,0,975392,11.93,34308,413232,944772,11.56,609324,256636,1308,418532,43792,1880,3020,18156,0,0,0.00,0,0.00,0,221,0.13,0.32,0.32,0,82.20,0.00,20678.40,251.56,2.90,35.28,0.29,2.40,154.20,148.60,1347.09,10.62,0.00,0.00,0.00,0.11
2018-01-07 09:18:53,1.82,0.00,0.10,0.41,0.20,0.00,0.10,0.00,0.00,97.37,0.00,1251.00,1272.80,0.00,0.00,0.00,38.40,10.60,0.00,792.40,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,76.80,7191452,0,984156,12.04,34316,421620,944772,11.56,609372,265088,9548,418564,43792,1880,3020,18156,0,0,0.00,0,0.00,0,221,0.12,0.32,0.32,0,5.00,0.00,76.80,15.36,0.01,1.60,1.60,0.80,194.20,160.80,1697.50,11.44,0.00,0.00,0.00,0.14
2018-01-07 09:18:58,0.61,0.00,0.30,0.00,0.10,0.00,0.10,0.00,0.00,98.89,0.00,1081.20,1056.40,0.00,0.00,0.00,8.00,9.80,0.00,639.60,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,16.00,7184748,0,990860,12.12,34324,428596,944772,11.56,609412,271812,16540,418592,43792,1880,3020,18156,0,0,0.00,0,0.00,0,221,0.11,0.31,0.32,0,0.60,0.00,16.00,26.67,0.00,1.33,1.33,0.08,156.20,144.00,1362.96,10.37,0.00,0.00,0.00,0.11
2018-01-07 09:19:03,0.30,0.00,0.20,0.00,0.10,0.00,0.00,0.00,0.00,99.39,0.00,1067.60,1018.60,0.00,0.00,0.00,4.80,9.40,0.00,631.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,7178160,0,997448,12.20,34332,435172,944772,11.56,609456,278632,23112,418636,43792,1880,3020,18156,0,0,0.00,0,0.00,0,221,0.10,0.31,0.32,0,0.40,0.00,9.60,24.00,0.00,2.00,2.00,0.08,154.20,145.80,1341.84,10.36,0.00,0.00,0.00,0.11
2018-01-07 09:19:08,0.41,0.00,0.20,0.00,0.10,0.00,0.20,0.00,0.00,99.09,0.00,1257.80,1235.40,0.00,0.00,0.00,37.60,9.00,0.00,794.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,75.20,7169576,0,1006032,12.31,34340,443576,944772,11.56,609508,286952,31352,418668,43792,1880,3020,18156,0,0,0.00,0,0.00,1,221,0.09,0.30,0.31,0,1.00,0.00,75.20,75.20,0.00,0.80,0.80,0.08,194.80,167.60,1701.03,11.91,0.00,0.00,0.00,0.14
2018-01-07 09:19:13,0.50,0.00,0.40,0.10,0.10,0.00,0.00,0.00,0.00,98.89,0.00,979.20,962.00,0.00,0.00,0.00,8.80,8.80,0.00,570.20,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,17.60,7163456,0,1012152,12.38,34348,449624,944772,11.56,609532,292956,37416,418680,43792,1880,3020,18156,0,0,0.00,0,0.00,0,221,0.08,0.30,0.31,0,0.80,0.00,17.60,22.00,0.00,1.00,1.00,0.08,140.80,128.60,1227.38,9.38,0.00,0.00,0.00,0.10
2018-01-07 09:19:18,0.61,0.00,0.20,0.51,0.10,0.00,0.00,0.00,0.00,98.58,0.00,1120.00,1128.40,0.00,0.00,0.00,8647.20,7.40,0.00,680.20,0.00,0.00,0.00,0.00,68.40,0.00,68.40,0.00,17294.40,7156056,0,1019552,12.47,34356,456736,944772,11.56,609476,300300,1316,418612,43768,1872,3020,18156,0,0,0.00,0,0.00,1,220,0.08,0.29,0.31,0,68.40,0.00,17294.40,252.84,2.32,33.98,0.32,2.16,164.00,154.20,1433.37,10.99,0.00,0.00,0.00,0.12
