timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 08:40:00,0.20,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.70,0.00,258.00,147.20,0.00,0.00,0.00,0.00,186.00,0.00,1522.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7050184,0,1125424,13.77,31236,533688,973688,11.91,722476,287884,196628,445436,47388,1912,3108,18156,0,0,0.00,0,0.00,0,225,0.77,0.99,1.39,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.20,5.60,0.50,0.70,0.00,0.00,0.00,0.00
2018-01-07 08:40:05,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.80,0.20,237.80,147.00,0.00,0.00,0.00,9.60,17.40,0.00,746.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,19.20,7050216,0,1125392,13.77,31244,533708,973688,11.91,722464,287900,196688,445424,47380,1912,3108,18156,0,0,0.00,0,0.00,0,225,0.70,0.97,1.39,0,0.40,0.00,19.20,48.00,0.00,2.00,2.00,0.08,2.40,3.60,0.21,0.52,0.00,0.00,0.00,0.00
2018-01-07 08:40:10,2.11,0.00,0.80,0.00,0.10,0.00,0.00,0.00,0.00,96.98,14.60,419.80,343.40,0.00,0.00,0.00,27.20,7742.60,0.00,2481.20,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,54.40,7046116,0,1129492,13.82,31256,533728,986720,12.07,726952,287916,196724,449888,47396,1944,3600,18156,0,0,0.00,0,0.00,1,229,0.65,0.96,1.38,0,1.20,0.00,54.40,45.33,0.00,0.00,0.00,0.00,9.00,10.20,1.71,1.73,0.00,0.00,0.00,0.00
2018-01-07 08:40:15,0.10,0.00,0.20,22.58,0.10,0.00,0.00,0.00,0.00,77.02,0.00,242.20,459.80,0.00,0.00,0.80,39295.20,7.60,0.00,62.00,0.00,0.00,0.00,0.00,327.80,0.20,327.60,1.60,78590.40,7036140,0,1139468,13.94,31256,533760,986720,12.07,736548,287944,276,459476,47380,1944,3600,18156,0,0,0.00,0,0.00,1,229,0.68,0.96,1.38,0,327.80,1.60,78590.40,239.76,70.46,214.93,1.58,51.68,3.00,4.20,0.24,0.70,0.00,0.00,0.00,0.00
2018-01-07 08:40:20,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,226.60,134.20,0.00,0.00,0.00,28.80,7.60,0.00,27.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.00,57.60,7036140,0,1139468,13.94,31264,533784,986720,12.07,736548,287944,404,459476,47380,1944,3600,18156,0,0,0.00,0,0.00,1,229,0.62,0.94,1.37,0,0.60,0.00,57.60,96.00,0.00,2.67,1.33,0.08,3.00,4.40,0.25,0.80,0.00,0.00,0.00,0.00
2018-01-07 08:40:25,0.50,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,99.40,0.20,238.80,154.00,0.00,0.00,0.00,0.00,14.00,0.00,605.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7030908,0,1144700,14.00,31264,533804,986720,12.07,741500,287972,440,464404,47380,1952,3600,18156,0,0,0.00,0,0.00,1,230,0.57,0.93,1.36,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,4.40,0.25,0.80,0.00,0.00,0.00,0.00
2018-01-07 08:40:30,1.00,0.00,0.10,0.00,0.10,0.00,0.00,0.00,0.00,98.80,2.00,352.20,281.00,0.00,0.00,0.00,86.40,258.00,0.00,152.60,0.00,0.00,0.00,0.00,7.20,0.00,7.20,0.00,172.80,7029896,0,1145712,14.01,31272,534124,986720,12.07,741712,288292,340,464604,47604,1952,3600,18156,0,0,0.00,0,0.00,1,234,0.53,0.91,1.36,0,7.20,0.00,172.80,24.00,0.00,0.11,0.11,0.08,18.20,19.20,94.66,1.98,0.00,0.00,0.00,0.01
2018-01-07 08:40:35,2.03,0.00,0.30,0.41,0.10,0.00,0.10,0.00,0.00,97.06,1.60,1187.00,1137.20,0.00,0.00,0.00,22.40,252.40,0.00,1152.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,44.80,7023240,0,1152368,14.10,31280,542224,986720,12.07,742052,296316,8456,464916,47596,2000,3604,18156,0,0,0.00,0,0.00,1,236,0.48,0.90,1.35,0,0.40,0.00,44.80,112.00,0.01,18.00,18.00,0.72,187.40,166.40,1603.04,12.13,0.00,0.00,0.00,0.13
2018-01-07 08:40:40,0.71,0.00,0.41,0.00,0.10,0.00,0.20,0.00,0.00,98.58,0.00,1197.00,1224.80,0.00,0.00,0.00,12.80,10.40,0.00,775.00,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,25.60,7015028,0,1160580,14.20,31288,550336,986720,12.07,742076,304412,16644,464932,47588,2000,3604,18156,0,0,0.00,0,0.00,0,235,0.45,0.88,1.34,0,0.80,0.00,25.60,32.00,0.00,1.00,1.00,0.08,189.20,170.60,1637.75,12.35,0.00,0.00,0.00,0.13
2018-01-07 08:40:45,0.81,0.00,0.20,0.00,0.10,0.00,0.10,0.00,0.00,98.78,0.00,1023.00,1027.60,0.00,0.00,0.00,4.80,20.80,0.00,946.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,9.60,7008048,0,1167560,14.28,31296,557020,986720,12.07,742224,311076,23352,465076,47588,1992,3604,18156,0,0,0.00,0,0.00,0,235,0.41,0.87,1.33,0,0.40,0.00,9.60,24.00,0.00,2.00,2.00,0.08,156.20,145.20,1348.97,10.54,0.00,0.00,0.00,0.11
