timestamp,cpu.%usr,cpu.%nice,cpu.%sys,cpu.%iowait,cpu.%steal,cpu.%irq,cpu.%soft,cpu.%guest,cpu.%gnice,cpu.%idle,task.proc/s,task.cswch/s,intr.intr/s,swap.pswpin/s,swap.pswpout/s,paging.pgpgin/s,paging.pgpgout/s,paging.fault/s,paging.majflt/s,paging.pgfree/s,paging.pgscank/s,paging.pgscand/s,paging.pgsteal/s,paging.%vmeff,io.tps,io.rtps,io.wtps,io.bread/s,io.bwrtn/s,memory.kbmemfree,memory.kbavail,memory.kbmemused,memory.%memused,memory.kbbuffers,memory.kbcached,memory.kbcommit,memory.%commit,memory.kbactive,memory.kbinact,memory.kbdirty,memory.kbanonpg,memory.kbslab,memory.kbkstack,memory.kbpgtbl,memory.kbvmused,swap.kbswpfree,swap.kbswpused,swap.%swpused,swap.kbswpcad,swap.%swpcad,load.runq-sz,load.plist-sz,load.ldavg-1,load.ldavg-5,load.ldavg-15,load.blocked,disk.tps,disk.rd_sec/s,disk.wr_sec/s,disk.avgrq-sz,disk.avgqu-sz,disk.await,disk.svctm,disk.%util,network.rxpck/s,network.txpck/s,network.rxkB/s,network.txkB/s,network.rxcmp/s,network.txcmp/s,network.rxmcst/s,network.%ifutil
2018-01-07 11:17:52,7.02,0.00,0.20,0.10,0.00,0.00,0.10,0.00,0.00,92.58,0.80,326.20,230.60,0.00,0.00,0.00,40.80,809.00,0.00,1920.80,0.00,0.00,0.00,0.00,0.80,0.00,0.80,0.00,81.60,7500860,0,674748,8.25,19396,206248,800824,9.80,550588,9748,368,336744,46868,1840,2880,18156,0,0,0.00,0,0.00,1,216,0.28,0.87,1.22,0,0.80,0.00,81.60,102.00,0.00,0.00,0.00,0.00,4.40,5.60,0.42,0.80,0.00,0.00,0.00,0.00
2018-01-07 11:17:57,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.90,0.00,218.00,129.60,0.00,0.00,0.00,0.00,11.80,0.00,19.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7500876,0,674732,8.25,19396,206268,800824,9.80,550588,9752,388,336748,46868,1840,2880,18156,0,0,0.00,0,0.00,1,216,0.26,0.86,1.22,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,2.40,0.12,0.42,0.00,0.00,0.00,0.00
2018-01-07 11:18:02,5.02,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,94.58,1.40,296.81,232.34,0.00,0.00,0.00,18.36,623.35,0.00,97.01,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,36.73,7479368,0,696240,8.52,19404,206292,800824,9.80,574640,9760,412,358720,47124,1840,2880,18156,0,0,0.00,0,0.00,4,217,0.24,0.85,1.21,0,2.00,0.00,36.73,18.40,0.00,0.00,0.00,0.00,3.19,4.39,0.79,0.69,0.00,0.00,0.00,0.00
2018-01-07 11:18:07,9.93,0.00,0.81,0.00,0.10,0.00,0.00,0.00,0.00,89.16,2.40,890.00,978.60,0.00,0.00,0.00,2339.20,694.80,0.00,1365.40,0.00,0.00,0.00,0.00,30.00,0.00,30.00,0.00,4678.40,7406864,0,768744,9.40,19412,217592,956436,11.70,636468,20884,156,420536,46956,1896,3048,18156,0,0,0.00,0,0.00,1,223,0.22,0.83,1.20,0,30.00,0.00,4678.40,155.95,0.33,11.04,0.24,0.72,265.00,124.20,2274.01,9.31,0.00,0.00,0.00,0.19
2018-01-07 11:18:12,1.12,0.00,0.10,0.00,0.20,0.00,0.10,0.00,0.00,98.47,0.00,1345.40,1437.60,0.00,0.00,0.00,15.20,11.60,0.00,932.80,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,30.40,7397160,0,778448,9.52,19420,227528,956436,11.70,636536,30868,10212,420588,46936,1896,3048,18156,0,0,0.00,0,0.00,0,223,0.20,0.82,1.20,0,0.40,0.00,30.40,76.00,0.00,2.00,2.00,0.08,229.20,213.40,2002.12,15.06,0.00,0.00,0.00,0.16
2018-01-07 11:18:17,1.43,0.00,0.41,0.00,0.10,0.00,0.10,0.00,0.00,97.96,0.00,1538.80,1575.40,0.00,0.00,0.00,4.00,9.40,0.00,1074.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,7385704,0,789904,9.66,19428,238904,956436,11.70,636512,42276,21592,420548,46928,1888,3048,18156,0,0,0.00,0,0.00,0,222,0.19,0.80,1.19,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,263.20,226.00,2299.71,15.93,0.00,0.00,0.00,0.19
2018-01-07 11:18:22,3.15,0.00,0.20,0.10,0.10,0.00,0.10,0.00,0.00,96.34,0.00,1284.80,1302.80,0.00,0.00,0.00,4.00,14.00,0.00,828.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,7376780,0,798828,9.77,19436,247568,956436,11.70,636540,51092,30256,420564,46928,1888,3048,18156,0,0,0.00,0,0.00,0,222,0.17,0.79,1.18,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,203.40,184.60,1778.49,13.13,0.00,0.00,0.00,0.15
2018-01-07 11:18:27,0.92,0.00,0.20,0.10,0.10,0.00,0.10,0.00,0.00,98.58,0.00,1314.00,1301.40,0.00,0.00,0.00,2558.40,9.00,0.00,818.80,0.00,0.00,0.00,0.00,16.20,0.00,16.20,0.00,3960.00,7368040,0,807568,9.88,19444,256428,956436,11.70,636684,59980,26536,420696,46928,1888,3048,18156,0,0,0.00,0,0.00,0,222,0.16,0.78,1.18,1,16.60,0.00,4062.40,244.72,0.35,11.04,0.29,0.48,200.20,185.40,1752.06,13.14,0.00,0.00,0.00,0.14
2018-01-07 11:18:32,0.81,0.00,0.30,0.20,0.10,0.00,0.10,0.00,0.00,98.48,0.00,1132.80,1108.80,0.00,0.00,0.00,4872.00,11.00,0.00,698.00,0.00,0.00,0.00,0.00,15.20,0.00,15.20,0.00,3067.20,7360688,0,814920,9.97,19452,263740,956436,11.70,636628,67172,9532,420632,46904,1880,3048,18156,0,0,0.00,0,0.00,0,221,0.14,0.77,1.17,1,14.80,0.00,2964.80,200.32,0.48,15.68,0.32,0.48,169.60,158.80,1479.18,11.40,0.00,0.00,0.00,0.12
2018-01-07 11:18:37,1.32,0.00,0.30,0.30,0.20,0.00,0.20,0.00,0.00,97.66,0.00,1389.40,1434.00,0.00,0.00,0.00,1886.40,11.20,0.00,907.80,0.00,0.00,0.00,0.00,46.20,0.00,46.20,0.00,11606.40,7351024,0,824584,10.09,19460,273316,956436,11.70,636712,76696,9552,420704,46920,1880,3048,18156,0,0,0.00,0,0.00,0,221,0.13,0.75,1.17,0,46.20,0.00,11606.40,251.22,1.60,43.46,0.35,1.60,223.20,199.00,1951.06,14.16,0.00,0.00,0.00,0.16
2018-01-07 11:18:42,0.71,0.00,0.41,0.00,0.20,0.00,0.10,0.00,0.00,98.58,0.00,1494.20,1482.20,0.00,0.00,0.00,4.00,8.00,0.00,1021.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,7339892,0,835716,10.22,19468,284400,956436,11.70,636732,87784,20636,420716,46920,1880,3048,18156,0,0,0.00,0,0.00,0,221,0.12,0.74,1.16,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,251.80,222.20,2206.33,15.70,0.00,0.00,0.00,0.18
2018-01-07 11:18:47,0.51,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.00,99.19,0.00,1265.40,1371.20,0.00,0.00,0.00,4.00,7.40,0.00,804.40,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,7331392,0,844216,10.33,19476,293164,956436,11.70,636756,96416,29400,420724,46920,1880,3048,18156,0,0,0.00,0,0.00,0,221,0.11,0.73,1.15,0,0.40,0.00,8.00,20.00,0.00,0.00,0.00,0.00,197.60,183.60,1727.43,13.07,0.00,0.00,0.00,0.14
2018-01-07 11:18:52,0.71,0.00,0.20,0.00,0.10,0.00,0.00,0.00,0.00,98.99,0.00,1118.20,1192.40,0.00,0.00,0.00,0.00,7.60,0.00,744.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7323272,0,852336,10.43,19476,301012,956436,11.70,636768,104420,37240,420728,46920,1880,3048,18156,0,0,0.00,0,0.00,1,221,0.10,0.72,1.15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,182.00,159.00,1590.09,11.35,0.00,0.00,0.00,0.13
2018-01-07 11:18:57,0.30,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.00,99.09,0.00,1265.00,1238.00,0.00,0.00,0.00,4.00,7.60,0.00,771.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,8.00,7315192,0,860416,10.52,19484,309184,956436,11.70,636776,112440,45416,420728,46920,1880,3048,18156,0,0,0.00,0,0.00,0,221,0.10,0.70,1.14,0,0.40,0.00,8.00,20.00,0.00,2.00,2.00,0.08,189.20,173.00,1653.47,12.23,0.00,0.00,0.00,0.14
2018-01-07 11:19:02,0.51,0.00,0.31,0.10,0.10,0.00,0.00,0.00,0.00,98.98,0.00,1410.00,1417.60,0.00,0.00,0.00,126.40,9.80,0.00,921.00,0.00,0.00,0.00,0.00,2.20,0.00,2.20,0.00,252.80,7305192,0,870416,10.65,19492,319016,956436,11.70,636800,122404,54676,420736,46920,1880,3048,18156,0,0,0.00,0,0.00,1,221,0.09,0.69,1.13,0,2.20,0.00,252.80,114.91,0.00,0.36,0.36,0.08,226.20,210.60,1979.22,14.94,0.00,0.00,0.00,0.16
2018-01-07 11:19:07,0.41,0.00,0.20,0.71,0.10,0.00,0.10,0.00,0.00,98.48,0.00,1127.20,1195.40,0.00,0.00,0.00,10994.40,7.60,0.00,757.20,0.00,0.00,0.00,0.00,88.40,0.00,88.40,0.00,21988.80,7297284,0,878324,10.74,19500,326988,956436,11.70,636748,130420,7712,420672,46888,1872,3048,18156,0,0,0.00,0,0.00,0,220,0.08,0.68,1.13,0,88.40,0.00,21988.80,248.74,3.10,35.04,0.30,2.64,184.80,169.20,1614.74,12.16,0.00,0.00,0.00,0.13
2018-01-07 11:19:12,33.60,0.00,2.02,0.00,0.10,0.00,0.10,0.00,0.00,64.17,11.00,1507.40,1413.20,0.00,0.00,4.00,6.40,7585.80,0.20,2028.40,0.00,0.00,0.00,0.00,0.80,0.40,0.40,8.00,12.80,7109832,0,1065776,13.04,19508,335384,7590876,92.85,816784,136472,16112,598364,47040,2152,3848,18156,0,0,0.00,0,0.00,5,256,0.07,0.67,1.12,0,0.80,8.00,12.80,26.00,0.00,0.00,0.00,0.00,184.20,165.00,1607.33,11.67,0.00,0.00,0.00,0.13
2018-01-07 11:19:17,94.60,0.00,4.10,0.00,0.10,0.00,0.10,0.00,0.00,1.10,17.60,1988.80,1146.80,0.00,0.00,2.40,1032.00,5993.20,0.20,2769.20,0.00,0.00,0.00,0.00,9.00,0.20,8.80,4.80,2064.00,6569928,0,1605680,19.64,19520,345700,7697772,94.16,1357940,133144,21572,1125784,47496,2488,5068,18156,0,0,0.00,0,0.00,8,308,0.47,0.74,1.14,0,9.00,4.80,2064.00,229.87,0.04,4.53,0.44,0.40,128.20,93.00,1002.47,9.82,0.00,0.00,0.00,0.08
2018-01-07 11:19:22,95.59,0.00,4.31,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.20,1199.20,874.40,0.00,0.00,0.00,24.80,979.60,0.00,2597.60,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,49.60,4786808,0,3388800,41.45,19528,345876,7769296,95.03,3131528,132360,21864,2904628,47616,2552,8676,18156,0,0,0.00,0,0.00,2,302,0.59,0.76,1.15,0,0.40,0.00,49.60,124.00,0.00,2.00,2.00,0.08,7.20,9.60,0.99,2.14,0.00,0.00,0.00,0.00
2018-01-07 11:19:27,98.80,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,886.80,858.00,0.00,0.00,0.00,12.80,69.60,0.00,1269.20,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.00,25.60,4288192,0,3887416,47.55,19536,345900,7769296,95.03,3633116,132376,21900,3402104,47616,2520,9616,18156,0,0,0.00,0,0.00,2,300,0.70,0.78,1.15,0,0.40,0.00,25.60,64.00,0.00,0.00,0.00,0.00,2.40,3.40,0.22,0.83,0.00,0.00,0.00,0.00
